winner,by.runs,key,by.wickets,result,method
Nottinghamshire,33.0,ntb00001,,,
Glamorgan,10.0,ntb00002,,,
Northamptonshire,,ntb00003,3.0,,
Leicestershire,27.0,ntb00004,,,
Durham,29.0,ntb00005,,,
Sussex,13.0,ntb00006,,,
Lancashire,12.0,ntb00007,,,
Essex,,ntb00008,8.0,,
Surrey,14.0,ntb00009,,,
Worcestershire,24.0,ntb00010,,,
Kent,42.0,ntb00011,,,
Northamptonshire,,ntb00012,2.0,,
Hampshire,18.0,ntb00013,,,
Lancashire,20.0,ntb00014,,,
Essex,,ntb00015,4.0,,
Gloucestershire,,ntb00016,5.0,,
Hampshire,47.0,ntb00017,,,
Lancashire,1.0,ntb00018,,,
Hampshire,,ntb00019,8.0,,
Lancashire,15.0,ntb00020,,,
Surrey,,ntb00021,6.0,,
Yorkshire,,ntb00022,8.0,,
Glamorgan,,ntb00023,5.0,,
Durham,3.0,ntb00024,,,
Worcestershire,,ntb00025,5.0,,
Kent,21.0,ntb00026,,,
Warwickshire,25.0,ntb00027,,,
Hampshire,22.0,ntb00028,,,
Yorkshire,,ntb00029,5.0,,
Glamorgan,7.0,ntb00030,,,
Essex,,ntb00031,5.0,,
Gloucestershire,4.0,ntb00032,,,
Worcestershire,,ntb00033,5.0,,
Nottinghamshire,,ntb00034,5.0,,
Kent,16.0,ntb00035,,,
Worcestershire,,ntb00036,5.0,,
,,ntb00037,,no result,
Essex,,ntb00038,6.0,,
Lancashire,9.0,ntb00039,,,
Worcestershire,8.0,ntb00040,,,
Surrey,,ntb00041,10.0,,
Essex,,ntb00042,8.0,,
,,ntb00043,,tie,
Warwickshire,18.0,ntb00044,,,
Yorkshire,16.0,ntb00045,,,
Somerset,1.0,ntb00046,,,
Somerset,34.0,ntb00047,,,
Middlesex,,ntb00048,8.0,,
Nottinghamshire,24.0,ntb00049,,,
Warwickshire,,ntb00050,8.0,,
Hampshire,2.0,ntb00051,,,
Sussex,35.0,ntb00052,,,
Essex,,ntb00053,2.0,,
Leicestershire,,ntb00054,4.0,,
Surrey,17.0,ntb00055,,,
Nottinghamshire,27.0,ntb00056,,,
Lancashire,53.0,ntb00057,,,
Worcestershire,,ntb00058,8.0,,
Hampshire,6.0,ntb00059,,,
,,ntb00060,,no result,
Derbyshire,,ntb00061,3.0,,
Gloucestershire,,ntb00062,3.0,,
Sussex,,ntb00063,6.0,,
,,ntb00064,,no result,
Essex,,ntb00065,8.0,,D/L
Surrey,,ntb00066,8.0,,
Nottinghamshire,22.0,ntb00067,,,
Durham,,ntb00068,8.0,,
Yorkshire,14.0,ntb00069,,,
Surrey,,ntb00070,8.0,,
Durham,28.0,ntb00071,,,
Glamorgan,,ntb00072,6.0,,
Northamptonshire,15.0,ntb00073,,,
Gloucestershire,13.0,ntb00074,,,
Essex,,ntb00075,5.0,,
,,ntb00076,,no result,
Hampshire,47.0,ntb00077,,,
Somerset,39.0,ntb00078,,,
Lancashire,50.0,ntb00079,,,
Leicestershire,,ntb00080,5.0,,
Nottinghamshire,6.0,ntb00081,,,
Middlesex,50.0,ntb00082,,,
Warwickshire,,ntb00083,5.0,,
Lancashire,18.0,ntb00084,,,
Yorkshire,49.0,ntb00085,,,
Glamorgan,4.0,ntb00086,,,
Somerset,7.0,ntb00087,,,
Kent,3.0,ntb00088,,,
Northamptonshire,,ntb00089,4.0,,
Essex,63.0,ntb00090,,,
Yorkshire,59.0,ntb00091,,,
Sussex,,ntb00092,5.0,,
Surrey,,ntb00093,3.0,,
Essex,,ntb00094,7.0,,
Worcestershire,31.0,ntb00095,,,
Warwickshire,,ntb00096,5.0,,
Leicestershire,,ntb00097,3.0,,
Surrey,5.0,ntb00098,,,
Kent,40.0,ntb00099,,,D/L
Hampshire,6.0,ntb00100,,,
Lancashire,35.0,ntb00101,,,
Nottinghamshire,31.0,ntb00102,,,
Gloucestershire,,ntb00103,6.0,,
Hampshire,,ntb00104,5.0,,
Nottinghamshire,22.0,ntb00105,,,
Surrey,,ntb00106,2.0,,
Lancashire,27.0,ntb00107,,,
Somerset,22.0,ntb00108,,,
Glamorgan,,ntb00109,8.0,,
Worcestershire,28.0,ntb00110,,,
Nottinghamshire,,ntb00111,6.0,,
Durham,,ntb00112,5.0,,
Warwickshire,52.0,ntb00113,,,
Sussex,,ntb00114,7.0,,
Kent,21.0,ntb00115,,,
Lancashire,1.0,ntb00116,,,
Surrey,,ntb00117,3.0,,
Warwickshire,19.0,ntb00118,,,
Hampshire,,ntb00119,5.0,,
Warwickshire,16.0,ntb00120,,,
Lancashire,41.0,ntb00121,,,D/L
Warwickshire,4.0,ntb00122,,,
Yorkshire,,ntb00123,7.0,,
Glamorgan,25.0,ntb00124,,,
Nottinghamshire,,ntb00125,8.0,,
Lancashire,,ntb00126,5.0,,D/L
Hampshire,17.0,ntb00127,,,
Gloucestershire,,ntb00128,7.0,,
Durham,41.0,ntb00129,,,D/L
Kent,7.0,ntb00130,,,
Surrey,44.0,ntb00131,,,
Sussex,6.0,ntb00132,,,
Yorkshire,,ntb00133,6.0,,
Leicestershire,,ntb00134,7.0,,
Durham,16.0,ntb00135,,,
Essex,,ntb00136,5.0,,
Warwickshire,18.0,ntb00137,,,
Kent,,ntb00138,5.0,,
Gloucestershire,34.0,ntb00139,,,
Leicestershire,,ntb00140,8.0,,
Middlesex,115.0,ntb00141,,,
Worcestershire,,ntb00142,6.0,,
Middlesex,42.0,ntb00143,,,
Kent,23.0,ntb00144,,,
Warwickshire,,ntb00145,5.0,,
Somerset,,ntb00146,3.0,,
Durham,6.0,ntb00147,,,
Derbyshire,,ntb00148,5.0,,
Hampshire,21.0,ntb00149,,,
Nottinghamshire,15.0,ntb00150,,,
Kent,3.0,ntb00151,,,
Hampshire,19.0,ntb00152,,,
Lancashire,,ntb00153,4.0,,
Essex,,ntb00154,6.0,,
Somerset,,ntb00155,8.0,,
Leicestershire,,ntb00156,6.0,,
Gloucestershire,,ntb00157,9.0,,
Glamorgan,4.0,ntb00158,,,
Durham,5.0,ntb00159,,,
Worcestershire,14.0,ntb00160,,,
Warwickshire,,ntb00161,7.0,,
Nottinghamshire,11.0,ntb00162,,,
Essex,18.0,ntb00163,,,
Northamptonshire,,ntb00164,6.0,,
Essex,,ntb00165,7.0,,
Hampshire,,ntb00166,6.0,,
,,ntb00167,,no result,
Lancashire,67.0,ntb00168,,,
Worcestershire,3.0,ntb00169,,,
Warwickshire,,ntb00170,7.0,,D/L
Glamorgan,19.0,ntb00171,,,
Glamorgan,2.0,ntb00172,,,D/L
Gloucestershire,43.0,ntb00173,,,
,,ntb00174,,no result,
Northamptonshire,,ntb00175,8.0,,D/L
Derbyshire,17.0,ntb00176,,,
Kent,,ntb00177,6.0,,
Worcestershire,,ntb00178,2.0,,
Hampshire,21.0,ntb00179,,,
Worcestershire,,ntb00180,8.0,,
Kent,54.0,ntb00181,,,
Northamptonshire,4.0,ntb00182,,,
Yorkshire,40.0,ntb00183,,,
Somerset,,ntb00184,5.0,,
Essex,16.0,ntb00185,,,
Leicestershire,,ntb00186,7.0,,
Sussex,,ntb00187,7.0,,
Warwickshire,,ntb00188,6.0,,
Sussex,,ntb00189,10.0,,
Lancashire,,ntb00190,6.0,,
Northamptonshire,2.0,ntb00191,,,
Somerset,,ntb00192,9.0,,
,,ntb00193,,tie,
Warwickshire,1.0,ntb00194,,,
Surrey,19.0,ntb00195,,,
Essex,78.0,ntb00196,,,
Derbyshire,34.0,ntb00197,,,
Sussex,,ntb00198,3.0,,
Nottinghamshire,,ntb00199,7.0,,
Glamorgan,3.0,ntb00200,,,
Surrey,,ntb00201,4.0,,
Sussex,,ntb00202,7.0,,
Kent,,ntb00203,7.0,,
Gloucestershire,,ntb00204,8.0,,
Worcestershire,20.0,ntb00205,,,
Surrey,,ntb00206,8.0,,
Glamorgan,23.0,ntb00207,,,
Durham,38.0,ntb00208,,,
Warwickshire,60.0,ntb00209,,,
Lancashire,29.0,ntb00210,,,
Warwickshire,8.0,ntb00211,,,
Northamptonshire,3.0,ntb00212,,,D/L
Worcestershire,,ntb00213,5.0,,
Yorkshire,,ntb00214,5.0,,
Warwickshire,,ntb00215,5.0,,
Nottinghamshire,2.0,ntb00216,,,
Sussex,,ntb00217,8.0,,
Lancashire,40.0,ntb00218,,,
Kent,22.0,ntb00219,,,
Hampshire,29.0,ntb00220,,,
Middlesex,,ntb00221,6.0,,
Derbyshire,,ntb00222,4.0,,
Kent,,ntb00223,3.0,,
Northamptonshire,,ntb00224,9.0,,
Gloucestershire,,ntb00225,5.0,,
Worcestershire,74.0,ntb00226,,,
Nottinghamshire,,ntb00227,3.0,,
Surrey,38.0,ntb00228,,,
Hampshire,4.0,ntb00229,,,
Northamptonshire,,ntb00230,6.0,,
