team,name,key,batting_position
Leicestershire,JJ Cobb,ntb00001,1.0
Leicestershire,NJ O'Brien,ntb00001,2.0
Leicestershire,GP Smith,ntb00001,3.0
Leicestershire,EJH Eckersley,ntb00001,4.0
Leicestershire,SB Styris,ntb00001,5.0
Leicestershire,TJ Wells,ntb00001,6.0
Leicestershire,MAG Boyce,ntb00001,
Leicestershire,RML Taylor,ntb00001,
Leicestershire,AJ Ireland,ntb00001,
Leicestershire,JKH Naik,ntb00001,
Leicestershire,NL Buck,ntb00001,
Derbyshire,SC Moore,ntb00001,1.0
Derbyshire,CF Hughes,ntb00001,2.0
Derbyshire,WJ Durston,ntb00001,3.0
Derbyshire,S Chanderpaul,ntb00001,4.0
Derbyshire,MJ North,ntb00001,5.0
Derbyshire,GD Cross,ntb00001,6.0
Derbyshire,JL Clare,ntb00001,7.0
Derbyshire,TD Groenewald,ntb00001,8.0
Derbyshire,WL Madsen,ntb00001,9.0
Derbyshire,SL Elstone,ntb00001,
Derbyshire,MHA Footitt,ntb00001,
Nottinghamshire,AD Hales,ntb00002,1.0
Nottinghamshire,MJ Lumb,ntb00002,2.0
Nottinghamshire,JWA Taylor,ntb00002,3.0
Nottinghamshire,SR Patel,ntb00002,4.0
Nottinghamshire,MH Wessels,ntb00002,5.0
Nottinghamshire,CMW Read,ntb00002,6.0
Nottinghamshire,SJ Mullaney,ntb00002,7.0
Nottinghamshire,SKW Wood,ntb00002,
Nottinghamshire,A Shahzad,ntb00002,
Nottinghamshire,A Carter,ntb00002,
Nottinghamshire,HF Gurney,ntb00002,
Lancashire,TC Smith,ntb00002,1.0
Lancashire,KR Brown,ntb00002,2.0
Lancashire,SJ Croft,ntb00002,3.0
Lancashire,JC Buttler,ntb00002,4.0
Lancashire,PJ Horton,ntb00002,5.0
Lancashire,J Clark,ntb00002,6.0
Lancashire,WA White,ntb00002,7.0
Lancashire,Kabir Ali,ntb00002,8.0
Lancashire,AM Lilley,ntb00002,9.0
Lancashire,SD Parry,ntb00002,10.0
Lancashire,JM Anderson,ntb00002,11.0
Durham,P Mustard,ntb00003,1.0
Durham,MD Stoneman,ntb00003,2.0
Durham,CS MacLeod,ntb00003,3.0
Durham,SG Borthwick,ntb00003,4.0
Durham,PD Collingwood,ntb00003,5.0
Durham,GJ Muchall,ntb00003,6.0
Durham,GR Breese,ntb00003,
Durham,MA Wood,ntb00003,
Durham,U Arshad,ntb00003,
Durham,C Rushworth,ntb00003,
Durham,RD Pringle,ntb00003,
Worcestershire,MM Ali,ntb00003,1.0
Worcestershire,RK Oliver,ntb00003,2.0
Worcestershire,DKH Mitchell,ntb00003,3.0
Worcestershire,C Munro,ntb00003,4.0
Worcestershire,AN Kervezee,ntb00003,5.0
Worcestershire,T Kohler-Cadmore,ntb00003,6.0
Worcestershire,RA Whiteley,ntb00003,7.0
Worcestershire,OB Cox,ntb00003,8.0
Worcestershire,JD Shantry,ntb00003,9.0
Worcestershire,Saeed Ajmal,ntb00003,10.0
Worcestershire,CAJ Morris,ntb00003,11.0
Glamorgan,J Allenby,ntb00004,1.0
Glamorgan,JA Rudolph,ntb00004,2.0
Glamorgan,MA Wallace,ntb00004,3.0
Glamorgan,MW Goodwin,ntb00004,4.0
Glamorgan,CB Cooke,ntb00004,5.0
Glamorgan,BJ Wright,ntb00004,6.0
Glamorgan,GG Wagg,ntb00004,7.0
Glamorgan,RAJ Smith,ntb00004,8.0
Glamorgan,AG Salter,ntb00004,9.0
Glamorgan,DA Cosker,ntb00004,
Glamorgan,WT Owen,ntb00004,
Hampshire,JM Vince,ntb00004,1.0
Hampshire,MA Carberry,ntb00004,2.0
Hampshire,JHK Adams,ntb00004,3.0
Hampshire,LA Dawson,ntb00004,4.0
Hampshire,SM Ervine,ntb00004,5.0
Hampshire,MT Coles,ntb00004,6.0
Hampshire,WR Smith,ntb00004,7.0
Hampshire,JS Gatting,ntb00004,8.0
Hampshire,MD Bates,ntb00004,9.0
Hampshire,KJ Abbott,ntb00004,
Hampshire,DR Briggs,ntb00004,
Yorkshire,AW Gale,ntb00005,1.0
Yorkshire,KS Williamson,ntb00005,2.0
Yorkshire,JE Root,ntb00005,3.0
Yorkshire,GS Ballance,ntb00005,4.0
Yorkshire,JM Bairstow,ntb00005,5.0
Yorkshire,AU Rashid,ntb00005,6.0
Yorkshire,TT Bresnan,ntb00005,7.0
Yorkshire,LE Plunkett,ntb00005,8.0
Yorkshire,RM Pyrah,ntb00005,9.0
Yorkshire,RJ Sidebottom,ntb00005,
Yorkshire,JA Brooks,ntb00005,
Northamptonshire,RE Levi,ntb00005,1.0
Northamptonshire,DJ Willey,ntb00005,2.0
Northamptonshire,KJ Coetzer,ntb00005,3.0
Northamptonshire,RI Newton,ntb00005,4.0
Northamptonshire,SP Crook,ntb00005,5.0
Northamptonshire,BM Duckett,ntb00005,6.0
Northamptonshire,IG Butler,ntb00005,7.0
Northamptonshire,MNW Spriegel,ntb00005,8.0
Northamptonshire,GG White,ntb00005,9.0
Northamptonshire,Azharullah,ntb00005,
Northamptonshire,OP Stone,ntb00005,
Middlesex,DJ Malan,ntb00006,1.0
Middlesex,PR Stirling,ntb00006,2.0
Middlesex,EJG Morgan,ntb00006,3.0
Middlesex,JL Denly,ntb00006,4.0
Middlesex,DT Christian,ntb00006,5.0
Middlesex,A Balbirnie,ntb00006,6.0
Middlesex,JA Simpson,ntb00006,7.0
Middlesex,OP Rayner,ntb00006,
Middlesex,TS Roland-Jones,ntb00006,
Middlesex,JAR Harris,ntb00006,
Middlesex,RH Patel,ntb00006,
Essex,ML Pettini,ntb00006,1.0
Essex,AN Cook,ntb00006,2.0
Essex,JD Ryder,ntb00006,3.0
Essex,RS Bopara,ntb00006,4.0
Essex,BT Foakes,ntb00006,
Essex,JS Foster,ntb00006,
Essex,GM Smith,ntb00006,
Essex,GR Napier,ntb00006,
Essex,OJ Newby,ntb00006,
Essex,MS Panesar,ntb00006,
Essex,RJW Topley,ntb00006,
Sussex,MW Machan,ntb00007,1.0
Sussex,LJ Wright,ntb00007,2.0
Sussex,EC Joyce,ntb00007,3.0
Sussex,RJ Hamilton-Brown,ntb00007,4.0
Sussex,Ashar Zaidi,ntb00007,5.0
Sussex,MH Yardy,ntb00007,6.0
Sussex,BC Brown,ntb00007,7.0
Sussex,CJ Jordan,ntb00007,8.0
Sussex,Yasir Arafat,ntb00007,9.0
Sussex,SA Piolet,ntb00007,10.0
Sussex,WAT Beer,ntb00007,11.0
Middlesex,PR Stirling,ntb00007,1.0
Middlesex,DJ Malan,ntb00007,2.0
Middlesex,EJG Morgan,ntb00007,3.0
Middlesex,JL Denly,ntb00007,4.0
Middlesex,DT Christian,ntb00007,5.0
Middlesex,A Balbirnie,ntb00007,6.0
Middlesex,JA Simpson,ntb00007,7.0
Middlesex,OP Rayner,ntb00007,8.0
Middlesex,TS Roland-Jones,ntb00007,
Middlesex,JAR Harris,ntb00007,
Middlesex,RH Patel,ntb00007,
Lancashire,TC Smith,ntb00008,1.0
Lancashire,KR Brown,ntb00008,2.0
Lancashire,SJ Croft,ntb00008,3.0
Lancashire,PJ Horton,ntb00008,4.0
Lancashire,JC Buttler,ntb00008,5.0
Lancashire,J Clark,ntb00008,
Lancashire,AM Lilley,ntb00008,
Lancashire,AL Davies,ntb00008,
Lancashire,SD Parry,ntb00008,
Lancashire,JM Anderson,ntb00008,
Lancashire,Junaid Khan,ntb00008,
Worcestershire,MM Ali,ntb00008,1.0
Worcestershire,RK Oliver,ntb00008,2.0
Worcestershire,T Kohler-Cadmore,ntb00008,3.0
Worcestershire,C Munro,ntb00008,4.0
Worcestershire,DKH Mitchell,ntb00008,5.0
Worcestershire,AN Kervezee,ntb00008,6.0
Worcestershire,RA Whiteley,ntb00008,7.0
Worcestershire,OB Cox,ntb00008,
Worcestershire,JD Shantry,ntb00008,
Worcestershire,Saeed Ajmal,ntb00008,
Worcestershire,CAJ Morris,ntb00008,
Surrey,GC Smith,ntb00009,1.0
Surrey,JJ Roy,ntb00009,2.0
Surrey,SM Davies,ntb00009,3.0
Surrey,GC Wilson,ntb00009,4.0
Surrey,KJ O'Brien,ntb00009,5.0
Surrey,Azhar Mahmood,ntb00009,6.0
Surrey,RJ Peterson,ntb00009,7.0
Surrey,ZS Ansari,ntb00009,8.0
Surrey,A Kapil,ntb00009,
Surrey,TK Curran,ntb00009,
Surrey,JW Dernbach,ntb00009,
Somerset,ME Trescothick,ntb00009,1.0
Somerset,C Kieswetter,ntb00009,2.0
Somerset,PD Trego,ntb00009,3.0
Somerset,AN Petersen,ntb00009,4.0
Somerset,JC Hildreth,ntb00009,5.0
Somerset,NRD Compton,ntb00009,6.0
Somerset,L Gregory,ntb00009,7.0
Somerset,AC Thomas,ntb00009,8.0
Somerset,MTC Waller,ntb00009,
Somerset,GH Dockrell,ntb00009,
Somerset,DP Nannes,ntb00009,
Leicestershire,JJ Cobb,ntb00010,1.0
Leicestershire,NJ O'Brien,ntb00010,2.0
Leicestershire,GP Smith,ntb00010,3.0
Leicestershire,SB Styris,ntb00010,4.0
Leicestershire,TJ Wells,ntb00010,5.0
Leicestershire,RML Taylor,ntb00010,6.0
Leicestershire,EJH Eckersley,ntb00010,
Leicestershire,MA Thornely,ntb00010,
Leicestershire,AJ Ireland,ntb00010,
Leicestershire,NL Buck,ntb00010,
Leicestershire,ACF Wyatt,ntb00010,
Northamptonshire,RE Levi,ntb00010,1.0
Northamptonshire,DJ Willey,ntb00010,2.0
Northamptonshire,KJ Coetzer,ntb00010,3.0
Northamptonshire,RI Newton,ntb00010,4.0
Northamptonshire,SP Crook,ntb00010,5.0
Northamptonshire,BM Duckett,ntb00010,6.0
Northamptonshire,IG Butler,ntb00010,7.0
Northamptonshire,MNW Spriegel,ntb00010,8.0
Northamptonshire,GG White,ntb00010,9.0
Northamptonshire,OP Stone,ntb00010,10.0
Northamptonshire,Azharullah,ntb00010,
Hampshire,JM Vince,ntb00011,1.0
Hampshire,JHK Adams,ntb00011,2.0
Hampshire,AJA Wheater,ntb00011,3.0
Hampshire,OA Shah,ntb00011,4.0
Hampshire,SM Ervine,ntb00011,5.0
Hampshire,MT Coles,ntb00011,6.0
Hampshire,WR Smith,ntb00011,7.0
Hampshire,CP Wood,ntb00011,
Hampshire,BJ Taylor,ntb00011,
Hampshire,KJ Abbott,ntb00011,
Hampshire,DR Briggs,ntb00011,
Sussex,MW Machan,ntb00011,1.0
Sussex,LJ Wright,ntb00011,2.0
Sussex,EC Joyce,ntb00011,3.0
Sussex,RJ Hamilton-Brown,ntb00011,4.0
Sussex,BC Brown,ntb00011,5.0
Sussex,Ashar Zaidi,ntb00011,6.0
