team_1,team_2,key
Leicestershire,Derbyshire,ntb00001
Nottinghamshire,Lancashire,ntb00002
Durham,Worcestershire,ntb00003
Glamorgan,Hampshire,ntb00004
Yorkshire,Northamptonshire,ntb00005
Middlesex,Essex,ntb00006
Sussex,Middlesex,ntb00007
Lancashire,Worcestershire,ntb00008
Surrey,Somerset,ntb00009
Leicestershire,Northamptonshire,ntb00010
Hampshire,Sussex,ntb00011
Lancashire,Derbyshire,ntb00012
Glamorgan,Essex,ntb00013
Middlesex,Gloucestershire,ntb00014
Worcestershire,Nottinghamshire,ntb00015
Kent,Somerset,ntb00016
Hampshire,Middlesex,ntb00017
Lancashire,Durham,ntb00018
Essex,Hampshire,ntb00019
Lancashire,Warwickshire,ntb00020
Derbyshire,Yorkshire,ntb00021
Northamptonshire,Worcestershire,ntb00022
Sussex,Glamorgan,ntb00023
Durham,Nottinghamshire,ntb00024
Kent,Gloucestershire,ntb00025
Middlesex,Surrey,ntb00026
Warwickshire,Leicestershire,ntb00027
Hampshire,Kent,ntb00028
Kent,Middlesex,ntb00029
Derbyshire,Nottinghamshire,ntb00030
Gloucestershire,Sussex,ntb00031
Leicestershire,Worcestershire,ntb00032
Lancashire,Yorkshire,ntb00033
Glamorgan,Somerset,ntb00034
Surrey,Essex,ntb00035
Durham,Worcestershire,ntb00036
Gloucestershire,Glamorgan,ntb00037
Kent,Essex,ntb00038
Warwickshire,Nottinghamshire,ntb00039
Somerset,Hampshire,ntb00040
Glamorgan,Kent,ntb00041
Sussex,Surrey,ntb00042
Lancashire,Leicestershire,ntb00043
Worcestershire,Derbyshire,ntb00044
Gloucestershire,Essex,ntb00045
Yorkshire,Northamptonshire,ntb00046
Somerset,Sussex,ntb00047
Somerset,Middlesex,ntb00048
Northamptonshire,Warwickshire,ntb00049
Nottinghamshire,Leicestershire,ntb00050
Surrey,Glamorgan,ntb00051
Hampshire,Gloucestershire,ntb00052
Sussex,Kent,ntb00053
Nottinghamshire,Derbyshire,ntb00054
Durham,Leicestershire,ntb00055
Middlesex,Essex,ntb00056
Warwickshire,Worcestershire,ntb00057
Lancashire,Northamptonshire,ntb00058
Hampshire,Glamorgan,ntb00059
Gloucestershire,Middlesex,ntb00060
Somerset,Essex,ntb00061
Durham,Northamptonshire,ntb00062
Hampshire,Surrey,ntb00063
Middlesex,Sussex,ntb00064
Kent,Gloucestershire,ntb00065
Warwickshire,Derbyshire,ntb00066
Nottinghamshire,Yorkshire,ntb00067
Derbyshire,Durham,ntb00068
Yorkshire,Leicestershire,ntb00069
Kent,Surrey,ntb00070
Durham,Yorkshire,ntb00071
Northamptonshire,Warwickshire,ntb00072
Middlesex,Glamorgan,ntb00073
Northamptonshire,Leicestershire,ntb00074
Surrey,Essex,ntb00075
Hampshire,Kent,ntb00076
Gloucestershire,Sussex,ntb00077
Somerset,Hampshire,ntb00078
Lancashire,Worcestershire,ntb00079
Derbyshire,Leicestershire,ntb00080
