decision,winner,key
field,Lancashire,ntb00001
field,Hampshire,ntb00002
bat,Yorkshire,ntb00003
field,Derbyshire,ntb00004
field,Worcestershire,ntb00005
field,Middlesex,ntb00006
bat,Lancashire,ntb00007
field,Essex,ntb00008
field,Somerset,ntb00009
field,Nottinghamshire,ntb00010
field,Somerset,ntb00011
field,Northamptonshire,ntb00012
bat,Hampshire,ntb00013
field,Derbyshire,ntb00014
field,Essex,ntb00015
field,Gloucestershire,ntb00016
field,Middlesex,ntb00017
bat,Lancashire,ntb00018
field,Hampshire,ntb00019
bat,Lancashire,ntb00020
field,Surrey,ntb00021
bat,Derbyshire,ntb00022
field,Glamorgan,ntb00023
field,Nottinghamshire,ntb00024
bat,Northamptonshire,ntb00025
bat,Kent,ntb00026
field,Leicestershire,ntb00027
bat,Hampshire,ntb00028
bat,Lancashire,ntb00029
bat,Glamorgan,ntb00030
field,Essex,ntb00031
field,Sussex,ntb00032
bat,Leicestershire,ntb00033
bat,Derbyshire,ntb00034
bat,Kent,ntb00035
field,Worcestershire,ntb00036
bat,Gloucestershire,ntb00037
bat,Kent,ntb00038
bat,Lancashire,ntb00039
field,Derbyshire,ntb00040
field,Surrey,ntb00041
field,Essex,ntb00042
field,Kent,ntb00043
bat,Warwickshire,ntb00044
bat,Yorkshire,ntb00045
field,Hampshire,ntb00046
field,Sussex,ntb00047
bat,Somerset,ntb00048
field,Leicestershire,ntb00049
field,Warwickshire,ntb00050
bat,Hampshire,ntb00051
bat,Sussex,ntb00052
field,Essex,ntb00053
field,Leicestershire,ntb00054
field,Glamorgan,ntb00055
field,Derbyshire,ntb00056
bat,Lancashire,ntb00057
field,Worcestershire,ntb00058
field,Glamorgan,ntb00059
bat,Gloucestershire,ntb00060
field,Derbyshire,ntb00061
field,Gloucestershire,ntb00062
field,Sussex,ntb00063
bat,Durham,ntb00064
field,Essex,ntb00065
field,Surrey,ntb00066
bat,Nottinghamshire,ntb00067
field,Durham,ntb00068
field,Leicestershire,ntb00069
field,Surrey,ntb00070
bat,Durham,ntb00071
bat,Middlesex,ntb00072
field,Warwickshire,ntb00073
field,Sussex,ntb00074
field,Essex,ntb00075
field,Leicestershire,ntb00076
field,Kent,ntb00077
bat,Somerset,ntb00078
field,Worcestershire,ntb00079
field,Leicestershire,ntb00080
field,Warwickshire,ntb00081
field,Hampshire,ntb00082
field,Warwickshire,ntb00083
bat,Lancashire,ntb00084
field,Durham,ntb00085
field,Surrey,ntb00086
field,Gloucestershire,ntb00087
field,Sussex,ntb00088
field,Northamptonshire,ntb00089
field,Kent,ntb00090
field,Derbyshire,ntb00091
bat,Glamorgan,ntb00092
field,Surrey,ntb00093
field,Essex,ntb00094
bat,Worcestershire,ntb00095
bat,Yorkshire,ntb00096
field,Leicestershire,ntb00097
field,Gloucestershire,ntb00098
bat,Kent,ntb00099
bat,Hampshire,ntb00100
bat,Lancashire,ntb00101
bat,Nottinghamshire,ntb00102
field,Gloucestershire,ntb00103
field,Hampshire,ntb00104
bat,Nottinghamshire,ntb00105
