name,match_number,key,stage
Pakistan Super League,1.0,psl00001,nan
Pakistan Super League,2.0,psl00002,nan
Pakistan Super League,3.0,psl00003,nan
Pakistan Super League,4.0,psl00004,nan
Pakistan Super League,5.0,psl00005,nan
Pakistan Super League,6.0,psl00006,nan
Pakistan Super League,7.0,psl00007,nan
Pakistan Super League,8.0,psl00008,nan
Pakistan Super League,9.0,psl00009,nan
Pakistan Super League,11.0,psl00010,nan
Pakistan Super League,12.0,psl00011,nan
Pakistan Super League,13.0,psl00012,nan
Pakistan Super League,15.0,psl00013,nan
Pakistan Super League,14.0,psl00014,nan
Pakistan Super League,16.0,psl00015,nan
Pakistan Super League,17.0,psl00016,nan
Pakistan Super League,18.0,psl00017,nan
Pakistan Super League,19.0,psl00018,nan
Pakistan Super League,20.0,psl00019,nan
Pakistan Super League,,psl00020,Qualifier 1
Pakistan Super League,,psl00021,Qualifier 2
Pakistan Super League,,psl00022,Qualifier 3
Pakistan Super League,,psl00023,Final
Pakistan Super League,1.0,psl00024,nan
Pakistan Super League,2.0,psl00025,nan
Pakistan Super League,3.0,psl00026,nan
Pakistan Super League,4.0,psl00027,nan
Pakistan Super League,5.0,psl00028,nan
Pakistan Super League,6.0,psl00029,nan
Pakistan Super League,7.0,psl00030,nan
Pakistan Super League,8.0,psl00031,nan
Pakistan Super League,9.0,psl00032,nan
Pakistan Super League,10.0,psl00033,nan
Pakistan Super League,12.0,psl00034,nan
Pakistan Super League,11.0,psl00035,nan
Pakistan Super League,13.0,psl00036,nan
Pakistan Super League,14.0,psl00037,nan
Pakistan Super League,15.0,psl00038,nan
Pakistan Super League,16.0,psl00039,nan
Pakistan Super League,17.0,psl00040,nan
Pakistan Super League,18.0,psl00041,nan
Pakistan Super League,19.0,psl00042,nan
Pakistan Super League,20.0,psl00043,nan
Pakistan Super League,,psl00044,Qualifier 1
Pakistan Super League,,psl00045,Qualifier 2
Pakistan Super League,,psl00046,Qualifier 3
Pakistan Super League,,psl00047,Final
Pakistan Super League,1.0,psl00048,nan
Pakistan Super League,2.0,psl00049,nan
Pakistan Super League,3.0,psl00050,nan
Pakistan Super League,5.0,psl00051,nan
Pakistan Super League,4.0,psl00052,nan
Pakistan Super League,7.0,psl00053,nan
Pakistan Super League,6.0,psl00054,nan
Pakistan Super League,8.0,psl00055,nan
Pakistan Super League,9.0,psl00056,nan
Pakistan Super League,10.0,psl00057,nan
Pakistan Super League,12.0,psl00058,nan
Pakistan Super League,14.0,psl00059,nan
Pakistan Super League,13.0,psl00060,nan
Pakistan Super League,15.0,psl00061,nan
Pakistan Super League,16.0,psl00062,nan
Pakistan Super League,17.0,psl00063,nan
Pakistan Super League,18.0,psl00064,nan
Pakistan Super League,19.0,psl00065,nan
Pakistan Super League,20.0,psl00066,nan
Pakistan Super League,21.0,psl00067,nan
Pakistan Super League,23.0,psl00068,nan
Pakistan Super League,22.0,psl00069,nan
Pakistan Super League,24.0,psl00070,nan
Pakistan Super League,25.0,psl00071,nan
Pakistan Super League,26.0,psl00072,nan
Pakistan Super League,27.0,psl00073,nan
Pakistan Super League,28.0,psl00074,nan
Pakistan Super League,29.0,psl00075,nan
Pakistan Super League,30.0,psl00076,nan
Pakistan Super League,,psl00077,Qualifier
Pakistan Super League,,psl00078,Eliminator
Pakistan Super League,,psl00079,Eliminator
Pakistan Super League,,psl00080,Final
Pakistan Super League,1.0,psl00081,nan
Pakistan Super League,2.0,psl00082,nan
Pakistan Super League,3.0,psl00083,nan
Pakistan Super League,5.0,psl00084,nan
Pakistan Super League,4.0,psl00085,nan
Pakistan Super League,7.0,psl00086,nan
Pakistan Super League,6.0,psl00087,nan
Pakistan Super League,8.0,psl00088,nan
Pakistan Super League,9.0,psl00089,nan
Pakistan Super League,10.0,psl00090,nan
Pakistan Super League,11.0,psl00091,nan
Pakistan Super League,13.0,psl00092,nan
Pakistan Super League,12.0,psl00093,nan
Pakistan Super League,14.0,psl00094,nan
Pakistan Super League,15.0,psl00095,nan
Pakistan Super League,16.0,psl00096,nan
Pakistan Super League,17.0,psl00097,nan
Pakistan Super League,18.0,psl00098,nan
Pakistan Super League,19.0,psl00099,nan
Pakistan Super League,20.0,psl00100,nan
Pakistan Super League,21.0,psl00101,nan
Pakistan Super League,22.0,psl00102,nan
Pakistan Super League,24.0,psl00103,nan
Pakistan Super League,23.0,psl00104,nan
Pakistan Super League,25.0,psl00105,nan
Pakistan Super League,26.0,psl00106,nan
Pakistan Super League,27.0,psl00107,nan
Pakistan Super League,28.0,psl00108,nan
Pakistan Super League,30.0,psl00109,nan
Pakistan Super League,29.0,psl00110,nan
Pakistan Super League,,psl00111,Qualifier
Pakistan Super League,,psl00112,Eliminator
Pakistan Super League,,psl00113,Eliminator
Pakistan Super League,,psl00114,Final
Pakistan Super League,1.0,psl00115,nan
Pakistan Super League,2.0,psl00116,nan
Pakistan Super League,3.0,psl00117,nan
Pakistan Super League,4.0,psl00118,nan
Pakistan Super League,5.0,psl00119,nan
Pakistan Super League,6.0,psl00120,nan
Pakistan Super League,7.0,psl00121,nan
Pakistan Super League,8.0,psl00122,nan
Pakistan Super League,9.0,psl00123,nan
Pakistan Super League,11.0,psl00124,nan
Pakistan Super League,10.0,psl00125,nan
Pakistan Super League,12.0,psl00126,nan
Pakistan Super League,14.0,psl00127,nan
Pakistan Super League,15.0,psl00128,nan
Pakistan Super League,16.0,psl00129,nan
Pakistan Super League,17.0,psl00130,nan
Pakistan Super League,18.0,psl00131,nan
Pakistan Super League,19.0,psl00132,nan
Pakistan Super League,20.0,psl00133,nan
Pakistan Super League,21.0,psl00134,nan
Pakistan Super League,22.0,psl00135,nan
Pakistan Super League,23.0,psl00136,nan
Pakistan Super League,24.0,psl00137,nan
Pakistan Super League,26.0,psl00138,nan
Pakistan Super League,27.0,psl00139,nan
Pakistan Super League,28.0,psl00140,nan
Pakistan Super League,29.0,psl00141,nan
Pakistan Super League,30.0,psl00142,nan
Pakistan Super League,,psl00143,Qualifier
Pakistan Super League,,psl00144,Eliminator
Pakistan Super League,,psl00145,Eliminator
Pakistan Super League,,psl00146,Final
Pakistan Super League,1.0,psl00147,nan
Pakistan Super League,2.0,psl00148,nan
Pakistan Super League,3.0,psl00149,nan
Pakistan Super League,4.0,psl00150,nan
Pakistan Super League,5.0,psl00151,nan
Pakistan Super League,6.0,psl00152,nan
Pakistan Super League,7.0,psl00153,nan
Pakistan Super League,8.0,psl00154,nan
Pakistan Super League,9.0,psl00155,nan
Pakistan Super League,10.0,psl00156,nan
Pakistan Super League,11.0,psl00157,nan
Pakistan Super League,12.0,psl00158,nan
Pakistan Super League,13.0,psl00159,nan
Pakistan Super League,14.0,psl00160,nan
Pakistan Super League,15.0,psl00161,nan
Pakistan Super League,16.0,psl00162,nan
Pakistan Super League,17.0,psl00163,nan
Pakistan Super League,18.0,psl00164,nan
Pakistan Super League,19.0,psl00165,nan
Pakistan Super League,20.0,psl00166,nan
Pakistan Super League,21.0,psl00167,nan
Pakistan Super League,22.0,psl00168,nan
Pakistan Super League,23.0,psl00169,nan
Pakistan Super League,24.0,psl00170,nan
Pakistan Super League,25.0,psl00171,nan
Pakistan Super League,26.0,psl00172,nan
Pakistan Super League,27.0,psl00173,nan
Pakistan Super League,28.0,psl00174,nan
Pakistan Super League,30.0,psl00175,nan
Pakistan Super League,29.0,psl00176,nan
Pakistan Super League,,psl00177,Qualifier
Pakistan Super League,,psl00178,Eliminator
Pakistan Super League,,psl00179,Eliminator
Pakistan Super League,,psl00180,Final
Pakistan Super League,1.0,psl00181,nan
Pakistan Super League,2.0,psl00182,nan
Pakistan Super League,3.0,psl00183,nan
Pakistan Super League,4.0,psl00184,nan
Pakistan Super League,5.0,psl00185,nan
Pakistan Super League,6.0,psl00186,nan
Pakistan Super League,7.0,psl00187,nan
Pakistan Super League,8.0,psl00188,nan
Pakistan Super League,9.0,psl00189,nan
Pakistan Super League,10.0,psl00190,nan
Pakistan Super League,11.0,psl00191,nan
Pakistan Super League,12.0,psl00192,nan
Pakistan Super League,13.0,psl00193,nan
Pakistan Super League,14.0,psl00194,nan
Pakistan Super League,15.0,psl00195,nan
Pakistan Super League,16.0,psl00196,nan
Pakistan Super League,17.0,psl00197,nan
Pakistan Super League,18.0,psl00198,nan
Pakistan Super League,19.0,psl00199,nan
Pakistan Super League,20.0,psl00200,nan
Pakistan Super League,21.0,psl00201,nan
Pakistan Super League,22.0,psl00202,nan
Pakistan Super League,23.0,psl00203,nan
Pakistan Super League,24.0,psl00204,nan
Pakistan Super League,26.0,psl00205,nan
Pakistan Super League,25.0,psl00206,nan
Pakistan Super League,27.0,psl00207,nan
Pakistan Super League,28.0,psl00208,nan
Pakistan Super League,29.0,psl00209,nan
Pakistan Super League,30.0,psl00210,nan
Pakistan Super League,,psl00211,Qualifier
Pakistan Super League,,psl00212,Eliminator
Pakistan Super League,,psl00213,Eliminator
Pakistan Super League,,psl00214,Final
Pakistan Super League,1.0,psl00215,nan
Pakistan Super League,2.0,psl00216,nan
Pakistan Super League,3.0,psl00217,nan
Pakistan Super League,4.0,psl00218,nan
Pakistan Super League,5.0,psl00219,nan
Pakistan Super League,6.0,psl00220,nan
Pakistan Super League,7.0,psl00221,nan
Pakistan Super League,8.0,psl00222,nan
Pakistan Super League,9.0,psl00223,nan
Pakistan Super League,10.0,psl00224,nan
Pakistan Super League,11.0,psl00225,nan
Pakistan Super League,12.0,psl00226,nan
Pakistan Super League,13.0,psl00227,nan
Pakistan Super League,14.0,psl00228,nan
Pakistan Super League,15.0,psl00229,nan
Pakistan Super League,16.0,psl00230,nan
Pakistan Super League,17.0,psl00231,nan
Pakistan Super League,18.0,psl00232,nan
Pakistan Super League,19.0,psl00233,nan
Pakistan Super League,20.0,psl00234,nan
Pakistan Super League,21.0,psl00235,nan
Pakistan Super League,22.0,psl00236,nan
Pakistan Super League,24.0,psl00237,nan
Pakistan Super League,23.0,psl00238,nan
Pakistan Super League,25.0,psl00239,nan
Pakistan Super League,26.0,psl00240,nan
Pakistan Super League,27.0,psl00241,nan
Pakistan Super League,28.0,psl00242,nan
Pakistan Super League,30.0,psl00243,nan
Pakistan Super League,29.0,psl00244,nan
Pakistan Super League,,psl00245,Qualifier
Pakistan Super League,,psl00246,Eliminator
Pakistan Super League,,psl00247,Eliminator
Pakistan Super League,,psl00248,Final
Pakistan Super League,1.0,psl00249,nan
Pakistan Super League,3.0,psl00250,nan
Pakistan Super League,2.0,psl00251,nan
Pakistan Super League,4.0,psl00252,nan
Pakistan Super League,5.0,psl00253,nan
Pakistan Super League,7.0,psl00254,nan
Pakistan Super League,6.0,psl00255,nan
Pakistan Super League,8.0,psl00256,nan
Pakistan Super League,9.0,psl00257,nan
Pakistan Super League,10.0,psl00258,nan
Pakistan Super League,11.0,psl00259,nan
Pakistan Super League,12.0,psl00260,nan
Pakistan Super League,13.0,psl00261,nan
Pakistan Super League,14.0,psl00262,nan
Pakistan Super League,15.0,psl00263,nan
Pakistan Super League,16.0,psl00264,nan
Pakistan Super League,19.0,psl00265,nan
Pakistan Super League,20.0,psl00266,nan
Pakistan Super League,21.0,psl00267,nan
Pakistan Super League,23.0,psl00268,nan
Pakistan Super League,22.0,psl00269,nan
Pakistan Super League,24.0,psl00270,nan
Pakistan Super League,25.0,psl00271,nan
Pakistan Super League,26.0,psl00272,nan
Pakistan Super League,28.0,psl00273,nan
Pakistan Super League,27.0,psl00274,nan
Pakistan Super League,29.0,psl00275,nan
Pakistan Super League,30.0,psl00276,nan
Pakistan Super League,,psl00277,Qualifier
Pakistan Super League,,psl00278,Eliminator
Pakistan Super League,,psl00279,Eliminator
Pakistan Super League,,psl00280,Final
