balls_per_over,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,city,missing
6,2016-02-04,male,T20,20,Mohammad Nawaz (3),2015/16,club,Dubai International Cricket Stadium,psl00001,,
6,2016-02-05,male,T20,20,Shakib Al Hasan,2015/16,club,Dubai International Cricket Stadium,psl00002,,
6,2016-02-05,male,T20,20,Mohammad Asghar,2015/16,club,Dubai International Cricket Stadium,psl00003,,
6,2016-02-06,male,T20,20,Ahmed Shehzad,2015/16,club,Dubai International Cricket Stadium,psl00004,,
6,2016-02-06,male,T20,20,Tamim Iqbal,2015/16,club,Dubai International Cricket Stadium,psl00005,,
6,2016-02-07,male,T20,20,Saeed Ajmal,2015/16,club,Dubai International Cricket Stadium,psl00006,,
6,2016-02-07,male,T20,20,Mohammad Nawaz (3),2015/16,club,Dubai International Cricket Stadium,psl00007,,
6,2016-02-08,male,T20,20,Umar Akmal,2015/16,club,Dubai International Cricket Stadium,psl00008,,
6,2016-02-10,male,T20,20,Sharjeel Khan,2015/16,club,Sharjah Cricket Stadium,psl00009,,
6,2016-02-11,male,T20,20,GD Elliott,2015/16,club,Sharjah Cricket Stadium,psl00010,,
6,2016-02-12,male,T20,20,RS Bopara,2015/16,club,Sharjah Cricket Stadium,psl00011,,
6,2016-02-12,male,T20,20,Tamim Iqbal,2015/16,club,Sharjah Cricket Stadium,psl00012,,
6,2016-02-13,male,T20,20,CS Delport,2015/16,club,Sharjah Cricket Stadium,psl00013,,
6,2016-02-13,male,T20,20,GD Elliott,2015/16,club,Sharjah Cricket Stadium,psl00014,,
6,2016-02-14,male,T20,20,Imran Khalid,2015/16,club,Sharjah Cricket Stadium,psl00015,,
6,2016-02-14,male,T20,20,Shahid Afridi,2015/16,club,Sharjah Cricket Stadium,psl00016,,
6,2016-02-16,male,T20,20,Bismillah Khan,2015/16,club,Dubai International Cricket Stadium,psl00017,,
6,2016-02-17,male,T20,20,BJ Hodge,2015/16,club,Dubai International Cricket Stadium,psl00018,,
6,2016-02-17,male,T20,20,Mohammad Irfan,2015/16,club,Dubai International Cricket Stadium,psl00019,,
6,2016-02-19,male,T20,20,Mohammad Nawaz (3),2015/16,club,Dubai International Cricket Stadium,psl00020,,
6,2016-02-20,male,T20,20,Mohammad Sami,2015/16,club,Dubai International Cricket Stadium,psl00021,,
6,2016-02-21,male,T20,20,Sharjeel Khan,2015/16,club,Dubai International Cricket Stadium,psl00022,,
6,2016-02-23,male,T20,20,DR Smith,2015/16,club,Dubai International Cricket Stadium,psl00023,,
6,2017-02-09,male,T20,20,BJ Haddin,2016/17,club,Dubai International Cricket Stadium,psl00024,,
6,2017-02-10,male,T20,20,Hassan Khan,2016/17,club,Dubai International Cricket Stadium,psl00025,,
6,2017-02-10,male,T20,20,EJG Morgan,2016/17,club,Dubai International Cricket Stadium,psl00026,,
6,2017-02-11,male,T20,20,JJ Roy,2016/17,club,Dubai International Cricket Stadium,psl00027,,
6,2017-02-11,male,T20,20,RR Rossouw,2016/17,club,Dubai International Cricket Stadium,psl00028,,
6,2017-02-12,male,T20,20,Yasir Shah,2016/17,club,Dubai International Cricket Stadium,psl00029,,
6,2017-02-15,male,T20,20,SW Billings,2016/17,club,Sharjah Cricket Stadium,psl00030,,
6,2017-02-16,male,T20,20,Fakhar Zaman,2016/17,club,Sharjah Cricket Stadium,psl00031,,
6,2017-02-17,male,T20,20,,2016/17,club,Sharjah Cricket Stadium,psl00032,,
6,2017-02-17,male,T20,20,Babar Azam,2016/17,club,Sharjah Cricket Stadium,psl00033,,
6,2017-02-18,male,T20,20,Mohammad Sami,2016/17,club,Sharjah Cricket Stadium,psl00034,,
6,2017-02-18,male,T20,20,KP Pietersen,2016/17,club,Sharjah Cricket Stadium,psl00035,,
6,2017-02-19,male,T20,20,Shoaib Malik,2016/17,club,Sharjah Cricket Stadium,psl00036,,
6,2017-02-20,male,T20,20,Umar Akmal,2016/17,club,Sharjah Cricket Stadium,psl00037,,
6,2017-02-23,male,T20,20,Mahmudullah,2016/17,club,Dubai International Cricket Stadium,psl00038,,
