winner,by.wickets,key,by.runs,method,result,eliminator
Quetta Gladiators,8.0,psl00001,,,,
Karachi Kings,7.0,psl00002,,,,
Peshawar Zalmi,,psl00003,24.0,,,
Quetta Gladiators,8.0,psl00004,,,,
Peshawar Zalmi,9.0,psl00005,,,,
Islamabad United,,psl00006,2.0,,,
Quetta Gladiators,3.0,psl00007,,,,
Lahore Qalandars,,psl00008,63.0,,,
Islamabad United,8.0,psl00009,,,,
Quetta Gladiators,7.0,psl00010,,,,
Karachi Kings,,psl00011,27.0,,,
Peshawar Zalmi,7.0,psl00012,,,,
Lahore Qalandars,,psl00013,4.0,,,
Quetta Gladiators,5.0,psl00014,,,,
Islamabad United,5.0,psl00015,,,,
Peshawar Zalmi,8.0,psl00016,,,,
Quetta Gladiators,2.0,psl00017,,,,
Peshawar Zalmi,5.0,psl00018,,,,
Islamabad United,5.0,psl00019,,,,
Quetta Gladiators,,psl00020,1.0,,,
Islamabad United,9.0,psl00021,,,,
Islamabad United,,psl00022,50.0,,,
Islamabad United,6.0,psl00023,,,,
Islamabad United,7.0,psl00024,,D/L,,
Quetta Gladiators,,psl00025,8.0,,,
Peshawar Zalmi,7.0,psl00026,,,,
Lahore Qalandars,6.0,psl00027,,,,
Quetta Gladiators,7.0,psl00028,,,,
Peshawar Zalmi,3.0,psl00029,,,,
Islamabad United,5.0,psl00030,,,,
Lahore Qalandars,,psl00031,7.0,,,
,,psl00032,,,no result,
Karachi Kings,,psl00033,8.0,D/L,,
Islamabad United,5.0,psl00034,,,,
Quetta Gladiators,5.0,psl00035,,,,
Karachi Kings,,psl00036,9.0,,,
Lahore Qalandars,1.0,psl00037,,,,
Quetta Gladiators,6.0,psl00038,,,,
Peshawar Zalmi,,psl00039,17.0,,,
Islamabad United,,psl00040,1.0,,,
Karachi Kings,5.0,psl00041,,,,
Peshawar Zalmi,2.0,psl00042,,,,
Karachi Kings,6.0,psl00043,,,,
Quetta Gladiators,,psl00044,1.0,,,
Karachi Kings,,psl00045,44.0,,,
Peshawar Zalmi,,psl00046,24.0,,,
Peshawar Zalmi,,psl00047,58.0,,,
Multan Sultans,7.0,psl00048,,,,
Karachi Kings,,psl00049,19.0,,,
Multan Sultans,,psl00050,43.0,,,
Quetta Gladiators,9.0,psl00051,,,,
Peshawar Zalmi,,psl00052,34.0,,,
Karachi Kings,5.0,psl00053,,,,
Islamabad United,5.0,psl00054,,,,
Karachi Kings,,psl00055,27.0,,,
Quetta Gladiators,6.0,psl00056,,,,
Peshawar Zalmi,5.0,psl00057,,,,
,,psl00058,,,tie,Islamabad United
Peshawar Zalmi,10.0,psl00059,,,,
Multan Sultans,9.0,psl00060,,,,
Islamabad United,8.0,psl00061,,,,
Multan Sultans,,psl00062,19.0,,,
Quetta Gladiators,2.0,psl00063,,,,
Islamabad United,6.0,psl00064,,,,
Quetta Gladiators,,psl00065,67.0,,,
Lahore Qalandars,6.0,psl00066,,,,
Islamabad United,,psl00067,26.0,,,
Quetta Gladiators,6.0,psl00068,,,,
Karachi Kings,,psl00069,63.0,,,
,,psl00070,,,tie,Lahore Qalandars
Islamabad United,,psl00071,33.0,,,
Lahore Qalandars,,psl00072,17.0,,,
Peshawar Zalmi,,psl00073,44.0,,,
Islamabad United,6.0,psl00074,,,,
Peshawar Zalmi,7.0,psl00075,,,,
Karachi Kings,7.0,psl00076,,,,
Islamabad United,8.0,psl00077,,,,
Peshawar Zalmi,,psl00078,1.0,,,
Peshawar Zalmi,,psl00079,13.0,,,
Islamabad United,3.0,psl00080,,,,
Islamabad United,5.0,psl00081,,,,
Karachi Kings,,psl00082,7.0,,,
Quetta Gladiators,6.0,psl00083,,,,
Lahore Qalandars,,psl00084,22.0,,,
Multan Sultans,5.0,psl00085,,,,
Peshawar Zalmi,7.0,psl00086,,,,
Quetta Gladiators,7.0,psl00087,,,,
Quetta Gladiators,8.0,psl00088,,,,
Peshawar Zalmi,,psl00089,44.0,,,
Lahore Qalandars,6.0,psl00090,,,,
Islamabad United,,psl00091,12.0,,,
Islamabad United,7.0,psl00092,,,,
Quetta Gladiators,3.0,psl00093,,,,
Peshawar Zalmi,5.0,psl00094,,,,
Karachi Kings,6.0,psl00095,,,,
Multan Sultans,6.0,psl00096,,,,
Lahore Qalandars,8.0,psl00097,,,,
Islamabad United,5.0,psl00098,,,,
Peshawar Zalmi,7.0,psl00099,,,,
Karachi Kings,5.0,psl00100,,,,
Peshawar Zalmi,4.0,psl00101,,,,
Quetta Gladiators,6.0,psl00102,,,,
Karachi Kings,5.0,psl00103,,,,
Quetta Gladiators,8.0,psl00104,,,,
Peshawar Zalmi,4.0,psl00105,,,,
Quetta Gladiators,,psl00106,43.0,,,
Islamabad United,,psl00107,49.0,,,
Karachi Kings,,psl00108,1.0,,,
Peshawar Zalmi,,psl00109,61.0,,,
Multan Sultans,7.0,psl00110,,,,
Quetta Gladiators,,psl00111,10.0,,,
Islamabad United,4.0,psl00112,,,,
Peshawar Zalmi,,psl00113,48.0,,,
Quetta Gladiators,8.0,psl00114,,,,
Quetta Gladiators,3.0,psl00115,,,,
Karachi Kings,,psl00116,10.0,,,
Multan Sultans,5.0,psl00117,,,,
Peshawar Zalmi,6.0,psl00118,,,,
Islamabad United,8.0,psl00119,,,,
Quetta Gladiators,5.0,psl00120,,,,
Islamabad United,1.0,psl00121,,,,
Multan Sultans,6.0,psl00122,,,,
Quetta Gladiators,5.0,psl00123,,,,
Peshawar Zalmi,,psl00124,16.0,,,
Multan Sultans,,psl00125,52.0,,,
Multan Sultans,,psl00126,30.0,,,
Karachi Kings,5.0,psl00127,,,,
Karachi Kings,6.0,psl00128,,,,
Lahore Qalandars,,psl00129,37.0,,,
Islamabad United,,psl00130,71.0,,,
Peshawar Zalmi,,psl00131,30.0,,,
,,psl00132,,,no result,
Peshawar Zalmi,,psl00133,7.0,D/L,,
Lahore Qalandars,8.0,psl00134,,,,
Multan Sultans,9.0,psl00135,,,,
Lahore Qalandars,8.0,psl00136,,,,
Lahore Qalandars,5.0,psl00137,,,,
Karachi Kings,10.0,psl00138,,,,
Multan Sultans,,psl00139,3.0,,,
Karachi Kings,4.0,psl00140,,,,
Lahore Qalandars,9.0,psl00141,,,,
Quetta Gladiators,5.0,psl00142,,,,
,,psl00143,,,tie,Karachi Kings
Lahore Qalandars,5.0,psl00144,,,,
Lahore Qalandars,,psl00145,25.0,,,
Karachi Kings,5.0,psl00146,,,,
Karachi Kings,7.0,psl00147,,,,
Lahore Qalandars,4.0,psl00148,,,,
Islamabad United,3.0,psl00149,,,,
Lahore Qalandars,9.0,psl00150,,,,
Peshawar Zalmi,6.0,psl00151,,,,
Islamabad United,5.0,psl00152,,,,
Multan Sultans,7.0,psl00153,,,,
Peshawar Zalmi,3.0,psl00154,,,,
Karachi Kings,7.0,psl00155,,,,
Peshawar Zalmi,6.0,psl00156,,,,
Lahore Qalandars,6.0,psl00157,,,,
Islamabad United,6.0,psl00158,,,,
Karachi Kings,6.0,psl00159,,,,
Quetta Gladiators,,psl00160,22.0,,,
Lahore Qalandars,5.0,psl00161,,,,
Multan Sultans,,psl00162,12.0,,,
Lahore Qalandars,,psl00163,10.0,,,
Islamabad United,10.0,psl00164,,,,
Peshawar Zalmi,,psl00165,61.0,,,
Islamabad United,,psl00166,28.0,,,
Multan Sultans,8.0,psl00167,,,,
Islamabad United,8.0,psl00168,,,,
Quetta Gladiators,,psl00169,18.0,,,
Peshawar Zalmi,6.0,psl00170,,,,
Multan Sultans,,psl00171,110.0,,,
Islamabad United,,psl00172,15.0,,,
Karachi Kings,,psl00173,7.0,,,
Multan Sultans,,psl00174,80.0,,,
Islamabad United,4.0,psl00175,,,,
Karachi Kings,,psl00176,14.0,,,
Multan Sultans,,psl00177,31.0,,,
Peshawar Zalmi,5.0,psl00178,,,,
Peshawar Zalmi,8.0,psl00179,,,,
Multan Sultans,,psl00180,47.0,,,
Multan Sultans,7.0,psl00181,,,,
Peshawar Zalmi,5.0,psl00182,,,,
Multan Sultans,5.0,psl00183,,,,
Quetta Gladiators,8.0,psl00184,,,,
Islamabad United,9.0,psl00185,,,,
Lahore Qalandars,6.0,psl00186,,,,
Multan Sultans,,psl00187,6.0,,,
Multan Sultans,,psl00188,20.0,,,
Lahore Qalandars,,psl00189,29.0,,,
Islamabad United,,psl00190,43.0,,,
Peshawar Zalmi,,psl00191,9.0,,,
Lahore Qalandars,,psl00192,8.0,,,
Multan Sultans,,psl00193,57.0,,,
Islamabad United,,psl00194,42.0,,,
Quetta Gladiators,7.0,psl00195,,,,
Multan Sultans,,psl00196,42.0,,,
Lahore Qalandars,,psl00197,52.0,,,
Quetta Gladiators,5.0,psl00198,,,,
Peshawar Zalmi,,psl00199,55.0,,,
Lahore Qalandars,8.0,psl00200,,,,
Islamabad United,,psl00201,1.0,,,
Peshawar Zalmi,,psl00202,24.0,,,
Multan Sultans,7.0,psl00203,,,,
Peshawar Zalmi,,psl00204,10.0,,,
Karachi Kings,,psl00205,22.0,,,
Multan Sultans,,psl00206,117.0,,,
Lahore Qalandars,,psl00207,66.0,,,
Quetta Gladiators,,psl00208,23.0,,,
Multan Sultans,6.0,psl00209,,,,
,,psl00210,,,tie,Peshawar Zalmi
Multan Sultans,,psl00211,28.0,,,
Islamabad United,5.0,psl00212,,,,
Lahore Qalandars,,psl00213,6.0,,,
Lahore Qalandars,,psl00214,42.0,,,
Lahore Qalandars,,psl00215,1.0,,,
Peshawar Zalmi,,psl00216,2.0,,,
Multan Sultans,9.0,psl00217,,,,
Islamabad United,4.0,psl00218,,,,
Multan Sultans,,psl00219,56.0,,,
Quetta Gladiators,,psl00220,6.0,,,
Multan Sultans,,psl00221,52.0,,,
Karachi Kings,,psl00222,67.0,,,
Peshawar Zalmi,4.0,psl00223,,,,
Lahore Qalandars,,psl00224,63.0,,,
Multan Sultans,,psl00225,3.0,,,
Islamabad United,6.0,psl00226,,,,
Islamabad United,,psl00227,63.0,,,
Karachi Kings,,psl00228,66.0,,,
Lahore Qalandars,,psl00229,40.0,,,
Lahore Qalandars,,psl00230,110.0,,,
Peshawar Zalmi,,psl00231,24.0,,,
Lahore Qalandars,,psl00232,17.0,,,
Islamabad United,6.0,psl00233,,,,
Lahore Qalandars,,psl00234,21.0,,,
Islamabad United,2.0,psl00235,,,,
Quetta Gladiators,4.0,psl00236,,,,
Islamabad United,2.0,psl00237,,,,
Peshawar Zalmi,,psl00238,35.0,,,
Quetta Gladiators,8.0,psl00239,,,,
Lahore Qalandars,,psl00240,119.0,,,
Multan Sultans,4.0,psl00241,,,,
Multan Sultans,,psl00242,9.0,,,
Karachi Kings,,psl00243,86.0,,,
Peshawar Zalmi,,psl00244,13.0,,,
Multan Sultans,,psl00245,84.0,,,
Peshawar Zalmi,,psl00246,12.0,,,
Lahore Qalandars,4.0,psl00247,,,,
