team,name,key,batting_position
Islamabad United,SR Watson,psl00001,1.0
Islamabad United,Sharjeel Khan,psl00001,2.0
Islamabad United,Umar Amin,psl00001,3.0
Islamabad United,Babar Azam,psl00001,4.0
Islamabad United,SW Billings,psl00001,5.0
Islamabad United,Misbah-ul-Haq,psl00001,6.0
Islamabad United,Imran Khalid,psl00001,7.0
Islamabad United,AD Russell,psl00001,8.0
Islamabad United,S Badree,psl00001,9.0
Islamabad United,Mohammad Irfan,psl00001,
Islamabad United,Rumman Raees,psl00001,
Quetta Gladiators,LJ Wright,psl00001,1.0
Quetta Gladiators,Ahmed Shehzad,psl00001,2.0
Quetta Gladiators,KP Pietersen,psl00001,3.0
Quetta Gladiators,Mohammad Nawaz (3),psl00001,4.0
Quetta Gladiators,Sarfraz Ahmed,psl00001,
Quetta Gladiators,Anwar Ali,psl00001,
Quetta Gladiators,Umar Gul,psl00001,
Quetta Gladiators,Zulfiqar Babar,psl00001,
Quetta Gladiators,E Chigumbura,psl00001,
Quetta Gladiators,Mohammad Nabi,psl00001,
Quetta Gladiators,Akbar-ur-Rehman,psl00001,
Lahore Qalandars,CH Gayle,psl00002,1.0
Lahore Qalandars,Azhar Ali,psl00002,2.0
Lahore Qalandars,CS Delport,psl00002,3.0
Lahore Qalandars,Sohaib Maqsood,psl00002,4.0
Lahore Qalandars,Mohammad Rizwan,psl00002,5.0
Lahore Qalandars,DJ Bravo,psl00002,6.0
Lahore Qalandars,Zohaib Khan,psl00002,7.0
Lahore Qalandars,KK Cooper,psl00002,8.0
Lahore Qalandars,Naved Yasin,psl00002,9.0
Lahore Qalandars,Zafar Gohar,psl00002,10.0
Lahore Qalandars,Zia-ul-Haq,psl00002,
Karachi Kings,LMP Simmons,psl00002,1.0
Karachi Kings,Nauman Anwar,psl00002,2.0
Karachi Kings,JM Vince,psl00002,3.0
Karachi Kings,Shakib Al Hasan,psl00002,4.0
Karachi Kings,Shoaib Malik,psl00002,5.0
Karachi Kings,RS Bopara,psl00002,
Karachi Kings,Imad Wasim,psl00002,
Karachi Kings,Iftikhar Ahmed,psl00002,
Karachi Kings,Sohail Tanvir,psl00002,
Karachi Kings,Saifullah Bangash,psl00002,
Karachi Kings,Mohammad Amir,psl00002,
Peshawar Zalmi,Tamim Iqbal,psl00003,1.0
Peshawar Zalmi,Mohammad Hafeez,psl00003,2.0
Peshawar Zalmi,DJ Malan,psl00003,3.0
Peshawar Zalmi,Kamran Akmal,psl00003,4.0
Peshawar Zalmi,Shahid Yousuf,psl00003,5.0
