team_1,team_2,key
Islamabad United,Quetta Gladiators,psl00001
Lahore Qalandars,Karachi Kings,psl00002
Peshawar Zalmi,Islamabad United,psl00003
Karachi Kings,Quetta Gladiators,psl00004
Lahore Qalandars,Peshawar Zalmi,psl00005
Islamabad United,Karachi Kings,psl00006
Peshawar Zalmi,Quetta Gladiators,psl00007
Lahore Qalandars,Quetta Gladiators,psl00008
Lahore Qalandars,Islamabad United,psl00009
Islamabad United,Quetta Gladiators,psl00010
Karachi Kings,Lahore Qalandars,psl00011
Islamabad United,Peshawar Zalmi,psl00012
Lahore Qalandars,Peshawar Zalmi,psl00013
Karachi Kings,Quetta Gladiators,psl00014
Karachi Kings,Islamabad United,psl00015
Quetta Gladiators,Peshawar Zalmi,psl00016
Lahore Qalandars,Quetta Gladiators,psl00017
Karachi Kings,Peshawar Zalmi,psl00018
Lahore Qalandars,Islamabad United,psl00019
Quetta Gladiators,Peshawar Zalmi,psl00020
Karachi Kings,Islamabad United,psl00021
Islamabad United,Peshawar Zalmi,psl00022
Quetta Gladiators,Islamabad United,psl00023
Islamabad United,Peshawar Zalmi,psl00024
Lahore Qalandars,Quetta Gladiators,psl00025
Karachi Kings,Peshawar Zalmi,psl00026
Islamabad United,Lahore Qalandars,psl00027
Karachi Kings,Quetta Gladiators,psl00028
Lahore Qalandars,Peshawar Zalmi,psl00029
Islamabad United,Quetta Gladiators,psl00030
Karachi Kings,Lahore Qalandars,psl00031
Peshawar Zalmi,Quetta Gladiators,psl00032
Islamabad United,Karachi Kings,psl00033
Islamabad United,Peshawar Zalmi,psl00034
Lahore Qalandars,Quetta Gladiators,psl00035
Karachi Kings,Peshawar Zalmi,psl00036
Islamabad United,Lahore Qalandars,psl00037
Karachi Kings,Quetta Gladiators,psl00038
Lahore Qalandars,Peshawar Zalmi,psl00039
Islamabad United,Quetta Gladiators,psl00040
Karachi Kings,Lahore Qalandars,psl00041
Peshawar Zalmi,Quetta Gladiators,psl00042
Islamabad United,Karachi Kings,psl00043
Quetta Gladiators,Peshawar Zalmi,psl00044
Karachi Kings,Islamabad United,psl00045
Peshawar Zalmi,Karachi Kings,psl00046
Peshawar Zalmi,Quetta Gladiators,psl00047
Peshawar Zalmi,Multan Sultans,psl00048
Karachi Kings,Quetta Gladiators,psl00049
Multan Sultans,Lahore Qalandars,psl00050
Quetta Gladiators,Lahore Qalandars,psl00051
Islamabad United,Peshawar Zalmi,psl00052
Karachi Kings,Peshawar Zalmi,psl00053
Multan Sultans,Islamabad United,psl00054
Karachi Kings,Lahore Qalandars,psl00055
Islamabad United,Quetta Gladiators,psl00056
Quetta Gladiators,Peshawar Zalmi,psl00057
Lahore Qalandars,Islamabad United,psl00058
Peshawar Zalmi,Lahore Qalandars,psl00059
Multan Sultans,Quetta Gladiators,psl00060
Islamabad United,Karachi Kings,psl00061
Peshawar Zalmi,Multan Sultans,psl00062
Multan Sultans,Quetta Gladiators,psl00063
Islamabad United,Lahore Qalandars,psl00064
Karachi Kings,Quetta Gladiators,psl00065
Multan Sultans,Lahore Qalandars,psl00066
Peshawar Zalmi,Islamabad United,psl00067
Peshawar Zalmi,Quetta Gladiators,psl00068
Multan Sultans,Karachi Kings,psl00069
Karachi Kings,Lahore Qalandars,psl00070
Multan Sultans,Islamabad United,psl00071
Quetta Gladiators,Lahore Qalandars,psl00072
Peshawar Zalmi,Karachi Kings,psl00073
Quetta Gladiators,Islamabad United,psl00074
Peshawar Zalmi,Lahore Qalandars,psl00075
Islamabad United,Karachi Kings,psl00076
Islamabad United,Karachi Kings,psl00077
Peshawar Zalmi,Quetta Gladiators,psl00078
Karachi Kings,Peshawar Zalmi,psl00079
Islamabad United,Peshawar Zalmi,psl00080
Islamabad United,Lahore Qalandars,psl00081
Karachi Kings,Multan Sultans,psl00082
Peshawar Zalmi,Quetta Gladiators,psl00083
Karachi Kings,Lahore Qalandars,psl00084
Islamabad United,Multan Sultans,psl00085
Lahore Qalandars,Peshawar Zalmi,psl00086
Islamabad United,Quetta Gladiators,psl00087
Multan Sultans,Quetta Gladiators,psl00088
Karachi Kings,Peshawar Zalmi,psl00089
Lahore Qalandars,Multan Sultans,psl00090
Islamabad United,Peshawar Zalmi,psl00091
Islamabad United,Karachi Kings,psl00092
Lahore Qalandars,Quetta Gladiators,psl00093
Multan Sultans,Peshawar Zalmi,psl00094
Karachi Kings,Quetta Gladiators,psl00095
Islamabad United,Multan Sultans,psl00096
Lahore Qalandars,Quetta Gladiators,psl00097
Islamabad United,Karachi Kings,psl00098
Multan Sultans,Peshawar Zalmi,psl00099
Karachi Kings,Lahore Qalandars,psl00100
Islamabad United,Peshawar Zalmi,psl00101
Multan Sultans,Quetta Gladiators,psl00102
Karachi Kings,Multan Sultans,psl00103
Peshawar Zalmi,Quetta Gladiators,psl00104
Lahore Qalandars,Peshawar Zalmi,psl00105
Islamabad United,Quetta Gladiators,psl00106
Lahore Qalandars,Islamabad United,psl00107
Karachi Kings,Quetta Gladiators,psl00108
Karachi Kings,Peshawar Zalmi,psl00109
Lahore Qalandars,Multan Sultans,psl00110
Peshawar Zalmi,Quetta Gladiators,psl00111
Islamabad United,Karachi Kings,psl00112
Islamabad United,Peshawar Zalmi,psl00113
Quetta Gladiators,Peshawar Zalmi,psl00114
Islamabad United,Quetta Gladiators,psl00115
Karachi Kings,Peshawar Zalmi,psl00116
Lahore Qalandars,Multan Sultans,psl00117
Peshawar Zalmi,Quetta Gladiators,psl00118
Islamabad United,Multan Sultans,psl00119
Karachi Kings,Quetta Gladiators,psl00120
Lahore Qalandars,Islamabad United,psl00121
Multan Sultans,Peshawar Zalmi,psl00122
Islamabad United,Quetta Gladiators,psl00123
Lahore Qalandars,Peshawar Zalmi,psl00124
Multan Sultans,Karachi Kings,psl00125
Multan Sultans,Quetta Gladiators,psl00126
Islamabad United,Karachi Kings,psl00127
Karachi Kings,Peshawar Zalmi,psl00128
Lahore Qalandars,Quetta Gladiators,psl00129
Lahore Qalandars,Islamabad United,psl00130
Peshawar Zalmi,Quetta Gladiators,psl00131
Karachi Kings,Multan Sultans,psl00132
Islamabad United,Peshawar Zalmi,psl00133
Lahore Qalandars,Quetta Gladiators,psl00134
Islamabad United,Multan Sultans,psl00135
Lahore Qalandars,Karachi Kings,psl00136
Lahore Qalandars,Peshawar Zalmi,psl00137
Karachi Kings,Lahore Qalandars,psl00138
Multan Sultans,Peshawar Zalmi,psl00139
Karachi Kings,Islamabad United,psl00140
Lahore Qalandars,Multan Sultans,psl00141
Karachi Kings,Quetta Gladiators,psl00142
Multan Sultans,Karachi Kings,psl00143
Peshawar Zalmi,Lahore Qalandars,psl00144
Lahore Qalandars,Multan Sultans,psl00145
Lahore Qalandars,Karachi Kings,psl00146
Quetta Gladiators,Karachi Kings,psl00147
Peshawar Zalmi,Lahore Qalandars,psl00148
Multan Sultans,Islamabad United,psl00149
Quetta Gladiators,Lahore Qalandars,psl00150
Multan Sultans,Peshawar Zalmi,psl00151
Karachi Kings,Islamabad United,psl00152
Lahore Qalandars,Multan Sultans,psl00153
Quetta Gladiators,Peshawar Zalmi,psl00154
Multan Sultans,Karachi Kings,psl00155
Islamabad United,Peshawar Zalmi,psl00156
Karachi Kings,Lahore Qalandars,psl00157
Quetta Gladiators,Islamabad United,psl00158
Peshawar Zalmi,Karachi Kings,psl00159
Quetta Gladiators,Multan Sultans,psl00160
Islamabad United,Lahore Qalandars,psl00161
Multan Sultans,Karachi Kings,psl00162
Lahore Qalandars,Peshawar Zalmi,psl00163
Quetta Gladiators,Islamabad United,psl00164
Peshawar Zalmi,Quetta Gladiators,psl00165
Islamabad United,Lahore Qalandars,psl00166
Peshawar Zalmi,Multan Sultans,psl00167
Karachi Kings,Islamabad United,psl00168
Quetta Gladiators,Lahore Qalandars,psl00169
Karachi Kings,Peshawar Zalmi,psl00170
Multan Sultans,Quetta Gladiators,psl00171
Islamabad United,Peshawar Zalmi,psl00172
Karachi Kings,Lahore Qalandars,psl00173
Multan Sultans,Lahore Qalandars,psl00174
Multan Sultans,Islamabad United,psl00175
Karachi Kings,Quetta Gladiators,psl00176
Multan Sultans,Islamabad United,psl00177
Karachi Kings,Peshawar Zalmi,psl00178
Islamabad United,Peshawar Zalmi,psl00179
Multan Sultans,Peshawar Zalmi,psl00180
Karachi Kings,Multan Sultans,psl00181
Quetta Gladiators,Peshawar Zalmi,psl00182
Lahore Qalandars,Multan Sultans,psl00183
Karachi Kings,Quetta Gladiators,psl00184
Peshawar Zalmi,Islamabad United,psl00185
Karachi Kings,Lahore Qalandars,psl00186
Multan Sultans,Quetta Gladiators,psl00187
Multan Sultans,Islamabad United,psl00188
Lahore Qalandars,Peshawar Zalmi,psl00189
Islamabad United,Quetta Gladiators,psl00190
Peshawar Zalmi,Karachi Kings,psl00191
Lahore Qalandars,Islamabad United,psl00192
Multan Sultans,Peshawar Zalmi,psl00193
Islamabad United,Karachi Kings,psl00194
Lahore Qalandars,Quetta Gladiators,psl00195
Multan Sultans,Peshawar Zalmi,psl00196
Lahore Qalandars,Multan Sultans,psl00197
Islamabad United,Quetta Gladiators,psl00198
Peshawar Zalmi,Karachi Kings,psl00199
Quetta Gladiators,Lahore Qalandars,psl00200
Islamabad United,Karachi Kings,psl00201
Peshawar Zalmi,Quetta Gladiators,psl00202
Karachi Kings,Multan Sultans,psl00203
Peshawar Zalmi,Islamabad United,psl00204
Karachi Kings,Lahore Qalandars,psl00205
Multan Sultans,Quetta Gladiators,psl00206
Lahore Qalandars,Islamabad United,psl00207
Quetta Gladiators,Karachi Kings,psl00208
Islamabad United,Multan Sultans,psl00209
Peshawar Zalmi,Lahore Qalandars,psl00210
Multan Sultans,Lahore Qalandars,psl00211
Peshawar Zalmi,Islamabad United,psl00212
Lahore Qalandars,Islamabad United,psl00213
Lahore Qalandars,Multan Sultans,psl00214
Lahore Qalandars,Multan Sultans,psl00215
Peshawar Zalmi,Karachi Kings,psl00216
Quetta Gladiators,Multan Sultans,psl00217
Karachi Kings,Islamabad United,psl00218
Multan Sultans,Peshawar Zalmi,psl00219
Quetta Gladiators,Karachi Kings,psl00220
Multan Sultans,Islamabad United,psl00221
Karachi Kings,Lahore Qalandars,psl00222
Quetta Gladiators,Peshawar Zalmi,psl00223
Lahore Qalandars,Quetta Gladiators,psl00224
Multan Sultans,Karachi Kings,psl00225
Peshawar Zalmi,Islamabad United,psl00226
Islamabad United,Quetta Gladiators,psl00227
Karachi Kings,Multan Sultans,psl00228
Lahore Qalandars,Peshawar Zalmi,psl00229
Lahore Qalandars,Islamabad United,psl00230
Peshawar Zalmi,Karachi Kings,psl00231
Lahore Qalandars,Quetta Gladiators,psl00232
Karachi Kings,Islamabad United,psl00233
Lahore Qalandars,Multan Sultans,psl00234
Quetta Gladiators,Islamabad United,psl00235
Karachi Kings,Quetta Gladiators,psl00236
Multan Sultans,Islamabad United,psl00237
Peshawar Zalmi,Lahore Qalandars,psl00238
Peshawar Zalmi,Quetta Gladiators,psl00239
Lahore Qalandars,Islamabad United,psl00240
Peshawar Zalmi,Multan Sultans,psl00241
Multan Sultans,Quetta Gladiators,psl00242
Karachi Kings,Lahore Qalandars,psl00243
Peshawar Zalmi,Islamabad United,psl00244
Multan Sultans,Lahore Qalandars,psl00245
Peshawar Zalmi,Islamabad United,psl00246
Peshawar Zalmi,Lahore Qalandars,psl00247
Lahore Qalandars,Multan Sultans,psl00248
Lahore Qalandars,Islamabad United,psl00249
Multan Sultans,Karachi Kings,psl00250
Quetta Gladiators,Peshawar Zalmi,psl00251
Lahore Qalandars,Quetta Gladiators,psl00252
Islamabad United,Multan Sultans,psl00253
Lahore Qalandars,Multan Sultans,psl00254
Peshawar Zalmi,Karachi Kings,psl00255
Islamabad United,Quetta Gladiators,psl00256
Peshawar Zalmi,Multan Sultans,psl00257
