decision,winner,key
field,Quetta Gladiators,psl00001
field,Karachi Kings,psl00002
bat,Peshawar Zalmi,psl00003
field,Quetta Gladiators,psl00004
field,Peshawar Zalmi,psl00005
field,Karachi Kings,psl00006
field,Quetta Gladiators,psl00007
field,Quetta Gladiators,psl00008
field,Islamabad United,psl00009
field,Quetta Gladiators,psl00010
field,Lahore Qalandars,psl00011
field,Peshawar Zalmi,psl00012
field,Peshawar Zalmi,psl00013
bat,Karachi Kings,psl00014
field,Islamabad United,psl00015
bat,Quetta Gladiators,psl00016
field,Quetta Gladiators,psl00017
bat,Karachi Kings,psl00018
field,Islamabad United,psl00019
field,Peshawar Zalmi,psl00020
field,Islamabad United,psl00021
field,Peshawar Zalmi,psl00022
field,Islamabad United,psl00023
field,Islamabad United,psl00024
field,Lahore Qalandars,psl00025
field,Peshawar Zalmi,psl00026
field,Lahore Qalandars,psl00027
field,Quetta Gladiators,psl00028
field,Peshawar Zalmi,psl00029
field,Islamabad United,psl00030
field,Karachi Kings,psl00031
field,Quetta Gladiators,psl00032
field,Karachi Kings,psl00033
field,Islamabad United,psl00034
field,Quetta Gladiators,psl00035
field,Peshawar Zalmi,psl00036
field,Lahore Qalandars,psl00037
field,Quetta Gladiators,psl00038
bat,Peshawar Zalmi,psl00039
field,Quetta Gladiators,psl00040
field,Karachi Kings,psl00041
field,Peshawar Zalmi,psl00042
field,Karachi Kings,psl00043
field,Peshawar Zalmi,psl00044
field,Islamabad United,psl00045
field,Karachi Kings,psl00046
field,Quetta Gladiators,psl00047
field,Multan Sultans,psl00048
bat,Karachi Kings,psl00049
field,Lahore Qalandars,psl00050
field,Quetta Gladiators,psl00051
field,Islamabad United,psl00052
bat,Peshawar Zalmi,psl00053
field,Islamabad United,psl00054
bat,Karachi Kings,psl00055
field,Quetta Gladiators,psl00056
field,Peshawar Zalmi,psl00057
field,Lahore Qalandars,psl00058
bat,Lahore Qalandars,psl00059
field,Multan Sultans,psl00060
field,Islamabad United,psl00061
field,Peshawar Zalmi,psl00062
field,Quetta Gladiators,psl00063
field,Islamabad United,psl00064
field,Karachi Kings,psl00065
bat,Multan Sultans,psl00066
field,Peshawar Zalmi,psl00067
field,Quetta Gladiators,psl00068
field,Multan Sultans,psl00069
field,Lahore Qalandars,psl00070
field,Multan Sultans,psl00071
field,Quetta Gladiators,psl00072
bat,Peshawar Zalmi,psl00073
bat,Quetta Gladiators,psl00074
bat,Lahore Qalandars,psl00075
field,Karachi Kings,psl00076
bat,Karachi Kings,psl00077
field,Quetta Gladiators,psl00078
field,Karachi Kings,psl00079
bat,Peshawar Zalmi,psl00080
field,Islamabad United,psl00081
bat,Karachi Kings,psl00082
field,Quetta Gladiators,psl00083
field,Karachi Kings,psl00084
field,Multan Sultans,psl00085
field,Peshawar Zalmi,psl00086
field,Quetta Gladiators,psl00087
field,Quetta Gladiators,psl00088
field,Karachi Kings,psl00089
field,Lahore Qalandars,psl00090
field,Peshawar Zalmi,psl00091
field,Islamabad United,psl00092
field,Quetta Gladiators,psl00093
field,Peshawar Zalmi,psl00094
field,Karachi Kings,psl00095
field,Multan Sultans,psl00096
field,Lahore Qalandars,psl00097
field,Islamabad United,psl00098
field,Peshawar Zalmi,psl00099
field,Karachi Kings,psl00100
field,Peshawar Zalmi,psl00101
field,Quetta Gladiators,psl00102
field,Karachi Kings,psl00103
field,Quetta Gladiators,psl00104
field,Peshawar Zalmi,psl00105
field,Islamabad United,psl00106
field,Lahore Qalandars,psl00107
field,Quetta Gladiators,psl00108
field,Karachi Kings,psl00109
field,Multan Sultans,psl00110
field,Peshawar Zalmi,psl00111
bat,Karachi Kings,psl00112
field,Islamabad United,psl00113
field,Quetta Gladiators,psl00114
field,Quetta Gladiators,psl00115
field,Peshawar Zalmi,psl00116
field,Multan Sultans,psl00117
field,Peshawar Zalmi,psl00118
field,Islamabad United,psl00119
bat,Karachi Kings,psl00120
field,Islamabad United,psl00121
field,Multan Sultans,psl00122
field,Quetta Gladiators,psl00123
field,Lahore Qalandars,psl00124
field,Karachi Kings,psl00125
bat,Multan Sultans,psl00126
field,Karachi Kings,psl00127
field,Karachi Kings,psl00128
field,Quetta Gladiators,psl00129
field,Lahore Qalandars,psl00130
field,Quetta Gladiators,psl00131
field,Karachi Kings,psl00132
field,Peshawar Zalmi,psl00133
field,Lahore Qalandars,psl00134
field,Multan Sultans,psl00135
field,Lahore Qalandars,psl00136
field,Lahore Qalandars,psl00137
field,Karachi Kings,psl00138
field,Peshawar Zalmi,psl00139
field,Karachi Kings,psl00140
field,Lahore Qalandars,psl00141
bat,Karachi Kings,psl00142
field,Karachi Kings,psl00143
field,Lahore Qalandars,psl00144
field,Multan Sultans,psl00145
bat,Lahore Qalandars,psl00146
field,Karachi Kings,psl00147
field,Lahore Qalandars,psl00148
field,Islamabad United,psl00149
field,Lahore Qalandars,psl00150
field,Peshawar Zalmi,psl00151
field,Islamabad United,psl00152
field,Multan Sultans,psl00153
field,Peshawar Zalmi,psl00154
field,Karachi Kings,psl00155
field,Peshawar Zalmi,psl00156
field,Lahore Qalandars,psl00157
field,Islamabad United,psl00158
field,Karachi Kings,psl00159
field,Multan Sultans,psl00160
field,Lahore Qalandars,psl00161
field,Karachi Kings,psl00162
field,Peshawar Zalmi,psl00163
field,Islamabad United,psl00164
field,Quetta Gladiators,psl00165
bat,Islamabad United,psl00166
field,Multan Sultans,psl00167
field,Islamabad United,psl00168
field,Lahore Qalandars,psl00169
field,Peshawar Zalmi,psl00170
field,Quetta Gladiators,psl00171
field,Peshawar Zalmi,psl00172
bat,Karachi Kings,psl00173
field,Lahore Qalandars,psl00174
field,Islamabad United,psl00175
bat,Karachi Kings,psl00176
bat,Multan Sultans,psl00177
field,Peshawar Zalmi,psl00178
field,Peshawar Zalmi,psl00179
field,Peshawar Zalmi,psl00180
field,Multan Sultans,psl00181
field,Peshawar Zalmi,psl00182
field,Multan Sultans,psl00183
field,Quetta Gladiators,psl00184
field,Islamabad United,psl00185
field,Lahore Qalandars,psl00186
field,Quetta Gladiators,psl00187
field,Islamabad United,psl00188
field,Peshawar Zalmi,psl00189
field,Quetta Gladiators,psl00190
field,Karachi Kings,psl00191
field,Islamabad United,psl00192
field,Peshawar Zalmi,psl00193
bat,Islamabad United,psl00194
field,Quetta Gladiators,psl00195
field,Peshawar Zalmi,psl00196
field,Multan Sultans,psl00197
field,Quetta Gladiators,psl00198
field,Karachi Kings,psl00199
field,Lahore Qalandars,psl00200
field,Karachi Kings,psl00201
bat,Peshawar Zalmi,psl00202
bat,Karachi Kings,psl00203
bat,Peshawar Zalmi,psl00204
bat,Karachi Kings,psl00205
bat,Multan Sultans,psl00206
