name,match_number,key,stage
SA20,1.0,sat00001,nan
SA20,2.0,sat00002,nan
SA20,3.0,sat00003,nan
SA20,4.0,sat00004,nan
SA20,5.0,sat00005,nan
SA20,6.0,sat00006,nan
SA20,7.0,sat00007,nan
SA20,8.0,sat00008,nan
SA20,9.0,sat00009,nan
SA20,10.0,sat00010,nan
SA20,11.0,sat00011,nan
SA20,12.0,sat00012,nan
SA20,13.0,sat00013,nan
SA20,14.0,sat00014,nan
SA20,15.0,sat00015,nan
SA20,17.0,sat00016,nan
SA20,16.0,sat00017,nan
SA20,18.0,sat00018,nan
SA20,19.0,sat00019,nan
SA20,20.0,sat00020,nan
SA20,21.0,sat00021,nan
SA20,22.0,sat00022,nan
SA20,23.0,sat00023,nan
SA20,24.0,sat00024,nan
SA20,25.0,sat00025,nan
SA20,26.0,sat00026,nan
SA20,28.0,sat00027,nan
SA20,27.0,sat00028,nan
SA20,29.0,sat00029,nan
SA20,30.0,sat00030,nan
SA20,,sat00031,Semi Final
SA20,,sat00032,Semi Final
SA20,,sat00033,Final
SA20,2.0,sat00034,nan
SA20,3.0,sat00035,nan
SA20,4.0,sat00036,nan
SA20,5.0,sat00037,nan
SA20,6.0,sat00038,nan
SA20,7.0,sat00039,nan
SA20,8.0,sat00040,nan
SA20,9.0,sat00041,nan
SA20,10.0,sat00042,nan
SA20,11.0,sat00043,nan
SA20,12.0,sat00044,nan
SA20,13.0,sat00045,nan
SA20,14.0,sat00046,nan
SA20,15.0,sat00047,nan
SA20,16.0,sat00048,nan
SA20,17.0,sat00049,nan
SA20,18.0,sat00050,nan
SA20,19.0,sat00051,nan
SA20,20.0,sat00052,nan
SA20,21.0,sat00053,nan
SA20,22.0,sat00054,nan
SA20,23.0,sat00055,nan
SA20,24.0,sat00056,nan
SA20,25.0,sat00057,nan
SA20,26.0,sat00058,nan
SA20,27.0,sat00059,nan
SA20,28.0,sat00060,nan
SA20,29.0,sat00061,nan
SA20,30.0,sat00062,nan
SA20,,sat00063,Qualifier 1
SA20,,sat00064,Eliminator
SA20,,sat00065,Qualifier 2
SA20,,sat00066,Final
SA20,1.0,sat00067,nan
SA20,2.0,sat00068,nan
SA20,3.0,sat00069,nan
SA20,4.0,sat00070,nan
SA20,6.0,sat00071,nan
SA20,7.0,sat00072,nan
SA20,8.0,sat00073,nan
SA20,9.0,sat00074,nan
SA20,10.0,sat00075,nan
SA20,11.0,sat00076,nan
SA20,13.0,sat00077,nan
SA20,12.0,sat00078,nan
SA20,14.0,sat00079,nan
SA20,15.0,sat00080,nan
SA20,16.0,sat00081,nan
SA20,17.0,sat00082,nan
SA20,18.0,sat00083,nan
SA20,19.0,sat00084,nan
SA20,20.0,sat00085,nan
SA20,21.0,sat00086,nan
SA20,22.0,sat00087,nan
SA20,23.0,sat00088,nan
SA20,24.0,sat00089,nan
SA20,25.0,sat00090,nan
SA20,26.0,sat00091,nan
SA20,27.0,sat00092,nan
SA20,28.0,sat00093,nan
SA20,29.0,sat00094,nan
SA20,30.0,sat00095,nan
SA20,,sat00096,Qualifier 1
SA20,,sat00097,Eliminator
SA20,,sat00098,Qualifier 2
SA20,,sat00099,Final
