balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key
6,Cape Town,2023-01-10,male,T20,20,D Brevis,2022/23,club,"Newlands, Cape Town",sat00001
6,Durban,2023-01-11,male,T20,20,D Ferreira,2022/23,club,"Kingsmead, Durban",sat00002
6,Gqeberha,2023-01-12,male,T20,20,PD Salt,2022/23,club,"St George's Park, Gqeberha",sat00003
6,Paarl,2023-01-13,male,T20,20,BC Fortuin,2022/23,club,"Boland Park, Paarl",sat00004
6,Cape Town,2023-01-13,male,T20,20,KR Mayers,2022/23,club,"Newlands, Cape Town",sat00005
6,Centurion,2023-01-14,male,T20,20,WG Jacks,2022/23,club,"SuperSport Park, Centurion",sat00006
6,Cape Town,2023-01-14,male,T20,20,K Rabada,2022/23,club,"Newlands, Cape Town",sat00007
6,Durban,2023-01-15,male,T20,20,H Klaasen,2022/23,club,"Kingsmead, Durban",sat00008
6,Gqeberha,2023-01-16,male,T20,20,AK Markram,2022/23,club,"St George's Park, Gqeberha",sat00009
6,Paarl,2023-01-17,male,T20,20,BC Fortuin,2022/23,club,"Boland Park, Paarl",sat00010
6,Johannesburg,2023-01-17,male,T20,20,JL du Plooy,2022/23,club,"The Wanderers Stadium, Johannesburg",sat00011
6,Cape Town,2023-01-18,male,T20,20,M Jansen,2022/23,club,"Newlands, Cape Town",sat00012
6,Centurion,2023-01-18,male,T20,20,JDS Neesham,2022/23,club,"SuperSport Park, Centurion",sat00013
6,Paarl,2023-01-19,male,T20,20,AK Markram,2022/23,club,"Boland Park, Paarl",sat00014
6,Durban,2023-01-20,male,T20,20,S Muthusamy,2022/23,club,"Kingsmead, Durban",sat00015
6,Paarl,2023-01-21,male,T20,20,JC Buttler,2022/23,club,"Boland Park, Paarl",sat00016
6,Gqeberha,2023-01-21,male,T20,20,AM Phangiso,2022/23,club,"St George's Park, Gqeberha",sat00017
6,Gqeberha,2023-01-22,male,T20,20,RE van der Merwe,2022/23,club,"St George's Park, Gqeberha",sat00018
6,Paarl,2023-01-22,male,T20,20,DA Miller,2022/23,club,"Boland Park, Paarl",sat00019
6,Cape Town,2023-01-23,male,T20,20,WG Jacks,2022/23,club,"Newlands, Cape Town",sat00020
6,Gqeberha,2023-01-24,male,T20,20,DA Miller,2022/23,club,"St George's Park, Gqeberha",sat00021
6,Johannesburg,2023-01-24,male,T20,20,F du Plessis,2022/23,club,"The Wanderers Stadium, Johannesburg",sat00022
6,Durban,2023-02-02,male,T20,20,Q de Kock,2022/23,club,"Kingsmead, Durban",sat00023
6,Johannesburg,2023-02-03,male,T20,20,,2022/23,club,"The Wanderers Stadium, Johannesburg",sat00024
6,Durban,2023-02-03,male,T20,20,,2022/23,club,"Kingsmead, Durban",sat00025
6,Centurion,2023-02-04,male,T20,20,RR Rossouw,2022/23,club,"SuperSport Park, Centurion",sat00026
6,Johannesburg,2023-02-05,male,T20,20,F du Plessis,2022/23,club,"The Wanderers Stadium, Johannesburg",sat00027
6,Centurion,2023-02-05,male,T20,20,H Klaasen,2022/23,club,"SuperSport Park, Centurion",sat00028
6,Johannesburg,2023-02-06,male,T20,20,JL du Plooy,2022/23,club,"The Wanderers Stadium, Johannesburg",sat00029
6,Centurion,2023-02-07,male,T20,20,BKG Mendis,2022/23,club,"SuperSport Park, Centurion",sat00030
6,Johannesburg,2023-02-08,male,T20,20,RR Rossouw,2022/23,club,"The Wanderers Stadium, Johannesburg",sat00031
6,Centurion,2023-02-09,male,T20,20,AK Markram,2022/23,club,"SuperSport Park, Centurion",sat00032
6,Johannesburg,2023-02-11,male,T20,20,RE van der Merwe,2022/23,club,"The Wanderers Stadium, Johannesburg",sat00033
6,Durban,2024-01-11,male,T20,20,H Klaasen,2023/24,club,"Kingsmead, Durban",sat00034
6,Paarl,2024-01-12,male,T20,20,AL Phehlukwayo,2023/24,club,"Boland Park, Paarl",sat00035
6,Gqeberha,2024-01-13,male,T20,20,JT Smuts,2023/24,club,"St George's Park, Gqeberha",sat00036
6,Johannesburg,2024-01-13,male,T20,20,HE van der Dussen,2023/24,club,"The Wanderers Stadium, Johannesburg",sat00037
6,Centurion,2024-01-14,male,T20,20,L Ngidi,2023/24,club,"SuperSport Park, Centurion",sat00038
6,Durban,2024-01-15,male,T20,20,H Klaasen,2023/24,club,"Kingsmead, Durban",sat00039
6,Cape Town,2024-01-16,male,T20,20,J Hermann,2023/24,club,"Newlands, Cape Town",sat00040
6,Paarl,2024-01-17,male,T20,20,JC Buttler,2023/24,club,"Boland Park, Paarl",sat00041
6,Centurion,2024-01-18,male,T20,20,WG Jacks,2023/24,club,"SuperSport Park, Centurion",sat00042
6,Cape Town,2024-01-19,male,T20,20,RD Rickelton,2023/24,club,"Newlands, Cape Town",sat00043
6,Durban,2024-01-20,male,T20,20,SR Harmer,2023/24,club,"Kingsmead, Durban",sat00044
6,Johannesburg,2024-01-20,male,T20,20,D Ferreira,2023/24,club,"The Wanderers Stadium, Johannesburg",sat00045
6,Paarl,2024-01-21,male,T20,20,BC Fortuin,2023/24,club,"Boland Park, Paarl",sat00046
6,Gqeberha,2024-01-22,male,T20,20,OEG Baartman,2023/24,club,"St George's Park, Gqeberha",sat00047
6,Cape Town,2024-01-23,male,T20,20,GF Linde,2023/24,club,"Newlands, Cape Town",sat00048
6,Johannesburg,2024-01-24,male,T20,20,RR Hendricks,2023/24,club,"The Wanderers Stadium, Johannesburg",sat00049
6,Centurion,2024-01-25,male,T20,20,E Bosch,2023/24,club,"SuperSport Park, Centurion",sat00050
6,Paarl,2024-01-26,male,T20,20,Q de Kock,2023/24,club,"Boland Park, Paarl",sat00051
6,Centurion,2024-01-27,male,T20,20,,2023/24,club,"SuperSport Park, Centurion",sat00052
6,Gqeberha,2024-01-27,male,T20,20,TB Abell,2023/24,club,"St George's Park, Gqeberha",sat00053
6,Durban,2024-01-28,male,T20,20,MP Breetzke,2023/24,club,"Kingsmead, Durban",sat00054
6,Cape Town,2024-01-29,male,T20,20,F du Plessis,2023/24,club,"Newlands, Cape Town",sat00055
6,Durban,2024-01-30,male,T20,20,MP Breetzke,2023/24,club,"Kingsmead, Durban",sat00056
6,Johannesburg,2024-01-31,male,T20,20,DJ Worrall,2023/24,club,"The Wanderers Stadium, Johannesburg",sat00057
6,Centurion,2024-02-01,male,T20,20,K Verreynne,2023/24,club,"SuperSport Park, Centurion",sat00058
6,Paarl,2024-02-02,male,T20,20,M Jansen,2023/24,club,"Boland Park, Paarl",sat00059
6,Cape Town,2024-02-03,male,T20,20,K Rabada,2023/24,club,"Newlands, Cape Town",sat00060
6,Johannesburg,2024-02-03,male,T20,20,F du Plessis,2023/24,club,"The Wanderers Stadium, Johannesburg",sat00061
6,Gqeberha,2024-02-04,male,T20,20,PE Kruger,2023/24,club,"St George's Park, Gqeberha",sat00062
6,Cape Town,2024-02-06,male,T20,20,OEG Baartman,2023/24,club,"Newlands, Cape Town",sat00063
6,Johannesburg,2024-02-07,male,T20,20,SJ Cook,2023/24,club,"The Wanderers Stadium, Johannesburg",sat00064
6,Johannesburg,2024-02-08,male,T20,20,H Klaasen,2023/24,club,"The Wanderers Stadium, Johannesburg",sat00065
6,Cape Town,2024-02-10,male,T20,20,TB Abell,2023/24,club,"Newlands, Cape Town",sat00066
6,Gqeberha,2025-01-09,male,T20,20,D Potgieter,2024/25,club,"St George's Park, Gqeberha",sat00067
6,Durban,2025-01-10,male,T20,20,Rahmanullah Gurbaz,2024/25,club,"Kingsmead, Durban",sat00068
6,Paarl,2025-01-11,male,T20,20,LG Pretorius,2024/25,club,"Boland Park, Paarl",sat00069
