batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,bowling_team,key,review_umpires_call,replacements_role,review_type,extras_type
WJ Lubbe,GF Linde,JC Buttler,1,0,1,0,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,WJ Lubbe,0,0,0,0,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,WJ Lubbe,4,0,4,0,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,WJ Lubbe,1,0,1,0,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
WJ Lubbe,GF Linde,JC Buttler,0,1,1,0,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,wides
WJ Lubbe,GF Linde,JC Buttler,1,0,1,0,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,WJ Lubbe,0,0,0,0,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
WJ Lubbe,SM Curran,JC Buttler,0,0,0,1,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
WJ Lubbe,SM Curran,JC Buttler,0,0,0,1,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
WJ Lubbe,SM Curran,JC Buttler,1,0,1,1,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,SM Curran,WJ Lubbe,0,0,0,1,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,SM Curran,WJ Lubbe,0,0,0,1,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,SM Curran,WJ Lubbe,0,0,0,1,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
WJ Lubbe,JC Archer,JC Buttler,0,0,0,2,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
WJ Lubbe,JC Archer,JC Buttler,0,0,0,2,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
WJ Lubbe,JC Archer,JC Buttler,0,0,0,2,3,Paarl Royals,1,caught,WJ Lubbe,,,,,MI Cape Town,sat00001,,,,
JJ Roy,JC Archer,JC Buttler,0,0,0,2,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,JC Archer,JC Buttler,0,0,0,2,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,JC Archer,JC Buttler,0,0,0,2,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,JJ Roy,4,0,4,3,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,JJ Roy,0,0,0,3,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,JJ Roy,4,0,4,3,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,JJ Roy,0,0,0,3,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,JJ Roy,0,0,0,3,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,GF Linde,JJ Roy,1,0,1,3,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,JC Archer,JJ Roy,0,0,0,4,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,JC Archer,JJ Roy,6,0,6,4,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,JC Archer,JJ Roy,1,0,1,4,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,JC Archer,JC Buttler,0,0,0,4,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,JC Archer,JC Buttler,2,0,2,4,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,JC Archer,JC Buttler,4,0,4,4,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,JJ Roy,4,0,4,5,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,JJ Roy,0,0,0,5,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,JJ Roy,0,0,0,5,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,JJ Roy,1,0,1,5,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,Rashid Khan,JC Buttler,4,0,4,5,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,Rashid Khan,JC Buttler,1,0,1,5,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,D Jansen,JC Buttler,0,0,0,6,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,D Jansen,JC Buttler,0,1,1,6,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,wides
JJ Roy,D Jansen,JC Buttler,0,0,0,6,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,D Jansen,JC Buttler,2,0,2,6,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,D Jansen,JC Buttler,0,1,1,6,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,wides
JJ Roy,D Jansen,JC Buttler,0,0,0,6,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
