type,name,key
match_referees,GH Pienaar,sat00001
reserve_umpires,A Steenkamp,sat00001
tv_umpires,BP Jele,sat00001
umpires,A Paleker,sat00001
umpires,M Erasmus,sat00001
match_referees,S Wadvalla,sat00002
reserve_umpires,DJ Smith,sat00002
tv_umpires,S George,sat00002
umpires,AT Holdstock,sat00002
umpires,LB Gcuma,sat00002
match_referees,ZTA Ndamane,sat00003
reserve_umpires,A Jacobs,sat00003
tv_umpires,A Paleker,sat00003
umpires,BP Jele,sat00003
umpires,Stephen Harris,sat00003
match_referees,GH Pienaar,sat00004
reserve_umpires,A Steenkamp,sat00004
tv_umpires,M Erasmus,sat00004
umpires,DJ Smith,sat00004
umpires,LB Gcuma,sat00004
match_referees,LH Matroos,sat00005
reserve_umpires,Siphelele Gasa,sat00005
tv_umpires,AT Holdstock,sat00005
umpires,BM White,sat00005
umpires,S George,sat00005
match_referees,SB Lambson,sat00006
reserve_umpires,Stephen Harris,sat00006
tv_umpires,BP Jele,sat00006
umpires,A Paleker,sat00006
umpires,A Jacobs,sat00006
match_referees,LH Matroos,sat00007
reserve_umpires,LB Gcuma,sat00007
tv_umpires,S George,sat00007
umpires,AT Holdstock,sat00007
umpires,M Erasmus,sat00007
match_referees,ZTA Ndamane,sat00008
reserve_umpires,DJ Smith,sat00008
tv_umpires,BM White,sat00008
umpires,A Steenkamp,sat00008
umpires,Siphelele Gasa,sat00008
match_referees,S Wadvalla,sat00009
reserve_umpires,A Jacobs,sat00009
tv_umpires,BP Jele,sat00009
umpires,A Paleker,sat00009
umpires,Stephen Harris,sat00009
match_referees,LH Matroos,sat00010
reserve_umpires,A Steenkamp,sat00010
tv_umpires,LB Gcuma,sat00010
umpires,AT Holdstock,sat00010
umpires,BM White,sat00010
match_referees,GH Pienaar,sat00011
reserve_umpires,Siphelele Gasa,sat00011
tv_umpires,DJ Smith,sat00011
umpires,M Erasmus,sat00011
umpires,S George,sat00011
match_referees,S Wadvalla,sat00012
