winner,by.wickets,key,by.runs,result,method
MI Cape Town,8.0,sat00001,,,
Joburg Super Kings,,sat00002,16.0,,
Pretoria Capitals,,sat00003,23.0,,
Paarl Royals,7.0,sat00004,,,
Durban's Super Giants,5.0,sat00005,,,
Pretoria Capitals,,sat00006,37.0,,
MI Cape Town,7.0,sat00007,,,
Durban's Super Giants,,sat00008,27.0,,
Sunrisers Eastern Cape,4.0,sat00009,,,
Paarl Royals,,sat00010,10.0,,
Joburg Super Kings,,sat00011,6.0,,
Sunrisers Eastern Cape,2.0,sat00012,,,
Pretoria Capitals,6.0,sat00013,,,
Sunrisers Eastern Cape,5.0,sat00014,,,
Pretoria Capitals,8.0,sat00015,,,
Joburg Super Kings,5.0,sat00016,,,
MI Cape Town,,sat00017,13.0,,
Paarl Royals,6.0,sat00018,,,
Sunrisers Eastern Cape,,sat00019,124.0,,
Pretoria Capitals,,sat00020,52.0,,
Paarl Royals,5.0,sat00021,,,
Joburg Super Kings,8.0,sat00022,,,
Durban's Super Giants,5.0,sat00023,,,
,,sat00024,,no result,
,,sat00025,,no result,
Pretoria Capitals,1.0,sat00026,,,
Durban's Super Giants,,sat00027,151.0,,
Joburg Super Kings,,sat00028,24.0,,
Joburg Super Kings,,sat00029,76.0,,
Pretoria Capitals,,sat00030,59.0,,
Pretoria Capitals,,sat00031,29.0,,
Sunrisers Eastern Cape,,sat00032,14.0,,
Sunrisers Eastern Cape,4.0,sat00033,,,
Durban's Super Giants,,sat00034,11.0,,D/L
Paarl Royals,,sat00035,27.0,,
MI Cape Town,,sat00036,98.0,,
Durban's Super Giants,,sat00037,35.0,,
Paarl Royals,,sat00038,10.0,,
Durban's Super Giants,,sat00039,37.0,,
Sunrisers Eastern Cape,,sat00040,4.0,,
Paarl Royals,7.0,sat00041,,,
Pretoria Capitals,,sat00042,17.0,,
MI Cape Town,8.0,sat00043,,,
Sunrisers Eastern Cape,5.0,sat00044,,,
Joburg Super Kings,6.0,sat00045,,,
Paarl Royals,,sat00046,59.0,,
Sunrisers Eastern Cape,9.0,sat00047,,,
Durban's Super Giants,,sat00048,36.0,,
Paarl Royals,5.0,sat00049,,,
Pretoria Capitals,,sat00050,3.0,,
Durban's Super Giants,,sat00051,57.0,,
Sunrisers Eastern Cape,,sat00052,4.0,,
,,sat00053,,no result,
Durban's Super Giants,,sat00054,125.0,,
Joburg Super Kings,10.0,sat00055,,,D/L
Durban's Super Giants,,sat00056,8.0,,
Sunrisers Eastern Cape,9.0,sat00057,,,
MI Cape Town,,sat00058,34.0,,
Sunrisers Eastern Cape,,sat00059,44.0,,
Pretoria Capitals,4.0,sat00060,,,
Joburg Super Kings,7.0,sat00061,,,
Sunrisers Eastern Cape,5.0,sat00062,,,
Sunrisers Eastern Cape,,sat00063,51.0,,
Joburg Super Kings,9.0,sat00064,,,
Durban's Super Giants,,sat00065,69.0,,
Sunrisers Eastern Cape,,sat00066,89.0,,
MI Cape Town,,sat00067,97.0,,
Durban's Super Giants,,sat00068,2.0,,
Paarl Royals,9.0,sat00069,,,
Joburg Super Kings,,sat00070,6.0,,D/L
MI Cape Town,,sat00071,33.0,,
Pretoria Capitals,6.0,sat00072,,,
Joburg Super Kings,,sat00073,28.0,,
Paarl Royals,6.0,sat00074,,,
,,sat00075,,no result,
Sunrisers Eastern Cape,,sat00076,58.0,,
MI Cape Town,7.0,sat00077,,,
Paarl Royals,8.0,sat00078,,,
Sunrisers Eastern Cape,6.0,sat00079,,,
Paarl Royals,6.0,sat00080,,,
,,sat00081,,no result,
Sunrisers Eastern Cape,,sat00082,52.0,,
Paarl Royals,5.0,sat00083,,,
Sunrisers Eastern Cape,,sat00084,14.0,,
Paarl Royals,,sat00085,11.0,,
MI Cape Town,7.0,sat00086,,,
Joburg Super Kings,9.0,sat00087,,,
Paarl Royals,6.0,sat00088,,,
Pretoria Capitals,6.0,sat00089,,,
MI Cape Town,10.0,sat00090,,,
Joburg Super Kings,7.0,sat00091,,,
MI Cape Town,,sat00092,27.0,,
Sunrisers Eastern Cape,,sat00093,48.0,,
Durban's Super Giants,,sat00094,11.0,,D/L
MI Cape Town,,sat00095,95.0,,
MI Cape Town,,sat00096,39.0,,
Sunrisers Eastern Cape,,sat00097,32.0,,
Sunrisers Eastern Cape,8.0,sat00098,,,
MI Cape Town,,sat00099,76.0,,
