team_1,team_2,key
Paarl Royals,MI Cape Town,sat00001
Joburg Super Kings,Durban's Super Giants,sat00002
Pretoria Capitals,Sunrisers Eastern Cape,sat00003
Joburg Super Kings,Paarl Royals,sat00004
MI Cape Town,Durban's Super Giants,sat00005
Pretoria Capitals,Sunrisers Eastern Cape,sat00006
Joburg Super Kings,MI Cape Town,sat00007
Durban's Super Giants,Paarl Royals,sat00008
MI Cape Town,Sunrisers Eastern Cape,sat00009
Paarl Royals,Durban's Super Giants,sat00010
Joburg Super Kings,Pretoria Capitals,sat00011
MI Cape Town,Sunrisers Eastern Cape,sat00012
Joburg Super Kings,Pretoria Capitals,sat00013
Paarl Royals,Sunrisers Eastern Cape,sat00014
Durban's Super Giants,Pretoria Capitals,sat00015
Sunrisers Eastern Cape,Joburg Super Kings,sat00016
MI Cape Town,Paarl Royals,sat00017
Pretoria Capitals,Paarl Royals,sat00018
Sunrisers Eastern Cape,Durban's Super Giants,sat00019
Pretoria Capitals,MI Cape Town,sat00020
Sunrisers Eastern Cape,Paarl Royals,sat00021
Durban's Super Giants,Joburg Super Kings,sat00022
MI Cape Town,Durban's Super Giants,sat00023
Paarl Royals,Joburg Super Kings,sat00024
Sunrisers Eastern Cape,Durban's Super Giants,sat00025
MI Cape Town,Pretoria Capitals,sat00026
Durban's Super Giants,Pretoria Capitals,sat00027
Joburg Super Kings,Sunrisers Eastern Cape,sat00028
Joburg Super Kings,MI Cape Town,sat00029
Pretoria Capitals,Paarl Royals,sat00030
Pretoria Capitals,Paarl Royals,sat00031
Sunrisers Eastern Cape,Joburg Super Kings,sat00032
Pretoria Capitals,Sunrisers Eastern Cape,sat00033
MI Cape Town,Durban's Super Giants,sat00034
Paarl Royals,Pretoria Capitals,sat00035
MI Cape Town,Joburg Super Kings,sat00036
Durban's Super Giants,Sunrisers Eastern Cape,sat00037
Paarl Royals,Pretoria Capitals,sat00038
Durban's Super Giants,Joburg Super Kings,sat00039
Sunrisers Eastern Cape,MI Cape Town,sat00040
Joburg Super Kings,Paarl Royals,sat00041
Pretoria Capitals,Durban's Super Giants,sat00042
Paarl Royals,MI Cape Town,sat00043
Durban's Super Giants,Sunrisers Eastern Cape,sat00044
Pretoria Capitals,Joburg Super Kings,sat00045
Paarl Royals,MI Cape Town,sat00046
Pretoria Capitals,Sunrisers Eastern Cape,sat00047
Durban's Super Giants,MI Cape Town,sat00048
Joburg Super Kings,Paarl Royals,sat00049
Pretoria Capitals,Sunrisers Eastern Cape,sat00050
Durban's Super Giants,Paarl Royals,sat00051
Sunrisers Eastern Cape,MI Cape Town,sat00052
Joburg Super Kings,Pretoria Capitals,sat00053
Durban's Super Giants,Paarl Royals,sat00054
MI Cape Town,Joburg Super Kings,sat00055
Durban's Super Giants,Pretoria Capitals,sat00056
Joburg Super Kings,Sunrisers Eastern Cape,sat00057
MI Cape Town,Pretoria Capitals,sat00058
Sunrisers Eastern Cape,Paarl Royals,sat00059
MI Cape Town,Pretoria Capitals,sat00060
Durban's Super Giants,Joburg Super Kings,sat00061
Paarl Royals,Sunrisers Eastern Cape,sat00062
Sunrisers Eastern Cape,Durban's Super Giants,sat00063
Paarl Royals,Joburg Super Kings,sat00064
Durban's Super Giants,Joburg Super Kings,sat00065
Sunrisers Eastern Cape,Durban's Super Giants,sat00066
MI Cape Town,Sunrisers Eastern Cape,sat00067
Durban's Super Giants,Pretoria Capitals,sat00068
Sunrisers Eastern Cape,Paarl Royals,sat00069
MI Cape Town,Joburg Super Kings,sat00070
MI Cape Town,Paarl Royals,sat00071
Sunrisers Eastern Cape,Pretoria Capitals,sat00072
Joburg Super Kings,Durban's Super Giants,sat00073
MI Cape Town,Paarl Royals,sat00074
Pretoria Capitals,Joburg Super Kings,sat00075
Sunrisers Eastern Cape,Durban's Super Giants,sat00076
Joburg Super Kings,MI Cape Town,sat00077
Pretoria Capitals,Paarl Royals,sat00078
Durban's Super Giants,Sunrisers Eastern Cape,sat00079
Joburg Super Kings,Paarl Royals,sat00080
MI Cape Town,Durban's Super Giants,sat00081
Sunrisers Eastern Cape,Pretoria Capitals,sat00082
Durban's Super Giants,Paarl Royals,sat00083
Sunrisers Eastern Cape,Joburg Super Kings,sat00084
Paarl Royals,Pretoria Capitals,sat00085
Durban's Super Giants,MI Cape Town,sat00086
Sunrisers Eastern Cape,Joburg Super Kings,sat00087
Durban's Super Giants,Paarl Royals,sat00088
Joburg Super Kings,Pretoria Capitals,sat00089
Sunrisers Eastern Cape,MI Cape Town,sat00090
Paarl Royals,Joburg Super Kings,sat00091
MI Cape Town,Pretoria Capitals,sat00092
Sunrisers Eastern Cape,Paarl Royals,sat00093
Durban's Super Giants,Joburg Super Kings,sat00094
MI Cape Town,Pretoria Capitals,sat00095
MI Cape Town,Paarl Royals,sat00096
Sunrisers Eastern Cape,Joburg Super Kings,sat00097
Paarl Royals,Sunrisers Eastern Cape,sat00098
MI Cape Town,Sunrisers Eastern Cape,sat00099
