name,group,key,stage
Syed Mushtaq Ali Trophy,A,sma00001,nan
Syed Mushtaq Ali Trophy,D,sma00002,nan
Syed Mushtaq Ali Trophy,D,sma00003,nan
Syed Mushtaq Ali Trophy,D,sma00004,nan
Syed Mushtaq Ali Trophy,C,sma00005,nan
Syed Mushtaq Ali Trophy,A,sma00006,nan
Syed Mushtaq Ali Trophy,B,sma00007,nan
Syed Mushtaq Ali Trophy,B,sma00008,nan
Syed Mushtaq Ali Trophy,B,sma00009,nan
Syed Mushtaq Ali Trophy,A,sma00010,nan
Syed Mushtaq Ali Trophy,C,sma00011,nan
Syed Mushtaq Ali Trophy,D,sma00012,nan
Syed Mushtaq Ali Trophy,D,sma00013,nan
Syed Mushtaq Ali Trophy,D,sma00014,nan
Syed Mushtaq Ali Trophy,C,sma00015,nan
Syed Mushtaq Ali Trophy,C,sma00016,nan
Syed Mushtaq Ali Trophy,C,sma00017,nan
Syed Mushtaq Ali Trophy,B,sma00018,nan
Syed Mushtaq Ali Trophy,B,sma00019,nan
Syed Mushtaq Ali Trophy,B,sma00020,nan
Syed Mushtaq Ali Trophy,A,sma00021,nan
Syed Mushtaq Ali Trophy,A,sma00022,nan
Syed Mushtaq Ali Trophy,A,sma00023,nan
Syed Mushtaq Ali Trophy,D,sma00024,nan
Syed Mushtaq Ali Trophy,D,sma00025,nan
Syed Mushtaq Ali Trophy,D,sma00026,nan
Syed Mushtaq Ali Trophy,C,sma00027,nan
Syed Mushtaq Ali Trophy,C,sma00028,nan
Syed Mushtaq Ali Trophy,B,sma00029,nan
Syed Mushtaq Ali Trophy,B,sma00030,nan
Syed Mushtaq Ali Trophy,A,sma00031,nan
Syed Mushtaq Ali Trophy,A,sma00032,nan
Syed Mushtaq Ali Trophy,A,sma00033,nan
Syed Mushtaq Ali Trophy,C,sma00034,nan
Syed Mushtaq Ali Trophy,A,sma00035,nan
Syed Mushtaq Ali Trophy,B,sma00036,nan
Syed Mushtaq Ali Trophy,B,sma00037,nan
Syed Mushtaq Ali Trophy,B,sma00038,nan
Syed Mushtaq Ali Trophy,C,sma00039,nan
Syed Mushtaq Ali Trophy,C,sma00040,nan
Syed Mushtaq Ali Trophy,C,sma00041,nan
Syed Mushtaq Ali Trophy,D,sma00042,nan
Syed Mushtaq Ali Trophy,D,sma00043,nan
Syed Mushtaq Ali Trophy,D,sma00044,nan
Syed Mushtaq Ali Trophy,C,sma00045,nan
Syed Mushtaq Ali Trophy,C,sma00046,nan
Syed Mushtaq Ali Trophy,B,sma00047,nan
Syed Mushtaq Ali Trophy,A,sma00048,nan
