balls_per_over,date,gender,match_type,missing,overs,season,team_type,venue,key,player_of_match,city
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,St  Pauls college ground  Kalamassery,sma00001,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00002,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,DRIEMS Ground,sma00003,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00004,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00005,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00006,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00007,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00008,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,VCA Ground,sma00009,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,Alembic 1 Cricket Ground,sma00010,,
6,2016-01-02,male,T20,['umpires'],20,2015/16,club,VCA Ground,sma00011,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00012,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00013,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00014,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,Alembic 1 Cricket Ground,sma00015,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,DRIEMS Ground,sma00016,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00017,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,St  Pauls college ground  Kalamassery,sma00018,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00019,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,VCA Ground,sma00020,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00021,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00022,,
6,2016-01-03,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00023,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00024,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00025,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,DRIEMS Ground,sma00026,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00027,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00028,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,St  Pauls college ground  Kalamassery,sma00029,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00030,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,VCA Ground,sma00031,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00032,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00033,,
6,2016-01-04,male,T20,['umpires'],20,2015/16,club,VCA Ground,sma00034,,
6,2016-01-06,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00035,,
6,2016-01-06,male,T20,['umpires'],20,2015/16,club,St  Pauls college ground  Kalamassery,sma00036,,
6,2016-01-06,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00037,,
6,2016-01-06,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00038,,
6,2016-01-06,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00039,,
6,2016-01-06,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00040,,
6,2016-01-06,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00041,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00042,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,VCA Ground,sma00043,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00044,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00045,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,St  Pauls college ground  Kalamassery,sma00046,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00047,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00048,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00049,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,DRIEMS Ground,sma00050,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00051,,
6,2016-01-07,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00052,,
6,2016-01-08,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00053,,
6,2016-01-08,male,T20,['umpires'],20,2015/16,club,Barabati Stadium,sma00054,,
6,2016-01-08,male,T20,['umpires'],20,2015/16,club,DRIEMS Ground,sma00055,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,St  Pauls college ground  Kalamassery,sma00056,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00057,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00058,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00059,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00060,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00061,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,Motibaug Cricket Ground,sma00062,,
6,2016-01-09,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00063,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,Alembic 1 Cricket Ground,sma00064,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,St  Pauls college ground  Kalamassery,sma00065,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00066,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00067,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,"Vidarbha Cricket Association Stadium, Jamtha",sma00068,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,VCA Ground,sma00069,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,Jawaharlal Nehru Stadium,sma00070,,
6,2016-01-10,male,T20,['umpires'],20,2015/16,club,Reliance Cricket Stadium,sma00071,,
6,2016-01-15,male,T20,['umpires'],20,2015/16,club,Wankhede Stadium,sma00072,,
6,2016-01-15,male,T20,['umpires'],20,2015/16,club,Sharad Pawar Cricket Academy BKC,sma00073,,
6,2016-01-15,male,T20,['umpires'],20,2015/16,club,Wankhede Stadium,sma00074,,
6,2016-01-16,male,T20,['umpires'],20,2015/16,club,Wankhede Stadium,sma00075,,
6,2016-01-16,male,T20,['umpires'],20,2015/16,club,Sharad Pawar Cricket Academy BKC,sma00076,,
