winner,by.wickets,key,by.runs,result,eliminator,method
Himachal,5.0,sma00001,,,,
Uttar Pradesh,7.0,sma00002,,,,
Services,3.0,sma00003,,,,
Mumbai,6.0,sma00004,,,,
Delhi,4.0,sma00005,,,,
Bengal,,sma00006,61.0,,,
Saurashtra,,sma00007,66.0,,,
Kerala,5.0,sma00008,,,,
Rajasthan,4.0,sma00009,,,,
Tamil Nadu,9.0,sma00010,,,,
Madhya Pradesh,5.0,sma00011,,,,
Maharashtra,,sma00012,31.0,,,
Karnataka,,sma00013,1.0,,,
Uttar Pradesh,,sma00014,32.0,,,
Baroda,,sma00015,9.0,,,
Delhi,,sma00016,111.0,,,
Madhya Pradesh,7.0,sma00017,,,,
Jharkhand,9.0,sma00018,,,,
Kerala,,sma00019,18.0,,,
Punjab,8.0,sma00020,,,,
Tamil Nadu,,sma00021,69.0,,,
Hyderabad (India),,sma00022,14.0,,,
Gujarat,,sma00023,60.0,,,
Maharashtra,4.0,sma00024,,,,
Mumbai,8.0,sma00025,,,,
Uttar Pradesh,5.0,sma00026,,,,
Railways,,sma00027,7.0,,,
Delhi,4.0,sma00028,,,,
Saurashtra,,sma00029,73.0,,,
Kerala,8.0,sma00030,,,,
Bengal,,sma00031,2.0,,,
Gujarat,3.0,sma00032,,,,
Vidarbha,8.0,sma00033,,,,
Assam,4.0,sma00034,,,,
Gujarat,8.0,sma00035,,,,
Kerala,,sma00036,50.0,,,
Punjab,7.0,sma00037,,,,
Tripura,4.0,sma00038,,,,
Delhi,8.0,sma00039,,,,
Madhya Pradesh,6.0,sma00040,,,,
Baroda,,sma00041,72.0,,,
Services,4.0,sma00042,,,,
Maharashtra,,sma00043,26.0,,,
Uttar Pradesh,4.0,sma00044,,,,
Baroda,,sma00045,53.0,,,
Andhra,,sma00046,12.0,,,
Saurashtra,,sma00047,25.0,,,
Vidarbha,4.0,sma00048,,,,
Punjab,8.0,sma00049,,,,
Jharkhand,,sma00050,76.0,,,
Tamil Nadu,9.0,sma00051,,,,
Railways,,sma00052,49.0,,,
Karnataka,6.0,sma00053,,,,
Uttar Pradesh,,sma00054,57.0,,,
Mumbai,8.0,sma00055,,,,
Baroda,3.0,sma00056,,,,
Assam,5.0,sma00057,,,,
Delhi,,sma00058,2.0,,,
Haryana,,sma00059,17.0,,,
Jharkhand,7.0,sma00060,,,,
Kerala,5.0,sma00061,,,,
Vidarbha,5.0,sma00062,,,,
Tripura,1.0,sma00063,,,,
Delhi,5.0,sma00064,,,,
Goa,9.0,sma00065,,,,
Jharkhand,6.0,sma00066,,,,
Madhya Pradesh,5.0,sma00067,,,,
Saurashtra,,sma00068,19.0,,,
Tamil Nadu,4.0,sma00069,,,,
Gujarat,9.0,sma00070,,,,
Rajasthan,,sma00071,45.0,,,
Baroda,6.0,sma00072,,,,
Gujarat,8.0,sma00073,,,,
Mumbai,6.0,sma00074,,,,
Kerala,4.0,sma00075,,,,
Delhi,5.0,sma00076,,,,
Mumbai,5.0,sma00077,,,,
Uttar Pradesh,7.0,sma00078,,,,
Uttar Pradesh,3.0,sma00079,,,,
Gujarat,6.0,sma00080,,,,
Kerala,2.0,sma00081,,,,
Baroda,1.0,sma00082,,,,
