team,name,key,batting_position
Jammu & Kashmir,Ahmed Banday,sma00001,1.0
Jammu & Kashmir,Adil Reshi,sma00001,2.0
Jammu & Kashmir,Bandeep Singh,sma00001,3.0
Jammu & Kashmir,Ian Dev Singh,sma00001,4.0
Jammu & Kashmir,M Manhas,sma00001,5.0
Jammu & Kashmir,Parvez Rasool,sma00001,6.0
Jammu & Kashmir,Syed Sagar,sma00001,7.0
Jammu & Kashmir,Zahoor Sofi,sma00001,8.0
Jammu & Kashmir,Mohammed Mudhasir,sma00001,
Jammu & Kashmir,Waseem Raza,sma00001,
Jammu & Kashmir,Rohit Sharma,sma00001,
Kerala,S Sandeep Warrier,sma00001,
Kerala,Basil Thampi,sma00001,
Kerala,P Prasanth,sma00001,
Kerala,RV Gomez,sma00001,7.0
Kerala,Fabid Ahmed,sma00001,
Kerala,VA Jagadeesh,sma00001,1.0
Kerala,Mohammed Azharuddeen,sma00001,2.0
Kerala,Rohan Prem,sma00001,3.0
Kerala,SV Samson,sma00001,4.0
Kerala,Sachin Baby,sma00001,5.0
Kerala,Vinoop Manoharan,sma00001,6.0
Saurashtra,SP Jackson,sma00002,1.0
Saurashtra,CA Pujara,sma00002,2.0
Saurashtra,Jaydev Shah,sma00002,3.0
Saurashtra,AA Barot,sma00002,4.0
Saurashtra,Chirag Jani,sma00002,5.0
Saurashtra,Deepak Punia,sma00002,6.0
Saurashtra,JD Unadkat,sma00002,7.0
Saurashtra,S Sanandia,sma00002,8.0
Saurashtra,Arpit Vasavada,sma00002,
Saurashtra,K Makwana,sma00002,
Saurashtra,Dharmendrasinh Jadeja,sma00002,
Tripura,Manisankar Murasingh,sma00002,6.0
Tripura,Rana Dutta,sma00002,10.0
Tripura,SS Majumder,sma00002,9.0
Tripura,Rajat Dey,sma00002,4.0
Tripura,CK Paul,sma00002,11.0
Tripura,SC Das,sma00002,8.0
Tripura,RD Banik,sma00002,3.0
Tripura,U U Bose,sma00002,1.0
Tripura,SM Singha,sma00002,2.0
Tripura,NN Sen Chowdhary,sma00002,5.0
Tripura,NN Sen,sma00002,7.0
Maharashtra,HH Khadiwale,sma00003,1.0
Maharashtra,RH Motwani,sma00003,2.0
Maharashtra,KM Jadhav,sma00003,3.0
Maharashtra,AR Bawne,sma00003,4.0
Maharashtra,SS Mundhe,sma00003,5.0
Maharashtra,RA Tripathi,sma00003,6.0
Maharashtra,NS Naik,sma00003,7.0
Maharashtra,PJ Bhati,sma00003,8.0
Maharashtra,SM Kazi,sma00003,9.0
Maharashtra,DJ Muthuswami,sma00003,
Maharashtra,SM Fallah,sma00003,
Uttar Pradesh,P Kumar,sma00003,
Uttar Pradesh,AS Rajpoot,sma00003,
Uttar Pradesh,Amit Mishra,sma00003,
Uttar Pradesh,PP Chawla,sma00003,
Uttar Pradesh,Kuldeep Yadav,sma00003,
Uttar Pradesh,AD Nath,sma00003,5.0
Uttar Pradesh,Prashant Gupta,sma00003,1.0
Uttar Pradesh,Samarth Singh,sma00003,2.0
Uttar Pradesh,ER Dwivedi,sma00003,3.0
Uttar Pradesh,Umang Sharma,sma00003,4.0
Uttar Pradesh,Saurabh Dubey,sma00003,
Karnataka,Mohammed Taha,sma00004,1.0
Karnataka,MA Agarwal,sma00004,2.0
Karnataka,RV Uthappa,sma00004,3.0
Karnataka,KK Nair,sma00004,4.0
Karnataka,STR Binny,sma00004,5.0
Karnataka,CM Gautam,sma00004,6.0
Karnataka,R Vinay Kumar,sma00004,7.0
Karnataka,J Suchith,sma00004,8.0
Karnataka,A Mithun,sma00004,9.0
Karnataka,S Aravind,sma00004,10.0
Karnataka,KC Cariappa,sma00004,
Services,Raushan Raj,sma00004,9.0
Services,Nitin Yadav,sma00004,
Services,D Rai,sma00004,
Services,Sumit Singh,sma00004,7.0
Services,Avishek Sinha,sma00004,8.0
Services,Aanshul Gupta,sma00004,1.0
Services,Devender Lohchab,sma00004,2.0
Services,Nakul Verma,sma00004,3.0
Services,Rajat Paliwal,sma00004,4.0
Services,Yashpal Singh,sma00004,5.0
Services,SR Swain,sma00004,6.0
Odisha,Tukuna Sahoo,sma00005,1.0
Odisha,Bikas Pati,sma00005,2.0
Odisha,Rosan Kumar Rao,sma00005,3.0
Odisha,Govinda Poddar,sma00005,4.0
Odisha,Abhishek Yadav,sma00005,5.0
Odisha,BB Samantray,sma00005,6.0
Odisha,Arabind Singh,sma00005,7.0
Odisha,Lagnajit Samal,sma00005,8.0
Odisha,Alok Sahoo,sma00005,9.0
Odisha,Deepak Behera,sma00005,10.0
Odisha,Basant Mohanty,sma00005,11.0
Mumbai,DS Kulkarni,sma00005,
Mumbai,SN Thakur,sma00005,
Mumbai,RR Raje,sma00005,
Mumbai,AM Nayar,sma00005,6.0
Mumbai,PV Tambe,sma00005,
Mumbai,AA Herwadkar,sma00005,1.0
Mumbai,SS Iyer,sma00005,2.0
Mumbai,AP Tare,sma00005,3.0
Mumbai,SA Yadav,sma00005,4.0
Mumbai,SD Lad,sma00005,5.0
Mumbai,AS Raut,sma00005,
Gujarat,PA Patel,sma00006,1.0
Gujarat,Priyank Panchal,sma00006,2.0
Gujarat,MC Juneja,sma00006,3.0
Gujarat,RH Bhatt,sma00006,4.0
Gujarat,Chirag Gandhi,sma00006,5.0
Gujarat,Rohit Dahiya,sma00006,6.0
Gujarat,Himalaya Barad,sma00006,7.0
Gujarat,Roosh Kalaria,sma00006,
Gujarat,JJ Bumrah,sma00006,
Gujarat,HP Patel,sma00006,
Gujarat,RP Singh,sma00006,
Himachal,RG More,sma00006,
Himachal,AN Chauhan,sma00006,
Himachal,Pankaj Jaswal,sma00006,
Himachal,Bipul Sharma,sma00006,5.0
Himachal,Rahul Khajan Singh,sma00006,
Himachal,Nikhil Gangta,sma00006,6.0
