team_1,team_2,key
Gujarat,Himachal,sma00001
Maharashtra,Uttar Pradesh,sma00002
Karnataka,Services,sma00003
Odisha,Mumbai,sma00004
Railways,Delhi,sma00005
Bengal,Hyderabad (India),sma00006
Saurashtra,Tripura,sma00007
Jammu & Kashmir,Kerala,sma00008
Punjab,Rajasthan,sma00009
Haryana,Tamil Nadu,sma00010
Andhra,Madhya Pradesh,sma00011
Maharashtra,Services,sma00012
Karnataka,Mumbai,sma00013
Uttar Pradesh,Odisha,sma00014
Baroda,Railways,sma00015
Delhi,Andhra,sma00016
Goa,Madhya Pradesh,sma00017
Tripura,Jharkhand,sma00018
Kerala,Rajasthan,sma00019
Jammu & Kashmir,Punjab,sma00020
Tamil Nadu,Bengal,sma00021
Hyderabad (India),Himachal,sma00022
Gujarat,Vidarbha,sma00023
Odisha,Maharashtra,sma00024
Services,Mumbai,sma00025
Karnataka,Uttar Pradesh,sma00026
Railways,Andhra,sma00027
Madhya Pradesh,Delhi,sma00028
Saurashtra,Jammu & Kashmir,sma00029
Tripura,Kerala,sma00030
Bengal,Himachal,sma00031
Hyderabad (India),Gujarat,sma00032
Haryana,Vidarbha,sma00033
Goa,Assam,sma00034
Bengal,Gujarat,sma00035
Kerala,Saurashtra,sma00036
Jharkhand,Punjab,sma00037
Jammu & Kashmir,Tripura,sma00038
Assam,Delhi,sma00039
Railways,Madhya Pradesh,sma00040
Baroda,Goa,sma00041
Odisha,Services,sma00042
Maharashtra,Karnataka,sma00043
Mumbai,Uttar Pradesh,sma00044
Baroda,Madhya Pradesh,sma00045
Andhra,Assam,sma00046
Saurashtra,Rajasthan,sma00047
Bengal,Vidarbha,sma00048
Tripura,Punjab,sma00049
Jharkhand,Jammu & Kashmir,sma00050
Gujarat,Tamil Nadu,sma00051
Railways,Goa,sma00052
Odisha,Karnataka,sma00053
Uttar Pradesh,Services,sma00054
Maharashtra,Mumbai,sma00055
Andhra,Baroda,sma00056
Railways,Assam,sma00057
Delhi,Goa,sma00058
Haryana,Bengal,sma00059
Saurashtra,Jharkhand,sma00060
Punjab,Kerala,sma00061
Hyderabad (India),Vidarbha,sma00062
Rajasthan,Tripura,sma00063
Baroda,Delhi,sma00064
Andhra,Goa,sma00065
Kerala,Jharkhand,sma00066
Assam,Madhya Pradesh,sma00067
Saurashtra,Punjab,sma00068
Hyderabad (India),Tamil Nadu,sma00069
Haryana,Gujarat,sma00070
Rajasthan,Jammu & Kashmir,sma00071
Vidarbha,Baroda,sma00072
Delhi,Gujarat,sma00073
Kerala,Mumbai,sma00074
Baroda,Kerala,sma00075
Jharkhand,Delhi,sma00076
Vidarbha,Mumbai,sma00077
Gujarat,Uttar Pradesh,sma00078
Delhi,Uttar Pradesh,sma00079
Jharkhand,Gujarat,sma00080
Vidarbha,Kerala,sma00081
Mumbai,Baroda,sma00082
Uttar Pradesh,Baroda,sma00083
Baroda,Mumbai,sma00084
Gujarat,Maharashtra,sma00085
Hyderabad (India),Kerala,sma00086
Gujarat,Mumbai,sma00087
Odisha,Bengal,sma00088
Andhra,Tamil Nadu,sma00089
Jammu & Kashmir,Services,sma00090
Karnataka,Goa,sma00091
Saurashtra,Maharashtra,sma00092
Tripura,Assam,sma00093
Rajasthan,Madhya Pradesh,sma00094
Himachal,Haryana,sma00095
Vidarbha,Chhattisgarh,sma00096
Hyderabad (India),Goa,sma00097
Himachal,Jammu & Kashmir,sma00098
Karnataka,Andhra,sma00099
Tamil Nadu,Kerala,sma00100
Punjab,Delhi,sma00101
Uttar Pradesh,Rajasthan,sma00102
Vidarbha,Railways,sma00103
Uttar Pradesh,Madhya Pradesh,sma00104
Baroda,Gujarat,sma00105
Chhattisgarh,Railways,sma00106
Services,Punjab,sma00107
Mumbai,Saurashtra,sma00108
Jharkhand,Tripura,sma00109
Odisha,Assam,sma00110
Saurashtra,Baroda,sma00111
Tamil Nadu,Goa,sma00112
Kerala,Andhra,sma00113
Maharashtra,Mumbai,sma00114
Karnataka,Hyderabad (India),sma00115
Jharkhand,Bengal,sma00116
Karnataka,Tamil Nadu,sma00117
Hyderabad (India),Andhra,sma00118
Odisha,Tripura,sma00119
Chhattisgarh,Rajasthan,sma00120
Goa,Kerala,sma00121
Jammu & Kashmir,Delhi,sma00122
Vidarbha,Madhya Pradesh,sma00123
Punjab,Haryana,sma00124
Railways,Uttar Pradesh,sma00125
Himachal,Services,sma00126
Saurashtra,Gujarat,sma00127
Vidarbha,Rajasthan,sma00128
Maharashtra,Baroda,sma00129
Karnataka,Kerala,sma00130
Assam,Jharkhand,sma00131
Andhra,Goa,sma00132
Chhattisgarh,Madhya Pradesh,sma00133
Tamil Nadu,Hyderabad (India),sma00134
Himachal,Delhi,sma00135
Tripura,Bengal,sma00136
Jammu & Kashmir,Punjab,sma00137
Madhya Pradesh,Railways,sma00138
Services,Haryana,sma00139
Uttar Pradesh,Vidarbha,sma00140
Punjab,Himachal,sma00141
Odisha,Jharkhand,sma00142
Assam,Bengal,sma00143
Delhi,Services,sma00144
Chhattisgarh,Uttar Pradesh,sma00145
Karnataka,Punjab,sma00146
Mumbai,Jharkhand,sma00147
Tamil Nadu,Delhi,sma00148
Baroda,Bengal,sma00149
Uttar Pradesh,Bengal,sma00150
Jharkhand,Rajasthan,sma00151
Mumbai,Punjab,sma00152
Rajasthan,Karnataka,sma00153
Uttar Pradesh,Tamil Nadu,sma00154
Rajasthan,Mumbai,sma00155
Karnataka,Jharkhand,sma00156
Baroda,Uttar Pradesh,sma00157
Tamil Nadu,Bengal,sma00158
Tamil Nadu,Baroda,sma00159
Mumbai,Karnataka,sma00160
Punjab,Rajasthan,sma00161
Delhi,Uttar Pradesh,sma00162
Arunachal Pradesh,Haryana,sma00163
Services,Uttarakhand,sma00164
Puducherry,Hyderabad (India),sma00165
Tripura,Baroda,sma00166
Bengal,Mizoram,sma00167
Odisha,Chhattisgarh,sma00168
Maharashtra,Uttar Pradesh,sma00169
Saurashtra,Railways,sma00170
Rajasthan,Tamil Nadu,sma00171
Gujarat,Meghalaya,sma00172
Nagaland,Jammu & Kashmir,sma00173
Mumbai,Sikkim,sma00174
Kerala,Manipur,sma00175
Jharkhand,Delhi,sma00176
Tripura,Services,sma00177
Puducherry,Maharashtra,sma00178
Hyderabad (India),Uttar Pradesh,sma00179
Baroda,Uttarakhand,sma00180
Bengal,Karnataka,sma00181
Haryana,Odisha,sma00182
Assam,Mizoram,sma00183
Jammu & Kashmir,Jharkhand,sma00184
Mumbai,Punjab,sma00185
Madhya Pradesh,Saurashtra,sma00186
Bihar,Vidarbha,sma00187
Himachal,Meghalaya,sma00188
Andhra,Nagaland,sma00189
Manipur,Delhi,sma00190
Sikkim,Goa,sma00191
Uttar Pradesh,Tripura,sma00192
Uttarakhand,Puducherry,sma00193
Maharashtra,Services,sma00194
Hyderabad (India),Baroda,sma00195
Karnataka,Arunachal Pradesh,sma00196
Mizoram,Odisha,sma00197
Haryana,Bengal,sma00198
Chhattisgarh,Assam,sma00199
Punjab,Saurashtra,sma00200
Madhya Pradesh,Mumbai,sma00201
Bihar,Tamil Nadu,sma00202
Rajasthan,Meghalaya,sma00203
Gujarat,Himachal,sma00204
Kerala,Andhra,sma00205
Jharkhand,Manipur,sma00206
Jammu & Kashmir,Delhi,sma00207
Goa,Railways,sma00208
Haryana,Chhattisgarh,sma00209
Uttar Pradesh,Puducherry,sma00210
Hyderabad (India),Maharashtra,sma00211
Baroda,Services,sma00212
Karnataka,Mizoram,sma00213
Arunachal Pradesh,Odisha,sma00214
Assam,Bengal,sma00215
Uttarakhand,Tripura,sma00216
Goa,Mumbai,sma00217
Madhya Pradesh,Railways,sma00218
Vidarbha,Rajasthan,sma00219
Bihar,Himachal,sma00220
Tamil Nadu,Gujarat,sma00221
Nagaland,Manipur,sma00222
Andhra,Jammu & Kashmir,sma00223
Kerala,Delhi,sma00224
Sikkim,Saurashtra,sma00225
Uttarakhand,Maharashtra,sma00226
Puducherry,Baroda,sma00227
Bengal,Arunachal Pradesh,sma00228
Haryana,Mizoram,sma00229
Chhattisgarh,Karnataka,sma00230
Assam,Odisha,sma00231
Railways,Mumbai,sma00232
Uttar Pradesh,Services,sma00233
Goa,Madhya Pradesh,sma00234
Tamil Nadu,Himachal,sma00235
Vidarbha,Meghalaya,sma00236
Gujarat,Bihar,sma00237
Kerala,Jammu & Kashmir,sma00238
Jharkhand,Nagaland,sma00239
Delhi,Andhra,sma00240
Sikkim,Punjab,sma00241
Uttar Pradesh,Uttarakhand,sma00242
Puducherry,Tripura,sma00243
Hyderabad (India),Services,sma00244
Baroda,Maharashtra,sma00245
Mizoram,Arunachal Pradesh,sma00246
Karnataka,Odisha,sma00247
Bengal,Chhattisgarh,sma00248
Assam,Haryana,sma00249
Punjab,Goa,sma00250
Himachal,Rajasthan,sma00251
Vidarbha,Tamil Nadu,sma00252
Meghalaya,Bihar,sma00253
Manipur,Jammu & Kashmir,sma00254
Nagaland,Kerala,sma00255
Andhra,Jharkhand,sma00256
Sikkim,Railways,sma00257
Services,Puducherry,sma00258
Maharashtra,Tripura,sma00259
Hyderabad (India),Uttarakhand,sma00260
Baroda,Uttar Pradesh,sma00261
Odisha,Bengal,sma00262
Karnataka,Haryana,sma00263
Arunachal Pradesh,Assam,sma00264
Chhattisgarh,Mizoram,sma00265
Railways,Punjab,sma00266
Goa,Saurashtra,sma00267
Nagaland,Delhi,sma00268
Andhra,Manipur,sma00269
Kerala,Jharkhand,sma00270
Madhya Pradesh,Sikkim,sma00271
Gujarat,Vidarbha,sma00272
Tamil Nadu,Meghalaya,sma00273
Jharkhand,Gujarat,sma00274
Delhi,Vidarbha,sma00275
Railways,Bengal,sma00276
Mumbai,Karnataka,sma00277
Bengal,Maharashtra,sma00278
Delhi,Mumbai,sma00279
Karnataka,Uttar Pradesh,sma00280
Railways,Jharkhand,sma00281
Delhi,Karnataka,sma00282
Vidarbha,Uttar Pradesh,sma00283
Jharkhand,Bengal,sma00284
Gujarat,Maharashtra,sma00285
Uttar Pradesh,Delhi,sma00286
Railways,Gujarat,sma00287
Vidarbha,Mumbai,sma00288
Vidarbha,Karnataka,sma00289
Gujarat,Bengal,sma00290
Mumbai,Uttar Pradesh,sma00291
Maharashtra,Karnataka,sma00292
Uttarakhand,Karnataka,sma00293
Bihar,Andhra,sma00294
Tamil Nadu,Kerala,sma00295
Tripura,Vidarbha,sma00296
Arunachal Pradesh,Chhattisgarh,sma00297
Hyderabad (India),Punjab,sma00298
Mizoram,Mumbai,sma00299
Baroda,Goa,sma00300
Rajasthan,Manipur,sma00301
Maharashtra,Railways,sma00302
Nagaland,Saurashtra,sma00303
Mizoram,Bengal,sma00304
Hyderabad (India),Railways,sma00305
Puducherry,Meghalaya,sma00306
Saurashtra,Jharkhand,sma00307
Sikkim,Nagaland,sma00308
Haryana,Mumbai,sma00309
Uttar Pradesh,Vidarbha,sma00310
Tamil Nadu,Rajasthan,sma00311
Himachal,Chhattisgarh,sma00312
Arunachal Pradesh,Punjab,sma00313
Manipur,Tripura,sma00314
Goa,Bihar,sma00315
Baroda,Karnataka,sma00316
Uttarakhand,Services,sma00317
Sikkim,Odisha,sma00318
Assam,Haryana,sma00319
Madhya Pradesh,Mumbai,sma00320
Arunachal Pradesh,Maharashtra,sma00321
Kerala,Tripura,sma00322
Saurashtra,Gujarat,sma00323
Nagaland,Delhi,sma00324
Chandigarh,Punjab,sma00325
Bengal,Meghalaya,sma00326
Himachal,Hyderabad (India),sma00327
Chhattisgarh,Railways,sma00328
Tamil Nadu,Uttar Pradesh,sma00329
Vidarbha,Manipur,sma00330
Services,Bihar,sma00331
Baroda,Uttarakhand,sma00332
Puducherry,Mizoram,sma00333
Chandigarh,Hyderabad (India),sma00334
Himachal,Punjab,sma00335
Vidarbha,Rajasthan,sma00336
Goa,Uttarakhand,sma00337
Saurashtra,Delhi,sma00338
Madhya Pradesh,Mizoram,sma00339
Tripura,Uttar Pradesh,sma00340
Chhattisgarh,Maharashtra,sma00341
Arunachal Pradesh,Railways,sma00342
Kerala,Manipur,sma00343
Karnataka,Services,sma00344
Andhra,Baroda,sma00345
Assam,Meghalaya,sma00346
Bengal,Haryana,sma00347
Mumbai,Puducherry,sma00348
Sikkim,Jharkhand,sma00349
Jammu & Kashmir,Odisha,sma00350
Uttarakhand,Andhra,sma00351
Nagaland,Jharkhand,sma00352
Madhya Pradesh,Meghalaya,sma00353
Mizoram,Assam,sma00354
Hyderabad (India),Maharashtra,sma00355
Arunachal Pradesh,Himachal,sma00356
Manipur,Tamil Nadu,sma00357
Services,Goa,sma00358
