decision,winner,key
field,Himachal,sma00001
field,Uttar Pradesh,sma00002
field,Services,sma00003
field,Mumbai,sma00004
field,Delhi,sma00005
bat,Bengal,sma00006
bat,Saurashtra,sma00007
field,Kerala,sma00008
field,Rajasthan,sma00009
bat,Haryana,sma00010
field,Madhya Pradesh,sma00011
field,Services,sma00012
field,Mumbai,sma00013
field,Odisha,sma00014
bat,Baroda,sma00015
field,Andhra,sma00016
field,Madhya Pradesh,sma00017
field,Jharkhand,sma00018
field,Rajasthan,sma00019
field,Punjab,sma00020
field,Bengal,sma00021
field,Himachal,sma00022
field,Vidarbha,sma00023
bat,Odisha,sma00024
field,Mumbai,sma00025
bat,Karnataka,sma00026
field,Andhra,sma00027
field,Delhi,sma00028
field,Jammu & Kashmir,sma00029
field,Kerala,sma00030
bat,Bengal,sma00031
bat,Hyderabad (India),sma00032
bat,Haryana,sma00033
field,Assam,sma00034
bat,Bengal,sma00035
field,Saurashtra,sma00036
field,Punjab,sma00037
bat,Jammu & Kashmir,sma00038
field,Delhi,sma00039
field,Madhya Pradesh,sma00040
field,Goa,sma00041
field,Services,sma00042
field,Karnataka,sma00043
field,Uttar Pradesh,sma00044
field,Madhya Pradesh,sma00045
field,Assam,sma00046
bat,Saurashtra,sma00047
bat,Bengal,sma00048
bat,Tripura,sma00049
field,Jammu & Kashmir,sma00050
bat,Gujarat,sma00051
field,Goa,sma00052
field,Karnataka,sma00053
field,Services,sma00054
field,Mumbai,sma00055
bat,Andhra,sma00056
field,Assam,sma00057
field,Goa,sma00058
bat,Haryana,sma00059
field,Jharkhand,sma00060
field,Kerala,sma00061
field,Vidarbha,sma00062
field,Tripura,sma00063
field,Delhi,sma00064
field,Goa,sma00065
field,Jharkhand,sma00066
field,Madhya Pradesh,sma00067
bat,Saurashtra,sma00068
field,Tamil Nadu,sma00069
field,Gujarat,sma00070
field,Jammu & Kashmir,sma00071
field,Baroda,sma00072
field,Gujarat,sma00073
field,Mumbai,sma00074
field,Kerala,sma00075
field,Delhi,sma00076
field,Mumbai,sma00077
field,Uttar Pradesh,sma00078
field,Uttar Pradesh,sma00079
field,Gujarat,sma00080
field,Kerala,sma00081
field,Baroda,sma00082
field,Baroda,sma00083
bat,Baroda,sma00084
field,Maharashtra,sma00085
field,Kerala,sma00086
field,Mumbai,sma00087
bat,Odisha,sma00088
bat,Andhra,sma00089
bat,Jammu & Kashmir,sma00090
field,Goa,sma00091
bat,Saurashtra,sma00092
field,Assam,sma00093
field,Madhya Pradesh,sma00094
field,Haryana,sma00095
bat,Vidarbha,sma00096
bat,Hyderabad (India),sma00097
bat,Himachal,sma00098
field,Andhra,sma00099
field,Kerala,sma00100
field,Delhi,sma00101
field,Rajasthan,sma00102
bat,Vidarbha,sma00103
field,Madhya Pradesh,sma00104
bat,Baroda,sma00105
bat,Chhattisgarh,sma00106
bat,Services,sma00107
bat,Mumbai,sma00108
field,Tripura,sma00109
field,Assam,sma00110
bat,Saurashtra,sma00111
bat,Tamil Nadu,sma00112
field,Andhra,sma00113
field,Mumbai,sma00114
