match_number,name,key,group,stage
1.0,Sri Lanka in New Zealand T20I Series,t20s00010,nan,nan
2.0,Sri Lanka in New Zealand T20I Series,t20s00011,nan,nan
1.0,West Indies in England T20I Series,t20s00013,nan,nan
2.0,West Indies in England T20I Series,t20s00014,nan,nan
1.0,Twenty20 Quadrangular (in Kenya),t20s00015,nan,nan
2.0,Twenty20 Quadrangular (in Kenya),t20s00016,nan,nan
3.0,Twenty20 Quadrangular (in Kenya),t20s00017,nan,nan
1.0,ICC World Twenty20,t20s00018,A,nan
2.0,ICC World Twenty20,t20s00019,C,nan
3.0,ICC World Twenty20,t20s00020,D,nan
4.0,ICC World Twenty20,t20s00021,B,nan
5.0,ICC World Twenty20,t20s00022,A,nan
6.0,ICC World Twenty20,t20s00023,B,nan
8.0,ICC World Twenty20,t20s00024,C,nan
9.0,ICC World Twenty20,t20s00025,B,nan
10.0,ICC World Twenty20,t20s00026,D,nan
12.0,ICC World Twenty20,t20s00027,A,nan
11.0,ICC World Twenty20,t20s00028,C,nan
13.0,ICC World Twenty20,t20s00029,E,nan
14.0,ICC World Twenty20,t20s00030,F,nan
15.0,ICC World Twenty20,t20s00031,E,nan
16.0,ICC World Twenty20,t20s00032,F,nan
17.0,ICC World Twenty20,t20s00033,E,nan
18.0,ICC World Twenty20,t20s00034,F,nan
19.0,ICC World Twenty20,t20s00035,F,nan
20.0,ICC World Twenty20,t20s00036,E,nan
21.0,ICC World Twenty20,t20s00037,E,nan
22.0,ICC World Twenty20,t20s00038,F,nan
23.0,ICC World Twenty20,t20s00039,F,nan
24.0,ICC World Twenty20,t20s00040,E,nan
,ICC World Twenty20,t20s00041,nan,Semi Final
,ICC World Twenty20,t20s00042,nan,Semi Final
,ICC World Twenty20,t20s00043,nan,Final
1.0,West Indies in South Africa T20I Series,t20s00047,nan,nan
2.0,West Indies in South Africa T20I Series,t20s00048,nan,nan
1.0,England in New Zealand T20I Series,t20s00050,nan,nan
2.0,England in New Zealand T20I Series,t20s00051,nan,nan
4.0,ICC World Twenty20 Qualifier,t20s00055,A,nan
,ICC World Twenty20 Qualifier,t20s00056,nan,Semi Final
,ICC World Twenty20 Qualifier,t20s00057,nan,Semi Final
4.0,T20 Canada,t20s00058,nan,nan
,T20 Canada,t20s00059,nan,Final
1.0,West Indies tour of New Zealand,t20s00061,nan,nan
2.0,West Indies in New Zealand T20I Series,t20s00062,nan,nan
1.0,South Africa in Australia T20I Series,t20s00063,nan,nan
2.0,South Africa in Australia T20I Series,t20s00064,nan,nan
1.0,India in New Zealand T20I Series,t20s00067,nan,nan
2.0,India in New Zealand T20I Series,t20s00068,nan,nan
1.0,Australia in South Africa T20I Series,t20s00070,nan,nan
2.0,Australia in South Africa T20I Series,t20s00071,nan,nan
1.0,ICC World Twenty20,t20s00073,B,nan
4.0,ICC World Twenty20,t20s00074,A,nan
2.0,ICC World Twenty20,t20s00075,D,nan
3.0,ICC World Twenty20,t20s00076,C,nan
5.0,ICC World Twenty20,t20s00077,D,nan
6.0,ICC World Twenty20,t20s00078,B,nan
7.0,ICC World Twenty20,t20s00079,A,nan
8.0,ICC World Twenty20,t20s00080,C,nan
9.0,ICC World Twenty20,t20s00081,B,nan
10.0,ICC World Twenty20,t20s00082,D,nan
12.0,ICC World Twenty20,t20s00083,A,nan
11.0,ICC World Twenty20,t20s00084,C,nan
13.0,ICC World Twenty20,t20s00085,F,nan
14.0,ICC World Twenty20,t20s00086,E,nan
15.0,ICC World Twenty20,t20s00087,F,nan
16.0,ICC World Twenty20,t20s00088,E,nan
18.0,ICC World Twenty20,t20s00089,F,nan
17.0,ICC World Twenty20,t20s00090,E,nan
19.0,ICC World Twenty20,t20s00091,F,nan
20.0,ICC World Twenty20,t20s00092,E,nan
22.0,ICC World Twenty20,t20s00093,E,nan
21.0,ICC World Twenty20,t20s00094,F,nan
23.0,ICC World Twenty20,t20s00095,F,nan
24.0,ICC World Twenty20,t20s00096,E,nan
,ICC Women's World Twenty20,t20s00097,nan,Semi Final
,ICC World Twenty20,t20s00098,nan,Semi Final
,ICC World Twenty20,t20s00099,nan,Semi Final
,ICC Women's World Twenty20,t20s00100,nan,Semi Final
,ICC World Twenty20,t20s00101,nan,Final
