balls_per_over,city,date,gender,match_type,match_type_number,overs,player_of_match,season,team_type,venue,key,supersubs,bowl_out,missing
6,Auckland,2005-02-17,male,T20,1,20,RT Ponting,2004/05,international,Eden Park,t20s00001,,,
6,Southampton,2005-06-13,male,T20,2,20,KP Pietersen,2005,international,The Rose Bowl,t20s00002,,,
6,Johannesburg,2005-10-21,male,T20,3,20,JS Patel,2005/06,international,New Wanderers Stadium,t20s00003,"{'New Zealand': 'JAH Marshall', 'South Africa': 'N Boje'}",,
6,Brisbane,2006-01-09,male,T20,4,20,DR Martyn,2005/06,international,"Brisbane Cricket Ground, Woolloongabba",t20s00004,,,
6,Auckland,2006-02-16,male,T20,5,20,DR Smith,2005/06,international,Eden Park,t20s00005,,"[{'bowler': 'NJ Astle', 'outcome': 'miss'}, {'bowler': 'NJ Astle', 'outcome': 'miss'}, {'bowler': 'DR Smith', 'outcome': 'miss'}, {'bowler': 'DR Smith', 'outcome': 'miss'}, {'bowler': 'JS Patel', 'outcome': 'miss'}, {'bowler': 'JS Patel', 'outcome': 'miss'}, {'bowler': 'CH Gayle', 'outcome': 'miss'}, {'bowler': 'CH Gayle', 'outcome': 'miss'}, {'bowler': 'CL Cairns', 'outcome': 'miss'}, {'bowler': 'CL Cairns', 'outcome': 'miss'}, {'bowler': 'JE Taylor', 'outcome': 'miss'}, {'bowler': 'JE Taylor', 'outcome': 'miss'}, {'bowler': 'SE Bond', 'outcome': 'hit'}, {'bowler': 'SE Bond', 'outcome': 'hit'}, {'bowler': 'IDR Bradshaw', 'outcome': 'miss'}, {'bowler': 'IDR Bradshaw', 'outcome': 'miss'}, {'bowler': 'SB Styris', 'outcome': 'hit'}]",
6,Johannesburg,2006-02-24,male,T20,6,20,GC Smith,2005/06,international,New Wanderers Stadium,t20s00006,,,
6,Southampton,2006-06-15,male,T20,7,20,ST Jayasuriya,2006,international,The Rose Bowl,t20s00007,,,
6,Bristol,2006-08-28,male,T20,8,20,Shahid Afridi,2006,international,County Ground,t20s00008,,,
6,Johannesburg,2006-12-01,male,T20,10,20,KD Karthik,2006/07,international,New Wanderers Stadium,t20s00009,,,
6,Wellington,2006-12-22,male,T20,11,20,ST Jayasuriya,2006/07,international,Westpac Stadium,t20s00010,,,
