winner,by.runs,key,by.wickets,bowl_out,result,method,eliminator
Australia,44.0,t20s00001,,,,,
England,100.0,t20s00002,,,,,
New Zealand,,t20s00003,5.0,,,,
Australia,95.0,t20s00004,,,,,
,,t20s00005,,New Zealand,tie,,
South Africa,2.0,t20s00006,,,,,
Sri Lanka,2.0,t20s00007,,,,,
Pakistan,,t20s00008,5.0,,,,
India,,t20s00009,6.0,,,,
Sri Lanka,18.0,t20s00010,,,,D/L,
New Zealand,,t20s00011,5.0,,,,
Australia,77.0,t20s00012,,,,,
West Indies,15.0,t20s00013,,,,,
England,,t20s00014,5.0,,,,
Bangladesh,,t20s00015,5.0,,,,
Pakistan,30.0,t20s00016,,,,,
Pakistan,,t20s00017,8.0,,,,
South Africa,,t20s00018,8.0,,,,
New Zealand,,t20s00019,9.0,,,,
Pakistan,51.0,t20s00020,,,,,
Zimbabwe,,t20s00021,5.0,,,,
Bangladesh,,t20s00022,6.0,,,,
England,50.0,t20s00023,,,,,
Sri Lanka,172.0,t20s00024,,,,,
Australia,,t20s00025,8.0,,,,
,,t20s00026,,India,tie,,
South Africa,,t20s00027,7.0,,,,
Sri Lanka,,t20s00028,7.0,,,,
New Zealand,10.0,t20s00029,,,,,
Australia,,t20s00030,9.0,,,,
South Africa,19.0,t20s00031,,,,,
Pakistan,33.0,t20s00032,,,,,
New Zealand,5.0,t20s00033,,,,,
Pakistan,,t20s00034,6.0,,,,
Sri Lanka,64.0,t20s00035,,,,,
South Africa,,t20s00036,6.0,,,,
India,18.0,t20s00037,,,,,
Australia,,t20s00038,10.0,,,,
Pakistan,,t20s00039,4.0,,,,
India,37.0,t20s00040,,,,,
India,15.0,t20s00041,,,,,
Pakistan,,t20s00042,6.0,,,,
India,5.0,t20s00043,,,,,
India,,t20s00044,7.0,,,,
South Africa,,t20s00045,3.0,,,,
Australia,54.0,t20s00046,,,,,
West Indies,,t20s00047,5.0,,,,
South Africa,,t20s00048,4.0,,,,
Australia,,t20s00049,9.0,,,,
England,32.0,t20s00050,,,,,
England,50.0,t20s00051,,,,,
Pakistan,102.0,t20s00052,,,,,
England,,t20s00053,9.0,,,,
West Indies,,t20s00054,7.0,,,,
Scotland,,t20s00055,8.0,,,,
Netherlands,,t20s00056,5.0,,,,
Ireland,,t20s00057,4.0,,,,
Pakistan,,t20s00058,3.0,,,,
Sri Lanka,,t20s00059,5.0,,,,
South Africa,12.0,t20s00060,,,,D/L,
,,t20s00061,,,tie,,West Indies
New Zealand,36.0,t20s00062,,,,,
Australia,52.0,t20s00063,,,,,
Australia,,t20s00064,6.0,,,,
India,,t20s00065,3.0,,,,
Australia,1.0,t20s00066,,,,,
New Zealand,,t20s00067,7.0,,,,
New Zealand,,t20s00068,5.0,,,,
West Indies,,t20s00069,6.0,,,,
South Africa,,t20s00070,4.0,,,,
South Africa,17.0,t20s00071,,,,,
Pakistan,,t20s00072,7.0,,,,
Netherlands,,t20s00073,4.0,,,,
India,25.0,t20s00074,,,,,
New Zealand,,t20s00075,7.0,,,,
West Indies,,t20s00076,7.0,,,,
South Africa,130.0,t20s00077,,,,,
England,48.0,t20s00078,,,,,
Ireland,,t20s00079,6.0,,,,
Sri Lanka,,t20s00080,6.0,,,,
Pakistan,82.0,t20s00081,,,,,
South Africa,1.0,t20s00082,,,,,
India,,t20s00083,8.0,,,,
Sri Lanka,15.0,t20s00084,,,,,
New Zealand,83.0,t20s00085,,,,,
South Africa,,t20s00086,7.0,,,,
Sri Lanka,19.0,t20s00087,,,,,
West Indies,,t20s00088,7.0,,,,
Pakistan,,t20s00089,6.0,,,,
South Africa,20.0,t20s00090,,,,,
Sri Lanka,9.0,t20s00091,,,,,
England,3.0,t20s00092,,,,,
West Indies,,t20s00093,5.0,,,D/L,
Pakistan,39.0,t20s00094,,,,,
Sri Lanka,48.0,t20s00095,,,,,
South Africa,12.0,t20s00096,,,,,
New Zealand,52.0,t20s00097,,,,,
Pakistan,7.0,t20s00098,,,,,
Sri Lanka,57.0,t20s00099,,,,,
England,,t20s00100,8.0,,,,
Pakistan,,t20s00101,8.0,,,,
Australia,34.0,t20s00102,,,,,
West Indies,,t20s00103,5.0,,,,
Pakistan,52.0,t20s00104,,,,,
,,t20s00105,,,no result,,
New Zealand,3.0,t20s00106,,,,,
New Zealand,22.0,t20s00107,,,,,
West Indies,2.0,t20s00108,,,,,
Pakistan,49.0,t20s00109,,,,,
England,1.0,t20s00110,,,,D/L,
Pakistan,7.0,t20s00111,,,,,
South Africa,84.0,t20s00112,,,,,
Sri Lanka,29.0,t20s00113,,,,,
India,,t20s00114,6.0,,,,
New Zealand,,t20s00115,10.0,,,,
Australia,2.0,t20s00116,,,,,
Netherlands,,t20s00117,6.0,,,,
Kenya,,t20s00118,9.0,,,,
Ireland,37.0,t20s00119,,,,,
Ireland,65.0,t20s00120,,,,,
England,,t20s00121,7.0,,,,
Pakistan,,t20s00122,4.0,,,,
Australia,38.0,t20s00123,,,,,
Australia,,t20s00124,8.0,,,,
Australia,,t20s00125,6.0,,,,
,,t20s00126,,,tie,,New Zealand
Zimbabwe,26.0,t20s00127,,,,,
West Indies,70.0,t20s00128,,,,,
New Zealand,,t20s00129,2.0,,,,
Pakistan,21.0,t20s00130,,,,,
Australia,34.0,t20s00131,,,,,
India,14.0,t20s00132,,,,,
West Indies,,t20s00133,8.0,,,D/L,
Sri Lanka,14.0,t20s00134,,,,D/L,
,,t20s00135,,,no result,,
New Zealand,7.0,t20s00136,,,,D/L,
Australia,27.0,t20s00137,,,,,
South Africa,13.0,t20s00138,,,,,
England,,t20s00139,6.0,,,,
Australia,49.0,t20s00140,,,,,
Sri Lanka,57.0,t20s00141,,,,,
New Zealand,1.0,t20s00142,,,,,
England,39.0,t20s00143,,,,,
West Indies,14.0,t20s00144,,,,,
Australia,81.0,t20s00145,,,,,
Pakistan,11.0,t20s00146,,,,,
England,,t20s00147,3.0,,,,
