team,name,key,batting_position
New Zealand,BB McCullum,t20s00001,1.0
New Zealand,SP Fleming,t20s00001,2.0
New Zealand,MS Sinclair,t20s00001,3.0
New Zealand,SB Styris,t20s00001,4.0
New Zealand,CD McMillan,t20s00001,5.0
New Zealand,CL Cairns,t20s00001,6.0
New Zealand,HJH Marshall,t20s00001,7.0
New Zealand,AR Adams,t20s00001,8.0
New Zealand,JW Wilson,t20s00001,9.0
New Zealand,KD Mills,t20s00001,10.0
New Zealand,DR Tuffey,t20s00001,11.0
Australia,AC Gilchrist,t20s00001,1.0
Australia,MJ Clarke,t20s00001,2.0
Australia,A Symonds,t20s00001,3.0
Australia,RT Ponting,t20s00001,4.0
Australia,DR Martyn,t20s00001,5.0
Australia,SM Katich,t20s00001,6.0
Australia,MEK Hussey,t20s00001,7.0
Australia,JR Hopes,t20s00001,
Australia,B Lee,t20s00001,
Australia,MS Kasprowicz,t20s00001,
Australia,GD McGrath,t20s00001,
England,ME Trescothick,t20s00002,1.0
England,GO Jones,t20s00002,2.0
England,A Flintoff,t20s00002,3.0
England,KP Pietersen,t20s00002,4.0
England,MP Vaughan,t20s00002,5.0
England,PD Collingwood,t20s00002,6.0
England,AJ Strauss,t20s00002,7.0
England,VS Solanki,t20s00002,8.0
England,J Lewis,t20s00002,9.0
England,D Gough,t20s00002,
England,SJ Harmison,t20s00002,
Australia,AC Gilchrist,t20s00002,1.0
Australia,ML Hayden,t20s00002,2.0
Australia,A Symonds,t20s00002,3.0
Australia,MJ Clarke,t20s00002,4.0
Australia,MEK Hussey,t20s00002,5.0
Australia,RT Ponting,t20s00002,6.0
Australia,DR Martyn,t20s00002,7.0
Australia,B Lee,t20s00002,8.0
Australia,JN Gillespie,t20s00002,9.0
Australia,MS Kasprowicz,t20s00002,10.0
Australia,GD McGrath,t20s00002,11.0
South Africa,GC Smith,t20s00003,1.0
South Africa,JH Kallis,t20s00003,2.0
South Africa,HH Gibbs,t20s00003,3.0
South Africa,JM Kemp,t20s00003,4.0
South Africa,MV Boucher,t20s00003,5.0
South Africa,SM Pollock,t20s00003,6.0
South Africa,AG Prince,t20s00003,7.0
South Africa,JA Morkel,t20s00003,8.0
South Africa,CK Langeveldt,t20s00003,9.0
South Africa,M Ntini,t20s00003,10.0
South Africa,A Nel,t20s00003,11.0
South Africa,N Boje,t20s00003,
New Zealand,SP Fleming,t20s00003,1.0
New Zealand,NJ Astle,t20s00003,2.0
New Zealand,HJH Marshall,t20s00003,3.0
New Zealand,CD McMillan,t20s00003,4.0
New Zealand,SB Styris,t20s00003,5.0
New Zealand,JDP Oram,t20s00003,6.0
New Zealand,BB McCullum,t20s00003,7.0
New Zealand,KD Mills,t20s00003,
New Zealand,AR Adams,t20s00003,
New Zealand,SE Bond,t20s00003,
New Zealand,JAH Marshall,t20s00003,
New Zealand,JS Patel,t20s00003,
Australia,JR Hopes,t20s00004,1.0
Australia,DR Martyn,t20s00004,2.0
Australia,RT Ponting,t20s00004,3.0
Australia,A Symonds,t20s00004,4.0
Australia,MJ Clarke,t20s00004,5.0
Australia,MEK Hussey,t20s00004,
Australia,BJ Haddin,t20s00004,
Australia,SM Katich,t20s00004,
Australia,NW Bracken,t20s00004,
Australia,SR Clark,t20s00004,
Australia,ML Lewis,t20s00004,
South Africa,GC Smith,t20s00004,1.0
South Africa,HH Dippenaar,t20s00004,2.0
South Africa,HH Gibbs,t20s00004,3.0
South Africa,MV Boucher,t20s00004,4.0
South Africa,SM Pollock,t20s00004,5.0
South Africa,JH Kallis,t20s00004,6.0
South Africa,JA Rudolph,t20s00004,7.0
South Africa,AJ Hall,t20s00004,8.0
South Africa,J Botha,t20s00004,9.0
South Africa,GJP Kruger,t20s00004,10.0
South Africa,M Zondeki,t20s00004,11.0
New Zealand,L Vincent,t20s00005,1.0
New Zealand,SP Fleming,t20s00005,2.0
New Zealand,NJ Astle,t20s00005,3.0
New Zealand,SB Styris,t20s00005,4.0
New Zealand,CL Cairns,t20s00005,5.0
New Zealand,PG Fulton,t20s00005,6.0
New Zealand,HJH Marshall,t20s00005,7.0
New Zealand,BB McCullum,t20s00005,8.0
New Zealand,JEC Franklin,t20s00005,9.0
New Zealand,SE Bond,t20s00005,10.0
New Zealand,JS Patel,t20s00005,
West Indies,CH Gayle,t20s00005,1.0
West Indies,D Ganga,t20s00005,2.0
West Indies,RS Morton,t20s00005,3.0
West Indies,DR Smith,t20s00005,4.0
West Indies,WW Hinds,t20s00005,5.0
West Indies,S Chanderpaul,t20s00005,6.0
West Indies,DJ Bravo,t20s00005,7.0
West Indies,D Ramdin,t20s00005,8.0
West Indies,IDR Bradshaw,t20s00005,9.0
West Indies,DK Butler,t20s00005,
West Indies,JE Taylor,t20s00005,
South Africa,GC Smith,t20s00006,1.0
South Africa,LE Bosman,t20s00006,2.0
South Africa,HH Gibbs,t20s00006,3.0
South Africa,SM Pollock,t20s00006,4.0
South Africa,JJ van der Wath,t20s00006,5.0
South Africa,AB de Villiers,t20s00006,6.0
South Africa,ND McKenzie,t20s00006,
South Africa,AJ Hall,t20s00006,
South Africa,RJ Peterson,t20s00006,
South Africa,R Telemachus,t20s00006,
South Africa,M Ntini,t20s00006,
Australia,AC Gilchrist,t20s00006,1.0
Australia,SM Katich,t20s00006,2.0
Australia,RT Ponting,t20s00006,3.0
Australia,DR Martyn,t20s00006,4.0
Australia,MJ Clarke,t20s00006,5.0
Australia,SR Watson,t20s00006,6.0
Australia,GB Hogg,t20s00006,7.0
Australia,B Lee,t20s00006,8.0
Australia,NW Bracken,t20s00006,9.0
Australia,ML Lewis,t20s00006,
Australia,SR Clark,t20s00006,
England,ME Trescothick,t20s00007,1.0
England,AJ Strauss,t20s00007,2.0
England,KP Pietersen,t20s00007,3.0
England,PD Collingwood,t20s00007,4.0
England,JWM Dalrymple,t20s00007,5.0
England,GO Jones,t20s00007,6.0
England,TT Bresnan,t20s00007,7.0
England,EC Joyce,t20s00007,
England,LE Plunkett,t20s00007,
England,SI Mahmood,t20s00007,
England,SJ Harmison,t20s00007,
Sri Lanka,ST Jayasuriya,t20s00007,1.0
Sri Lanka,WU Tharanga,t20s00007,2.0
Sri Lanka,DPMD Jayawardene,t20s00007,3.0
Sri Lanka,TM Dilshan,t20s00007,4.0
Sri Lanka,KC Sangakkara,t20s00007,5.0
Sri Lanka,RP Arnold,t20s00007,6.0
Sri Lanka,CK Kapugedera,t20s00007,7.0
Sri Lanka,MF Maharoof,t20s00007,8.0
Sri Lanka,SL Malinga,t20s00007,9.0
Sri Lanka,CRD Fernando,t20s00007,10.0
Sri Lanka,PDRL Perera,t20s00007,11.0
England,ME Trescothick,t20s00008,1.0
England,IR Bell,t20s00008,2.0
England,KP Pietersen,t20s00008,3.0
England,AJ Strauss,t20s00008,4.0
England,PD Collingwood,t20s00008,5.0
England,JWM Dalrymple,t20s00008,6.0
England,MH Yardy,t20s00008,7.0
England,CMW Read,t20s00008,8.0
England,SI Mahmood,t20s00008,9.0
England,D Gough,t20s00008,
England,SCJ Broad,t20s00008,
Pakistan,Shoaib Malik,t20s00008,1.0
Pakistan,Mohammad Hafeez,t20s00008,2.0
Pakistan,Younis Khan,t20s00008,3.0
Pakistan,Shahid Afridi,t20s00008,4.0
Pakistan,Mohammad Yousuf,t20s00008,5.0
Pakistan,Inzamam-ul-Haq,t20s00008,6.0
Pakistan,Abdul Razzaq,t20s00008,7.0
Pakistan,Kamran Akmal,t20s00008,
Pakistan,Naved-ul-Hasan,t20s00008,
Pakistan,Shoaib Akhtar,t20s00008,
Pakistan,Mohammad Asif,t20s00008,
South Africa,GC Smith,t20s00009,1.0
