team_1,team_2,key
New Zealand,Australia,t20s00001
England,Australia,t20s00002
South Africa,New Zealand,t20s00003
Australia,South Africa,t20s00004
New Zealand,West Indies,t20s00005
South Africa,Australia,t20s00006
England,Sri Lanka,t20s00007
England,Pakistan,t20s00008
South Africa,India,t20s00009
New Zealand,Sri Lanka,t20s00010
New Zealand,Sri Lanka,t20s00011
Australia,England,t20s00012
England,West Indies,t20s00013
England,West Indies,t20s00014
Kenya,Bangladesh,t20s00015
Bangladesh,Pakistan,t20s00016
Kenya,Pakistan,t20s00017
South Africa,West Indies,t20s00018
Kenya,New Zealand,t20s00019
Pakistan,Scotland,t20s00020
Australia,Zimbabwe,t20s00021
Bangladesh,West Indies,t20s00022
England,Zimbabwe,t20s00023
Kenya,Sri Lanka,t20s00024
Australia,England,t20s00025
India,Pakistan,t20s00026
South Africa,Bangladesh,t20s00027
New Zealand,Sri Lanka,t20s00028
India,New Zealand,t20s00029
Australia,Bangladesh,t20s00030
South Africa,England,t20s00031
Pakistan,Sri Lanka,t20s00032
England,New Zealand,t20s00033
Australia,Pakistan,t20s00034
Bangladesh,Sri Lanka,t20s00035
South Africa,New Zealand,t20s00036
England,India,t20s00037
Australia,Sri Lanka,t20s00038
Bangladesh,Pakistan,t20s00039
South Africa,India,t20s00040
Australia,India,t20s00041
New Zealand,Pakistan,t20s00042
India,Pakistan,t20s00043
India,Australia,t20s00044
South Africa,New Zealand,t20s00045
Australia,New Zealand,t20s00046
South Africa,West Indies,t20s00047
South Africa,West Indies,t20s00048
Australia,India,t20s00049
New Zealand,England,t20s00050
New Zealand,England,t20s00051
Pakistan,Bangladesh,t20s00052
England,New Zealand,t20s00053
West Indies,Australia,t20s00054
Bermuda,Scotland,t20s00055
Netherlands,Scotland,t20s00056
Ireland,Kenya,t20s00057
Pakistan,Sri Lanka,t20s00058
Pakistan,Sri Lanka,t20s00059
South Africa,Bangladesh,t20s00060
New Zealand,West Indies,t20s00061
New Zealand,West Indies,t20s00062
Australia,South Africa,t20s00063
Australia,South Africa,t20s00064
Sri Lanka,India,t20s00065
Australia,New Zealand,t20s00066
New Zealand,India,t20s00067
New Zealand,India,t20s00068
West Indies,England,t20s00069
South Africa,Australia,t20s00070
South Africa,Australia,t20s00071
Australia,Pakistan,t20s00072
England,Netherlands,t20s00073
Bangladesh,India,t20s00074
New Zealand,Scotland,t20s00075
Australia,West Indies,t20s00076
Scotland,South Africa,t20s00077
England,Pakistan,t20s00078
Bangladesh,Ireland,t20s00079
Australia,Sri Lanka,t20s00080
Netherlands,Pakistan,t20s00081
New Zealand,South Africa,t20s00082
India,Ireland,t20s00083
Sri Lanka,West Indies,t20s00084
Ireland,New Zealand,t20s00085
England,South Africa,t20s00086
Pakistan,Sri Lanka,t20s00087
India,West Indies,t20s00088
New Zealand,Pakistan,t20s00089
South Africa,West Indies,t20s00090
