date,team_type,league,gender,cricsheet_id,match_teams
2012-02-11,club,BPL,male,551048,Barisal Burners vs Duronto Rajshahi
2012-02-12,club,BPL,male,551049,Khulna Royal Bengals vs Chittagong Kings
2012-02-14,club,BPL,male,551053,Duronto Rajshahi vs Sylhet Royals
2012-02-14,club,BPL,male,551054,Dhaka Gladiators vs Barisal Burners
2012-02-16,club,BPL,male,551057,Barisal Burners vs Chittagong Kings
2012-02-18,club,BPL,male,551059,Khulna Royal Bengals vs Sylhet Royals
2012-02-18,club,BPL,male,551060,Duronto Rajshahi vs Chittagong Kings
2012-02-19,club,BPL,male,551061,Dhaka Gladiators vs Khulna Royal Bengals
2012-02-19,club,BPL,male,551062,Sylhet Royals vs Barisal Burners
2012-02-20,club,BPL,male,551063,Barisal Burners vs Duronto Rajshahi
2012-02-22,club,BPL,male,551066,Khulna Royal Bengals vs Barisal Burners
2012-02-24,club,BPL,male,551067,Chittagong Kings vs Dhaka Gladiators
2012-02-24,club,BPL,male,551068,Duronto Rajshahi vs Sylhet Royals
2012-02-25,club,BPL,male,551070,Sylhet Royals vs Chittagong Kings
2012-02-26,club,BPL,male,551071,Khulna Royal Bengals vs Duronto Rajshahi
2012-02-27,club,BPL,male,551073,Dhaka Gladiators vs Duronto Rajshahi
2012-02-29,club,BPL,male,551077,Barisal Burners vs Dhaka Gladiators
2013-01-18,club,BPL,male,599865,Dhaka Gladiators vs Khulna Royal Bengals
2013-01-18,club,BPL,male,599866,Sylhet Royals vs Barisal Burners
2013-01-19,club,BPL,male,599867,Duronto Rajshahi vs Chittagong Kings
2013-01-20,club,BPL,male,599869,Khulna Royal Bengals vs Barisal Burners
2013-01-20,club,BPL,male,599870,Duronto Rajshahi vs Sylhet Royals
2013-01-22,club,BPL,male,599872,Dhaka Gladiators vs Duronto Rajshahi
2013-01-23,club,BPL,male,599873,Rangpur Riders vs Barisal Burners
2013-01-23,club,BPL,male,599874,Khulna Royal Bengals vs Sylhet Royals
2013-01-24,club,BPL,male,599875,Chittagong Kings vs Barisal Burners
2013-01-24,club,BPL,male,599876,Khulna Royal Bengals vs Duronto Rajshahi
2013-01-25,club,BPL,male,599878,Khulna Royal Bengals vs Rangpur Riders
2013-01-25,club,BPL,male,599877,Dhaka Gladiators vs Sylhet Royals
2013-01-28,club,BPL,male,599880,Duronto Rajshahi vs Barisal Burners
2013-01-29,club,BPL,male,599882,Rangpur Riders vs Khulna Royal Bengals
2013-01-31,club,BPL,male,599883,Rangpur Riders vs Sylhet Royals
2013-01-31,club,BPL,male,599884,Barisal Burners vs Chittagong Kings
2013-02-01,club,BPL,male,599885,Dhaka Gladiators vs Duronto Rajshahi
2013-02-02,club,BPL,male,599887,Barisal Burners vs Duronto Rajshahi
2013-02-02,club,BPL,male,599888,Chittagong Kings vs Dhaka Gladiators
2013-02-04,club,BPL,male,599889,Rangpur Riders vs Duronto Rajshahi
2013-02-04,club,BPL,male,599890,Khulna Royal Bengals vs Barisal Burners
2013-02-05,club,BPL,male,599892,Dhaka Gladiators vs Rangpur Riders
2013-02-07,club,BPL,male,599893,Chittagong Kings vs Khulna Royal Bengals
2013-02-07,club,BPL,male,599894,Rangpur Riders vs Sylhet Royals
2013-02-08,club,BPL,male,599895,Duronto Rajshahi vs Khulna Royal Bengals
2013-02-09,club,BPL,male,599898,Barisal Burners vs Dhaka Gladiators
2013-02-09,club,BPL,male,599897,Chittagong Kings vs Rangpur Riders
2013-02-11,club,BPL,male,599899,Khulna Royal Bengals vs Dhaka Gladiators
2013-02-11,club,BPL,male,599900,Rangpur Riders vs Duronto Rajshahi
2013-02-12,club,BPL,male,599901,Sylhet Royals vs Khulna Royal Bengals
2013-02-12,club,BPL,male,599902,Dhaka Gladiators vs Barisal Burners
2013-02-13,club,BPL,male,599903,Chittagong Kings vs Duronto Rajshahi
2013-02-13,club,BPL,male,599904,Barisal Burners vs Sylhet Royals
2013-02-14,club,BPL,male,599905,Barisal Burners vs Rangpur Riders
2013-02-14,club,BPL,male,599906,Dhaka Gladiators vs Chittagong Kings
2013-02-15,club,BPL,male,599907,Dhaka Gladiators vs Sylhet Royals
2013-02-18,club,BPL,male,605286,Sylhet Royals vs Chittagong Kings
2013-02-19,club,BPL,male,599910,Dhaka Gladiators vs Chittagong Kings
2015-11-22,club,BPL,male,935285,Comilla Victorians vs Dhaka Dynamites
2015-11-23,club,BPL,male,935289,Barisal Bulls vs Rangpur Riders
2015-11-24,club,BPL,male,935291,Chittagong Vikings vs Comilla Victorians
2015-11-24,club,BPL,male,935293,Barisal Bulls vs Sylhet Super Stars
2015-11-25,club,BPL,male,935297,Barisal Bulls vs Comilla Victorians
2015-11-25,club,BPL,male,935295,Rangpur Riders vs Dhaka Dynamites
2015-11-26,club,BPL,male,935299,Rangpur Riders vs Sylhet Super Stars
2015-11-26,club,BPL,male,935301,Chittagong Vikings vs Dhaka Dynamites
2015-11-27,club,BPL,male,935303,Rangpur Riders vs Comilla Victorians
2015-11-27,club,BPL,male,935305,Dhaka Dynamites vs Sylhet Super Stars
2015-11-30,club,BPL,male,935307,Barisal Bulls vs Chittagong Vikings
2015-11-30,club,BPL,male,935309,Comilla Victorians vs Sylhet Super Stars
2015-12-01,club,BPL,male,935311,Chittagong Vikings vs Rangpur Riders
2015-12-01,club,BPL,male,935313,Dhaka Dynamites vs Barisal Bulls
