date,team_type,league,gender,cricsheet_id,match_teams
2013-07-30,club,CPL,male,635215,Barbados Tridents vs St Lucia Zouks
2013-07-31,club,CPL,male,635216,Guyana Amazon Warriors vs Trinidad & Tobago Red Steel
2013-08-01,club,CPL,male,635217,Barbados Tridents vs Antigua Hawksbills
2013-08-02,club,CPL,male,635218,Jamaica Tallawahs vs Guyana Amazon Warriors
2013-08-03,club,CPL,male,635219,Trinidad & Tobago Red Steel vs Barbados Tridents
2013-08-04,club,CPL,male,635221,Guyana Amazon Warriors vs St Lucia Zouks
2013-08-04,club,CPL,male,635220,Antigua Hawksbills vs Jamaica Tallawahs
2013-08-06,club,CPL,male,635222,Antigua Hawksbills vs St Lucia Zouks
2013-08-07,club,CPL,male,635223,Jamaica Tallawahs vs Trinidad & Tobago Red Steel
2013-08-09,club,CPL,male,635225,Trinidad & Tobago Red Steel vs Guyana Amazon Warriors
2013-08-10,club,CPL,male,635226,St Lucia Zouks vs Jamaica Tallawahs
2013-08-11,club,CPL,male,635228,Trinidad & Tobago Red Steel vs Antigua Hawksbills
2013-08-11,club,CPL,male,635227,Guyana Amazon Warriors vs Barbados Tridents
2013-08-13,club,CPL,male,635229,Barbados Tridents vs Antigua Hawksbills
2013-08-15,club,CPL,male,635230,Guyana Amazon Warriors vs Jamaica Tallawahs
2013-08-15,club,CPL,male,635231,St Lucia Zouks vs Antigua Hawksbills
2013-08-17,club,CPL,male,635232,Barbados Tridents vs Jamaica Tallawahs
2013-08-17,club,CPL,male,635233,Antigua Hawksbills vs Guyana Amazon Warriors
2013-08-17,club,CPL,male,635234,St Lucia Zouks vs Trinidad & Tobago Red Steel
2013-08-18,club,CPL,male,635235,Trinidad & Tobago Red Steel vs Jamaica Tallawahs
2013-08-22,club,CPL,male,635236,Trinidad & Tobago Red Steel vs Guyana Amazon Warriors
2013-08-23,club,CPL,male,635237,Barbados Tridents vs Jamaica Tallawahs
2013-08-24,club,CPL,male,635238,Guyana Amazon Warriors vs Jamaica Tallawahs
2014-07-11,club,CPL,male,743137,Antigua Hawksbills vs Guyana Amazon Warriors
2014-07-12,club,CPL,male,743139,Barbados Tridents vs Trinidad & Tobago Red Steel
2014-07-17,club,CPL,male,743143,Antigua Hawksbills vs Jamaica Tallawahs
2014-07-19,club,CPL,male,743149,St Lucia Zouks vs Guyana Amazon Warriors
2014-07-19,club,CPL,male,743147,Antigua Hawksbills vs Barbados Tridents
2014-07-20,club,CPL,male,743153,Jamaica Tallawahs vs Guyana Amazon Warriors
2014-07-20,club,CPL,male,743151,Antigua Hawksbills vs Trinidad & Tobago Red Steel
2014-07-23,club,CPL,male,743155,Barbados Tridents vs St Lucia Zouks
2014-07-24,club,CPL,male,743157,Guyana Amazon Warriors vs Trinidad & Tobago Red Steel
2014-07-26,club,CPL,male,743161,Trinidad & Tobago Red Steel vs Jamaica Tallawahs
2014-07-26,club,CPL,male,743163,Guyana Amazon Warriors vs Barbados Tridents
2014-07-27,club,CPL,male,743165,St Lucia Zouks vs Trinidad & Tobago Red Steel
2014-07-31,club,CPL,male,743167,Antigua Hawksbills vs Jamaica Tallawahs
2014-07-31,club,CPL,male,743169,St Lucia Zouks vs Barbados Tridents
2014-08-02,club,CPL,male,743171,Guyana Amazon Warriors vs Jamaica Tallawahs
2014-08-02,club,CPL,male,743173,St Lucia Zouks vs Trinidad & Tobago Red Steel
2014-08-03,club,CPL,male,743175,Jamaica Tallawahs vs Barbados Tridents
2014-08-03,club,CPL,male,743177,Antigua Hawksbills vs St Lucia Zouks
2014-08-07,club,CPL,male,743179,Guyana Amazon Warriors vs Antigua Hawksbills
2014-08-07,club,CPL,male,743181,Barbados Tridents vs Trinidad & Tobago Red Steel
2014-08-09,club,CPL,male,743185,Trinidad & Tobago Red Steel vs Antigua Hawksbills
2014-08-09,club,CPL,male,743183,Jamaica Tallawahs vs St Lucia Zouks
2014-08-10,club,CPL,male,743187,St Lucia Zouks vs Guyana Amazon Warriors
2014-08-10,club,CPL,male,743189,Barbados Tridents vs Jamaica Tallawahs
2014-08-13,club,CPL,male,743191,Trinidad & Tobago Red Steel vs Jamaica Tallawahs
2014-08-14,club,CPL,male,743193,Jamaica Tallawahs vs Guyana Amazon Warriors
2014-08-16,club,CPL,male,743195,Barbados Tridents vs Guyana Amazon Warriors
2015-06-20,club,CPL,male,857703,Barbados Tridents vs Guyana Amazon Warriors
2015-06-21,club,CPL,male,857705,St Lucia Zouks vs Trinidad & Tobago Red Steel
2015-06-23,club,CPL,male,857707,Barbados Tridents vs Jamaica Tallawahs
2015-06-24,club,CPL,male,857709,St Kitts and Nevis Patriots vs St Lucia Zouks
2015-06-25,club,CPL,male,857711,Trinidad & Tobago Red Steel vs Barbados Tridents
2015-06-26,club,CPL,male,857713,St Lucia Zouks vs Guyana Amazon Warriors
2015-06-27,club,CPL,male,857715,St Kitts and Nevis Patriots vs Barbados Tridents
2015-06-28,club,CPL,male,857717,St Lucia Zouks vs Jamaica Tallawahs
2015-06-30,club,CPL,male,857719,St Kitts and Nevis Patriots vs Jamaica Tallawahs
2015-07-01,club,CPL,male,857721,Barbados Tridents vs St Lucia Zouks
2015-07-03,club,CPL,male,857723,St Kitts and Nevis Patriots vs Guyana Amazon Warriors
2015-07-03,club,CPL,male,857725,St Lucia Zouks vs Barbados Tridents
2015-07-04,club,CPL,male,857727,St Kitts and Nevis Patriots vs Jamaica Tallawahs
2015-07-04,club,CPL,male,857729,Guyana Amazon Warriors vs Trinidad & Tobago Red Steel
2015-07-06,club,CPL,male,857731,Barbados Tridents vs St Kitts and Nevis Patriots
2015-07-07,club,CPL,male,857733,St Lucia Zouks vs Jamaica Tallawahs
2015-07-08,club,CPL,male,857735,St Kitts and Nevis Patriots vs Guyana Amazon Warriors
2015-07-09,club,CPL,male,857737,Jamaica Tallawahs vs Trinidad & Tobago Red Steel
2015-07-10,club,CPL,male,857739,St Kitts and Nevis Patriots vs St Lucia Zouks
2015-07-11,club,CPL,male,857741,St Kitts and Nevis Patriots vs Trinidad & Tobago Red Steel
2015-07-11,club,CPL,male,857743,Barbados Tridents vs Jamaica Tallawahs
2015-07-12,club,CPL,male,857745,Guyana Amazon Warriors vs Jamaica Tallawahs
2015-07-14,club,CPL,male,857747,Trinidad & Tobago Red Steel vs St Lucia Zouks
2015-07-16,club,CPL,male,857751,Trinidad & Tobago Red Steel vs Barbados Tridents
2015-07-17,club,CPL,male,857753,St Lucia Zouks vs Guyana Amazon Warriors
2015-07-18,club,CPL,male,857755,Trinidad & Tobago Red Steel vs St Kitts and Nevis Patriots
2015-07-18,club,CPL,male,857757,Barbados Tridents vs Guyana Amazon Warriors
2015-07-19,club,CPL,male,857759,Trinidad & Tobago Red Steel vs Jamaica Tallawahs
2015-07-21,club,CPL,male,857761,Trinidad & Tobago Red Steel vs Guyana Amazon Warriors
2015-07-23,club,CPL,male,857763,Trinidad & Tobago Red Steel vs Jamaica Tallawahs
2015-07-25,club,CPL,male,857765,Guyana Amazon Warriors vs Trinidad & Tobago Red Steel
2015-07-26,club,CPL,male,857767,Trinidad & Tobago Red Steel vs Barbados Tridents
2016-06-29,club,CPL,male,1025983,Trinbago Knight Riders vs St Lucia Zouks
2016-06-30,club,CPL,male,994669,St Kitts and Nevis Patriots vs Guyana Amazon Warriors
2016-07-01,club,CPL,male,1025985,Trinbago Knight Riders vs Barbados Tridents
2016-07-02,club,CPL,male,994671,Jamaica Tallawahs vs St Kitts and Nevis Patriots
2016-07-02,club,CPL,male,1025987,Trinbago Knight Riders vs Guyana Amazon Warriors
2016-07-03,club,CPL,male,994673,St Kitts and Nevis Patriots vs St Lucia Zouks
2016-07-04,club,CPL,male,1025989,Trinbago Knight Riders vs Jamaica Tallawahs
2016-07-10,club,CPL,male,1018873,Trinbago Knight Riders vs Guyana Amazon Warriors
2016-07-11,club,CPL,male,1019643,Jamaica Tallawahs vs Barbados Tridents
2016-07-13,club,CPL,male,1019645,Barbados Tridents vs St Kitts and Nevis Patriots
2016-07-15,club,CPL,male,1019769,Guyana Amazon Warriors vs Jamaica Tallawahs
2016-07-16,club,CPL,male,1019771,Jamaica Tallawahs vs St Kitts and Nevis Patriots
2016-07-16,club,CPL,male,1019647,Barbados Tridents vs Trinbago Knight Riders
2016-07-17,club,CPL,male,1019649,Barbados Tridents vs St Lucia Zouks
2016-07-18,club,CPL,male,1019773,Jamaica Tallawahs vs Trinbago Knight Riders
2016-07-20,club,CPL,male,1019775,Jamaica Tallawahs vs Barbados Tridents
2016-07-21,club,CPL,male,1011497,St Lucia Zouks vs St Kitts and Nevis Patriots
2016-07-24,club,CPL,male,1011501,Guyana Amazon Warriors vs St Lucia Zouks
2016-07-26,club,CPL,male,1011503,St Lucia Zouks vs Trinbago Knight Riders
2016-07-28,club,CPL,male,994677,Barbados Tridents vs Guyana Amazon Warriors
2016-07-29,club,CPL,male,994679,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2016-07-30,club,CPL,male,994681,St Lucia Zouks vs Jamaica Tallawahs
2016-07-30,club,CPL,male,994683,Barbados Tridents vs Guyana Amazon Warriors
2016-07-31,club,CPL,male,994685,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2016-07-31,club,CPL,male,994687,St Lucia Zouks vs Jamaica Tallawahs
2016-08-03,club,CPL,male,1025665,Guyana Amazon Warriors vs Jamaica Tallawahs
2016-08-04,club,CPL,male,1025667,St Lucia Zouks vs Trinbago Knight Riders
2016-08-05,club,CPL,male,1025669,Jamaica Tallawahs vs Trinbago Knight Riders
2016-08-07,club,CPL,male,1025671,Guyana Amazon Warriors vs Jamaica Tallawahs
2017-08-04,club,CPL,male,1094672,St Lucia Stars vs Trinbago Knight Riders
2017-08-05,club,CPL,male,1094674,Barbados Tridents vs Jamaica Tallawahs
2017-08-05,club,CPL,male,1094673,Guyana Amazon Warriors vs St Kitts and Nevis Patriots
2017-08-06,club,CPL,male,1094675,St Kitts and Nevis Patriots vs Guyana Amazon Warriors
2017-08-06,club,CPL,male,1094676,Jamaica Tallawahs vs Barbados Tridents
2017-08-07,club,CPL,male,1094677,St Lucia Stars vs Trinbago Knight Riders
2017-08-09,club,CPL,male,1094678,Trinbago Knight Riders vs Jamaica Tallawahs
2017-08-10,club,CPL,male,1094679,Barbados Tridents vs St Lucia Stars
2017-08-11,club,CPL,male,1094680,Guyana Amazon Warriors vs Trinbago Knight Riders
2017-08-12,club,CPL,male,1094681,St Kitts and Nevis Patriots vs St Lucia Stars
2017-08-12,club,CPL,male,1094682,Barbados Tridents vs Trinbago Knight Riders
2017-08-13,club,CPL,male,1094683,St Lucia Stars vs Guyana Amazon Warriors
2017-08-14,club,CPL,male,1094684,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2017-08-15,club,CPL,male,1094685,St Lucia Stars vs Jamaica Tallawahs
2017-08-17,club,CPL,male,1094686,Jamaica Tallawahs vs Guyana Amazon Warriors
2017-08-18,club,CPL,male,1094687,Barbados Tridents vs St Kitts and Nevis Patriots
2017-08-19,club,CPL,male,1094688,Guyana Amazon Warriors vs Trinbago Knight Riders
2017-08-19,club,CPL,male,1094689,St Lucia Stars vs St Kitts and Nevis Patriots
2017-08-20,club,CPL,male,1094690,Barbados Tridents vs Guyana Amazon Warriors
2017-08-21,club,CPL,male,1094691,St Kitts and Nevis Patriots vs Jamaica Tallawahs
2017-08-22,club,CPL,male,1094692,St Lucia Stars vs Guyana Amazon Warriors
2017-08-23,club,CPL,male,1094693,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2017-08-25,club,CPL,male,1094694,St Lucia Stars vs Jamaica Tallawahs
2017-08-26,club,CPL,male,1094695,Trinbago Knight Riders vs Jamaica Tallawahs
2017-08-29,club,CPL,male,1094696,Guyana Amazon Warriors vs Barbados Tridents
2017-08-30,club,CPL,male,1094697,Jamaica Tallawahs vs St Kitts and Nevis Patriots
2017-08-31,club,CPL,male,1094698,Barbados Tridents vs St Lucia Stars
2017-09-01,club,CPL,male,1094699,Jamaica Tallawahs vs Guyana Amazon Warriors
2017-09-02,club,CPL,male,1094700,Barbados Tridents vs Trinbago Knight Riders
2017-09-03,club,CPL,male,1094701,Barbados Tridents vs St Kitts and Nevis Patriots
2017-09-05,club,CPL,male,1094702,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2017-09-06,club,CPL,male,1094703,Jamaica Tallawahs vs Guyana Amazon Warriors
2017-09-07,club,CPL,male,1094704,Guyana Amazon Warriors vs Trinbago Knight Riders
2017-09-09,club,CPL,male,1094705,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2018-08-08,club,CPL,male,1148647,Trinbago Knight Riders vs St Lucia Stars
2018-08-09,club,CPL,male,1148648,St Kitts and Nevis Patriots vs Guyana Amazon Warriors
2018-08-10,club,CPL,male,1148649,Trinbago Knight Riders vs Jamaica Tallawahs
2018-08-11,club,CPL,male,1148650,Guyana Amazon Warriors vs St Lucia Stars
2018-08-11,club,CPL,male,1148651,St Kitts and Nevis Patriots vs Trinbago Knight Riders
2018-08-12,club,CPL,male,1148652,Barbados Tridents vs Guyana Amazon Warriors
2018-08-14,club,CPL,male,1148653,St Lucia Stars vs Jamaica Tallawahs
2018-08-15,club,CPL,male,1148654,Jamaica Tallawahs vs St Kitts and Nevis Patriots
2018-08-16,club,CPL,male,1148655,St Lucia Stars vs Trinbago Knight Riders
2018-08-17,club,CPL,male,1148656,St Lucia Stars vs Barbados Tridents
2018-08-18,club,CPL,male,1148657,Guyana Amazon Warriors vs Jamaica Tallawahs
2018-08-19,club,CPL,male,1148658,Jamaica Tallawahs vs Trinbago Knight Riders
2018-08-21,club,CPL,male,1148659,St Lucia Stars vs St Kitts and Nevis Patriots
2018-08-22,club,CPL,male,1148660,Barbados Tridents vs Jamaica Tallawahs
2018-08-24,club,CPL,male,1148661,Guyana Amazon Warriors vs St Lucia Stars
2018-08-25,club,CPL,male,1148663,Jamaica Tallawahs vs St Lucia Stars
2018-08-25,club,CPL,male,1148662,Barbados Tridents vs St Kitts and Nevis Patriots
2018-08-26,club,CPL,male,1148664,Barbados Tridents vs Trinbago Knight Riders
2018-08-28,club,CPL,male,1148665,St Kitts and Nevis Patriots vs Guyana Amazon Warriors
2018-08-29,club,CPL,male,1148666,Barbados Tridents vs Jamaica Tallawahs
2018-08-31,club,CPL,male,1148668,Barbados Tridents vs Guyana Amazon Warriors
2018-09-01,club,CPL,male,1148669,Trinbago Knight Riders vs St Kitts and Nevis Patriots
