date,team_type,league,gender,cricsheet_id,match_teams
2023-01-13,club,ILT,male,1346916,Dubai Capitals vs Abu Dhabi Knight Riders
2023-01-14,club,ILT,male,1346917,MI Emirates vs Sharjah Warriors
2023-01-15,club,ILT,male,1346919,Sharjah Warriors vs Desert Vipers
2023-01-15,club,ILT,male,1346918,Abu Dhabi Knight Riders vs Gulf Giants
2023-01-16,club,ILT,male,1346920,Dubai Capitals vs Gulf Giants
2023-01-17,club,ILT,male,1346921,Sharjah Warriors vs MI Emirates
2023-01-18,club,ILT,male,1346922,Abu Dhabi Knight Riders vs Desert Vipers
2023-01-19,club,ILT,male,1346923,Gulf Giants vs Dubai Capitals
2023-01-20,club,ILT,male,1346924,Desert Vipers vs Abu Dhabi Knight Riders
2023-01-21,club,ILT,male,1346925,Dubai Capitals vs Sharjah Warriors
2023-01-21,club,ILT,male,1346926,Abu Dhabi Knight Riders vs MI Emirates
2023-01-22,club,ILT,male,1346928,Dubai Capitals vs MI Emirates
2023-01-22,club,ILT,male,1346927,Desert Vipers vs Gulf Giants
2023-01-23,club,ILT,male,1346929,Sharjah Warriors vs Gulf Giants
2023-01-24,club,ILT,male,1346930,MI Emirates vs Desert Vipers
2023-01-26,club,ILT,male,1346932,Dubai Capitals vs Sharjah Warriors
2023-01-28,club,ILT,male,1346934,Abu Dhabi Knight Riders vs Sharjah Warriors
2023-01-28,club,ILT,male,1346935,Desert Vipers vs Dubai Capitals
2023-01-29,club,ILT,male,1346936,MI Emirates vs Desert Vipers
2023-01-30,club,ILT,male,1346937,Abu Dhabi Knight Riders vs Dubai Capitals
2023-01-31,club,ILT,male,1346938,Desert Vipers vs Sharjah Warriors
2023-02-01,club,ILT,male,1346939,MI Emirates vs Gulf Giants
2023-02-02,club,ILT,male,1346940,Desert Vipers vs Dubai Capitals
2023-02-03,club,ILT,male,1346941,MI Emirates vs Abu Dhabi Knight Riders
2023-02-04,club,ILT,male,1346942,Gulf Giants vs Desert Vipers
2023-02-04,club,ILT,male,1346943,Sharjah Warriors vs Abu Dhabi Knight Riders
2023-02-05,club,ILT,male,1346944,MI Emirates vs Dubai Capitals
2023-02-06,club,ILT,male,1346945,Sharjah Warriors vs Gulf Giants
2023-02-08,club,ILT,male,1346946,Desert Vipers vs Gulf Giants
2023-02-09,club,ILT,male,1346947,Dubai Capitals vs MI Emirates
2023-02-10,club,ILT,male,1346948,MI Emirates vs Gulf Giants
2023-02-12,club,ILT,male,1346949,Desert Vipers vs Gulf Giants
2024-01-19,club,ILT,male,1406889,Gulf Giants vs Sharjah Warriors
2024-01-20,club,ILT,male,1406890,MI Emirates vs Dubai Capitals
2024-01-21,club,ILT,male,1406891,Desert Vipers vs Abu Dhabi Knight Riders
2024-01-21,club,ILT,male,1406892,MI Emirates vs Gulf Giants
2024-01-22,club,ILT,male,1406893,Dubai Capitals vs Sharjah Warriors
2024-01-23,club,ILT,male,1406894,Abu Dhabi Knight Riders vs MI Emirates
