date,team_type,league,gender,cricsheet_id,match_teams
2020-11-26,club,LPL,male,1238752,Kandy Tuskers vs Colombo Kings
2020-11-27,club,LPL,male,1238753,Galle Gladiators vs Jaffna Stallions
2020-11-28,club,LPL,male,1238754,Dambulla Viiking vs Kandy Tuskers
2020-11-28,club,LPL,male,1238755,Colombo Kings vs Galle Gladiators
2020-11-30,club,LPL,male,1238756,Jaffna Stallions vs Dambulla Viiking
2020-11-30,club,LPL,male,1238757,Kandy Tuskers vs Galle Gladiators
2020-12-01,club,LPL,male,1238758,Dambulla Viiking vs Colombo Kings
2020-12-01,club,LPL,male,1238759,Jaffna Stallions vs Kandy Tuskers
2020-12-03,club,LPL,male,1238760,Galle Gladiators vs Jaffna Stallions
2020-12-03,club,LPL,male,1238761,Kandy Tuskers vs Dambulla Viiking
2020-12-04,club,LPL,male,1238762,Jaffna Stallions vs Colombo Kings
2020-12-05,club,LPL,male,1238763,Dambulla Viiking vs Galle Gladiators
2020-12-05,club,LPL,male,1238764,Kandy Tuskers vs Colombo Kings
2020-12-07,club,LPL,male,1238766,Dambulla Viiking vs Jaffna Stallions
2020-12-07,club,LPL,male,1238765,Colombo Kings vs Galle Gladiators
2020-12-09,club,LPL,male,1238767,Jaffna Stallions vs Kandy Tuskers
2020-12-09,club,LPL,male,1238768,Galle Gladiators vs Dambulla Viiking
2020-12-10,club,LPL,male,1238769,Colombo Kings vs Jaffna Stallions
2020-12-10,club,LPL,male,1238770,Kandy Tuskers vs Galle Gladiators
2020-12-11,club,LPL,male,1238771,Dambulla Viiking vs Colombo Kings
2020-12-13,club,LPL,male,1238772,Colombo Kings vs Galle Gladiators
2020-12-14,club,LPL,male,1238773,Jaffna Stallions vs Dambulla Viiking
2020-12-16,club,LPL,male,1238774,Jaffna Stallions vs Galle Gladiators
2021-12-05,club,LPL,male,1291195,Galle Gladiators vs Jaffna Kings
2021-12-06,club,LPL,male,1291196,Dambulla Giants vs Kandy Warriors
2021-12-06,club,LPL,male,1291197,Galle Gladiators vs Colombo Stars
2021-12-07,club,LPL,male,1291198,Dambulla Giants vs Jaffna Kings
2021-12-07,club,LPL,male,1291199,Kandy Warriors vs Galle Gladiators
2021-12-08,club,LPL,male,1291201,Jaffna Kings vs Kandy Warriors
2021-12-08,club,LPL,male,1291200,Dambulla Giants vs Colombo Stars
2021-12-10,club,LPL,male,1291202,Dambulla Giants vs Galle Gladiators
2021-12-10,club,LPL,male,1291203,Jaffna Kings vs Colombo Stars
2021-12-11,club,LPL,male,1291204,Galle Gladiators vs Kandy Warriors
2021-12-11,club,LPL,male,1291205,Dambulla Giants vs Colombo Stars
2021-12-12,club,LPL,male,1291206,Kandy Warriors vs Jaffna Kings
2021-12-12,club,LPL,male,1291207,Colombo Stars vs Galle Gladiators
2021-12-13,club,LPL,male,1291208,Dambulla Giants vs Jaffna Kings
2021-12-14,club,LPL,male,1291209,Kandy Warriors vs Colombo Stars
2021-12-14,club,LPL,male,1291210,Galle Gladiators vs Dambulla Giants
2021-12-16,club,LPL,male,1291211,Jaffna Kings vs Colombo Stars
2021-12-16,club,LPL,male,1291212,Dambulla Giants vs Kandy Warriors
2021-12-17,club,LPL,male,1291214,Colombo Stars vs Kandy Warriors
2021-12-17,club,LPL,male,1291213,Galle Gladiators vs Jaffna Kings
2021-12-19,club,LPL,male,1291216,Galle Gladiators vs Jaffna Kings
2021-12-19,club,LPL,male,1291215,Colombo Stars vs Dambulla Giants
2021-12-21,club,LPL,male,1291217,Jaffna Kings vs Dambulla Giants
2021-12-23,club,LPL,male,1291218,Jaffna Kings vs Galle Gladiators
2022-12-06,club,LPL,male,1324519,Jaffna Kings vs Galle Gladiators
2022-12-06,club,LPL,male,1324520,Kandy Falcons vs Colombo Stars
2022-12-07,club,LPL,male,1324521,Dambulla Aura vs Jaffna Kings
2022-12-07,club,LPL,male,1324522,Galle Gladiators vs Kandy Falcons
2022-12-08,club,LPL,male,1324523,Colombo Stars vs Dambulla Aura
2022-12-10,club,LPL,male,1324524,Jaffna Kings vs Kandy Falcons
2022-12-11,club,LPL,male,1324525,Galle Gladiators vs Colombo Stars
2022-12-11,club,LPL,male,1324526,Jaffna Kings vs Dambulla Aura
2022-12-12,club,LPL,male,1324527,Galle Gladiators vs Kandy Falcons
2022-12-12,club,LPL,male,1324528,Jaffna Kings vs Colombo Stars
2022-12-13,club,LPL,male,1324530,Galle Gladiators vs Colombo Stars
2022-12-13,club,LPL,male,1324529,Kandy Falcons vs Dambulla Aura
2022-12-14,club,LPL,male,1324532,Dambulla Aura vs Colombo Stars
2022-12-14,club,LPL,male,1324531,Kandy Falcons vs Jaffna Kings
2022-12-17,club,LPL,male,1324533,Dambulla Aura vs Galle Gladiators
2022-12-17,club,LPL,male,1324534,Colombo Stars vs Kandy Falcons
2022-12-18,club,LPL,male,1324535,Jaffna Kings vs Galle Gladiators
2022-12-18,club,LPL,male,1324536,Kandy Falcons vs Dambulla Aura
2022-12-19,club,LPL,male,1324537,Colombo Stars vs Jaffna Kings
2022-12-19,club,LPL,male,1324538,Galle Gladiators vs Dambulla Aura
2022-12-21,club,LPL,male,1324539,Kandy Falcons vs Jaffna Kings
2022-12-21,club,LPL,male,1324540,Galle Gladiators vs Colombo Stars
2022-12-22,club,LPL,male,1324541,Kandy Falcons vs Colombo Stars
2022-12-23,club,LPL,male,1324542,Colombo Stars vs Jaffna Kings
2023-07-30,club,LPL,male,1382878,Jaffna Kings vs Colombo Strikers
2023-07-31,club,LPL,male,1382879,Galle Titans vs Dambulla Aura
2023-07-31,club,LPL,male,1382880,Colombo Strikers vs B-Love Kandy
2023-08-01,club,LPL,male,1382882,Galle Titans vs B-Love Kandy
2023-08-01,club,LPL,male,1382881,Jaffna Kings vs Dambulla Aura
2023-08-04,club,LPL,male,1382883,Dambulla Aura vs B-Love Kandy
2023-08-04,club,LPL,male,1382884,Galle Titans vs Jaffna Kings
2023-08-05,club,LPL,male,1382885,Dambulla Aura vs Colombo Strikers
2023-08-05,club,LPL,male,1382886,Jaffna Kings vs B-Love Kandy
2023-08-07,club,LPL,male,1382887,Galle Titans vs Colombo Strikers
2023-08-07,club,LPL,male,1382888,Dambulla Aura vs Jaffna Kings
2023-08-08,club,LPL,male,1382889,B-Love Kandy vs Galle Titans
2023-08-08,club,LPL,male,1382890,Colombo Strikers vs Jaffna Kings
2023-08-11,club,LPL,male,1382891,Galle Titans vs Dambulla Aura
2023-08-12,club,LPL,male,1382892,B-Love Kandy vs Jaffna Kings
2023-08-12,club,LPL,male,1382893,Dambulla Aura vs Colombo Strikers
2023-08-13,club,LPL,male,1382894,Jaffna Kings vs Galle Titans
2023-08-13,club,LPL,male,1382895,Colombo Strikers vs B-Love Kandy
2023-08-14,club,LPL,male,1382896,Dambulla Aura vs B-Love Kandy
2023-08-15,club,LPL,male,1382897,Colombo Strikers vs Galle Titans
2023-08-17,club,LPL,male,1382898,Galle Titans vs Dambulla Aura
2023-08-17,club,LPL,male,1382899,B-Love Kandy vs Jaffna Kings
2023-08-19,club,LPL,male,1382900,B-Love Kandy vs Galle Titans
2023-08-20,club,LPL,male,1382901,Dambulla Aura vs B-Love Kandy
2024-07-01,club,LPL,male,1428459,Dambulla Sixers vs Kandy Falcons
2024-07-02,club,LPL,male,1428460,Jaffna Kings vs Galle Marvels
2024-07-02,club,LPL,male,1428461,Colombo Strikers vs Kandy Falcons
2024-07-03,club,LPL,male,1428462,Dambulla Sixers vs Jaffna Kings
2024-07-03,club,LPL,male,1428463,Galle Marvels vs Colombo Strikers
2024-07-05,club,LPL,male,1428464,Galle Marvels vs Jaffna Kings
2024-07-06,club,LPL,male,1428465,Colombo Strikers vs Kandy Falcons
