date,team_type,league,gender,cricsheet_id,match_teams
2023-07-13,club,MLC,male,1381361,Texas Super Kings vs Los Angeles Knight Riders
2023-07-14,club,MLC,male,1381362,San Francisco Unicorns vs MI New York
2023-07-14,club,MLC,male,1381363,Washington Freedom vs Seattle Orcas
2023-07-15,club,MLC,male,1381364,Seattle Orcas vs San Francisco Unicorns
2023-07-16,club,MLC,male,1381365,Washington Freedom vs Texas Super Kings
2023-07-16,club,MLC,male,1381366,MI New York vs Los Angeles Knight Riders
2023-07-17,club,MLC,male,1381367,Texas Super Kings vs MI New York
2023-07-18,club,MLC,male,1381368,San Francisco Unicorns vs Los Angeles Knight Riders
2023-07-20,club,MLC,male,1381369,Los Angeles Knight Riders vs Washington Freedom
2023-07-21,club,MLC,male,1381370,Texas Super Kings vs Seattle Orcas
2023-07-22,club,MLC,male,1381371,Washington Freedom vs San Francisco Unicorns
2023-07-23,club,MLC,male,1381372,Seattle Orcas vs Los Angeles Knight Riders
2023-07-23,club,MLC,male,1381373,Washington Freedom vs MI New York
2023-07-24,club,MLC,male,1381374,San Francisco Unicorns vs Texas Super Kings
2023-07-25,club,MLC,male,1381375,MI New York vs Seattle Orcas
2023-07-27,club,MLC,male,1381376,MI New York vs Washington Freedom
2023-07-27,club,MLC,male,1381377,Texas Super Kings vs Seattle Orcas
2023-07-28,club,MLC,male,1381378,Texas Super Kings vs MI New York
2023-07-30,club,MLC,male,1381379,Seattle Orcas vs MI New York
2024-07-05,club,MLC,male,1432727,Los Angeles Knight Riders vs Texas Super Kings
2024-07-05,club,MLC,male,1432726,Seattle Orcas vs MI New York
2024-07-06,club,MLC,male,1432728,MI New York vs Washington Freedom
2024-07-07,club,MLC,male,1432729,Los Angeles Knight Riders vs San Francisco Unicorns
2024-07-08,club,MLC,male,1432730,Texas Super Kings vs Washington Freedom
2024-07-09,club,MLC,male,1432731,Los Angeles Knight Riders vs Seattle Orcas
2024-07-10,club,MLC,male,1432732,San Francisco Unicorns vs Texas Super Kings
2024-07-11,club,MLC,male,1432733,Seattle Orcas vs Washington Freedom
2024-07-14,club,MLC,male,1432736,Los Angeles Knight Riders vs Washington Freedom
2024-07-14,club,MLC,male,1432737,Texas Super Kings vs MI New York
2024-07-15,club,MLC,male,1432738,San Francisco Unicorns vs Seattle Orcas
2024-07-16,club,MLC,male,1432739,Washington Freedom vs MI New York
2024-07-17,club,MLC,male,1432740,Seattle Orcas vs Los Angeles Knight Riders
2024-07-18,club,MLC,male,1432741,San Francisco Unicorns vs MI New York
2024-07-19,club,MLC,male,1432742,Washington Freedom vs Texas Super Kings
2024-07-20,club,MLC,male,1432743,Seattle Orcas vs San Francisco Unicorns
2024-07-21,club,MLC,male,1432744,Los Angeles Knight Riders vs MI New York
2024-07-22,club,MLC,male,1432745,Washington Freedom vs San Francisco Unicorns
2024-07-23,club,MLC,male,1432746,Texas Super Kings vs Seattle Orcas
2024-07-24,club,MLC,male,1432747,MI New York vs Texas Super Kings
2024-07-25,club,MLC,male,1432748,San Francisco Unicorns vs Washington Freedom
2024-07-26,club,MLC,male,1432749,San Francisco Unicorns vs Texas Super Kings
2024-07-28,club,MLC,male,1432750,Washington Freedom vs San Francisco Unicorns
