date,team_type,league,gender,cricsheet_id,match_teams
2014-05-16,club,NTB,male,693009,Nottinghamshire vs Lancashire
2014-05-16,club,NTB,male,693021,Glamorgan vs Hampshire
2014-05-16,club,NTB,male,693013,Yorkshire vs Northamptonshire
2014-05-16,club,NTB,male,693015,Leicestershire vs Derbyshire
2014-05-16,club,NTB,male,693017,Durham vs Worcestershire
2014-05-17,club,NTB,male,693025,Sussex vs Middlesex
2014-05-17,club,NTB,male,693027,Lancashire vs Worcestershire
2014-05-17,club,NTB,male,693023,Middlesex vs Essex
2014-05-18,club,NTB,male,693029,Surrey vs Somerset
2014-05-23,club,NTB,male,693031,Worcestershire vs Nottinghamshire
2014-05-23,club,NTB,male,693033,Kent vs Somerset
2014-05-23,club,NTB,male,693035,Leicestershire vs Northamptonshire
2014-05-23,club,NTB,male,693037,Hampshire vs Sussex
2014-05-23,club,NTB,male,693041,Lancashire vs Derbyshire
2014-05-23,club,NTB,male,693043,Glamorgan vs Essex
2014-05-23,club,NTB,male,693045,Middlesex vs Gloucestershire
2014-05-25,club,NTB,male,693047,Hampshire vs Middlesex
2014-05-29,club,NTB,male,693049,Lancashire vs Durham
2014-05-30,club,NTB,male,693067,Essex vs Hampshire
2014-05-30,club,NTB,male,693065,Lancashire vs Warwickshire
2014-05-30,club,NTB,male,693061,Middlesex vs Surrey
2014-05-30,club,NTB,male,693063,Derbyshire vs Yorkshire
2014-05-30,club,NTB,male,693057,Sussex vs Glamorgan
2014-05-30,club,NTB,male,693055,Durham vs Nottinghamshire
2014-05-30,club,NTB,male,693059,Northamptonshire vs Worcestershire
2014-05-30,club,NTB,male,693053,Kent vs Gloucestershire
2014-06-01,club,NTB,male,693069,Warwickshire vs Leicestershire
2014-06-05,club,NTB,male,693071,Hampshire vs Kent
2014-06-06,club,NTB,male,693081,Lancashire vs Yorkshire
2014-06-06,club,NTB,male,693073,Glamorgan vs Somerset
2014-06-06,club,NTB,male,693075,Surrey vs Essex
2014-06-06,club,NTB,male,693077,Gloucestershire vs Sussex
2014-06-06,club,NTB,male,693079,Leicestershire vs Worcestershire
2014-06-06,club,NTB,male,693085,Derbyshire vs Nottinghamshire
2014-06-06,club,NTB,male,693087,Kent vs Middlesex
2014-06-07,club,NTB,male,693089,Durham vs Worcestershire
2014-06-08,club,NTB,male,693091,Gloucestershire vs Glamorgan
2014-06-11,club,NTB,male,693093,Kent vs Essex
2014-06-13,club,NTB,male,693105,Lancashire vs Leicestershire
2014-06-13,club,NTB,male,693107,Worcestershire vs Derbyshire
2014-06-13,club,NTB,male,693103,Sussex vs Surrey
2014-06-13,club,NTB,male,693109,Gloucestershire vs Essex
2014-06-13,club,NTB,male,693099,Glamorgan vs Kent
2014-06-13,club,NTB,male,693095,Warwickshire vs Nottinghamshire
2014-06-13,club,NTB,male,693101,Yorkshire vs Northamptonshire
2014-06-13,club,NTB,male,693097,Somerset vs Hampshire
2014-06-15,club,NTB,male,693111,Somerset vs Sussex
2014-06-18,club,NTB,male,693113,Somerset vs Middlesex
2014-06-19,club,NTB,male,693115,Nottinghamshire vs Leicestershire
