date,team_type,league,gender,cricsheet_id,match_teams
2016-02-04,club,PSL,male,959175,Islamabad United vs Quetta Gladiators
2016-02-05,club,PSL,male,959177,Lahore Qalandars vs Karachi Kings
2016-02-05,club,PSL,male,959179,Peshawar Zalmi vs Islamabad United
2016-02-06,club,PSL,male,959181,Karachi Kings vs Quetta Gladiators
2016-02-06,club,PSL,male,959183,Lahore Qalandars vs Peshawar Zalmi
2016-02-07,club,PSL,male,959185,Islamabad United vs Karachi Kings
2016-02-07,club,PSL,male,959187,Peshawar Zalmi vs Quetta Gladiators
2016-02-08,club,PSL,male,959189,Lahore Qalandars vs Quetta Gladiators
2016-02-10,club,PSL,male,959191,Lahore Qalandars vs Islamabad United
2016-02-11,club,PSL,male,959195,Islamabad United vs Quetta Gladiators
2016-02-12,club,PSL,male,959197,Karachi Kings vs Lahore Qalandars
2016-02-12,club,PSL,male,959199,Islamabad United vs Peshawar Zalmi
2016-02-13,club,PSL,male,959203,Lahore Qalandars vs Peshawar Zalmi
2016-02-13,club,PSL,male,959201,Karachi Kings vs Quetta Gladiators
2016-02-14,club,PSL,male,959205,Karachi Kings vs Islamabad United
2016-02-14,club,PSL,male,959207,Quetta Gladiators vs Peshawar Zalmi
2016-02-16,club,PSL,male,959209,Lahore Qalandars vs Quetta Gladiators
2016-02-17,club,PSL,male,959211,Karachi Kings vs Peshawar Zalmi
2016-02-17,club,PSL,male,959213,Lahore Qalandars vs Islamabad United
2016-02-19,club,PSL,male,959215,Quetta Gladiators vs Peshawar Zalmi
2016-02-20,club,PSL,male,959217,Karachi Kings vs Islamabad United
2016-02-21,club,PSL,male,959219,Islamabad United vs Peshawar Zalmi
2016-02-23,club,PSL,male,959221,Quetta Gladiators vs Islamabad United
2017-02-09,club,PSL,male,1075986,Islamabad United vs Peshawar Zalmi
2017-02-10,club,PSL,male,1075987,Lahore Qalandars vs Quetta Gladiators
2017-02-10,club,PSL,male,1075988,Karachi Kings vs Peshawar Zalmi
2017-02-11,club,PSL,male,1075989,Islamabad United vs Lahore Qalandars
2017-02-11,club,PSL,male,1075990,Karachi Kings vs Quetta Gladiators
2017-02-12,club,PSL,male,1075991,Lahore Qalandars vs Peshawar Zalmi
2017-02-15,club,PSL,male,1075992,Islamabad United vs Quetta Gladiators
2017-02-16,club,PSL,male,1075993,Karachi Kings vs Lahore Qalandars
2017-02-17,club,PSL,male,1075994,Peshawar Zalmi vs Quetta Gladiators
2017-02-17,club,PSL,male,1075995,Islamabad United vs Karachi Kings
2017-02-18,club,PSL,male,1075997,Islamabad United vs Peshawar Zalmi
2017-02-18,club,PSL,male,1075996,Lahore Qalandars vs Quetta Gladiators
2017-02-19,club,PSL,male,1075998,Karachi Kings vs Peshawar Zalmi
2017-02-20,club,PSL,male,1075999,Islamabad United vs Lahore Qalandars
2017-02-23,club,PSL,male,1076000,Karachi Kings vs Quetta Gladiators
2017-02-24,club,PSL,male,1076001,Lahore Qalandars vs Peshawar Zalmi
2017-02-24,club,PSL,male,1076002,Islamabad United vs Quetta Gladiators
2017-02-25,club,PSL,male,1076003,Karachi Kings vs Lahore Qalandars
2017-02-25,club,PSL,male,1076004,Peshawar Zalmi vs Quetta Gladiators
2017-02-26,club,PSL,male,1076005,Islamabad United vs Karachi Kings
2017-02-28,club,PSL,male,1076006,Quetta Gladiators vs Peshawar Zalmi
2017-03-01,club,PSL,male,1076007,Karachi Kings vs Islamabad United
2017-03-03,club,PSL,male,1076008,Peshawar Zalmi vs Karachi Kings
2017-03-05,club,PSL,male,1076009,Peshawar Zalmi vs Quetta Gladiators
2018-02-22,club,PSL,male,1128818,Peshawar Zalmi vs Multan Sultans
2018-02-23,club,PSL,male,1128819,Karachi Kings vs Quetta Gladiators
2018-02-23,club,PSL,male,1128820,Multan Sultans vs Lahore Qalandars
2018-02-24,club,PSL,male,1128822,Quetta Gladiators vs Lahore Qalandars
