date,team_type,league,gender,cricsheet_id,match_teams
2023-01-10,club,SAT,male,1343941,Paarl Royals vs MI Cape Town
2023-01-11,club,SAT,male,1343942,Joburg Super Kings vs Durban's Super Giants
2023-01-12,club,SAT,male,1343943,Pretoria Capitals vs Sunrisers Eastern Cape
2023-01-13,club,SAT,male,1343944,Joburg Super Kings vs Paarl Royals
2023-01-13,club,SAT,male,1343945,MI Cape Town vs Durban's Super Giants
2023-01-14,club,SAT,male,1343946,Pretoria Capitals vs Sunrisers Eastern Cape
2023-01-14,club,SAT,male,1343947,Joburg Super Kings vs MI Cape Town
2023-01-15,club,SAT,male,1343948,Durban's Super Giants vs Paarl Royals
2023-01-16,club,SAT,male,1343949,MI Cape Town vs Sunrisers Eastern Cape
2023-01-17,club,SAT,male,1343950,Paarl Royals vs Durban's Super Giants
2023-01-17,club,SAT,male,1343951,Joburg Super Kings vs Pretoria Capitals
2023-01-18,club,SAT,male,1343952,MI Cape Town vs Sunrisers Eastern Cape
2023-01-18,club,SAT,male,1343953,Joburg Super Kings vs Pretoria Capitals
2023-01-19,club,SAT,male,1343954,Paarl Royals vs Sunrisers Eastern Cape
2023-01-20,club,SAT,male,1343955,Durban's Super Giants vs Pretoria Capitals
2023-01-21,club,SAT,male,1343956,MI Cape Town vs Paarl Royals
2023-01-21,club,SAT,male,1343957,Sunrisers Eastern Cape vs Joburg Super Kings
2023-01-22,club,SAT,male,1343959,Sunrisers Eastern Cape vs Durban's Super Giants
2023-01-22,club,SAT,male,1343958,Pretoria Capitals vs Paarl Royals
2023-01-23,club,SAT,male,1343960,Pretoria Capitals vs MI Cape Town
2023-01-24,club,SAT,male,1343961,Sunrisers Eastern Cape vs Paarl Royals
2023-01-24,club,SAT,male,1343962,Durban's Super Giants vs Joburg Super Kings
2023-02-02,club,SAT,male,1343963,MI Cape Town vs Durban's Super Giants
2023-02-03,club,SAT,male,1343964,Paarl Royals vs Joburg Super Kings
2023-02-03,club,SAT,male,1343965,Sunrisers Eastern Cape vs Durban's Super Giants
2023-02-04,club,SAT,male,1343966,MI Cape Town vs Pretoria Capitals
2023-02-05,club,SAT,male,1343967,Joburg Super Kings vs Sunrisers Eastern Cape
2023-02-05,club,SAT,male,1343968,Durban's Super Giants vs Pretoria Capitals
2023-02-06,club,SAT,male,1343969,Joburg Super Kings vs MI Cape Town
2023-02-07,club,SAT,male,1343970,Pretoria Capitals vs Paarl Royals
2023-02-08,club,SAT,male,1343971,Pretoria Capitals vs Paarl Royals
2023-02-09,club,SAT,male,1343972,Sunrisers Eastern Cape vs Joburg Super Kings
2023-02-11,club,SAT,male,1343973,Pretoria Capitals vs Sunrisers Eastern Cape
2024-01-11,club,SAT,male,1392653,MI Cape Town vs Durban's Super Giants
2024-01-12,club,SAT,male,1392654,Paarl Royals vs Pretoria Capitals
2024-01-13,club,SAT,male,1392656,Durban's Super Giants vs Sunrisers Eastern Cape
2024-01-13,club,SAT,male,1392655,MI Cape Town vs Joburg Super Kings
2024-01-14,club,SAT,male,1392657,Paarl Royals vs Pretoria Capitals
2024-01-15,club,SAT,male,1392658,Durban's Super Giants vs Joburg Super Kings
2024-01-16,club,SAT,male,1392659,Sunrisers Eastern Cape vs MI Cape Town
2024-01-17,club,SAT,male,1392660,Joburg Super Kings vs Paarl Royals
2024-01-18,club,SAT,male,1392661,Pretoria Capitals vs Durban's Super Giants
2024-01-19,club,SAT,male,1392662,Paarl Royals vs MI Cape Town
2024-01-20,club,SAT,male,1392663,Durban's Super Giants vs Sunrisers Eastern Cape
2024-01-20,club,SAT,male,1392664,Pretoria Capitals vs Joburg Super Kings
2024-01-21,club,SAT,male,1392665,Paarl Royals vs MI Cape Town
2024-01-22,club,SAT,male,1392666,Pretoria Capitals vs Sunrisers Eastern Cape
2024-01-23,club,SAT,male,1392667,Durban's Super Giants vs MI Cape Town
2024-01-24,club,SAT,male,1392668,Joburg Super Kings vs Paarl Royals
2024-01-25,club,SAT,male,1392669,Pretoria Capitals vs Sunrisers Eastern Cape
2024-01-26,club,SAT,male,1392670,Durban's Super Giants vs Paarl Royals
2024-01-27,club,SAT,male,1392672,Joburg Super Kings vs Pretoria Capitals
2024-01-27,club,SAT,male,1392671,Sunrisers Eastern Cape vs MI Cape Town
2024-01-28,club,SAT,male,1392673,Durban's Super Giants vs Paarl Royals
2024-01-29,club,SAT,male,1392674,MI Cape Town vs Joburg Super Kings
2024-01-30,club,SAT,male,1392675,Durban's Super Giants vs Pretoria Capitals
2024-01-31,club,SAT,male,1392676,Joburg Super Kings vs Sunrisers Eastern Cape
2024-02-01,club,SAT,male,1392677,MI Cape Town vs Pretoria Capitals
2024-02-02,club,SAT,male,1392678,Sunrisers Eastern Cape vs Paarl Royals
2024-02-03,club,SAT,male,1392679,MI Cape Town vs Pretoria Capitals
2024-02-03,club,SAT,male,1392680,Durban's Super Giants vs Joburg Super Kings
2024-02-04,club,SAT,male,1392681,Paarl Royals vs Sunrisers Eastern Cape
2024-02-06,club,SAT,male,1392682,Sunrisers Eastern Cape vs Durban's Super Giants
2024-02-07,club,SAT,male,1392683,Paarl Royals vs Joburg Super Kings
2024-02-08,club,SAT,male,1392684,Durban's Super Giants vs Joburg Super Kings
2024-02-10,club,SAT,male,1392685,Sunrisers Eastern Cape vs Durban's Super Giants
2025-01-09,club,SAT,male,1449634,MI Cape Town vs Sunrisers Eastern Cape
2025-01-10,club,SAT,male,1449635,Durban's Super Giants vs Pretoria Capitals
2025-01-11,club,SAT,male,1449636,Sunrisers Eastern Cape vs Paarl Royals
