date,team_type,league,gender,cricsheet_id,match_teams
2016-01-02,club,SMA,male,902087,Gujarat vs Himachal
2016-01-02,club,SMA,male,902109,Maharashtra vs Uttar Pradesh
2016-01-02,club,SMA,male,902107,Karnataka vs Services
2016-01-02,club,SMA,male,902105,Odisha vs Mumbai
2016-01-02,club,SMA,male,902101,Railways vs Delhi
2016-01-02,club,SMA,male,902089,Bengal vs Hyderabad (India)
2016-01-02,club,SMA,male,902097,Saurashtra vs Tripura
2016-01-02,club,SMA,male,902095,Jammu & Kashmir vs Kerala
2016-01-02,club,SMA,male,902093,Punjab vs Rajasthan
2016-01-02,club,SMA,male,902091,Haryana vs Tamil Nadu
2016-01-02,club,SMA,male,902099,Andhra vs Madhya Pradesh
2016-01-03,club,SMA,male,902133,Maharashtra vs Services
2016-01-03,club,SMA,male,902131,Karnataka vs Mumbai
2016-01-03,club,SMA,male,902129,Uttar Pradesh vs Odisha
2016-01-03,club,SMA,male,902127,Baroda vs Railways
2016-01-03,club,SMA,male,902125,Delhi vs Andhra
2016-01-03,club,SMA,male,902123,Goa vs Madhya Pradesh
2016-01-03,club,SMA,male,902121,Tripura vs Jharkhand
2016-01-03,club,SMA,male,902119,Kerala vs Rajasthan
2016-01-03,club,SMA,male,902117,Jammu & Kashmir vs Punjab
2016-01-03,club,SMA,male,902115,Tamil Nadu vs Bengal
2016-01-03,club,SMA,male,902113,Hyderabad (India) vs Himachal
2016-01-03,club,SMA,male,902111,Gujarat vs Vidarbha
2016-01-04,club,SMA,male,902157,Odisha vs Maharashtra
2016-01-04,club,SMA,male,902155,Services vs Mumbai
2016-01-04,club,SMA,male,902153,Karnataka vs Uttar Pradesh
2016-01-04,club,SMA,male,902151,Railways vs Andhra
2016-01-04,club,SMA,male,902149,Madhya Pradesh vs Delhi
2016-01-04,club,SMA,male,902141,Saurashtra vs Jammu & Kashmir
2016-01-04,club,SMA,male,902143,Tripura vs Kerala
2016-01-04,club,SMA,male,902139,Bengal vs Himachal
2016-01-04,club,SMA,male,902137,Hyderabad (India) vs Gujarat
2016-01-04,club,SMA,male,902135,Haryana vs Vidarbha
2016-01-04,club,SMA,male,902147,Goa vs Assam
2016-01-06,club,SMA,male,902161,Bengal vs Gujarat
2016-01-06,club,SMA,male,902165,Kerala vs Saurashtra
2016-01-06,club,SMA,male,902167,Jharkhand vs Punjab
2016-01-06,club,SMA,male,902169,Jammu & Kashmir vs Tripura
2016-01-06,club,SMA,male,902171,Assam vs Delhi
2016-01-06,club,SMA,male,902173,Railways vs Madhya Pradesh
2016-01-06,club,SMA,male,902175,Baroda vs Goa
2016-01-07,club,SMA,male,902201,Odisha vs Services
2016-01-07,club,SMA,male,902205,Maharashtra vs Karnataka
2016-01-07,club,SMA,male,902203,Mumbai vs Uttar Pradesh
2016-01-07,club,SMA,male,902197,Baroda vs Madhya Pradesh
2016-01-07,club,SMA,male,902199,Andhra vs Assam
2016-01-07,club,SMA,male,902193,Saurashtra vs Rajasthan
2016-01-07,club,SMA,male,902183,Bengal vs Vidarbha
2016-01-07,club,SMA,male,902191,Tripura vs Punjab
2016-01-07,club,SMA,male,902189,Jharkhand vs Jammu & Kashmir
2016-01-07,club,SMA,male,902185,Gujarat vs Tamil Nadu
2016-01-07,club,SMA,male,902195,Railways vs Goa
2016-01-08,club,SMA,male,902177,Odisha vs Karnataka
2016-01-08,club,SMA,male,902179,Uttar Pradesh vs Services
2016-01-08,club,SMA,male,902181,Maharashtra vs Mumbai
2016-01-09,club,SMA,male,902223,Andhra vs Baroda
2016-01-09,club,SMA,male,902221,Railways vs Assam
2016-01-09,club,SMA,male,902219,Delhi vs Goa
2016-01-09,club,SMA,male,902209,Haryana vs Bengal
2016-01-09,club,SMA,male,902215,Saurashtra vs Jharkhand
2016-01-09,club,SMA,male,902213,Punjab vs Kerala
2016-01-09,club,SMA,male,902207,Hyderabad (India) vs Vidarbha
2016-01-09,club,SMA,male,902217,Rajasthan vs Tripura
2016-01-10,club,SMA,male,902241,Baroda vs Delhi
2016-01-10,club,SMA,male,902239,Andhra vs Goa
