date,team_type,league,gender,cricsheet_id,match_teams
2005-02-17,international,T20,male,211048,New Zealand vs Australia
2005-06-13,international,T20,male,211028,England vs Australia
2005-10-21,international,T20,male,222678,South Africa vs New Zealand
2006-01-09,international,T20,male,226374,Australia vs South Africa
2006-02-16,international,T20,male,237242,New Zealand vs West Indies
2006-02-24,international,T20,male,238195,South Africa vs Australia
2006-06-15,international,T20,male,225271,England vs Sri Lanka
2006-08-28,international,T20,male,225263,England vs Pakistan
2006-12-01,international,T20,male,255954,South Africa vs India
2006-12-22,international,T20,male,251487,New Zealand vs Sri Lanka
2006-12-26,international,T20,male,251488,New Zealand vs Sri Lanka
2007-01-09,international,T20,male,249227,Australia vs England
2007-06-28,international,T20,male,258463,England vs West Indies
2007-06-29,international,T20,male,258464,England vs West Indies
2007-09-01,international,T20,male,306987,Kenya vs Bangladesh
2007-09-02,international,T20,male,306989,Bangladesh vs Pakistan
2007-09-04,international,T20,male,306991,Kenya vs Pakistan
2007-09-11,international,T20,male,287853,South Africa vs West Indies
2007-09-12,international,T20,male,287854,Kenya vs New Zealand
2007-09-12,international,T20,male,287855,Pakistan vs Scotland
2007-09-12,international,T20,male,287856,Australia vs Zimbabwe
2007-09-13,international,T20,male,287857,Bangladesh vs West Indies
2007-09-13,international,T20,male,287858,England vs Zimbabwe
2007-09-14,international,T20,male,287862,India vs Pakistan
2007-09-14,international,T20,male,287860,Kenya vs Sri Lanka
2007-09-14,international,T20,male,287861,Australia vs England
2007-09-15,international,T20,male,287864,South Africa vs Bangladesh
2007-09-15,international,T20,male,287863,New Zealand vs Sri Lanka
2007-09-16,international,T20,male,287865,India vs New Zealand
2007-09-16,international,T20,male,287866,Australia vs Bangladesh
2007-09-16,international,T20,male,287867,South Africa vs England
2007-09-17,international,T20,male,287868,Pakistan vs Sri Lanka
2007-09-18,international,T20,male,287869,England vs New Zealand
2007-09-18,international,T20,male,287870,Australia vs Pakistan
2007-09-18,international,T20,male,287871,Bangladesh vs Sri Lanka
2007-09-19,international,T20,male,287873,England vs India
2007-09-19,international,T20,male,287872,South Africa vs New Zealand
2007-09-20,international,T20,male,287876,South Africa vs India
2007-09-20,international,T20,male,287874,Australia vs Sri Lanka
2007-09-20,international,T20,male,287875,Bangladesh vs Pakistan
2007-09-22,international,T20,male,287877,New Zealand vs Pakistan
2007-09-22,international,T20,male,287878,Australia vs India
2007-09-24,international,T20,male,287879,India vs Pakistan
2007-10-20,international,T20,male,297800,India vs Australia
2007-11-23,international,T20,male,298795,South Africa vs New Zealand
2007-12-11,international,T20,male,291343,Australia vs New Zealand
2007-12-16,international,T20,male,319112,South Africa vs West Indies
2008-01-18,international,T20,male,298804,South Africa vs West Indies
2008-02-01,international,T20,male,291356,Australia vs India
2008-02-05,international,T20,male,300435,New Zealand vs England
2008-02-07,international,T20,male,300436,New Zealand vs England
2008-04-20,international,T20,male,343764,Pakistan vs Bangladesh
2008-06-13,international,T20,male,296903,England vs New Zealand
2008-06-20,international,T20,male,319142,West Indies vs Australia
2008-08-03,international,T20,male,354456,Bermuda vs Scotland
2008-08-04,international,T20,male,361530,Ireland vs Kenya
2008-08-04,international,T20,male,361531,Netherlands vs Scotland
2008-10-11,international,T20,male,361656,Pakistan vs Sri Lanka
2008-10-13,international,T20,male,361660,Pakistan vs Sri Lanka
2008-11-05,international,T20,male,350347,South Africa vs Bangladesh
2008-12-26,international,T20,male,366707,New Zealand vs West Indies
2008-12-28,international,T20,male,366708,New Zealand vs West Indies
2009-01-11,international,T20,male,351694,Australia vs South Africa
2009-01-13,international,T20,male,351695,Australia vs South Africa
2009-02-10,international,T20,male,386535,Sri Lanka vs India
2009-02-15,international,T20,male,351696,Australia vs New Zealand
2009-02-25,international,T20,male,386494,New Zealand vs India
2009-02-27,international,T20,male,366622,New Zealand vs India
2009-03-15,international,T20,male,352674,West Indies vs England
2009-03-27,international,T20,male,350475,South Africa vs Australia
2009-03-29,international,T20,male,350476,South Africa vs Australia
2009-05-07,international,T20,male,392615,Australia vs Pakistan
2009-06-05,international,T20,male,355991,England vs Netherlands
2009-06-06,international,T20,male,355992,New Zealand vs Scotland
2009-06-06,international,T20,male,355993,Australia vs West Indies
2009-06-06,international,T20,male,355994,Bangladesh vs India
2009-06-07,international,T20,male,355995,Scotland vs South Africa
2009-06-07,international,T20,male,355996,England vs Pakistan
2009-06-08,international,T20,male,355997,Bangladesh vs Ireland
2009-06-08,international,T20,male,355998,Australia vs Sri Lanka
2009-06-09,international,T20,male,355999,Netherlands vs Pakistan
2009-06-09,international,T20,male,356000,New Zealand vs South Africa
2009-06-10,international,T20,male,356002,Sri Lanka vs West Indies
2009-06-10,international,T20,male,356001,India vs Ireland
2009-06-11,international,T20,male,356004,England vs South Africa
2009-06-11,international,T20,male,356003,Ireland vs New Zealand
2009-06-12,international,T20,male,356005,Pakistan vs Sri Lanka
2009-06-12,international,T20,male,356006,India vs West Indies
2009-06-13,international,T20,male,356007,South Africa vs West Indies
2009-06-13,international,T20,male,356008,New Zealand vs Pakistan
2009-06-14,international,T20,male,356009,Ireland vs Sri Lanka
2009-06-14,international,T20,male,356010,England vs India
2009-06-15,international,T20,male,356011,England vs West Indies
2009-06-15,international,T20,male,356012,Ireland vs Pakistan
2009-06-16,international,T20,male,356013,New Zealand vs Sri Lanka
2009-06-16,international,T20,male,356014,India vs South Africa
2009-06-18,international,T20,male,356015,Pakistan vs South Africa
2009-06-18,international,T20,female,355988,India vs New Zealand
2009-06-19,international,T20,female,355989,England vs Australia
2009-06-19,international,T20,male,356016,Sri Lanka vs West Indies
2009-06-21,international,T20,male,356017,Pakistan vs Sri Lanka
2009-06-25,international,T20,female,391794,England vs Australia
2009-08-02,international,T20,male,401076,West Indies vs Bangladesh
2009-08-12,international,T20,male,403375,Sri Lanka vs Pakistan
2009-08-30,international,T20,male,350050,England vs Australia
2009-09-02,international,T20,male,403385,Sri Lanka vs New Zealand
2009-09-04,international,T20,male,403386,Sri Lanka vs New Zealand
2009-10-28,international,T20,female,423391,South Africa vs West Indies
2009-11-12,international,T20,male,426723,New Zealand vs Pakistan
2009-11-13,international,T20,male,387563,South Africa vs England
2009-11-13,international,T20,male,426724,New Zealand vs Pakistan
2009-11-15,international,T20,male,387564,South Africa vs England
2009-12-09,international,T20,male,430884,India vs Sri Lanka
2009-12-12,international,T20,male,430885,India vs Sri Lanka
2010-02-03,international,T20,male,423782,New Zealand vs Bangladesh
2010-02-05,international,T20,male,406207,Australia vs Pakistan
2010-02-09,international,T20,male,439497,Canada vs Netherlands
2010-02-10,international,T20,male,439499,Canada vs Kenya
2010-02-11,international,T20,male,439505,Ireland vs Scotland
2010-02-13,international,T20,male,439510,Ireland vs Netherlands
2010-02-19,international,T20,male,440945,England vs Pakistan
2010-02-20,international,T20,male,440946,England vs Pakistan
2010-02-21,international,T20,male,406197,Australia vs West Indies
2010-02-23,international,T20,male,406198,Australia vs West Indies
2010-02-26,international,T20,male,423787,New Zealand vs Australia
2010-02-28,international,T20,male,439139,West Indies vs Zimbabwe
2010-02-28,international,T20,male,423788,New Zealand vs Australia
2010-04-30,international,T20,male,412677,West Indies vs Ireland
2010-04-30,international,T20,male,412678,New Zealand vs Sri Lanka
2010-05-01,international,T20,male,412680,Bangladesh vs Pakistan
2010-05-02,international,T20,male,412683,Australia vs Pakistan
2010-05-02,international,T20,male,412682,India vs South Africa
2010-05-03,international,T20,male,412686,Sri Lanka vs Zimbabwe
2010-05-03,international,T20,male,412685,West Indies vs England
2010-05-04,international,T20,male,412681,England vs Ireland
2010-05-04,international,T20,male,412684,New Zealand vs Zimbabwe
2010-05-05,international,T20,male,412688,Australia vs Bangladesh
2010-05-06,international,T20,male,412689,England vs Pakistan
2010-05-06,international,T20,male,412690,New Zealand vs South Africa
2010-05-07,international,T20,male,412691,Australia vs India
2010-05-07,international,T20,male,412692,West Indies vs Sri Lanka
2010-05-08,international,T20,male,412693,New Zealand vs Pakistan
2010-05-08,international,T20,male,412694,England vs South Africa
2010-05-09,international,T20,male,412696,Australia vs Sri Lanka
2010-05-09,international,T20,male,412695,West Indies vs India
2010-05-10,international,T20,male,412698,England vs New Zealand
2010-05-10,international,T20,male,412697,Pakistan vs South Africa
2010-05-11,international,T20,male,412699,India vs Sri Lanka
2010-05-11,international,T20,male,412700,West Indies vs Australia
2010-05-13,international,T20,female,412716,Australia vs India
2010-05-13,international,T20,male,412701,England vs Sri Lanka
2010-05-14,international,T20,female,412717,West Indies vs New Zealand
2010-05-14,international,T20,male,412702,Australia vs Pakistan
2010-05-16,international,T20,female,412718,Australia vs New Zealand
2010-05-16,international,T20,male,412703,Australia vs England
2010-05-19,international,T20,male,439146,West Indies vs South Africa
2010-05-20,international,T20,male,447539,West Indies vs South Africa
2010-05-22,international,T20,male,456991,New Zealand vs Sri Lanka
2010-05-23,international,T20,male,456992,New Zealand vs Sri Lanka
2010-06-12,international,T20,male,452153,Zimbabwe vs India
2010-06-13,international,T20,male,452154,Zimbabwe vs India
2010-07-05,international,T20,male,426392,Australia vs Pakistan
2010-07-06,international,T20,male,426393,Australia vs Pakistan
2010-09-05,international,T20,male,426417,England vs Pakistan
2010-09-07,international,T20,male,426418,England vs Pakistan
2010-10-08,international,T20,male,463141,South Africa vs Zimbabwe
2010-10-10,international,T20,male,463142,South Africa vs Zimbabwe
2010-10-26,international,T20,male,478279,Pakistan vs South Africa
2010-10-27,international,T20,male,461565,Pakistan vs South Africa
2010-10-31,international,T20,male,446956,Australia vs Sri Lanka
2010-12-26,international,T20,male,473918,New Zealand vs Pakistan
2010-12-28,international,T20,male,473919,New Zealand vs Pakistan
2010-12-30,international,T20,male,473920,New Zealand vs Pakistan
2010-12-30,international,T20,female,476947,New Zealand vs Australia
2011-01-09,international,T20,male,463149,South Africa vs India
2011-01-12,international,T20,male,446960,Australia vs England
2011-01-14,international,T20,male,446961,Australia vs England
2011-04-21,international,T20,male,489212,West Indies vs Pakistan
2011-06-04,international,T20,male,489220,West Indies vs India
2011-06-25,international,T20,male,474466,England vs Sri Lanka
2011-06-26,international,T20,female,492547,England vs India
2011-08-06,international,T20,male,516204,Sri Lanka vs Australia
2011-08-08,international,T20,male,516205,Sri Lanka vs Australia
2011-08-31,international,T20,male,474476,England vs India
2011-09-16,international,T20,male,523735,Zimbabwe vs Pakistan
2011-09-18,international,T20,male,523736,Zimbabwe vs Pakistan
2011-09-23,international,T20,male,525816,England vs West Indies
2011-09-25,international,T20,male,525817,England vs West Indies
2011-10-11,international,T20,male,531982,Bangladesh vs West Indies
2011-10-13,international,T20,male,514023,South Africa vs Australia
2011-10-15,international,T20,male,527012,Zimbabwe vs New Zealand
2011-10-16,international,T20,male,514024,South Africa vs Australia
2011-10-17,international,T20,male,527013,Zimbabwe vs New Zealand
2011-10-29,international,T20,female,527683,South Africa vs England
2011-10-29,international,T20,male,521217,India vs England
2011-11-25,international,T20,male,530432,Pakistan vs Sri Lanka
2011-11-29,international,T20,male,538068,Bangladesh vs Pakistan
2012-02-01,international,T20,male,518954,Australia vs India
2012-02-03,international,T20,male,518955,Australia vs India
2012-02-11,international,T20,male,520595,New Zealand vs Zimbabwe
2012-02-14,international,T20,male,520596,New Zealand vs Zimbabwe
2012-02-17,international,T20,male,520597,New Zealand vs South Africa
2012-02-17,international,T20,female,527688,New Zealand vs England
2012-02-19,international,T20,male,520598,New Zealand vs South Africa
2012-02-19,international,T20,female,527689,New Zealand vs England
2012-02-22,international,T20,female,527690,New Zealand vs England
2012-02-22,international,T20,male,520599,New Zealand vs South Africa
2012-02-22,international,T20,male,543883,Kenya vs Ireland
2012-02-23,international,T20,male,531635,England vs Pakistan
2012-02-23,international,T20,male,543884,Kenya vs Ireland
2012-02-24,international,T20,male,543885,Kenya vs Ireland
2012-02-25,international,T20,male,531636,England vs Pakistan
2012-02-27,international,T20,male,531637,England vs Pakistan
2012-03-13,international,T20,male,546410,Canada vs Netherlands
2012-03-14,international,T20,male,546414,Ireland vs Kenya
2012-03-18,international,T20,male,546442,Ireland vs Scotland
2012-03-22,international,T20,male,546462,Canada vs Ireland
2012-03-23,international,T20,male,546470,Ireland vs Netherlands
2012-03-23,international,T20,male,546473,Canada vs Scotland
2012-03-27,international,T20,male,540173,West Indies vs Australia
2012-03-30,international,T20,male,540174,West Indies vs Australia
2012-03-30,international,T20,male,556252,South Africa vs India
2012-06-01,international,T20,male,562437,Sri Lanka vs Pakistan
2012-06-03,international,T20,male,562438,Sri Lanka vs Pakistan
2012-06-24,international,T20,male,534208,England vs West Indies
2012-06-26,international,T20,female,542850,England vs India
2012-06-28,international,T20,female,542851,England vs India
2012-06-30,international,T20,male,560921,New Zealand vs West Indies
2012-07-01,international,T20,male,560922,New Zealand vs West Indies
2012-07-18,international,T20,male,567071,Ireland vs Bangladesh
2012-07-25,international,T20,male,567205,Netherlands vs Bangladesh
2012-07-26,international,T20,male,573672,Netherlands vs Bangladesh
2012-08-07,international,T20,male,564786,Sri Lanka vs India
2012-09-04,international,T20,female,565844,England vs Pakistan
2012-09-05,international,T20,female,565845,England vs Pakistan
2012-09-05,international,T20,male,571148,Australia vs Pakistan
2012-09-07,international,T20,male,571149,Australia vs Pakistan
2012-09-08,international,T20,female,551593,England vs West Indies
2012-09-08,international,T20,male,534233,England vs South Africa
2012-09-10,international,T20,female,551594,England vs West Indies
2012-09-10,international,T20,male,534234,England vs South Africa
2012-09-10,international,T20,male,571150,Australia vs Pakistan
2012-09-11,international,T20,male,565820,India vs New Zealand
2012-09-12,international,T20,male,534235,England vs South Africa
2012-09-13,international,T20,female,551595,England vs West Indies
2012-09-15,international,T20,female,551596,England vs West Indies
2012-09-16,international,T20,female,551597,England vs West Indies
2012-09-18,international,T20,male,533272,Sri Lanka vs Zimbabwe
2012-09-19,international,T20,male,533273,Australia vs Ireland
2012-09-20,international,T20,male,533275,South Africa vs Zimbabwe
2012-09-21,international,T20,male,533276,Bangladesh vs New Zealand
2012-09-22,international,T20,male,533279,Australia vs West Indies
2012-09-22,international,T20,male,533278,Sri Lanka vs South Africa
2012-09-23,international,T20,male,533280,New Zealand vs Pakistan
2012-09-23,international,T20,male,533281,England vs India
2012-09-24,international,T20,male,533282,Ireland vs West Indies
2012-09-25,international,T20,male,533283,Bangladesh vs Pakistan
2012-09-26,international,T20,female,533299,Sri Lanka vs South Africa
2012-09-26,international,T20,female,533300,New Zealand vs West Indies
2012-09-27,international,T20,female,533301,England vs Pakistan
2012-09-27,international,T20,female,533302,Australia vs India
2012-09-27,international,T20,male,533284,Sri Lanka vs New Zealand
2012-09-27,international,T20,male,533285,England vs West Indies
2012-09-28,international,T20,male,533287,Australia vs India
2012-09-28,international,T20,female,533304,Sri Lanka vs West Indies
2012-09-28,international,T20,female,533303,New Zealand vs South Africa
2012-09-28,international,T20,male,533286,Pakistan vs South Africa
2012-09-29,international,T20,female,533305,Australia vs Pakistan
2012-09-29,international,T20,female,533306,England vs India
2012-09-29,international,T20,male,533288,England vs New Zealand
2012-09-29,international,T20,male,533289,Sri Lanka vs West Indies
2012-09-30,international,T20,female,533307,South Africa vs West Indies
2012-09-30,international,T20,female,533308,Sri Lanka vs New Zealand
2012-09-30,international,T20,male,533290,Australia vs South Africa
2012-09-30,international,T20,male,533291,India vs Pakistan
2012-10-01,international,T20,male,533292,New Zealand vs West Indies
2012-10-01,international,T20,male,533293,Sri Lanka vs England
2012-10-01,international,T20,female,533309,India vs Pakistan
2012-10-01,international,T20,female,533310,Australia vs England
2012-10-02,international,T20,male,533294,Australia vs Pakistan
2012-10-02,international,T20,male,533295,India vs South Africa
2012-10-03,international,T20,female,584772,Sri Lanka vs India
2012-10-04,international,T20,female,533311,England vs New Zealand
2012-10-04,international,T20,male,533296,Sri Lanka vs Pakistan
2012-10-05,international,T20,female,533312,Australia vs West Indies
2012-10-05,international,T20,male,533297,Australia vs West Indies
2012-10-07,international,T20,female,533313,Australia vs England
2012-10-07,international,T20,male,533298,Sri Lanka vs West Indies
2012-10-28,international,T20,female,584923,Bangladesh vs Sri Lanka
2012-10-28,international,T20,female,584924,India vs Pakistan
2012-10-30,international,T20,female,584928,Bangladesh vs Pakistan
2012-10-30,international,T20,male,582186,Sri Lanka vs New Zealand
2012-10-31,international,T20,female,584929,India vs Pakistan
2012-12-10,international,T20,male,587476,Bangladesh vs West Indies
2012-12-20,international,T20,male,565810,India vs England
2012-12-21,international,T20,male,567353,South Africa vs New Zealand
2012-12-22,international,T20,male,565811,India vs England
2012-12-23,international,T20,male,567354,South Africa vs New Zealand
2012-12-25,international,T20,male,589306,India vs Pakistan
2012-12-26,international,T20,male,567355,South Africa vs New Zealand
2012-12-28,international,T20,male,589307,India vs Pakistan
2013-01-19,international,T20,female,588498,West Indies vs South Africa
2013-01-20,international,T20,female,588499,West Indies vs South Africa
2013-01-26,international,T20,male,573019,Australia vs Sri Lanka
2013-01-28,international,T20,male,573020,Australia vs Sri Lanka
2013-02-09,international,T20,male,569237,New Zealand vs England
2013-02-12,international,T20,male,569238,New Zealand vs England
2013-02-13,international,T20,male,573027,Australia vs West Indies
2013-02-15,international,T20,male,569239,New Zealand vs England
2013-03-02,international,T20,male,593986,West Indies vs Zimbabwe
2013-03-03,international,T20,male,593987,West Indies vs Zimbabwe
2013-03-03,international,T20,female,603243,Sri Lanka vs West Indies
2013-03-03,international,T20,male,567367,South Africa vs Pakistan
2013-03-05,international,T20,female,603244,Sri Lanka vs West Indies
2013-03-08,international,T20,female,603246,Sri Lanka vs West Indies
2013-03-15,international,T20,male,592268,Canada vs Kenya
2013-03-16,international,T20,male,592269,Canada vs Kenya
2013-03-31,international,T20,male,602477,Sri Lanka vs Bangladesh
2013-04-19,international,T20,male,630951,Kenya vs Netherlands
2013-04-20,international,T20,male,592276,Kenya vs Netherlands
2013-05-11,international,T20,male,623571,Zimbabwe vs Bangladesh
2013-05-12,international,T20,male,623572,Zimbabwe vs Bangladesh
2013-06-25,international,T20,male,566926,England vs New Zealand
2013-06-27,international,T20,male,566927,England vs New Zealand
2013-07-05,international,T20,female,627009,England vs Pakistan
2013-07-05,international,T20,female,627008,England vs Pakistan
2013-07-16,international,T20,female,644941,Ireland vs Pakistan
2013-07-27,international,T20,male,645645,West Indies vs Pakistan
2013-07-28,international,T20,male,645647,West Indies vs Pakistan
2013-07-29,international,T20,female,640947,Ireland vs Pakistan
2013-07-31,international,T20,female,640955,Pakistan vs Sri Lanka
2013-08-02,international,T20,male,635658,Sri Lanka vs South Africa
2013-08-04,international,T20,male,635659,Sri Lanka vs South Africa
2013-08-06,international,T20,male,635660,Sri Lanka vs South Africa
2013-08-23,international,T20,male,659545,Zimbabwe vs Pakistan
2013-08-24,international,T20,male,659547,Zimbabwe vs Pakistan
2013-08-27,international,T20,female,593726,England vs Australia
2013-08-29,international,T20,male,566937,England vs Australia
2013-08-29,international,T20,female,593727,England vs Australia
2013-08-31,international,T20,male,566938,England vs Australia
2013-08-31,international,T20,female,593728,England vs Australia
2013-09-14,international,T20,female,664293,South Africa vs Bangladesh
2013-09-15,international,T20,female,664295,South Africa vs Bangladesh
2013-10-10,international,T20,male,647247,India vs Australia
2013-10-31,international,T20,female,668515,South Africa vs Sri Lanka
2013-11-02,international,T20,female,668517,South Africa vs Sri Lanka
2013-11-04,international,T20,female,668519,South Africa vs Sri Lanka
2013-11-06,international,T20,male,668959,Bangladesh vs New Zealand
2013-11-13,international,T20,male,649101,Pakistan vs South Africa
2013-11-15,international,T20,male,649103,Pakistan vs South Africa
2013-11-16,international,T20,male,660113,Canada vs Ireland
2013-11-19,international,T20,male,660149,Kenya vs Scotland
2013-11-20,international,T20,male,685727,South Africa vs Pakistan
2013-11-21,international,T20,male,668969,Sri Lanka vs New Zealand
2013-11-22,international,T20,male,660173,Netherlands vs Scotland
2013-11-22,international,T20,male,685729,South Africa vs Pakistan
2013-11-23,international,T20,male,660185,Kenya vs Netherlands
2013-11-26,international,T20,male,660209,Canada vs Kenya
2013-11-28,international,T20,male,660223,Netherlands vs Scotland
2013-12-11,international,T20,male,657633,Pakistan vs Sri Lanka
2013-12-13,international,T20,male,657635,Pakistan vs Sri Lanka
2014-01-11,international,T20,male,661695,New Zealand vs West Indies
2014-01-15,international,T20,male,661697,New Zealand vs West Indies
2014-01-19,international,T20,female,698983,Pakistan vs South Africa
2014-01-19,international,T20,female,698985,Ireland vs Pakistan
2014-01-20,international,T20,female,698987,Ireland vs South Africa
2014-01-24,international,T20,female,698995,Pakistan vs South Africa
2014-01-29,international,T20,male,636164,Australia vs England
2014-01-31,international,T20,male,636165,Australia vs England
2014-01-31,international,T20,female,666047,Australia vs England
2014-02-02,international,T20,female,666049,Australia vs England
2014-02-02,international,T20,male,636166,Australia vs England
2014-02-12,international,T20,male,690351,Bangladesh vs Sri Lanka
2014-02-14,international,T20,male,690353,Bangladesh vs Sri Lanka
2014-02-19,international,T20,male,702141,West Indies vs Ireland
2014-02-21,international,T20,male,702143,West Indies vs Ireland
2014-03-09,international,T20,male,636536,West Indies vs England
2014-03-11,international,T20,male,636537,West Indies vs England
2014-03-12,international,T20,male,648681,South Africa vs Australia
2014-03-13,international,T20,male,636538,West Indies vs England
2014-03-14,international,T20,male,648683,South Africa vs Australia
2014-03-16,international,T20,male,682899,Hong Kong vs Nepal
2014-03-17,international,T20,male,682903,Netherlands vs United Arab Emirates
2014-03-17,international,T20,male,682901,Ireland vs Zimbabwe
2014-03-18,international,T20,male,682907,Bangladesh vs Nepal
2014-03-19,international,T20,male,682909,Netherlands vs Zimbabwe
2014-03-19,international,T20,male,682911,Ireland vs United Arab Emirates
2014-03-20,international,T20,male,682915,Bangladesh vs Hong Kong
2014-03-21,international,T20,male,682917,United Arab Emirates vs Zimbabwe
2014-03-21,international,T20,male,682919,Ireland vs Netherlands
2014-03-21,international,T20,male,682921,India vs Pakistan
2014-03-22,international,T20,male,682923,South Africa vs Sri Lanka
2014-03-22,international,T20,male,682925,England vs New Zealand
2014-03-23,international,T20,female,682967,Australia vs New Zealand
2014-03-23,international,T20,male,682927,Australia vs Pakistan
2014-03-23,international,T20,male,682929,India vs West Indies
2014-03-24,international,T20,male,682933,Netherlands vs Sri Lanka
2014-03-24,international,T20,female,682971,England vs West Indies
2014-03-24,international,T20,female,682973,India vs Sri Lanka
2014-03-24,international,T20,male,682931,New Zealand vs South Africa
2014-03-25,international,T20,female,682975,Ireland vs New Zealand
2014-03-25,international,T20,male,682935,Bangladesh vs West Indies
2014-03-26,international,T20,female,682979,Bangladesh vs West Indies
2014-03-26,international,T20,female,682981,England vs India
2014-03-27,international,T20,female,682985,New Zealand vs Pakistan
2014-03-27,international,T20,male,682937,Netherlands vs South Africa
2014-03-27,international,T20,male,682939,England vs Sri Lanka
2014-03-28,international,T20,female,682989,Sri Lanka vs West Indies
2014-03-28,international,T20,male,682941,Australia vs West Indies
2014-03-28,international,T20,male,682943,Bangladesh vs India
2014-03-29,international,T20,male,682947,England vs South Africa
2014-03-29,international,T20,female,682993,Australia vs Pakistan
2014-03-29,international,T20,female,682991,Ireland vs South Africa
2014-03-29,international,T20,male,682945,Netherlands vs New Zealand
2014-03-30,international,T20,female,682995,Bangladesh vs India
2014-03-30,international,T20,female,682997,England vs Sri Lanka
2014-03-30,international,T20,male,682949,Bangladesh vs Pakistan
2014-03-30,international,T20,male,682951,Australia vs India
2014-03-31,international,T20,female,682999,Ireland vs Pakistan
2014-03-31,international,T20,female,683001,New Zealand vs South Africa
2014-03-31,international,T20,male,682953,England vs Netherlands
2014-03-31,international,T20,male,682955,New Zealand vs Sri Lanka
2014-04-01,international,T20,male,682957,Bangladesh vs Australia
2014-04-01,international,T20,male,682959,Pakistan vs West Indies
2014-04-01,international,T20,female,683005,India vs West Indies
2014-04-01,international,T20,female,683003,Bangladesh vs Sri Lanka
2014-04-02,international,T20,female,683007,New Zealand vs Sri Lanka
2014-04-02,international,T20,female,683009,India vs Pakistan
2014-04-03,international,T20,female,683011,Australia vs West Indies
2014-04-03,international,T20,female,718465,Pakistan vs Sri Lanka
2014-04-03,international,T20,female,718467,Bangladesh vs Ireland
2014-04-03,international,T20,male,682961,Sri Lanka vs West Indies
2014-04-04,international,T20,female,683013,England vs South Africa
2014-04-04,international,T20,male,682963,India vs South Africa
2014-04-06,international,T20,female,683015,Australia vs England
2014-04-06,international,T20,male,682965,India vs Sri Lanka
2014-05-20,international,T20,male,667887,England vs Sri Lanka
2014-07-05,international,T20,male,730283,West Indies vs New Zealand
2014-07-06,international,T20,male,730285,West Indies vs New Zealand
2014-08-27,international,T20,male,730293,West Indies vs Bangladesh
2014-08-30,international,T20,female,754793,Australia vs Pakistan
2014-08-31,international,T20,female,754795,Australia vs Pakistan
2014-09-01,international,T20,female,693433,England vs South Africa
2014-09-03,international,T20,female,693435,England vs South Africa
2014-09-03,international,T20,female,754797,Australia vs Pakistan
2014-09-05,international,T20,female,754799,Australia vs Pakistan
2014-09-07,international,T20,female,693437,England vs South Africa
2014-09-07,international,T20,male,667731,England vs India
