key,date
ipl0001,2008-04-18
ipl0002,2008-04-19
ipl0003,2008-04-19
ipl0004,2008-04-20
ipl0005,2008-04-20
ipl0006,2008-04-21
ipl0007,2008-04-22
ipl0008,2008-04-23
ipl0009,2008-04-24
ipl0010,2008-04-25
ipl0011,2008-04-26
ipl0012,2008-04-26
ipl0013,2008-04-27
ipl0014,2008-04-27
ipl0015,2008-04-28
ipl0016,2008-04-29
ipl0017,2008-04-30
ipl0018,2008-05-01
ipl0019,2008-05-01
ipl0020,2008-05-02
ipl0021,2008-05-03
ipl0022,2008-05-03
ipl0023,2008-05-04
ipl0024,2008-05-04
ipl0025,2008-05-05
ipl0026,2008-05-06
ipl0027,2008-05-07
ipl0028,2008-05-08
ipl0029,2008-05-08
ipl0030,2008-05-09
ipl0031,2008-05-10
ipl0032,2008-05-11
ipl0033,2008-05-11
ipl0034,2008-05-12
ipl0035,2008-05-13
ipl0036,2008-05-14
ipl0037,2008-05-15
ipl0038,2008-05-16
ipl0039,2008-05-17
ipl0040,2008-05-17
ipl0041,2008-05-18
ipl0042,2008-05-18
ipl0043,2008-05-19
ipl0044,2008-05-20
ipl0045,2008-05-21
ipl0046,2008-05-21
ipl0047,2008-05-23
ipl0048,2008-05-24
ipl0049,2008-05-24
ipl0050,2008-05-25
ipl0051,2008-05-25
ipl0052,2008-05-26
ipl0053,2008-05-27
ipl0054,2008-05-28
ipl0055,2008-05-28
ipl0056,2008-05-30
ipl0057,2008-05-31
ipl0058,2008-06-01
ipl0059,2009-04-18
ipl0060,2009-04-18
ipl0061,2009-04-19
ipl0062,2009-04-19
ipl0063,2009-04-20
ipl0064,2009-04-21
ipl0065,2009-04-22
ipl0066,2009-04-23
ipl0067,2009-04-23
ipl0068,2009-04-24
ipl0069,2009-04-25
ipl0070,2009-04-26
ipl0071,2009-04-26
ipl0072,2009-04-27
ipl0073,2009-04-27
ipl0074,2009-04-28
ipl0075,2009-04-29
ipl0076,2009-04-29
ipl0077,2009-04-30
ipl0078,2009-04-30
