key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
ipl0001,Bangalore,IPL,2008-04-18,male,T20,,20,BB McCullum,M Chinnaswamy Stadium
ipl0002,Delhi,IPL,2008-04-19,male,T20,,20,MF Maharoof,Feroz Shah Kotla
ipl0003,Chandigarh,IPL,2008-04-19,male,T20,,20,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
ipl0004,Kolkata,IPL,2008-04-20,male,T20,,20,DJ Hussey,Eden Gardens
ipl0005,Mumbai,IPL,2008-04-20,male,T20,,20,MV Boucher,Wankhede Stadium
ipl0006,Jaipur,IPL,2008-04-21,male,T20,,20,SR Watson,Sawai Mansingh Stadium
ipl0007,Hyderabad,IPL,2008-04-22,male,T20,,20,V Sehwag,"Rajiv Gandhi International Stadium, Uppal"
ipl0008,Chennai,IPL,2008-04-23,male,T20,,20,ML Hayden,"MA Chidambaram Stadium, Chepauk"
ipl0009,Hyderabad,IPL,2008-04-24,male,T20,,20,YK Pathan,"Rajiv Gandhi International Stadium, Uppal"
ipl0010,Chandigarh,IPL,2008-04-25,male,T20,,20,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali"
ipl0011,Chennai,IPL,2008-04-26,male,T20,,20,JDP Oram,"MA Chidambaram Stadium, Chepauk"
ipl0012,Bangalore,IPL,2008-04-26,male,T20,,20,SR Watson,M Chinnaswamy Stadium
ipl0013,Chandigarh,IPL,2008-04-27,male,T20,,20,SM Katich,"Punjab Cricket Association Stadium, Mohali"
ipl0014,Mumbai,IPL,2008-04-27,male,T20,,20,AC Gilchrist,Dr DY Patil Sports Academy
ipl0015,Bangalore,IPL,2008-04-28,male,T20,,20,MS Dhoni,M Chinnaswamy Stadium
ipl0016,Kolkata,IPL,2008-04-29,male,T20,,20,ST Jayasuriya,Eden Gardens
ipl0017,Delhi,IPL,2008-04-30,male,T20,,20,GD McGrath,Feroz Shah Kotla
ipl0018,Jaipur,IPL,2008-05-01,male,T20,,20,SA Asnodkar,Sawai Mansingh Stadium
ipl0019,Hyderabad,IPL,2008-05-01,male,T20,,20,SE Marsh,"Rajiv Gandhi International Stadium, Uppal"
