key,data_version,created,revision
ipl0001,0.91,2011-05-06,2
ipl0002,0.91,2011-05-06,3
ipl0003,0.91,2011-05-06,2
ipl0004,0.91,2011-05-06,2
ipl0005,0.91,2011-05-06,2
ipl0006,0.91,2011-05-06,2
ipl0007,0.91,2011-05-06,3
ipl0008,0.91,2011-05-06,2
ipl0009,0.91,2011-05-06,3
ipl0010,0.91,2011-05-06,2
ipl0011,0.91,2011-05-06,2
ipl0012,0.91,2011-05-06,2
ipl0013,0.91,2011-05-06,2
ipl0014,0.91,2011-05-06,2
ipl0015,0.91,2011-05-06,2
ipl0016,0.91,2011-05-06,2
ipl0017,0.91,2011-05-06,3
ipl0018,0.91,2011-05-06,2
ipl0019,0.91,2011-05-06,3
ipl0020,0.91,2011-05-06,2
ipl0021,0.91,2011-05-06,2
ipl0022,0.91,2011-05-06,3
ipl0023,0.91,2011-05-06,2
ipl0024,0.91,2011-05-06,2
ipl0025,0.91,2011-05-06,2
ipl0026,0.91,2011-05-06,2
ipl0027,0.91,2011-05-06,2
ipl0028,0.91,2011-05-06,2
ipl0029,0.91,2011-05-06,2
ipl0030,0.91,2011-05-06,3
ipl0031,0.91,2011-05-06,2
ipl0032,0.91,2011-05-06,3
ipl0033,0.91,2011-05-06,2
ipl0034,0.91,2011-05-06,2
ipl0035,0.91,2011-05-06,2
ipl0036,0.91,2011-05-06,2
ipl0037,0.91,2011-05-06,2
ipl0038,0.91,2011-05-06,2
ipl0039,0.91,2011-05-06,2
ipl0040,0.91,2011-05-06,3
ipl0041,0.91,2011-05-06,2
ipl0042,0.91,2011-05-06,3
ipl0043,0.91,2011-05-06,2
ipl0044,0.91,2011-05-06,2
ipl0045,0.91,2011-05-06,2
ipl0046,0.91,2011-05-06,2
ipl0047,0.91,2011-05-06,2
ipl0048,0.91,2011-05-06,2
ipl0049,0.91,2011-05-06,2
ipl0050,0.91,2011-05-06,2
ipl0051,0.91,2011-05-06,3
ipl0052,0.91,2011-05-06,3
ipl0053,0.91,2011-05-06,2
ipl0054,0.91,2011-05-06,3
ipl0055,0.91,2011-05-06,2
ipl0056,0.91,2011-05-06,2
ipl0057,0.91,2011-05-06,2
ipl0058,0.91,2011-05-06,3
ipl0059,0.91,2011-05-01,3
ipl0060,0.91,2011-05-01,2
ipl0061,0.91,2011-05-01,2
ipl0062,0.91,2011-05-01,2
ipl0063,0.91,2011-05-01,2
ipl0064,0.91,2011-05-01,2
ipl0065,0.91,2011-05-01,2
ipl0066,0.91,2011-05-01,3
ipl0067,0.91,2011-05-01,2
ipl0068,0.91,2011-05-01,2
ipl0069,0.91,2011-05-01,2
ipl0070,0.91,2011-05-02,2
ipl0071,0.91,2011-05-02,2
ipl0072,0.91,2011-05-02,2
ipl0073,0.91,2011-05-02,2
ipl0074,0.91,2011-05-02,2
ipl0075,0.91,2011-05-02,2
ipl0076,0.91,2011-05-02,2
ipl0077,0.91,2011-05-02,3
ipl0078,0.91,2011-05-02,2
ipl0079,0.91,2011-05-02,2
ipl0080,0.91,2011-05-02,2
ipl0081,0.91,2011-05-02,2
ipl0082,0.91,2011-05-02,2
ipl0083,0.91,2011-05-02,2
ipl0084,0.91,2011-05-02,2
ipl0085,0.91,2011-05-02,2
ipl0086,0.91,2011-05-02,2
ipl0087,0.91,2011-05-02,3
ipl0088,0.91,2011-05-02,2
ipl0089,0.91,2011-05-02,2
ipl0090,0.91,2011-05-02,3
ipl0091,0.91,2011-05-02,2
ipl0092,0.91,2011-05-02,2
ipl0093,0.91,2011-05-02,2
ipl0094,0.91,2011-05-02,2
ipl0095,0.91,2011-05-02,2
ipl0096,0.91,2011-05-02,2
ipl0097,0.91,2011-05-02,2
ipl0098,0.91,2011-05-02,2
ipl0099,0.91,2011-05-02,2
ipl0100,0.91,2011-05-02,2
ipl0101,0.91,2011-05-02,2
ipl0102,0.91,2011-05-02,2
ipl0103,0.91,2011-05-02,3
ipl0104,0.91,2011-05-02,2
ipl0105,0.91,2011-05-02,2
ipl0106,0.91,2011-05-02,2
ipl0107,0.91,2011-05-02,2
ipl0108,0.91,2011-05-02,2
ipl0109,0.91,2011-05-02,2
ipl0110,0.91,2011-05-02,3
ipl0111,0.91,2011-05-02,2
ipl0112,0.91,2011-05-02,2
