key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
ipl0001,,runs,140.0,,,,,Kolkata Knight Riders
ipl0002,,wickets,9.0,,,,,Delhi Capitals
ipl0003,,runs,33.0,,,,,Chennai Super Kings
ipl0004,,wickets,5.0,,,,,Kolkata Knight Riders
ipl0005,,wickets,5.0,,,,,Royal Challengers Bangalore
ipl0006,,wickets,6.0,,,,,Rajasthan Royals
ipl0007,,wickets,9.0,,,,,Delhi Capitals
ipl0008,,runs,6.0,,,,,Chennai Super Kings
ipl0009,,wickets,3.0,,,,,Rajasthan Royals
ipl0010,,runs,66.0,,,,,Punjab Kings
ipl0011,,wickets,9.0,,,,,Chennai Super Kings
ipl0012,,wickets,7.0,,,,,Rajasthan Royals
ipl0013,,wickets,4.0,,,,,Punjab Kings
ipl0014,,wickets,10.0,,,,,Deccan Chargers
ipl0015,,runs,13.0,,,,,Chennai Super Kings
ipl0016,,wickets,7.0,,,,,Mumbai Indians
ipl0017,,runs,10.0,,,,,Delhi Capitals
ipl0018,,runs,45.0,,,,,Rajasthan Royals
ipl0019,,wickets,7.0,,,,,Punjab Kings
ipl0020,,wickets,8.0,,,,,Delhi Capitals
ipl0021,,runs,3.0,,,,,Royal Challengers Bangalore
ipl0022,,runs,9.0,,,,,Punjab Kings
ipl0023,,wickets,8.0,,,,,Rajasthan Royals
ipl0024,,runs,29.0,,,,,Mumbai Indians
ipl0025,,wickets,6.0,,,,,Punjab Kings
ipl0026,,wickets,7.0,,,,,Deccan Chargers
ipl0027,,wickets,7.0,,,,,Mumbai Indians
ipl0028,,runs,5.0,,,,,Kolkata Knight Riders
ipl0029,,wickets,4.0,,,,,Chennai Super Kings
ipl0030,,wickets,8.0,,,,,Rajasthan Royals
ipl0031,,runs,18.0,,,,,Chennai Super Kings
ipl0032,,wickets,3.0,,,,,Rajasthan Royals
ipl0033,,runs,23.0,,,,,Kolkata Knight Riders
ipl0034,,wickets,9.0,,,,,Punjab Kings
ipl0035,,runs,23.0,,,,,Kolkata Knight Riders
ipl0036,,wickets,9.0,,,,,Mumbai Indians
ipl0037,,runs,12.0,,,,,Delhi Capitals
ipl0038,,wickets,8.0,,,,,Mumbai Indians
ipl0039,,runs,65.0,,,,,Rajasthan Royals
ipl0040,,runs,6.0,,,D/L,,Punjab Kings
