key,player_of_match
ipl0001,BB McCullum
ipl0002,MF Maharoof
ipl0003,MEK Hussey
ipl0004,DJ Hussey
ipl0005,MV Boucher
ipl0006,SR Watson
ipl0007,V Sehwag
ipl0008,ML Hayden
ipl0009,YK Pathan
ipl0010,KC Sangakkara
ipl0011,JDP Oram
ipl0012,SR Watson
ipl0013,SM Katich
ipl0014,AC Gilchrist
ipl0015,MS Dhoni
ipl0016,ST Jayasuriya
ipl0017,GD McGrath
ipl0018,SA Asnodkar
ipl0019,SE Marsh
ipl0020,V Sehwag
ipl0021,P Kumar
ipl0022,IK Pathan
ipl0023,Sohail Tanvir
ipl0024,SM Pollock
ipl0025,S Sreesanth
ipl0026,AC Gilchrist
ipl0027,A Nehra
ipl0028,SC Ganguly
ipl0029,MS Dhoni
ipl0030,YK Pathan
ipl0031,L Balaji
ipl0032,SR Watson
ipl0033,SC Ganguly
ipl0034,SE Marsh
ipl0035,Shoaib Akhtar
ipl0036,ST Jayasuriya
ipl0037,A Mishra
ipl0038,SM Pollock
ipl0039,GC Smith
ipl0040,DPMD Jayawardene
ipl0041,M Ntini
ipl0042,DJ Bravo
ipl0043,SP Goswami
ipl0044,YK Pathan
ipl0045,A Kumble
ipl0046,SE Marsh
ipl0047,SE Marsh
ipl0048,JA Morkel
ipl0049,KD Karthik
ipl0050,Umar Gul
ipl0051,R Vinay Kumar
ipl0052,Sohail Tanvir
ipl0053,SK Raina
ipl0054,SE Marsh
ipl0055,CRD Fernando
ipl0056,SR Watson
ipl0057,M Ntini
ipl0058,YK Pathan
ipl0059,R Dravid
ipl0060,SR Tendulkar
ipl0061,RP Singh
ipl0062,DL Vettori
ipl0063,M Muralitharan
ipl0064,CH Gayle
ipl0065,AC Gilchrist
ipl0066,YK Pathan
ipl0067,AB de Villiers
ipl0068,RS Bopara
ipl0069,PP Ojha
ipl0070,KC Sangakkara
ipl0071,TM Dilshan
ipl0072,SR Tendulkar
ipl0073,HH Gibbs
ipl0074,YK Pathan
ipl0075,KC Sangakkara
ipl0076,MV Boucher
ipl0077,SK Raina
ipl0078,DP Nannes
ipl0079,Yuvraj Singh
ipl0080,JP Duminy
ipl0081,SB Jakati
ipl0082,YK Pathan
ipl0083,JH Kallis
ipl0084,DPMD Jayawardene
ipl0085,MS Dhoni
ipl0086,G Gambhir
ipl0087,GC Smith
ipl0088,RG Sharma
ipl0089,ML Hayden
ipl0090,A Singh
ipl0091,A Nehra
ipl0092,S Badrinath
ipl0093,DPMD Jayawardene
ipl0094,A Mishra
ipl0095,JP Duminy
ipl0096,DR Smith
ipl0097,Harbhajan Singh
ipl0098,LRPL Taylor
ipl0099,R Bhatia
ipl0100,SK Warne
ipl0101,LRPL Taylor
ipl0102,B Lee
ipl0103,RG Sharma
ipl0104,ML Hayden
ipl0105,AB de Villiers
ipl0106,Yuvraj Singh
ipl0107,BJ Hodge
ipl0108,JH Kallis
ipl0109,M Muralitharan
ipl0110,LR Shukla
ipl0111,MK Pandey
ipl0112,V Sehwag
ipl0113,AC Gilchrist
ipl0114,MK Pandey
ipl0115,A Kumble
ipl0116,AD Mathews
ipl0117,G Gambhir
ipl0118,YK Pathan
ipl0119,WPUJC Vaas
ipl0120,MK Tiwary
ipl0121,V Sehwag
ipl0122,MS Dhoni
ipl0123,JH Kallis
ipl0124,SR Tendulkar
ipl0125,JH Kallis
ipl0126,A Symonds
ipl0127,ML Hayden
ipl0128,JH Kallis
ipl0129,AA Jhunjhunwala
ipl0130,J Theron
ipl0131,A Symonds
ipl0132,SR Tendulkar
ipl0133,RV Uthappa
ipl0134,AC Voges
ipl0135,KM Jadhav
ipl0136,SR Tendulkar
ipl0137,YK Pathan
ipl0138,MK Tiwary
ipl0139,Harbhajan Singh
ipl0140,NV Ojha
ipl0141,DA Warner
ipl0142,SL Malinga
ipl0143,KD Karthik
ipl0144,M Vijay
ipl0145,SC Ganguly
ipl0146,KP Pietersen
ipl0147,AT Rayudu
ipl0148,M Vijay
ipl0149,PD Collingwood
ipl0150,DPMD Jayawardene
ipl0151,SK Warne
ipl0152,SK Raina
ipl0153,SC Ganguly
ipl0154,MJ Lumb
ipl0155,TL Suman
ipl0156,KC Sangakkara
ipl0157,R Vinay Kumar
ipl0158,RJ Harris
ipl0159,SR Tendulkar
ipl0160,PP Chawla
ipl0161,Harmeet Singh
ipl0162,R Ashwin
ipl0163,KA Pollard
ipl0164,KP Pietersen
ipl0165,G Gambhir
ipl0166,RG Sharma
