key,team
ipl0001,Royal Challengers Bangalore
ipl0001,Kolkata Knight Riders
ipl0002,Delhi Capitals
ipl0002,Rajasthan Royals
ipl0003,Punjab Kings
ipl0003,Chennai Super Kings
ipl0004,Kolkata Knight Riders
ipl0004,Deccan Chargers
ipl0005,Mumbai Indians
ipl0005,Royal Challengers Bangalore
ipl0006,Rajasthan Royals
ipl0006,Punjab Kings
ipl0007,Deccan Chargers
ipl0007,Delhi Capitals
ipl0008,Chennai Super Kings
ipl0008,Mumbai Indians
ipl0009,Deccan Chargers
ipl0009,Rajasthan Royals
ipl0010,Punjab Kings
ipl0010,Mumbai Indians
ipl0011,Chennai Super Kings
ipl0011,Kolkata Knight Riders
ipl0012,Royal Challengers Bangalore
ipl0012,Rajasthan Royals
ipl0013,Punjab Kings
ipl0013,Delhi Capitals
ipl0014,Mumbai Indians
ipl0014,Deccan Chargers
ipl0015,Royal Challengers Bangalore
ipl0015,Chennai Super Kings
ipl0016,Kolkata Knight Riders
ipl0016,Mumbai Indians
ipl0017,Delhi Capitals
ipl0017,Royal Challengers Bangalore
ipl0018,Rajasthan Royals
ipl0018,Kolkata Knight Riders
ipl0019,Deccan Chargers
ipl0019,Punjab Kings
ipl0020,Chennai Super Kings
ipl0020,Delhi Capitals
ipl0021,Royal Challengers Bangalore
ipl0021,Deccan Chargers
ipl0022,Punjab Kings
ipl0022,Kolkata Knight Riders
ipl0023,Rajasthan Royals
ipl0023,Chennai Super Kings
ipl0024,Mumbai Indians
ipl0024,Delhi Capitals
ipl0025,Royal Challengers Bangalore
ipl0025,Punjab Kings
ipl0026,Chennai Super Kings
ipl0026,Deccan Chargers
ipl0027,Mumbai Indians
ipl0027,Rajasthan Royals
ipl0028,Kolkata Knight Riders
ipl0028,Royal Challengers Bangalore
ipl0029,Delhi Capitals
ipl0029,Chennai Super Kings
ipl0030,Rajasthan Royals
ipl0030,Deccan Chargers
ipl0031,Chennai Super Kings
ipl0031,Punjab Kings
ipl0032,Rajasthan Royals
ipl0032,Delhi Capitals
ipl0033,Deccan Chargers
ipl0033,Kolkata Knight Riders
ipl0034,Punjab Kings
ipl0034,Royal Challengers Bangalore
ipl0035,Kolkata Knight Riders
ipl0035,Delhi Capitals
ipl0036,Mumbai Indians
ipl0036,Chennai Super Kings
ipl0037,Delhi Capitals
ipl0037,Deccan Chargers
ipl0038,Mumbai Indians
ipl0038,Kolkata Knight Riders
ipl0039,Rajasthan Royals
ipl0039,Royal Challengers Bangalore
ipl0040,Delhi Capitals
ipl0040,Punjab Kings
ipl0041,Kolkata Knight Riders
ipl0041,Chennai Super Kings
ipl0042,Deccan Chargers
ipl0042,Mumbai Indians
ipl0043,Royal Challengers Bangalore
ipl0043,Delhi Capitals
ipl0044,Kolkata Knight Riders
ipl0044,Rajasthan Royals
ipl0045,Chennai Super Kings
ipl0045,Royal Challengers Bangalore
ipl0046,Mumbai Indians
ipl0046,Punjab Kings
ipl0047,Punjab Kings
ipl0047,Deccan Chargers
ipl0048,Chennai Super Kings
ipl0048,Rajasthan Royals
ipl0049,Delhi Capitals
ipl0049,Mumbai Indians
ipl0050,Kolkata Knight Riders
ipl0050,Punjab Kings
ipl0051,Deccan Chargers
ipl0051,Royal Challengers Bangalore
ipl0052,Rajasthan Royals
ipl0052,Mumbai Indians
ipl0053,Deccan Chargers
ipl0053,Chennai Super Kings
ipl0054,Punjab Kings
ipl0054,Rajasthan Royals
ipl0055,Royal Challengers Bangalore
ipl0055,Mumbai Indians
ipl0056,Delhi Capitals
ipl0056,Rajasthan Royals
ipl0057,Chennai Super Kings
ipl0057,Punjab Kings
ipl0058,Chennai Super Kings
ipl0058,Rajasthan Royals
ipl0059,Royal Challengers Bangalore
ipl0059,Rajasthan Royals
ipl0060,Chennai Super Kings
ipl0060,Mumbai Indians
ipl0061,Deccan Chargers
ipl0061,Kolkata Knight Riders
ipl0062,Delhi Capitals
ipl0062,Punjab Kings
ipl0063,Royal Challengers Bangalore
ipl0063,Chennai Super Kings
ipl0064,Punjab Kings
ipl0064,Kolkata Knight Riders
ipl0065,Royal Challengers Bangalore
ipl0065,Deccan Chargers
ipl0066,Kolkata Knight Riders
ipl0066,Rajasthan Royals
ipl0067,Chennai Super Kings
ipl0067,Delhi Capitals
ipl0068,Royal Challengers Bangalore
ipl0068,Punjab Kings
ipl0069,Deccan Chargers
ipl0069,Mumbai Indians
ipl0070,Punjab Kings
ipl0070,Rajasthan Royals
ipl0071,Royal Challengers Bangalore
ipl0071,Delhi Capitals
ipl0072,Kolkata Knight Riders
ipl0072,Mumbai Indians
ipl0073,Chennai Super Kings
ipl0073,Deccan Chargers
ipl0074,Delhi Capitals
ipl0074,Rajasthan Royals
ipl0075,Punjab Kings
ipl0075,Mumbai Indians
ipl0076,Royal Challengers Bangalore
ipl0076,Kolkata Knight Riders
ipl0077,Chennai Super Kings
ipl0077,Rajasthan Royals
ipl0078,Deccan Chargers
ipl0078,Delhi Capitals
ipl0079,Royal Challengers Bangalore
ipl0079,Punjab Kings
ipl0080,Kolkata Knight Riders
ipl0080,Mumbai Indians
ipl0081,Chennai Super Kings
ipl0081,Delhi Capitals
ipl0082,Deccan Chargers
ipl0082,Rajasthan Royals
ipl0083,Royal Challengers Bangalore
ipl0083,Mumbai Indians
ipl0084,Punjab Kings
ipl0084,Kolkata Knight Riders
ipl0085,Chennai Super Kings
ipl0085,Deccan Chargers
ipl0086,Delhi Capitals
ipl0086,Kolkata Knight Riders
ipl0087,Punjab Kings
ipl0087,Rajasthan Royals
ipl0088,Deccan Chargers
ipl0088,Mumbai Indians
ipl0089,Chennai Super Kings
ipl0089,Punjab Kings
ipl0090,Royal Challengers Bangalore
ipl0090,Rajasthan Royals
ipl0091,Delhi Capitals
ipl0091,Mumbai Indians
ipl0092,Chennai Super Kings
ipl0092,Rajasthan Royals
ipl0093,Deccan Chargers
ipl0093,Punjab Kings
ipl0094,Delhi Capitals
ipl0094,Kolkata Knight Riders
ipl0095,Royal Challengers Bangalore
ipl0095,Mumbai Indians
ipl0096,Deccan Chargers
ipl0096,Rajasthan Royals
ipl0097,Punjab Kings
ipl0097,Mumbai Indians
ipl0098,Royal Challengers Bangalore
ipl0098,Kolkata Knight Riders
ipl0099,Deccan Chargers
ipl0099,Delhi Capitals
ipl0100,Mumbai Indians
ipl0100,Rajasthan Royals
ipl0101,Royal Challengers Bangalore
ipl0101,Chennai Super Kings
ipl0102,Delhi Capitals
ipl0102,Punjab Kings
ipl0103,Deccan Chargers
ipl0103,Kolkata Knight Riders
ipl0104,Chennai Super Kings
ipl0104,Mumbai Indians
ipl0105,Delhi Capitals
ipl0105,Rajasthan Royals
ipl0106,Deccan Chargers
ipl0106,Punjab Kings
ipl0107,Chennai Super Kings
ipl0107,Kolkata Knight Riders
ipl0108,Royal Challengers Bangalore
ipl0108,Delhi Capitals
ipl0109,Chennai Super Kings
ipl0109,Punjab Kings
ipl0110,Kolkata Knight Riders
ipl0110,Rajasthan Royals
ipl0111,Royal Challengers Bangalore
ipl0111,Deccan Chargers
ipl0112,Delhi Capitals
ipl0112,Mumbai Indians
ipl0113,Delhi Capitals
ipl0113,Deccan Chargers
ipl0114,Royal Challengers Bangalore
ipl0114,Chennai Super Kings
ipl0115,Royal Challengers Bangalore
ipl0115,Deccan Chargers
ipl0116,Deccan Chargers
ipl0116,Kolkata Knight Riders
ipl0117,Punjab Kings
