key,toss_winner,toss_decision,decision,winner
ipl0001,,,field,Royal Challengers Bangalore
ipl0002,,,bat,Rajasthan Royals
ipl0003,,,bat,Chennai Super Kings
ipl0004,,,bat,Deccan Chargers
ipl0005,,,bat,Mumbai Indians
ipl0006,,,bat,Punjab Kings
ipl0007,,,bat,Deccan Chargers
ipl0008,,,field,Mumbai Indians
ipl0009,,,field,Rajasthan Royals
ipl0010,,,field,Mumbai Indians
ipl0011,,,bat,Kolkata Knight Riders
ipl0012,,,field,Rajasthan Royals
ipl0013,,,bat,Delhi Capitals
ipl0014,,,field,Deccan Chargers
ipl0015,,,bat,Chennai Super Kings
ipl0016,,,bat,Kolkata Knight Riders
ipl0017,,,field,Royal Challengers Bangalore
ipl0018,,,bat,Rajasthan Royals
ipl0019,,,field,Punjab Kings
ipl0020,,,bat,Chennai Super Kings
ipl0021,,,field,Deccan Chargers
ipl0022,,,bat,Punjab Kings
ipl0023,,,bat,Chennai Super Kings
ipl0024,,,field,Delhi Capitals
ipl0025,,,field,Punjab Kings
ipl0026,,,field,Deccan Chargers
ipl0027,,,field,Mumbai Indians
ipl0028,,,bat,Kolkata Knight Riders
ipl0029,,,field,Chennai Super Kings
ipl0030,,,field,Rajasthan Royals
ipl0031,,,field,Punjab Kings
ipl0032,,,field,Rajasthan Royals
ipl0033,,,bat,Kolkata Knight Riders
ipl0034,,,bat,Royal Challengers Bangalore
ipl0035,,,bat,Kolkata Knight Riders
ipl0036,,,field,Mumbai Indians
ipl0037,,,field,Deccan Chargers
ipl0038,,,field,Mumbai Indians
ipl0039,,,field,Royal Challengers Bangalore
ipl0040,,,bat,Delhi Capitals
ipl0041,,,bat,Kolkata Knight Riders
ipl0042,,,field,Deccan Chargers
ipl0043,,,field,Delhi Capitals
ipl0044,,,field,Rajasthan Royals
ipl0045,,,bat,Royal Challengers Bangalore
ipl0046,,,field,Mumbai Indians
ipl0047,,,field,Punjab Kings
ipl0048,,,bat,Rajasthan Royals
ipl0049,,,field,Delhi Capitals
ipl0050,,,bat,Punjab Kings
ipl0051,,,bat,Deccan Chargers
ipl0052,,,field,Rajasthan Royals
ipl0053,,,bat,Deccan Chargers
ipl0054,,,field,Rajasthan Royals
ipl0055,,,field,Mumbai Indians
ipl0056,,,field,Delhi Capitals
ipl0057,,,bat,Punjab Kings
ipl0058,,,field,Rajasthan Royals
ipl0059,,,bat,Royal Challengers Bangalore
ipl0060,,,field,Chennai Super Kings
ipl0061,,,bat,Kolkata Knight Riders
ipl0062,,,field,Delhi Capitals
ipl0063,,,bat,Chennai Super Kings
ipl0064,,,field,Kolkata Knight Riders
ipl0065,,,bat,Deccan Chargers
ipl0066,,,field,Kolkata Knight Riders
ipl0067,,,bat,Delhi Capitals
ipl0068,,,bat,Royal Challengers Bangalore
ipl0069,,,bat,Deccan Chargers
ipl0070,,,bat,Punjab Kings
ipl0071,,,bat,Royal Challengers Bangalore
ipl0072,,,bat,Mumbai Indians
ipl0073,,,field,Deccan Chargers
ipl0074,,,bat,Delhi Capitals
ipl0075,,,bat,Punjab Kings
ipl0076,,,bat,Kolkata Knight Riders
ipl0077,,,field,Rajasthan Royals
ipl0078,,,field,Delhi Capitals
ipl0079,,,bat,Royal Challengers Bangalore
ipl0080,,,bat,Mumbai Indians
ipl0081,,,field,Delhi Capitals
ipl0082,,,bat,Deccan Chargers
ipl0083,,,bat,Mumbai Indians
ipl0084,,,bat,Kolkata Knight Riders
ipl0085,,,bat,Chennai Super Kings
ipl0086,,,bat,Kolkata Knight Riders
ipl0087,,,field,Punjab Kings
ipl0088,,,bat,Deccan Chargers
ipl0089,,,bat,Chennai Super Kings
ipl0090,,,field,Rajasthan Royals
ipl0091,,,bat,Mumbai Indians
ipl0092,,,bat,Rajasthan Royals
ipl0093,,,field,Punjab Kings
ipl0094,,,field,Delhi Capitals
ipl0095,,,bat,Mumbai Indians
ipl0096,,,bat,Deccan Chargers
ipl0097,,,bat,Punjab Kings
ipl0098,,,field,Royal Challengers Bangalore
ipl0099,,,field,Deccan Chargers
ipl0100,,,bat,Rajasthan Royals
ipl0101,,,bat,Chennai Super Kings
ipl0102,,,field,Punjab Kings
ipl0103,,,field,Deccan Chargers
ipl0104,,,bat,Mumbai Indians
ipl0105,,,bat,Delhi Capitals
ipl0106,,,field,Deccan Chargers
ipl0107,,,bat,Chennai Super Kings
ipl0108,,,bat,Delhi Capitals
ipl0109,,,bat,Chennai Super Kings
ipl0110,,,field,Kolkata Knight Riders
ipl0111,,,bat,Royal Challengers Bangalore
ipl0112,,,field,Delhi Capitals
ipl0113,,,field,Deccan Chargers
ipl0114,,,field,Royal Challengers Bangalore
ipl0115,,,field,Royal Challengers Bangalore
ipl0116,,,field,Deccan Chargers
ipl0117,,,field,Delhi Capitals
ipl0118,,,bat,Mumbai Indians
ipl0119,,,bat,Deccan Chargers
ipl0120,,,field,Kolkata Knight Riders
ipl0121,,,field,Delhi Capitals
ipl0122,,,bat,Chennai Super Kings
ipl0123,,,bat,Punjab Kings
ipl0124,,,field,Delhi Capitals
ipl0125,,,field,Royal Challengers Bangalore
ipl0126,,,field,Punjab Kings
ipl0127,,,bat,Delhi Capitals
ipl0128,,,bat,Mumbai Indians
ipl0129,,,bat,Rajasthan Royals
ipl0130,,,field,Chennai Super Kings
ipl0131,,,bat,Deccan Chargers
ipl0132,,,bat,Kolkata Knight Riders
ipl0133,,,field,Chennai Super Kings
ipl0134,,,field,Punjab Kings
ipl0135,,,field,Royal Challengers Bangalore
ipl0136,,,field,Mumbai Indians
ipl0137,,,bat,Deccan Chargers
ipl0138,,,bat,Kolkata Knight Riders
ipl0139,,,field,Deccan Chargers
ipl0140,,,bat,Rajasthan Royals
ipl0141,,,bat,Delhi Capitals
ipl0142,,,field,Mumbai Indians
ipl0143,,,bat,Delhi Capitals
ipl0144,,,bat,Royal Challengers Bangalore
ipl0145,,,bat,Kolkata Knight Riders
ipl0146,,,bat,Punjab Kings
ipl0147,,,bat,Mumbai Indians
ipl0148,,,bat,Chennai Super Kings
ipl0149,,,bat,Delhi Capitals
ipl0150,,,bat,Kolkata Knight Riders
ipl0151,,,bat,Rajasthan Royals
ipl0152,,,bat,Chennai Super Kings
ipl0153,,,bat,Kolkata Knight Riders
ipl0154,,,bat,Punjab Kings
ipl0155,,,field,Deccan Chargers
ipl0156,,,bat,Mumbai Indians
ipl0157,,,field,Royal Challengers Bangalore
ipl0158,,,bat,Chennai Super Kings
ipl0159,,,field,Rajasthan Royals
ipl0160,,,bat,Delhi Capitals
