key,date
lpl0001,2020-11-26
lpl0002,2020-11-27
lpl0003,2020-11-28
lpl0004,2020-11-28
lpl0005,2020-11-30
lpl0006,2020-11-30
lpl0007,2020-12-01
lpl0008,2020-12-01
lpl0009,2020-12-03
lpl0010,2020-12-03
lpl0011,2020-12-04
lpl0012,2020-12-05
lpl0013,2020-12-05
lpl0014,2020-12-07
lpl0015,2020-12-07
lpl0016,2020-12-09
lpl0017,2020-12-09
lpl0018,2020-12-10
lpl0019,2020-12-10
lpl0020,2020-12-11
lpl0021,2020-12-13
lpl0022,2020-12-14
lpl0023,2020-12-16
lpl0024,2021-12-05
lpl0025,2021-12-06
lpl0026,2021-12-06
lpl0027,2021-12-07
lpl0028,2021-12-07
lpl0029,2021-12-08
lpl0030,2021-12-08
lpl0031,2021-12-10
lpl0032,2021-12-10
lpl0033,2021-12-11
lpl0034,2021-12-11
lpl0035,2021-12-12
lpl0036,2021-12-12
lpl0037,2021-12-13
lpl0038,2021-12-14
lpl0039,2021-12-14
lpl0040,2021-12-16
lpl0041,2021-12-16
lpl0042,2021-12-17
lpl0043,2021-12-17
lpl0044,2021-12-19
lpl0045,2021-12-19
lpl0046,2021-12-21
lpl0047,2021-12-23
lpl0048,2022-12-06
lpl0049,2022-12-06
lpl0050,2022-12-07
lpl0051,2022-12-07
lpl0052,2022-12-08
lpl0053,2022-12-10
lpl0054,2022-12-11
lpl0055,2022-12-11
lpl0056,2022-12-12
lpl0057,2022-12-12
