key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
lpl0001,Hambantota,Lanka Premier League,2020-11-26,male,T20,,20,LD Chandimal,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0002,Hambantota,Lanka Premier League,2020-11-27,male,T20,,20,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0003,Hambantota,Lanka Premier League,2020-11-28,male,T20,,20,AD Russell,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0004,Hambantota,Lanka Premier League,2020-11-28,male,T20,,20,MD Shanaka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0005,Hambantota,Lanka Premier League,2020-11-30,male,T20,,20,BRM Taylor,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0006,Hambantota,Lanka Premier League,2020-11-30,male,T20,,20,NLTC Perera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0007,Hambantota,Lanka Premier League,2020-12-01,male,T20,,20,NLTC Perera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0008,Hambantota,Lanka Premier League,2020-12-01,male,T20,,20,MD Shanaka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0009,Hambantota,Lanka Premier League,2020-12-03,male,T20,,20,AK Perera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0010,Hambantota,Lanka Premier League,2020-12-03,male,T20,,20,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0011,Hambantota,Lanka Premier League,2020-12-04,male,T20,,20,LD Chandimal,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0012,Hambantota,Lanka Premier League,2020-12-05,male,T20,,20,PVD Chameera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0013,Hambantota,Lanka Premier League,2020-12-05,male,T20,,20,Anwar Ali,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0014,Hambantota,Lanka Premier League,2020-12-07,male,T20,,20,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
lpl0015,Hambantota,Lanka Premier League,2020-12-07,male,T20,,20,Mohammad Amir,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
