key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
lpl0001,1,Kandy Tuskers,0.1,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,0,0,0,0,,,,,,0,1
lpl0001,1,Kandy Tuskers,0.2,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,0,0,0,0,,,,,,0,2
lpl0001,1,Kandy Tuskers,0.3,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,1,0,0,1,,,,,,0,3
lpl0001,1,Kandy Tuskers,0.4,MDKJ Perera,AD Mathews,Rahmanullah Gurbaz,1,0,0,1,,,,,,0,4
lpl0001,1,Kandy Tuskers,0.5,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,1,0,0,1,,,,,,0,5
lpl0001,1,Kandy Tuskers,0.6,MDKJ Perera,AD Mathews,Rahmanullah Gurbaz,4,0,0,4,,,,,,0,6
lpl0001,1,Kandy Tuskers,1.1,Rahmanullah Gurbaz,MS Gony,MDKJ Perera,4,0,0,4,,,,,,1,1
lpl0001,1,Kandy Tuskers,1.2,Rahmanullah Gurbaz,MS Gony,MDKJ Perera,0,0,0,0,,,,,,1,2
lpl0001,1,Kandy Tuskers,1.3,Rahmanullah Gurbaz,MS Gony,MDKJ Perera,0,0,0,0,,,,,,1,3
lpl0001,1,Kandy Tuskers,1.4,Rahmanullah Gurbaz,MS Gony,MDKJ Perera,6,0,0,6,,,,,,1,4
lpl0001,1,Kandy Tuskers,1.5,Rahmanullah Gurbaz,MS Gony,MDKJ Perera,1,0,0,1,,,,,,1,5
lpl0001,1,Kandy Tuskers,1.6,MDKJ Perera,MS Gony,Rahmanullah Gurbaz,1,0,0,1,,,,,,1,6
lpl0001,1,Kandy Tuskers,2.1,MDKJ Perera,AD Mathews,Rahmanullah Gurbaz,1,0,0,1,,,,,,2,1
lpl0001,1,Kandy Tuskers,2.2,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,0,0,0,0,,,,,,2,2
lpl0001,1,Kandy Tuskers,2.3,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,4,0,0,4,,,,,,2,3
lpl0001,1,Kandy Tuskers,2.4,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,6,0,0,6,,,,,,2,4
lpl0001,1,Kandy Tuskers,2.5,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,4,0,0,4,,,,,,2,5
lpl0001,1,Kandy Tuskers,2.6,Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,4,0,0,4,,,,,,2,6
lpl0001,1,Kandy Tuskers,3.1,MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,4,0,0,4,,,,,,3,1
lpl0001,1,Kandy Tuskers,3.2,MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,0,0,0,0,,,,,,3,2
lpl0001,1,Kandy Tuskers,3.3,MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,4,0,0,4,,,,,,3,3
lpl0001,1,Kandy Tuskers,3.4,MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,1,0,0,1,,,,,,3,4
lpl0001,1,Kandy Tuskers,3.5,Rahmanullah Gurbaz,PVD Chameera,MDKJ Perera,4,0,0,4,,,,,,3,5
lpl0001,1,Kandy Tuskers,3.6,Rahmanullah Gurbaz,PVD Chameera,MDKJ Perera,1,0,0,1,,,,,,3,6
lpl0001,1,Kandy Tuskers,4.1,Rahmanullah Gurbaz,I Udana,MDKJ Perera,1,0,0,1,,,,,,4,1
lpl0001,1,Kandy Tuskers,4.2,MDKJ Perera,I Udana,Rahmanullah Gurbaz,4,0,0,4,,,,,,4,2
lpl0001,1,Kandy Tuskers,4.3,MDKJ Perera,I Udana,Rahmanullah Gurbaz,0,0,0,0,,,,,,4,3
lpl0001,1,Kandy Tuskers,4.4,MDKJ Perera,I Udana,Rahmanullah Gurbaz,1,0,0,1,,,,,,4,4
lpl0001,1,Kandy Tuskers,4.5,Rahmanullah Gurbaz,I Udana,MDKJ Perera,4,0,0,4,,,,,,4,5
lpl0001,1,Kandy Tuskers,4.6,Rahmanullah Gurbaz,I Udana,MDKJ Perera,0,0,0,0,,,,,,4,6
lpl0001,1,Kandy Tuskers,5.1,MDKJ Perera,Qais Ahmad,Rahmanullah Gurbaz,1,0,0,1,,,,,,5,1
lpl0001,1,Kandy Tuskers,5.2,Rahmanullah Gurbaz,Qais Ahmad,MDKJ Perera,6,0,0,6,,,,,,5,2
lpl0001,1,Kandy Tuskers,5.3,Rahmanullah Gurbaz,Qais Ahmad,MDKJ Perera,6,0,0,6,,,,,,5,3
lpl0001,1,Kandy Tuskers,5.4,Rahmanullah Gurbaz,Qais Ahmad,MDKJ Perera,0,0,0,0,LJ Evans,caught,Rahmanullah Gurbaz,,,5,4
