key,toss_winner,toss_decision,decision,winner
lpl0001,,,field,Colombo Kings
lpl0002,,,bat,Galle Gladiators
lpl0003,,,field,Galle Gladiators
lpl0004,,,field,Kandy Tuskers
lpl0005,,,field,Galle Gladiators
lpl0006,,,field,Dambulla Viiking
lpl0007,,,bat,Jaffna Stallions
lpl0008,,,bat,Dambulla Viiking
lpl0009,,,bat,Kandy Tuskers
lpl0010,,,bat,Galle Gladiators
lpl0011,,,field,Colombo Kings
lpl0012,,,bat,Kandy Tuskers
lpl0013,,,bat,Dambulla Viiking
lpl0014,,,field,Jaffna Stallions
lpl0015,,,bat,Colombo Kings
lpl0016,,,field,Dambulla Viiking
lpl0017,,,bat,Jaffna Stallions
lpl0018,,,field,Galle Gladiators
lpl0019,,,field,Jaffna Stallions
lpl0020,,,field,Colombo Kings
lpl0021,,,field,Galle Gladiators
lpl0022,,,field,Dambulla Viiking
lpl0023,,,bat,Jaffna Stallions
lpl0024,,,field,Jaffna Kings
lpl0025,,,bat,Galle Gladiators
lpl0026,,,bat,Dambulla Giants
lpl0027,,,bat,Kandy Warriors
lpl0028,,,bat,Dambulla Giants
lpl0029,,,field,Kandy Warriors
lpl0030,,,bat,Dambulla Giants
lpl0031,,,field,Colombo Stars
lpl0032,,,bat,Dambulla Giants
lpl0033,,,bat,Dambulla Giants
lpl0034,,,bat,Galle Gladiators
lpl0035,,,bat,Colombo Stars
lpl0036,,,field,Jaffna Kings
lpl0037,,,field,Jaffna Kings
lpl0038,,,field,Dambulla Giants
lpl0039,,,field,Colombo Stars
lpl0040,,,bat,Dambulla Giants
lpl0041,,,bat,Jaffna Kings
lpl0042,,,field,Kandy Warriors
lpl0043,,,bat,Galle Gladiators
lpl0044,,,field,Jaffna Kings
lpl0045,,,bat,Colombo Stars
lpl0046,,,field,Dambulla Giants
lpl0047,,,bat,Jaffna Kings
lpl0048,,,field,Colombo Stars
lpl0049,,,field,Galle Gladiators
lpl0050,,,bat,Galle Gladiators
lpl0051,,,bat,Dambulla Aura
lpl0052,,,bat,Colombo Stars
lpl0053,,,field,Kandy Falcons
lpl0054,,,field,Dambulla Aura
lpl0055,,,bat,Galle Gladiators
lpl0056,,,field,Colombo Stars
lpl0057,,,bat,Galle Gladiators
lpl0058,,,field,Colombo Stars
lpl0059,,,bat,Kandy Falcons
lpl0060,,,field,Colombo Stars
lpl0061,,,bat,Kandy Falcons
lpl0062,,,bat,Colombo Stars
lpl0063,,,bat,Dambulla Aura
lpl0064,,,bat,Kandy Falcons
lpl0065,,,bat,Jaffna Kings
lpl0066,,,bat,Galle Gladiators
lpl0067,,,field,Jaffna Kings
lpl0068,,,field,Colombo Stars
lpl0069,,,bat,Kandy Falcons
lpl0070,,,field,Colombo Stars
lpl0071,,,field,Jaffna Kings
lpl0072,,,field,Colombo Strikers
lpl0073,,,bat,Colombo Strikers
lpl0074,,,field,Dambulla Aura
lpl0075,,,bat,Galle Titans
lpl0076,,,bat,Jaffna Kings
lpl0077,,,bat,Galle Titans
lpl0078,,,bat,Dambulla Aura
lpl0079,,,field,B-Love Kandy
lpl0080,,,field,Colombo Strikers
lpl0081,,,field,Jaffna Kings
lpl0082,,,field,Colombo Strikers
lpl0083,,,bat,Colombo Strikers
lpl0084,,,field,Galle Titans
lpl0085,,,field,Dambulla Aura
lpl0086,,,bat,Dambulla Aura
lpl0087,,,bat,B-Love Kandy
lpl0088,,,bat,Colombo Strikers
lpl0089,,,bat,Jaffna Kings
lpl0090,,,field,B-Love Kandy
lpl0091,,,field,Galle Titans
lpl0092,,,field,Jaffna Kings
lpl0093,,,field,Dambulla Aura
lpl0094,,,bat,B-Love Kandy
lpl0095,,,bat,Dambulla Aura
lpl0096,,,field,Kandy Falcons
