key,date
msl0001,2018-11-16
msl0002,2018-11-17
msl0003,2018-11-18
msl0004,2018-11-18
msl0005,2018-11-20
msl0006,2018-11-21
msl0007,2018-11-21
msl0008,2018-11-23
msl0009,2018-11-24
msl0010,2018-11-25
msl0011,2018-11-25
msl0012,2018-11-28
msl0013,2018-11-28
msl0014,2018-11-30
msl0015,2018-11-30
msl0016,2018-12-01
msl0017,2018-12-02
msl0018,2018-12-02
msl0019,2018-12-04
msl0020,2018-12-05
msl0021,2018-12-05
msl0022,2018-12-07
msl0023,2018-12-07
msl0024,2018-12-08
msl0025,2018-12-09
msl0026,2018-12-09
msl0027,2018-12-11
msl0028,2018-12-12
msl0029,2018-12-12
msl0030,2018-12-16
msl0031,2019-11-08
msl0032,2019-11-10
msl0033,2019-11-10
msl0034,2019-11-13
msl0035,2019-11-14
msl0036,2019-11-16
msl0037,2019-11-17
msl0038,2019-11-17
msl0039,2019-11-20
msl0040,2019-11-21
msl0041,2019-11-22
msl0042,2019-11-23
msl0043,2019-11-24
msl0044,2019-11-24
msl0045,2019-11-27
msl0046,2019-11-28
msl0047,2019-11-29
msl0048,2019-11-30
msl0049,2019-12-01
msl0050,2019-12-01
msl0051,2019-12-03
msl0052,2019-12-04
msl0053,2019-12-06
msl0054,2019-12-08
msl0055,2019-12-13
msl0056,2019-12-16
