key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
msl0001,Cape Town,Mzansi Super League,2018-11-16,male,T20,,20,Mohammad Nawaz (3),"Newlands, Cape Town"
msl0002,Johannesburg,Mzansi Super League,2018-11-17,male,T20,,20,BM Duckett,"New Wanderers Stadium, Johannesburg"
msl0003,Paarl,Mzansi Super League,2018-11-18,male,T20,,20,TB de Bruyn,"Boland Park, Paarl"
msl0004,Durban,Mzansi Super League,2018-11-18,male,T20,,20,Asif Ali,"Kingsmead, Durban"
msl0005,Paarl,Mzansi Super League,2018-11-20,male,T20,,20,RD Rickelton,"Boland Park, Paarl"
msl0006,Cape Town,Mzansi Super League,2018-11-21,male,T20,,20,JN Malan,"Newlands, Cape Town"
msl0007,Durban,Mzansi Super League,2018-11-21,male,T20,,20,KJ Abbott,"Kingsmead, Durban"
msl0008,Port Elizabeth,Mzansi Super League,2018-11-23,male,T20,,20,CJ Dala,"St George's Park, Port Elizabeth"
msl0009,Johannesburg,Mzansi Super League,2018-11-24,male,T20,,20,Q de Kock,"New Wanderers Stadium, Johannesburg"
msl0010,Paarl,Mzansi Super League,2018-11-25,male,T20,,20,BC Fortuin,"Boland Park, Paarl"
msl0011,Centurion,Mzansi Super League,2018-11-25,male,T20,,20,M Marais,"SuperSport Park, Centurion"
msl0012,Durban,Mzansi Super League,2018-11-28,male,T20,,20,H Davids,"Kingsmead, Durban"
msl0013,Centurion,Mzansi Super League,2018-11-28,male,T20,,20,D Elgar,"SuperSport Park, Centurion"
msl0014,Johannesburg,Mzansi Super League,2018-11-30,male,T20,,20,RR Hendricks,"New Wanderers Stadium, Johannesburg"
msl0015,Port Elizabeth,Mzansi Super League,2018-11-30,male,T20,,20,HG Kuhn,"St George's Park, Port Elizabeth"
msl0016,Centurion,Mzansi Super League,2018-12-01,male,T20,,20,Q de Kock,"SuperSport Park, Centurion"
msl0017,Port Elizabeth,Mzansi Super League,2018-12-02,male,T20,,20,RR Hendricks,"St George's Park, Port Elizabeth"
msl0018,Paarl,Mzansi Super League,2018-12-02,male,T20,,20,F du Plessis,"Boland Park, Paarl"
msl0019,Cape Town,Mzansi Super League,2018-12-04,male,T20,,20,RR Hendricks,"Newlands, Cape Town"
msl0020,Durban,Mzansi Super League,2018-12-05,male,T20,,20,,"Kingsmead, Durban"
msl0021,Centurion,Mzansi Super League,2018-12-05,male,T20,,20,L Sipamla,"SuperSport Park, Centurion"
msl0022,Cape Town,Mzansi Super League,2018-12-07,male,T20,,20,Q de Kock,"Newlands, Cape Town"
msl0023,Durban,Mzansi Super League,2018-12-07,male,T20,,20,DJ Vilas,"Kingsmead, Durban"
