key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
msl0001,1,Cape Town Blitz,0.1,JN Malan,RK Kleinveldt,DJ Malan,1,0,0,1,,,,,,0,1
msl0001,1,Cape Town Blitz,0.2,DJ Malan,RK Kleinveldt,JN Malan,0,4,0,4,,,,legbyes,4.0,0,2
msl0001,1,Cape Town Blitz,0.3,DJ Malan,RK Kleinveldt,JN Malan,0,0,0,0,,,,,,0,3
msl0001,1,Cape Town Blitz,0.4,DJ Malan,RK Kleinveldt,JN Malan,1,0,0,1,,,,,,0,4
msl0001,1,Cape Town Blitz,0.5,JN Malan,RK Kleinveldt,DJ Malan,2,0,0,2,,,,,,0,5
msl0001,1,Cape Town Blitz,0.6,JN Malan,RK Kleinveldt,DJ Malan,0,0,0,0,,,,,,0,6
msl0001,1,Cape Town Blitz,1.1,DJ Malan,ACR Birch,JN Malan,0,1,0,1,,,,wides,1.0,1,1
msl0001,1,Cape Town Blitz,1.2,DJ Malan,ACR Birch,JN Malan,4,0,0,4,,,,,,1,1
msl0001,1,Cape Town Blitz,1.3,DJ Malan,ACR Birch,JN Malan,0,0,0,0,,,,,,1,2
msl0001,1,Cape Town Blitz,1.4,DJ Malan,ACR Birch,JN Malan,0,0,0,0,,lbw,DJ Malan,,,1,3
msl0001,1,Cape Town Blitz,1.5,JF Smith,ACR Birch,JN Malan,0,0,0,0,,,,,,1,4
msl0001,1,Cape Town Blitz,1.6,JF Smith,ACR Birch,JN Malan,0,0,0,0,,,,,,1,5
msl0001,1,Cape Town Blitz,1.7,JF Smith,ACR Birch,JN Malan,1,0,0,1,,,,,,1,6
msl0001,1,Cape Town Blitz,2.1,JF Smith,RK Kleinveldt,JN Malan,0,0,0,0,,,,,,2,1
msl0001,1,Cape Town Blitz,2.2,JF Smith,RK Kleinveldt,JN Malan,0,0,0,0,,,,,,2,2
msl0001,1,Cape Town Blitz,2.3,JF Smith,RK Kleinveldt,JN Malan,2,0,0,2,,,,,,2,3
msl0001,1,Cape Town Blitz,2.4,JF Smith,RK Kleinveldt,JN Malan,2,0,0,2,,,,,,2,4
msl0001,1,Cape Town Blitz,2.5,JF Smith,RK Kleinveldt,JN Malan,0,0,0,0,,,,,,2,5
msl0001,1,Cape Town Blitz,2.6,JF Smith,RK Kleinveldt,JN Malan,0,0,0,0,,,,,,2,6
msl0001,1,Cape Town Blitz,3.1,JN Malan,ACR Birch,JF Smith,3,0,0,3,,,,,,3,1
msl0001,1,Cape Town Blitz,3.2,JF Smith,ACR Birch,JN Malan,0,0,0,0,,,,,,3,2
msl0001,1,Cape Town Blitz,3.3,JF Smith,ACR Birch,JN Malan,2,0,0,2,,,,,,3,3
msl0001,1,Cape Town Blitz,3.4,JF Smith,ACR Birch,JN Malan,4,0,0,4,,,,,,3,4
msl0001,1,Cape Town Blitz,3.5,JF Smith,ACR Birch,JN Malan,0,0,0,0,,,,,,3,5
msl0001,1,Cape Town Blitz,3.6,JF Smith,ACR Birch,JN Malan,4,0,0,4,,,,,,3,6
msl0001,1,Cape Town Blitz,4.1,JN Malan,L Sipamla,JF Smith,4,0,0,4,,,,,,4,1
msl0001,1,Cape Town Blitz,4.2,JN Malan,L Sipamla,JF Smith,1,0,0,1,,,,,,4,2
msl0001,1,Cape Town Blitz,4.3,JF Smith,L Sipamla,JN Malan,1,0,0,1,,,,,,4,3
msl0001,1,Cape Town Blitz,4.4,JN Malan,L Sipamla,JF Smith,2,0,0,2,,,,,,4,4
msl0001,1,Cape Town Blitz,4.5,JN Malan,L Sipamla,JF Smith,1,0,0,1,,,,,,4,5
msl0001,1,Cape Town Blitz,4.6,JF Smith,L Sipamla,JN Malan,4,0,0,4,,,,,,4,6
msl0001,1,Cape Town Blitz,5.1,JN Malan,R Frylinck,JF Smith,4,0,0,4,,,,,,5,1
msl0001,1,Cape Town Blitz,5.2,JN Malan,R Frylinck,JF Smith,0,0,0,0,,,,,,5,2
msl0001,1,Cape Town Blitz,5.3,JN Malan,R Frylinck,JF Smith,1,0,0,1,,,,,,5,3
msl0001,1,Cape Town Blitz,5.4,JF Smith,R Frylinck,JN Malan,0,0,0,0,,,,,,5,4
msl0001,1,Cape Town Blitz,5.5,JF Smith,R Frylinck,JN Malan,1,0,0,1,,,,,,5,5
msl0001,1,Cape Town Blitz,5.6,JN Malan,R Frylinck,JF Smith,0,0,0,0,,bowled,JN Malan,,,5,6
msl0001,1,Cape Town Blitz,6.1,JF Smith,BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,6,1
msl0001,1,Cape Town Blitz,6.2,JF Smith,BMAJ Mendis,K Verreynne,1,0,0,1,,,,,,6,2
msl0001,1,Cape Town Blitz,6.3,K Verreynne,BMAJ Mendis,JF Smith,1,0,0,1,,,,,,6,3
msl0001,1,Cape Town Blitz,6.4,JF Smith,BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,6,4
msl0001,1,Cape Town Blitz,6.5,JF Smith,BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,6,5
msl0001,1,Cape Town Blitz,6.6,JF Smith,BMAJ Mendis,K Verreynne,2,0,0,2,,,,,,6,6
msl0001,1,Cape Town Blitz,7.1,K Verreynne,R Frylinck,JF Smith,0,0,0,0,,,,,,7,1
msl0001,1,Cape Town Blitz,7.2,K Verreynne,R Frylinck,JF Smith,0,0,0,0,,,,,,7,2
msl0001,1,Cape Town Blitz,7.3,K Verreynne,R Frylinck,JF Smith,1,0,0,1,,,,,,7,3
msl0001,1,Cape Town Blitz,7.4,JF Smith,R Frylinck,K Verreynne,0,0,0,0,,,,,,7,4
msl0001,1,Cape Town Blitz,7.5,JF Smith,R Frylinck,K Verreynne,1,0,0,1,,,,,,7,5
msl0001,1,Cape Town Blitz,7.6,K Verreynne,R Frylinck,JF Smith,1,0,0,1,,,,,,7,6
msl0001,1,Cape Town Blitz,8.1,K Verreynne,BMAJ Mendis,JF Smith,0,0,0,0,,,,,,8,1
msl0001,1,Cape Town Blitz,8.2,K Verreynne,BMAJ Mendis,JF Smith,0,0,0,0,,,,,,8,2
msl0001,1,Cape Town Blitz,8.3,K Verreynne,BMAJ Mendis,JF Smith,4,0,0,4,,,,,,8,3
msl0001,1,Cape Town Blitz,8.4,K Verreynne,BMAJ Mendis,JF Smith,3,0,0,3,,,,,,8,4
msl0001,1,Cape Town Blitz,8.5,JF Smith,BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,8,5
msl0001,1,Cape Town Blitz,8.6,JF Smith,BMAJ Mendis,K Verreynne,0,0,0,0,,bowled,JF Smith,,,8,6
msl0001,1,Cape Town Blitz,9.1,K Verreynne,L Sipamla,Mohammad Nawaz (3),0,0,0,0,,,,,,9,1
msl0001,1,Cape Town Blitz,9.2,K Verreynne,L Sipamla,Mohammad Nawaz (3),1,0,0,1,,,,,,9,2
msl0001,1,Cape Town Blitz,9.3,Mohammad Nawaz (3),L Sipamla,K Verreynne,1,0,0,1,,,,,,9,3
msl0001,1,Cape Town Blitz,9.4,K Verreynne,L Sipamla,Mohammad Nawaz (3),1,0,0,1,,,,,,9,4
msl0001,1,Cape Town Blitz,9.5,Mohammad Nawaz (3),L Sipamla,K Verreynne,0,0,0,0,,,,,,9,5
msl0001,1,Cape Town Blitz,9.6,Mohammad Nawaz (3),L Sipamla,K Verreynne,0,0,0,0,,,,,,9,6
msl0001,1,Cape Town Blitz,10.1,K Verreynne,BMAJ Mendis,Mohammad Nawaz (3),0,0,0,0,,,,,,10,1
msl0001,1,Cape Town Blitz,10.2,K Verreynne,BMAJ Mendis,Mohammad Nawaz (3),4,0,0,4,,,,,,10,2
msl0001,1,Cape Town Blitz,10.3,K Verreynne,BMAJ Mendis,Mohammad Nawaz (3),1,0,0,1,,,,,,10,3
msl0001,1,Cape Town Blitz,10.4,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,10,4
msl0001,1,Cape Town Blitz,10.5,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,4,0,0,4,,,,,,10,5
msl0001,1,Cape Town Blitz,10.6,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,1,0,0,1,,,,,,10,6
msl0001,1,Cape Town Blitz,11.1,Mohammad Nawaz (3),S von Berg,K Verreynne,4,0,0,4,,,,,,11,1
msl0001,1,Cape Town Blitz,11.2,Mohammad Nawaz (3),S von Berg,K Verreynne,0,0,0,0,,,,,,11,2
msl0001,1,Cape Town Blitz,11.3,Mohammad Nawaz (3),S von Berg,K Verreynne,4,0,0,4,,,,,,11,3
msl0001,1,Cape Town Blitz,11.4,Mohammad Nawaz (3),S von Berg,K Verreynne,4,0,0,4,,,,,,11,4
msl0001,1,Cape Town Blitz,11.5,Mohammad Nawaz (3),S von Berg,K Verreynne,0,0,0,0,,,,,,11,5
msl0001,1,Cape Town Blitz,11.6,Mohammad Nawaz (3),S von Berg,K Verreynne,1,0,0,1,,,,,,11,6
msl0001,1,Cape Town Blitz,12.1,Mohammad Nawaz (3),L Sipamla,K Verreynne,1,0,0,1,,,,,,12,1
msl0001,1,Cape Town Blitz,12.2,K Verreynne,L Sipamla,Mohammad Nawaz (3),0,0,0,0,,,,,,12,2
msl0001,1,Cape Town Blitz,12.3,K Verreynne,L Sipamla,Mohammad Nawaz (3),1,0,0,1,,,,,,12,3
msl0001,1,Cape Town Blitz,12.4,Mohammad Nawaz (3),L Sipamla,K Verreynne,6,0,0,6,,,,,,12,4
msl0001,1,Cape Town Blitz,12.5,Mohammad Nawaz (3),L Sipamla,K Verreynne,0,0,0,0,,,,,,12,5
msl0001,1,Cape Town Blitz,12.6,Mohammad Nawaz (3),L Sipamla,K Verreynne,2,0,0,2,,,,,,12,6
msl0001,1,Cape Town Blitz,13.1,K Verreynne,RK Kleinveldt,Mohammad Nawaz (3),4,0,0,4,,,,,,13,1
msl0001,1,Cape Town Blitz,13.2,K Verreynne,RK Kleinveldt,Mohammad Nawaz (3),4,0,0,4,,,,,,13,2
msl0001,1,Cape Town Blitz,13.3,K Verreynne,RK Kleinveldt,Mohammad Nawaz (3),1,0,0,1,,,,,,13,3
msl0001,1,Cape Town Blitz,13.4,Mohammad Nawaz (3),RK Kleinveldt,K Verreynne,4,0,0,4,,,,,,13,4
msl0001,1,Cape Town Blitz,13.5,Mohammad Nawaz (3),RK Kleinveldt,K Verreynne,0,0,0,0,,,,,,13,5
msl0001,1,Cape Town Blitz,13.6,Mohammad Nawaz (3),RK Kleinveldt,K Verreynne,1,0,0,1,,,,,,13,6
msl0001,1,Cape Town Blitz,14.1,Mohammad Nawaz (3),L Sipamla,K Verreynne,1,0,0,1,,,,,,14,1
msl0001,1,Cape Town Blitz,14.2,K Verreynne,L Sipamla,Mohammad Nawaz (3),6,0,0,6,,,,,,14,2
msl0001,1,Cape Town Blitz,14.3,K Verreynne,L Sipamla,Mohammad Nawaz (3),1,0,0,1,,,,,,14,3
msl0001,1,Cape Town Blitz,14.4,Mohammad Nawaz (3),L Sipamla,K Verreynne,0,0,0,0,,,,,,14,4
msl0001,1,Cape Town Blitz,14.5,Mohammad Nawaz (3),L Sipamla,K Verreynne,0,1,0,1,,,,legbyes,1.0,14,5
msl0001,1,Cape Town Blitz,14.6,K Verreynne,L Sipamla,Mohammad Nawaz (3),4,0,0,4,,,,,,14,6
msl0001,1,Cape Town Blitz,15.1,Mohammad Nawaz (3),BMAJ Mendis,K Verreynne,0,0,0,0,,,,,,15,1
