key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
msl0001,,runs,49.0,,,,,Cape Town Blitz
msl0002,,wickets,5.0,,,,,Nelson Mandela Bay Giants
msl0003,,runs,1.0,,,,,Tshwane Spartans
msl0004,,wickets,3.0,,,,,Cape Town Blitz
msl0005,,runs,60.0,,,,,Jozi Stars
msl0006,,runs,12.0,,,D/L,,Cape Town Blitz
msl0007,,runs,10.0,,,D/L,,Durban Heat
msl0008,,wickets,9.0,,,,,Nelson Mandela Bay Giants
msl0009,,runs,62.0,,,,,Cape Town Blitz
msl0010,,wickets,5.0,,,,,Paarl Rocks
msl0011,,runs,7.0,,,D/L,,Nelson Mandela Bay Giants
msl0012,,runs,32.0,,,D/L,,Paarl Rocks
msl0013,,wickets,4.0,,,,,Tshwane Spartans
msl0014,,runs,53.0,,,,,Jozi Stars
msl0015,,runs,48.0,,,,,Nelson Mandela Bay Giants
msl0016,,runs,60.0,,,,,Cape Town Blitz
msl0017,,runs,81.0,,,,,Jozi Stars
msl0018,,wickets,9.0,,,,,Paarl Rocks
msl0019,,runs,50.0,,,,,Jozi Stars
msl0020,,,,,,,no result,
msl0021,,wickets,4.0,,,,,Tshwane Spartans
msl0022,,wickets,6.0,,,,,Cape Town Blitz
msl0023,,wickets,1.0,,,,,Jozi Stars
msl0024,,runs,28.0,,,,,Tshwane Spartans
msl0025,,wickets,6.0,,,,,Durban Heat
msl0026,,wickets,6.0,,,,,Paarl Rocks
msl0027,,runs,101.0,,,,,Jozi Stars
msl0028,,wickets,2.0,,,,,Durban Heat
msl0029,,wickets,6.0,,,,,Paarl Rocks
msl0030,,wickets,8.0,,,,,Jozi Stars
msl0031,,runs,15.0,,,,,Cape Town Blitz
msl0032,,runs,24.0,,,,,Nelson Mandela Bay Giants
msl0033,,runs,86.0,,,,,Paarl Rocks
msl0034,,,,,,,no result,
msl0035,,runs,57.0,,,,,Cape Town Blitz
msl0036,,wickets,9.0,,,,,Nelson Mandela Bay Giants
msl0037,,wickets,8.0,,,,,Tshwane Spartans
msl0038,,runs,10.0,,,,,Cape Town Blitz
msl0039,,wickets,5.0,,,,,Nelson Mandela Bay Giants
msl0040,,,,,,,no result,
msl0041,,wickets,4.0,,,,,Paarl Rocks
msl0042,,wickets,5.0,,,,,Nelson Mandela Bay Giants
msl0043,,runs,20.0,,,,,Tshwane Spartans
msl0044,,runs,2.0,,,,,Paarl Rocks
msl0045,,runs,31.0,,,,,Paarl Rocks
msl0046,,wickets,7.0,,,,,Durban Heat
msl0047,,wickets,8.0,,,,,Tshwane Spartans
msl0048,,wickets,6.0,,,,,Durban Heat
msl0049,,runs,15.0,,,,,Cape Town Blitz
msl0050,,wickets,5.0,,,,,Paarl Rocks
msl0051,,wickets,6.0,,,,,Nelson Mandela Bay Giants
msl0052,,wickets,6.0,,,,,Durban Heat
msl0053,,runs,11.0,,,,,Nelson Mandela Bay Giants
msl0054,,runs,12.0,,,,,Paarl Rocks
msl0055,,runs,22.0,,,,,Tshwane Spartans
msl0056,,wickets,8.0,,,,,Paarl Rocks
