key,player_of_match
msl0001,Mohammad Nawaz (3)
msl0002,BM Duckett
msl0003,TB de Bruyn
msl0004,Asif Ali
msl0005,RD Rickelton
msl0006,JN Malan
msl0007,KJ Abbott
msl0008,CJ Dala
msl0009,Q de Kock
msl0010,BC Fortuin
msl0011,M Marais
msl0012,H Davids
msl0013,D Elgar
msl0014,RR Hendricks
msl0015,HG Kuhn
msl0016,Q de Kock
msl0017,RR Hendricks
msl0018,F du Plessis
msl0019,RR Hendricks
msl0021,L Sipamla
msl0022,Q de Kock
msl0023,DJ Vilas
msl0024,GL Cloete
msl0025,K Zondo
msl0026,GM Thomson
msl0027,HE van der Dussen
msl0028,JA Morkel
msl0029,CS Delport
msl0030,BE Hendricks
msl0031,JN Malan
msl0032,HG Kuhn
msl0033,GC Viljoen
msl0035,LS Livingstone
msl0036,CJ Dala
msl0037,D Elgar
msl0038,DW Steyn
msl0039,JT Smuts
msl0041,D Pretorius
msl0042,JJ Roy
msl0043,AB de Villiers
msl0044,H Davids
msl0045,FD Adams
msl0046,DJ Vilas
msl0047,RE van der Merwe
msl0048,KA Maharaj
msl0049,DW Steyn
msl0050,BS Makhanya
msl0051,BR Dunk
msl0052,AD Hales
msl0053,BR Dunk
msl0054,T Shamsi
msl0055,D Wiese
msl0056,H Davids
