key,team
msl0001,Cape Town Blitz
msl0001,Tshwane Spartans
msl0002,Jozi Stars
msl0002,Nelson Mandela Bay Giants
msl0003,Tshwane Spartans
msl0003,Paarl Rocks
msl0004,Durban Heat
msl0004,Cape Town Blitz
msl0005,Jozi Stars
msl0005,Paarl Rocks
msl0006,Cape Town Blitz
msl0006,Nelson Mandela Bay Giants
msl0007,Tshwane Spartans
msl0007,Durban Heat
msl0008,Durban Heat
msl0008,Nelson Mandela Bay Giants
msl0009,Cape Town Blitz
msl0009,Jozi Stars
msl0010,Cape Town Blitz
msl0010,Paarl Rocks
msl0011,Nelson Mandela Bay Giants
msl0011,Tshwane Spartans
msl0012,Paarl Rocks
msl0012,Durban Heat
msl0013,Jozi Stars
msl0013,Tshwane Spartans
msl0014,Jozi Stars
msl0014,Durban Heat
msl0015,Nelson Mandela Bay Giants
msl0015,Paarl Rocks
msl0016,Cape Town Blitz
msl0016,Tshwane Spartans
msl0017,Jozi Stars
msl0017,Nelson Mandela Bay Giants
msl0018,Durban Heat
msl0018,Paarl Rocks
msl0019,Jozi Stars
msl0019,Cape Town Blitz
msl0020,Nelson Mandela Bay Giants
msl0020,Durban Heat
msl0021,Paarl Rocks
msl0021,Tshwane Spartans
msl0022,Paarl Rocks
msl0022,Cape Town Blitz
msl0023,Durban Heat
msl0023,Jozi Stars
msl0024,Tshwane Spartans
msl0024,Nelson Mandela Bay Giants
msl0025,Cape Town Blitz
msl0025,Durban Heat
msl0026,Jozi Stars
msl0026,Paarl Rocks
msl0027,Jozi Stars
msl0027,Tshwane Spartans
msl0028,Tshwane Spartans
msl0028,Durban Heat
msl0029,Nelson Mandela Bay Giants
msl0029,Paarl Rocks
msl0030,Cape Town Blitz
msl0030,Jozi Stars
msl0031,Cape Town Blitz
msl0031,Jozi Stars
msl0032,Nelson Mandela Bay Giants
msl0032,Jozi Stars
msl0033,Paarl Rocks
msl0033,Cape Town Blitz
msl0034,Tshwane Spartans
msl0034,Nelson Mandela Bay Giants
msl0035,Cape Town Blitz
msl0035,Jozi Stars
msl0036,Jozi Stars
msl0036,Nelson Mandela Bay Giants
msl0037,Paarl Rocks
msl0037,Tshwane Spartans
msl0038,Cape Town Blitz
msl0038,Durban Heat
msl0039,Cape Town Blitz
msl0039,Nelson Mandela Bay Giants
msl0040,Tshwane Spartans
msl0040,Durban Heat
msl0041,Jozi Stars
msl0041,Paarl Rocks
msl0042,Durban Heat
msl0042,Nelson Mandela Bay Giants
msl0043,Tshwane Spartans
msl0043,Jozi Stars
msl0044,Paarl Rocks
msl0044,Cape Town Blitz
msl0045,Paarl Rocks
msl0045,Nelson Mandela Bay Giants
msl0046,Cape Town Blitz
msl0046,Durban Heat
msl0047,Paarl Rocks
msl0047,Tshwane Spartans
msl0048,Nelson Mandela Bay Giants
msl0048,Durban Heat
msl0049,Cape Town Blitz
msl0049,Tshwane Spartans
msl0050,Jozi Stars
msl0050,Paarl Rocks
msl0051,Tshwane Spartans
msl0051,Nelson Mandela Bay Giants
msl0052,Paarl Rocks
msl0052,Durban Heat
msl0053,Nelson Mandela Bay Giants
msl0053,Cape Town Blitz
msl0054,Paarl Rocks
msl0054,Nelson Mandela Bay Giants
msl0055,Tshwane Spartans
msl0055,Nelson Mandela Bay Giants
msl0056,Tshwane Spartans
msl0056,Paarl Rocks
