key,toss_winner,toss_decision,decision,winner
msl0001,,,field,Tshwane Spartans
msl0002,,,field,Nelson Mandela Bay Giants
msl0003,,,field,Paarl Rocks
msl0004,,,field,Cape Town Blitz
msl0005,,,field,Paarl Rocks
msl0006,,,bat,Cape Town Blitz
msl0007,,,field,Durban Heat
msl0008,,,field,Nelson Mandela Bay Giants
msl0009,,,field,Jozi Stars
msl0010,,,bat,Cape Town Blitz
msl0011,,,field,Tshwane Spartans
msl0012,,,field,Durban Heat
msl0013,,,field,Tshwane Spartans
msl0014,,,field,Durban Heat
msl0015,,,bat,Nelson Mandela Bay Giants
msl0016,,,field,Tshwane Spartans
msl0017,,,bat,Jozi Stars
msl0018,,,bat,Durban Heat
msl0019,,,bat,Jozi Stars
msl0020,,,bat,Nelson Mandela Bay Giants
msl0021,,,bat,Paarl Rocks
msl0022,,,bat,Paarl Rocks
msl0023,,,bat,Durban Heat
msl0024,,,bat,Tshwane Spartans
msl0025,,,bat,Cape Town Blitz
msl0026,,,field,Paarl Rocks
msl0027,,,bat,Jozi Stars
msl0028,,,bat,Tshwane Spartans
msl0029,,,bat,Nelson Mandela Bay Giants
msl0030,,,bat,Cape Town Blitz
msl0031,,,field,Jozi Stars
msl0032,,,field,Jozi Stars
msl0033,,,bat,Paarl Rocks
msl0034,,,field,Nelson Mandela Bay Giants
msl0035,,,field,Jozi Stars
msl0036,,,bat,Jozi Stars
msl0037,,,bat,Paarl Rocks
msl0038,,,field,Durban Heat
msl0039,,,bat,Cape Town Blitz
msl0040,,,field,Durban Heat
msl0041,,,bat,Jozi Stars
msl0042,,,bat,Durban Heat
msl0043,,,bat,Tshwane Spartans
msl0044,,,field,Cape Town Blitz
msl0045,,,field,Nelson Mandela Bay Giants
msl0046,,,bat,Cape Town Blitz
msl0047,,,field,Tshwane Spartans
msl0048,,,bat,Nelson Mandela Bay Giants
msl0049,,,bat,Cape Town Blitz
msl0050,,,field,Paarl Rocks
msl0051,,,bat,Tshwane Spartans
msl0052,,,field,Durban Heat
msl0053,,,field,Cape Town Blitz
msl0054,,,field,Nelson Mandela Bay Giants
msl0055,,,field,Nelson Mandela Bay Giants
msl0056,,,field,Paarl Rocks
