key,umpire
msl0001,AT Holdstock
msl0001,Stephen Harris
msl0002,A Paleker
msl0002,BP Jele
msl0003,AT Holdstock
msl0003,Stephen Harris
msl0004,A Jacobs
msl0004,BM White
msl0005,BM White
msl0005,JD Cloete
msl0006,BP Jele
msl0006,BM White
msl0007,A Paleker
msl0007,LB Gcuma
msl0008,AT Holdstock
msl0008,DJ Smith
msl0009,A Paleker
msl0009,Stephen Harris
msl0010,LB Gcuma
msl0010,MW Brown
msl0011,BP Jele
msl0011,JD Cloete
msl0012,DJ Smith
msl0012,JD Cloete
msl0013,A Paleker
msl0013,BP Jele
msl0014,DJ Smith
msl0014,Siphelele Gasa
msl0015,CD Isaacs
msl0015,S George
msl0016,AT Holdstock
msl0016,PJ Vosloo
msl0017,A Jacobs
msl0017,S George
msl0018,A Steenkamp
msl0018,BP Jele
msl0019,AT Holdstock
msl0019,LB Gcuma
msl0020,A Paleker
msl0020,DJ Smith
msl0021,S George
msl0021,Stephen Harris
msl0022,JD Cloete
msl0022,MW Brown
msl0023,A Jacobs
msl0023,Stephen Harris
msl0024,LB Gcuma
msl0024,S George
msl0025,AT Holdstock
msl0025,JD Cloete
msl0026,A Jacobs
msl0026,BP Jele
msl0027,A Paleker
msl0027,LB Gcuma
msl0028,AT Holdstock
msl0028,DJ Smith
msl0029,S George
msl0029,Stephen Harris
msl0030,AT Holdstock
msl0030,S George
msl0031,BP Jele
msl0031,S George
msl0032,BM White
msl0032,Siphelele Gasa
msl0033,S George
msl0033,Stephen Harris
msl0034,AT Holdstock
msl0034,MW Brown
msl0035,A Jacobs
msl0035,LB Gcuma
msl0036,S George
msl0036,TC Mokorosi
msl0037,A Paleker
msl0037,CD Isaacs
msl0038,LB Gcuma
msl0038,PJ Vosloo
msl0039,A Jacobs
msl0039,DJ Smith
msl0040,A Steenkamp
msl0040,Stephen Harris
msl0041,AT Holdstock
msl0041,RN Hendricks
msl0042,BM White
msl0042,S George
msl0043,A Paleker
msl0043,BP Jele
msl0044,AT Holdstock
msl0044,MW Brown
msl0045,BM White
msl0045,S George
msl0046,A Paleker
msl0046,Siphelele Gasa
msl0047,BP Jele
msl0047,Stephen Harris
msl0048,AT Holdstock
msl0048,LB Gcuma
msl0049,A Steenkamp
msl0049,A Paleker
msl0050,PJ Vosloo
msl0050,Stephen Harris
msl0051,DJ Smith
msl0051,Siphelele Gasa
msl0052,LB Gcuma
msl0052,S George
msl0053,CD Isaacs
msl0053,S George
msl0054,S George
msl0054,TC Mokorosi
msl0055,BM White
msl0055,Stephen Harris
msl0056,A Paleker
msl0056,BP Jele
