key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
ntb0001,Southampton,NatWest T20 Blast,2014-05-16,male,T20,,20,J Allenby,The Rose Bowl
ntb0002,Chester-le-Street,NatWest T20 Blast,2014-05-16,male,T20,,20,PD Collingwood,Riverside Ground
ntb0003,Leicester,NatWest T20 Blast,2014-05-16,male,T20,,20,MJ North,Grace Road
ntb0004,Leeds,NatWest T20 Blast,2014-05-16,male,T20,,20,IG Butler,Headingley
ntb0005,Nottingham,NatWest T20 Blast,2014-05-16,male,T20,,20,SR Patel,Trent Bridge
ntb0006,Manchester,NatWest T20 Blast,2014-05-17,male,T20,,20,PJ Horton,Old Trafford
ntb0007,London,NatWest T20 Blast,2014-05-17,male,T20,,20,SA Piolet,Lord's
ntb0008,London,NatWest T20 Blast,2014-05-17,male,T20,,20,ML Pettini,Lord's
ntb0009,Taunton,NatWest T20 Blast,2014-05-18,male,T20,,20,JJ Roy,The Cooper Associates County Ground
ntb0010,Bristol,NatWest T20 Blast,2014-05-23,male,T20,,20,JK Fuller,County Ground
ntb0011,Chelmsford,NatWest T20 Blast,2014-05-23,male,T20,,20,T Westley,County Ground
ntb0012,Derby,NatWest T20 Blast,2014-05-23,male,T20,,20,SJ Croft,County Ground
ntb0013,Hove,NatWest T20 Blast,2014-05-23,male,T20,,20,JM Vince,County Ground
ntb0014,Northampton,NatWest T20 Blast,2014-05-23,male,T20,,20,DJ Willey,County Ground
ntb0015,Taunton,NatWest T20 Blast,2014-05-23,male,T20,,20,DJ Bell-Drummond,The Cooper Associates County Ground
ntb0016,Nottingham,NatWest T20 Blast,2014-05-23,male,T20,,20,AN Kervezee,Trent Bridge
ntb0017,Northwood,NatWest T20 Blast,2014-05-25,male,T20,,20,JM Vince,Merchant Taylors' School Ground
ntb0018,Chester-le-Street,NatWest T20 Blast,2014-05-29,male,T20,,20,KR Brown,Riverside Ground
ntb0019,Southampton,NatWest T20 Blast,2014-05-30,male,T20,,20,JM Vince,The Rose Bowl
ntb0020,Manchester,NatWest T20 Blast,2014-05-30,male,T20,,20,Junaid Khan,Old Trafford
ntb0021,Leeds,NatWest T20 Blast,2014-05-30,male,T20,,20,AZ Lees,Headingley
ntb0022,London,NatWest T20 Blast,2014-05-30,male,T20,,20,TK Curran,Kennington Oval
ntb0023,Worcester,NatWest T20 Blast,2014-05-30,male,T20,,20,RK Oliver,"County Ground, New Road"
ntb0024,Cardiff,NatWest T20 Blast,2014-05-30,male,T20,,20,CB Cooke,Sophia Gardens
ntb0025,Nottingham,NatWest T20 Blast,2014-05-30,male,T20,,20,SJ Mullaney,Trent Bridge
ntb0026,Canterbury,NatWest T20 Blast,2014-05-30,male,T20,,20,AEN Riley,St Lawrence Ground
ntb0027,Leicester,NatWest T20 Blast,2014-06-01,male,T20,,20,WTS Porterfield,Grace Road
ntb0028,Southampton,NatWest T20 Blast,2014-06-05,male,T20,,20,MA Carberry,The Rose Bowl
ntb0029,Canterbury,NatWest T20 Blast,2014-06-06,male,T20,,20,DT Christian,St Lawrence Ground
ntb0030,Derby,NatWest T20 Blast,2014-06-06,male,T20,,20,AD Hales,County Ground
ntb0031,Manchester,NatWest T20 Blast,2014-06-06,male,T20,,20,AJ Finch,Old Trafford
ntb0032,Leicester,NatWest T20 Blast,2014-06-06,male,T20,,20,DKH Mitchell,Grace Road
ntb0033,Hove,NatWest T20 Blast,2014-06-06,male,T20,,20,GJ McCarter,County Ground
ntb0034,London,NatWest T20 Blast,2014-06-06,male,T20,,20,T Westley,Kennington Oval
ntb0035,Taunton,NatWest T20 Blast,2014-06-06,male,T20,,20,J Allenby,The Cooper Associates County Ground
ntb0036,Worcester,NatWest T20 Blast,2014-06-07,male,T20,,20,RA Whiteley,"County Ground, New Road"
ntb0037,Bristol,NatWest T20 Blast,2014-06-08,male,T20,,20,,County Ground
ntb0038,Canterbury,NatWest T20 Blast,2014-06-11,male,T20,,20,RS Bopara,St Lawrence Ground
ntb0039,Chelmsford,NatWest T20 Blast,2014-06-13,male,T20,,20,RS Bopara,County Ground
ntb0040,Derby,NatWest T20 Blast,2014-06-13,male,T20,,20,C Munro,County Ground
ntb0041,Manchester,NatWest T20 Blast,2014-06-13,male,T20,,20,RA Jones,Old Trafford
ntb0042,London,NatWest T20 Blast,2014-06-13,male,T20,,20,JJ Roy,Kennington Oval
ntb0043,Northampton,NatWest T20 Blast,2014-06-13,male,T20,,20,Azeem Rafiq,County Ground
ntb0044,Cardiff,NatWest T20 Blast,2014-06-13,male,T20,,20,DI Stevens,Sophia Gardens
ntb0045,Taunton,NatWest T20 Blast,2014-06-13,male,T20,,20,PD Trego,The Cooper Associates County Ground
ntb0046,Nottingham,NatWest T20 Blast,2014-06-13,male,T20,,20,LJ Evans,Trent Bridge
ntb0047,,NatWest T20 Blast,2014-06-15,male,T20,,20,C Kieswetter,Arundel Castle Cricket Club Ground
ntb0048,London,NatWest T20 Blast,2014-06-18,male,T20,,20,JL Denly,Kennington Oval
ntb0049,Birmingham,NatWest T20 Blast,2014-06-19,male,T20,,20,CJC Wright,Edgbaston
ntb0050,Leicester,NatWest T20 Blast,2014-06-19,male,T20,,20,GP Smith,Grace Road
ntb0051,Southampton,NatWest T20 Blast,2014-06-20,male,T20,,20,JHK Adams,The Rose Bowl
ntb0052,Canterbury,NatWest T20 Blast,2014-06-20,male,T20,,20,LJ Wright,St Lawrence Ground
ntb0053,Chelmsford,NatWest T20 Blast,2014-06-20,male,T20,,20,TJ Phillips,County Ground
