key,data_version,created,revision
ntb0001,0.91,2020-08-24,1
ntb0002,0.91,2020-08-24,1
ntb0003,0.91,2020-08-24,1
ntb0004,0.91,2020-08-24,1
ntb0005,0.91,2020-08-24,1
ntb0006,0.91,2020-08-24,1
ntb0007,0.91,2020-08-24,1
ntb0008,0.91,2020-08-24,1
ntb0009,0.91,2020-08-24,1
ntb0010,0.91,2020-08-24,1
ntb0011,0.91,2020-08-24,1
ntb0012,0.91,2020-08-24,1
ntb0013,0.91,2020-08-24,1
ntb0014,0.91,2020-08-24,1
ntb0015,0.91,2020-08-24,1
ntb0016,0.91,2020-08-24,1
ntb0017,0.91,2020-08-24,1
ntb0018,0.91,2020-08-24,1
ntb0019,0.91,2020-08-24,1
ntb0020,0.91,2020-08-24,1
ntb0021,0.91,2020-08-24,1
ntb0022,0.91,2020-08-24,1
ntb0023,0.91,2020-08-24,1
ntb0024,0.91,2020-08-24,1
ntb0025,0.91,2020-08-24,1
ntb0026,0.91,2020-08-24,1
ntb0027,0.91,2020-08-24,1
ntb0028,0.91,2020-08-24,1
ntb0029,0.91,2020-08-24,1
ntb0030,0.91,2020-08-24,1
ntb0031,0.91,2020-08-24,1
ntb0032,0.91,2020-08-24,1
ntb0033,0.91,2020-08-24,1
ntb0034,0.91,2020-08-24,1
ntb0035,0.91,2020-08-24,1
ntb0036,0.91,2020-08-24,1
ntb0037,0.91,2020-08-24,1
ntb0038,0.91,2020-08-24,1
ntb0039,0.91,2020-08-24,1
ntb0040,0.91,2020-08-24,1
ntb0041,0.91,2020-08-24,1
ntb0042,0.91,2020-08-24,1
ntb0043,0.91,2020-08-24,1
ntb0044,0.91,2020-08-24,1
ntb0045,0.91,2020-08-24,1
ntb0046,0.91,2020-08-24,1
ntb0047,0.91,2020-08-24,1
ntb0048,0.91,2020-08-24,1
ntb0049,0.91,2020-08-24,1
ntb0050,0.91,2020-08-24,1
ntb0051,0.91,2020-08-24,1
ntb0052,0.91,2020-08-24,1
ntb0053,0.91,2020-08-24,1
ntb0054,0.91,2020-08-24,1
ntb0055,0.91,2020-08-24,1
ntb0056,0.91,2020-08-24,1
ntb0057,0.91,2020-08-24,1
ntb0058,0.91,2020-08-24,1
ntb0059,0.91,2020-08-24,1
ntb0060,0.91,2020-08-24,1
ntb0061,0.91,2020-08-24,1
ntb0062,0.91,2020-08-24,1
ntb0063,0.91,2020-08-24,1
ntb0064,0.91,2020-08-24,1
ntb0065,0.91,2020-08-24,1
ntb0066,0.91,2020-08-24,1
ntb0067,0.91,2020-08-24,1
ntb0068,0.91,2020-08-24,1
ntb0069,0.91,2020-08-24,1
ntb0070,0.91,2020-08-24,1
ntb0071,0.91,2020-08-24,1
ntb0072,0.91,2020-08-24,1
ntb0073,0.91,2020-08-24,1
ntb0074,0.91,2020-08-24,1
ntb0075,0.91,2020-08-24,1
ntb0076,0.91,2020-08-24,1
ntb0077,0.91,2020-08-24,1
ntb0078,0.91,2020-08-24,1
ntb0079,0.91,2020-08-24,1
ntb0080,0.91,2020-08-24,1
ntb0081,0.91,2020-08-24,1
ntb0082,0.91,2020-08-24,1
ntb0083,0.91,2020-08-24,1
ntb0084,0.91,2020-08-24,1
ntb0085,0.91,2020-08-24,1
ntb0086,0.91,2020-08-24,1
ntb0087,0.91,2020-08-24,1
ntb0088,0.91,2020-08-24,1
ntb0089,0.91,2020-08-24,1
ntb0090,0.91,2020-08-24,1
ntb0091,0.91,2020-08-24,1
ntb0092,0.91,2020-08-24,1
ntb0093,0.91,2020-08-24,1
ntb0094,0.91,2020-08-24,1
ntb0095,0.91,2020-08-24,1
ntb0096,0.91,2020-08-24,1
ntb0097,0.91,2020-08-24,1
ntb0098,0.91,2020-08-24,1
ntb0099,0.91,2020-08-24,1
ntb0100,0.91,2020-08-24,1
ntb0101,0.91,2020-08-24,1
ntb0102,0.91,2020-08-24,1
ntb0103,0.91,2020-08-24,1
ntb0104,0.91,2020-08-24,1
ntb0105,0.91,2020-08-24,1
ntb0106,0.91,2020-08-24,1
ntb0107,0.91,2020-08-24,1
ntb0108,0.91,2020-08-24,1
ntb0109,0.91,2020-08-24,1
ntb0110,0.91,2020-08-24,1
ntb0111,0.91,2020-08-24,1
ntb0112,0.91,2020-08-24,1
ntb0113,0.91,2020-08-24,1
ntb0114,0.91,2020-08-24,1
ntb0115,0.91,2020-08-24,1
ntb0116,0.91,2020-08-24,1
ntb0117,0.91,2020-08-24,1
ntb0118,0.91,2020-08-24,1
ntb0119,0.91,2020-08-24,1
ntb0120,0.91,2020-08-24,1
ntb0121,0.91,2020-08-24,1
ntb0122,0.91,2020-08-24,1
ntb0123,0.91,2020-08-18,1
ntb0124,0.91,2020-08-18,1
ntb0125,0.91,2020-08-18,1
ntb0126,0.91,2020-08-18,1
ntb0127,0.91,2020-08-18,1
ntb0128,0.91,2020-08-18,1
ntb0129,0.91,2020-08-18,1
ntb0130,0.91,2020-08-18,1
ntb0131,0.91,2020-08-18,1
ntb0132,0.91,2020-08-18,1
ntb0133,0.91,2020-08-18,1
ntb0134,0.91,2020-08-18,1
ntb0135,0.91,2020-08-18,1
ntb0136,0.91,2020-08-18,1
ntb0137,0.91,2020-08-18,1
ntb0138,0.91,2020-08-18,1
ntb0139,0.91,2020-08-18,1
ntb0140,0.91,2020-08-18,1
ntb0141,0.91,2020-08-18,1
ntb0142,0.91,2020-08-18,1
ntb0143,0.91,2020-08-18,1
ntb0144,0.91,2020-08-18,1
ntb0145,0.91,2020-08-18,1
ntb0146,0.91,2020-08-18,1
ntb0147,0.91,2020-08-18,1
ntb0148,0.91,2020-08-18,1
ntb0149,0.91,2020-08-18,1
ntb0150,0.91,2020-08-18,1
ntb0151,0.91,2020-08-18,1
ntb0152,0.91,2020-08-18,1
ntb0153,0.91,2020-08-18,1
ntb0154,0.91,2020-08-18,1
ntb0155,0.91,2020-08-18,1
ntb0156,0.91,2020-08-18,1
ntb0157,0.91,2020-08-18,1
ntb0158,0.91,2020-08-18,1
ntb0159,0.91,2020-08-18,1
ntb0160,0.91,2020-08-18,1
ntb0161,0.91,2020-08-18,1
ntb0162,0.91,2020-08-18,1
ntb0163,0.91,2020-08-18,1
ntb0164,0.91,2020-08-18,1
ntb0165,0.91,2020-08-18,1
ntb0166,0.91,2020-08-18,1
ntb0167,0.91,2020-08-18,1
ntb0168,0.91,2020-08-18,1
ntb0169,0.91,2020-08-18,1
ntb0170,0.91,2020-08-18,1
ntb0171,0.91,2020-08-18,1
ntb0172,0.91,2020-08-18,1
ntb0173,0.91,2020-08-18,1
ntb0174,0.91,2020-08-18,1
ntb0175,0.91,2020-08-18,1
ntb0176,0.91,2020-08-18,1
ntb0177,0.91,2020-08-18,1
ntb0178,0.91,2020-08-18,1
ntb0179,0.91,2020-08-18,1
ntb0180,0.91,2020-08-18,1
ntb0181,0.91,2020-08-18,1
ntb0182,0.91,2020-08-18,1
ntb0183,0.91,2020-08-18,1
ntb0184,0.91,2020-08-18,1
ntb0185,0.91,2020-08-18,1
ntb0186,0.91,2020-08-18,1
ntb0187,0.91,2020-08-18,1
ntb0188,0.91,2020-08-18,1
ntb0189,0.91,2020-08-18,1
ntb0190,0.91,2020-08-18,1
ntb0191,0.91,2020-08-18,1
ntb0192,0.91,2020-08-18,1
ntb0193,0.91,2020-08-18,1
ntb0194,0.91,2020-08-18,1
ntb0195,0.91,2020-08-18,1
ntb0196,0.91,2020-08-17,1
ntb0197,0.91,2020-08-18,1
ntb0198,0.91,2020-08-18,1
ntb0199,0.91,2020-08-18,1
ntb0200,0.91,2020-08-18,1
ntb0201,0.91,2020-08-18,1
ntb0202,0.91,2020-08-18,1
ntb0203,0.91,2020-08-18,1
ntb0204,0.91,2020-08-18,1
ntb0205,0.91,2020-08-18,1
ntb0206,0.91,2020-08-18,1
ntb0207,0.91,2020-08-18,1
ntb0208,0.91,2020-08-18,1
ntb0209,0.91,2020-08-18,1
ntb0210,0.91,2020-08-18,1
ntb0211,0.91,2020-08-18,1
ntb0212,0.91,2020-08-18,1
ntb0213,0.91,2020-08-18,1
ntb0214,0.91,2020-08-18,1
ntb0215,0.91,2020-08-18,1
ntb0216,0.91,2020-08-18,1
ntb0217,0.91,2020-08-18,1
ntb0218,0.91,2020-08-18,1
ntb0219,0.91,2020-08-18,1
ntb0220,0.91,2020-08-18,1
ntb0221,0.91,2020-08-18,1
ntb0222,0.91,2020-08-18,1
ntb0223,0.91,2020-08-18,1
ntb0224,0.91,2020-08-18,1
ntb0225,0.91,2020-08-18,1
ntb0226,0.91,2020-08-18,1
ntb0227,0.91,2020-08-18,1
ntb0228,0.91,2020-08-18,1
ntb0229,0.91,2020-08-18,1
ntb0230,0.91,2020-08-18,1
ntb0231,0.91,2020-08-18,1
ntb0232,0.91,2020-08-18,1
ntb0233,0.91,2020-08-18,1
ntb0234,0.91,2020-08-18,1
ntb0235,0.91,2020-08-18,1
ntb0236,0.91,2020-08-18,1
ntb0237,0.91,2020-08-18,1
ntb0238,0.91,2020-08-18,1
ntb0239,0.91,2020-08-18,1
ntb0240,0.91,2020-08-18,1
ntb0241,0.91,2020-08-18,1
ntb0242,0.91,2020-08-18,1
ntb0243,0.91,2020-08-18,1
ntb0244,0.91,2020-08-18,1
ntb0245,0.91,2020-08-18,1
ntb0246,0.91,2020-08-18,1
ntb0247,0.91,2017-04-30,1
ntb0248,0.91,2017-04-30,1
ntb0249,0.91,2017-04-30,1
ntb0250,0.91,2017-04-30,1
ntb0251,0.91,2017-04-29,1
ntb0252,0.91,2017-04-29,1
ntb0253,0.91,2017-04-30,1
ntb0254,0.91,2017-04-30,1
ntb0255,0.91,2017-04-30,1
ntb0256,0.91,2017-04-30,1
ntb0257,0.91,2017-04-30,1
ntb0258,0.91,2017-04-30,1
ntb0259,0.91,2017-04-30,1
ntb0260,0.91,2017-04-30,1
ntb0261,0.91,2017-04-30,1
ntb0262,0.91,2017-04-30,1
ntb0263,0.91,2017-04-30,1
ntb0264,0.91,2017-04-30,1
ntb0265,0.91,2017-04-30,1
ntb0266,0.91,2017-04-30,1
ntb0267,0.91,2017-04-30,1
ntb0268,0.91,2017-04-30,1
ntb0269,0.91,2017-04-30,1
ntb0270,0.91,2017-04-30,1
ntb0271,0.91,2017-04-30,1
ntb0272,0.91,2017-04-30,1
ntb0273,0.91,2017-04-30,1
ntb0274,0.91,2017-04-30,1
ntb0275,0.91,2017-04-30,1
ntb0276,0.91,2017-04-30,1
ntb0277,0.91,2017-04-30,1
ntb0278,0.91,2017-04-30,1
ntb0279,0.91,2017-04-30,1
ntb0280,0.91,2017-04-30,1
ntb0281,0.91,2017-04-30,1
ntb0282,0.91,2017-04-30,1
ntb0283,0.91,2017-04-30,1
ntb0284,0.91,2017-05-01,1
ntb0285,0.91,2017-05-01,1
ntb0286,0.91,2017-04-30,1
ntb0287,0.91,2017-04-30,1
ntb0288,0.91,2017-04-30,1
ntb0289,0.91,2017-05-01,1
ntb0290,0.91,2017-05-01,1
ntb0291,0.91,2017-05-01,1
ntb0292,0.91,2017-05-01,1
ntb0293,0.91,2017-05-01,1
ntb0294,0.91,2017-05-02,1
ntb0295,0.91,2017-05-02,1
ntb0296,0.91,2017-05-02,1
ntb0297,0.91,2017-05-02,1
ntb0298,0.91,2017-05-01,1
ntb0299,0.91,2017-05-01,1
ntb0300,0.91,2017-05-01,1
ntb0301,0.91,2017-05-02,1
ntb0302,0.91,2017-05-02,3
ntb0303,0.91,2017-05-02,1
ntb0304,0.91,2017-05-02,1
ntb0305,0.91,2017-05-02,1
ntb0306,0.91,2017-05-02,1
ntb0307,0.91,2017-05-02,1
ntb0308,0.91,2017-05-02,1
ntb0309,0.91,2017-05-02,1
ntb0310,0.91,2017-05-02,1
ntb0311,0.91,2017-05-02,1
ntb0312,0.91,2017-05-02,1
ntb0313,0.91,2017-05-02,1
ntb0314,0.91,2017-05-02,1
ntb0315,0.91,2017-05-02,1
ntb0316,0.91,2017-05-02,1
ntb0317,0.91,2017-05-02,1
ntb0318,0.91,2017-05-02,1
ntb0319,0.91,2017-05-02,1
ntb0320,0.91,2017-05-02,1
ntb0321,0.91,2017-05-02,1
ntb0322,0.91,2017-05-02,1
ntb0323,0.91,2017-05-02,1
ntb0324,0.91,2017-05-02,1
ntb0325,0.91,2017-05-02,1
ntb0326,0.91,2017-05-02,1
ntb0327,0.91,2017-05-02,1
ntb0328,0.91,2017-05-02,1
ntb0329,0.91,2017-05-02,1
ntb0330,0.91,2017-05-02,1
ntb0331,0.91,2017-05-02,1
ntb0332,0.91,2017-05-02,1
ntb0333,0.91,2017-05-02,1
ntb0334,0.91,2017-05-02,1
ntb0335,0.91,2017-05-02,1
ntb0336,0.91,2017-05-02,1
ntb0337,0.91,2017-05-03,1
ntb0338,0.91,2017-05-03,1
ntb0339,0.91,2017-05-03,1
ntb0340,0.91,2017-05-03,1
ntb0341,0.91,2017-05-03,1
ntb0342,0.91,2017-05-03,1
ntb0343,0.91,2017-05-03,1
ntb0344,0.91,2017-05-03,1
ntb0345,0.91,2017-05-03,1
ntb0346,0.91,2017-05-03,1
ntb0347,0.91,2017-05-03,1
ntb0348,0.91,2017-05-03,1
ntb0349,0.91,2017-05-03,1
ntb0350,0.91,2017-05-03,1
ntb0351,0.91,2017-05-03,1
ntb0352,0.91,2017-05-03,1
ntb0353,0.91,2017-05-04,1
ntb0354,0.91,2017-05-04,1
ntb0355,0.91,2017-05-04,1
ntb0356,0.91,2017-05-04,1
ntb0357,0.91,2017-05-03,1
ntb0358,0.91,2017-05-03,1
ntb0359,0.91,2017-05-03,1
ntb0360,0.91,2017-05-03,1
ntb0361,0.91,2017-05-04,1
ntb0362,0.91,2017-05-04,1
ntb0363,0.91,2017-05-04,2
ntb0364,0.91,2017-05-04,1
ntb0365,0.91,2017-05-04,1
ntb0366,0.91,2017-05-04,1
ntb0367,0.91,2017-05-04,1
ntb0368,0.91,2020-07-20,1
ntb0369,0.91,2020-07-20,1
ntb0370,0.91,2020-07-20,1
ntb0371,0.91,2020-07-20,1
