key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
ntb0001,,runs,10.0,,,,,Glamorgan
ntb0002,,runs,29.0,,,,,Durham
ntb0003,,runs,27.0,,,,,Leicestershire
ntb0004,,wickets,3.0,,,,,Northamptonshire
ntb0005,,runs,33.0,,,,,Nottinghamshire
ntb0006,,runs,12.0,,,,,Lancashire
ntb0007,,runs,13.0,,,,,Sussex
ntb0008,,wickets,8.0,,,,,Essex
ntb0009,,runs,14.0,,,,,Surrey
ntb0010,,wickets,5.0,,,,,Gloucestershire
ntb0011,,wickets,4.0,,,,,Essex
ntb0012,,runs,20.0,,,,,Lancashire
ntb0013,,runs,18.0,,,,,Hampshire
ntb0014,,wickets,2.0,,,,,Northamptonshire
ntb0015,,runs,42.0,,,,,Kent
ntb0016,,runs,24.0,,,,,Worcestershire
ntb0017,,runs,47.0,,,,,Hampshire
ntb0018,,runs,1.0,,,,,Lancashire
ntb0019,,wickets,8.0,,,,,Hampshire
ntb0020,,runs,15.0,,,,,Lancashire
ntb0021,,wickets,8.0,,,,,Yorkshire
ntb0022,,wickets,6.0,,,,,Surrey
ntb0023,,wickets,5.0,,,,,Worcestershire
ntb0024,,wickets,5.0,,,,,Glamorgan
ntb0025,,runs,3.0,,,,,Durham
ntb0026,,runs,21.0,,,,,Kent
ntb0027,,runs,25.0,,,,,Warwickshire
ntb0028,,runs,22.0,,,,,Hampshire
ntb0029,,runs,16.0,,,,,Kent
ntb0030,,wickets,5.0,,,,,Nottinghamshire
ntb0031,,wickets,5.0,,,,,Yorkshire
ntb0032,,wickets,5.0,,,,,Worcestershire
ntb0033,,runs,4.0,,,,,Gloucestershire
ntb0034,,wickets,5.0,,,,,Essex
ntb0035,,runs,7.0,,,,,Glamorgan
ntb0036,,wickets,5.0,,,,,Worcestershire
ntb0037,,,,,,,no result,
ntb0038,,wickets,6.0,,,,,Essex
ntb0039,,wickets,8.0,,,,,Essex
ntb0040,,runs,8.0,,,,,Worcestershire
ntb0041,,runs,9.0,,,,,Lancashire
ntb0042,,wickets,10.0,,,,,Surrey
ntb0043,,runs,16.0,,,,,Yorkshire
ntb0044,,,,,,,tie,
ntb0045,,runs,1.0,,,,,Somerset
ntb0046,,runs,18.0,,,,,Warwickshire
ntb0047,,runs,34.0,,,,,Somerset
ntb0048,,wickets,8.0,,,,,Middlesex
ntb0049,,wickets,8.0,,,,,Warwickshire
ntb0050,,runs,24.0,,,,,Nottinghamshire
ntb0051,,runs,2.0,,,,,Hampshire
ntb0052,,runs,35.0,,,,,Sussex
ntb0053,,wickets,2.0,,,,,Essex
ntb0054,,wickets,4.0,,,,,Leicestershire
ntb0055,,runs,53.0,,,,,Lancashire
ntb0056,,wickets,8.0,,,,,Worcestershire
ntb0057,,runs,17.0,,,,,Surrey
ntb0058,,runs,27.0,,,,,Nottinghamshire
ntb0059,,runs,6.0,,,,,Hampshire
ntb0060,,,,,,,no result,
ntb0061,,wickets,3.0,,,,,Gloucestershire
