key,player_of_match
ntb0001,J Allenby
ntb0002,PD Collingwood
ntb0003,MJ North
ntb0004,IG Butler
ntb0005,SR Patel
ntb0006,PJ Horton
ntb0007,SA Piolet
ntb0008,ML Pettini
ntb0009,JJ Roy
ntb0010,JK Fuller
ntb0011,T Westley
ntb0012,SJ Croft
ntb0013,JM Vince
ntb0014,DJ Willey
ntb0015,DJ Bell-Drummond
ntb0016,AN Kervezee
ntb0017,JM Vince
ntb0018,KR Brown
ntb0019,JM Vince
ntb0020,Junaid Khan
ntb0021,AZ Lees
ntb0022,TK Curran
ntb0023,RK Oliver
ntb0024,CB Cooke
ntb0025,SJ Mullaney
ntb0026,AEN Riley
ntb0027,WTS Porterfield
ntb0028,MA Carberry
ntb0029,DT Christian
ntb0030,AD Hales
ntb0031,AJ Finch
ntb0032,DKH Mitchell
ntb0033,GJ McCarter
ntb0034,T Westley
ntb0035,J Allenby
ntb0036,RA Whiteley
ntb0038,RS Bopara
ntb0039,RS Bopara
ntb0039,T Westley
ntb0040,C Munro
ntb0041,RA Jones
ntb0042,JJ Roy
ntb0043,Azeem Rafiq
ntb0044,DI Stevens
ntb0045,PD Trego
ntb0046,LJ Evans
ntb0047,C Kieswetter
ntb0048,JL Denly
ntb0049,CJC Wright
ntb0050,GP Smith
ntb0051,JHK Adams
ntb0052,LJ Wright
ntb0053,TJ Phillips
ntb0054,EJH Eckersley
ntb0055,JC Buttler
ntb0056,DKH Mitchell
ntb0057,HM Amla
ntb0058,MH Wessels
ntb0059,JHK Adams
ntb0061,AP Rouse
ntb0062,WJ Durston
ntb0063,CD Nash
ntb0064,JJ Roy
ntb0066,ML Pettini
ntb0067,JWA Taylor
ntb0068,JW Hastings
ntb0069,AJ Finch
ntb0069,A Lyth
ntb0070,P Mustard
ntb0071,JJ Roy
ntb0072,GG White
ntb0073,J Allenby
ntb0074,IA Cockbain
ntb0075,WR Smith
ntb0076,RN ten Doeschate
ntb0078,AJ Ireland
ntb0079,JC Buttler
ntb0080,C Kieswetter
ntb0081,SJ Mullaney
ntb0082,PR Stirling
ntb0083,V Chopra
ntb0084,JM Bairstow
ntb0085,SJ Croft
ntb0086,AJ Blake
ntb0087,JA Rudolph
ntb0088,RE Levi
ntb0089,AC Thomas
ntb0090,T Westley
ntb0091,AZ Lees
ntb0092,WAT Beer
