key,toss_winner,toss_decision,decision,winner
ntb0001,,,field,Hampshire
ntb0002,,,field,Worcestershire
ntb0003,,,field,Derbyshire
ntb0004,,,bat,Yorkshire
ntb0005,,,field,Lancashire
ntb0006,,,bat,Lancashire
ntb0007,,,field,Middlesex
ntb0008,,,field,Essex
ntb0009,,,field,Somerset
ntb0010,,,field,Gloucestershire
ntb0011,,,field,Essex
ntb0012,,,field,Derbyshire
ntb0013,,,bat,Hampshire
ntb0014,,,field,Northamptonshire
ntb0015,,,field,Somerset
ntb0016,,,field,Nottinghamshire
ntb0017,,,field,Middlesex
ntb0018,,,bat,Lancashire
ntb0019,,,field,Hampshire
ntb0020,,,bat,Lancashire
ntb0021,,,bat,Derbyshire
ntb0022,,,field,Surrey
ntb0023,,,bat,Northamptonshire
ntb0024,,,field,Glamorgan
ntb0025,,,field,Nottinghamshire
ntb0026,,,bat,Kent
ntb0027,,,field,Leicestershire
ntb0028,,,bat,Hampshire
ntb0029,,,bat,Kent
ntb0030,,,bat,Derbyshire
ntb0031,,,bat,Lancashire
ntb0032,,,bat,Leicestershire
ntb0033,,,field,Sussex
ntb0034,,,field,Essex
ntb0035,,,bat,Glamorgan
ntb0036,,,field,Worcestershire
ntb0037,,,bat,Gloucestershire
ntb0038,,,bat,Kent
ntb0039,,,field,Essex
ntb0040,,,field,Derbyshire
ntb0041,,,bat,Lancashire
ntb0042,,,field,Surrey
ntb0043,,,bat,Yorkshire
ntb0044,,,field,Kent
ntb0045,,,field,Hampshire
ntb0046,,,bat,Warwickshire
ntb0047,,,field,Sussex
ntb0048,,,bat,Somerset
ntb0049,,,field,Warwickshire
ntb0050,,,field,Leicestershire
ntb0051,,,bat,Hampshire
ntb0052,,,bat,Sussex
ntb0053,,,field,Essex
ntb0054,,,field,Leicestershire
ntb0055,,,bat,Lancashire
ntb0056,,,field,Worcestershire
ntb0057,,,field,Glamorgan
ntb0058,,,field,Derbyshire
ntb0059,,,field,Glamorgan
ntb0060,,,bat,Gloucestershire
ntb0061,,,field,Gloucestershire
ntb0062,,,field,Derbyshire
ntb0063,,,field,Sussex
ntb0064,,,field,Surrey
ntb0065,,,bat,Durham
ntb0066,,,field,Essex
ntb0067,,,bat,Nottinghamshire
ntb0068,,,field,Durham
ntb0069,,,field,Leicestershire
ntb0070,,,bat,Durham
ntb0071,,,field,Surrey
ntb0072,,,field,Warwickshire
ntb0073,,,bat,Middlesex
ntb0074,,,field,Sussex
ntb0075,,,field,Kent
ntb0076,,,field,Essex
ntb0077,,,field,Leicestershire
ntb0078,,,field,Leicestershire
ntb0079,,,field,Worcestershire
ntb0080,,,bat,Somerset
ntb0081,,,field,Warwickshire
ntb0082,,,field,Hampshire
ntb0083,,,field,Warwickshire
ntb0084,,,field,Durham
ntb0085,,,bat,Lancashire
ntb0086,,,field,Sussex
ntb0087,,,field,Surrey
ntb0088,,,field,Northamptonshire
ntb0089,,,field,Gloucestershire
ntb0090,,,field,Kent
ntb0091,,,field,Derbyshire
ntb0092,,,bat,Glamorgan
ntb0093,,,field,Surrey
ntb0094,,,bat,Hampshire
ntb0095,,,bat,Kent
ntb0096,,,field,Gloucestershire
ntb0097,,,bat,Lancashire
ntb0098,,,field,Leicestershire
ntb0099,,,bat,Yorkshire
ntb0100,,,bat,Worcestershire
ntb0101,,,field,Essex
ntb0102,,,field,Gloucestershire
ntb0103,,,bat,Nottinghamshire
ntb0104,,,field,Hampshire
ntb0105,,,bat,Nottinghamshire
ntb0106,,,bat,Lancashire
ntb0107,,,bat,Middlesex
ntb0108,,,bat,Kent
ntb0109,,,field,Sussex
ntb0110,,,field,Leicestershire
ntb0111,,,bat,Northamptonshire
ntb0112,,,bat,Yorkshire
ntb0113,,,field,Derbyshire
ntb0114,,,field,Glamorgan
ntb0115,,,bat,Somerset
ntb0116,,,field,Glamorgan
ntb0117,,,field,Essex
ntb0118,,,field,Surrey
ntb0119,,,bat,Nottinghamshire
ntb0120,,,bat,Warwickshire
ntb0121,,,field,Hampshire
ntb0122,,,field,Surrey
ntb0123,,,field,Yorkshire
ntb0124,,,field,Surrey
ntb0125,,,field,Nottinghamshire
ntb0126,,,bat,Leicestershire
ntb0127,,,bat,Kent
ntb0128,,,bat,Hampshire
ntb0129,,,field,Gloucestershire
ntb0130,,,field,Northamptonshire
ntb0131,,,field,Essex
ntb0132,,,field,Gloucestershire
ntb0133,,,field,Yorkshire
ntb0134,,,field,Leicestershire
ntb0135,,,bat,Durham
ntb0136,,,bat,Hampshire
ntb0137,,,field,Essex
ntb0138,,,field,Worcestershire
ntb0139,,,field,Essex
ntb0140,,,bat,Middlesex
ntb0141,,,bat,Durham
ntb0142,,,field,Worcestershire
ntb0143,,,bat,Middlesex
ntb0144,,,bat,Northamptonshire
ntb0145,,,bat,Kent
ntb0146,,,field,Glamorgan
ntb0147,,,field,Somerset
ntb0148,,,field,Yorkshire
ntb0149,,,field,Derbyshire
ntb0150,,,bat,Kent
ntb0151,,,field,Durham
ntb0152,,,bat,Hampshire
ntb0153,,,field,Lancashire
ntb0154,,,bat,Surrey
ntb0155,,,bat,Hampshire
ntb0156,,,field,Leicestershire
