key_id,date
odis0001,2004-01-03
odis0002,2004-01-09
odis0003,2004-01-11
odis0004,2004-01-14
odis0005,2004-01-16
odis0006,2004-01-18
odis0007,2004-01-20
odis0008,2004-01-22
odis0009,2004-01-25
odis0010,2004-01-29
odis0011,2004-01-30
odis0012,2004-02-01
odis0013,2004-02-01
odis0014,2004-02-06
odis0015,2004-02-08
odis0016,2004-02-20
odis0017,2004-02-22
odis0018,2004-02-25
odis0019,2004-02-27
odis0020,2004-03-14
odis0021,2004-03-16
odis0022,2004-03-19
odis0023,2004-03-21
odis0024,2004-03-24
odis0025,2004-04-20
odis0026,2004-04-24
odis0027,2004-04-27
odis0028,2004-05-02
odis0029,2004-05-15
odis0030,2004-05-16
odis0031,2004-05-19
odis0032,2004-05-25
odis0033,2004-05-27
odis0034,2004-05-29
odis0035,2004-06-27
odis0036,2004-06-29
odis0037,2004-07-01
odis0038,2004-07-06
odis0039,2004-07-10
odis0040,2004-07-17
odis0041,2004-07-21
odis0042,2004-07-23
odis0043,2004-07-27
odis0044,2004-08-01
odis0045,2004-08-21
odis0046,2004-08-23
odis0047,2004-08-28
odis0048,2004-08-31
odis0049,2004-09-01
odis0050,2004-09-03
odis0051,2004-09-04
odis0052,2004-09-05
odis0053,2004-09-10
odis0054,2004-09-10
odis0054,2004-09-11
odis0055,2004-09-11
odis0056,2004-09-13
odis0057,2004-09-14
odis0057,2004-09-15
odis0058,2004-09-14
odis0059,2004-09-15
odis0060,2004-09-16
odis0061,2004-09-17
odis0061,2004-09-18
odis0062,2004-09-18
odis0062,2004-09-19
odis0063,2004-09-19
odis0064,2004-09-21
odis0065,2004-09-22
odis0066,2004-09-25
odis0067,2004-09-30
odis0068,2004-10-03
odis0069,2004-10-06
odis0070,2004-10-09
odis0071,2004-10-16
odis0072,2004-11-02
odis0073,2004-11-28
odis0074,2004-12-01
odis0075,2004-12-05
odis0076,2004-12-05
odis0077,2004-12-08
odis0078,2004-12-23
odis0079,2004-12-27
odis0080,2005-01-19
odis0081,2005-01-21
odis0082,2005-01-23
odis0083,2005-01-24
odis0084,2005-01-26
odis0085,2005-01-30
odis0086,2005-01-30
odis0087,2005-01-31
odis0088,2005-02-01
odis0089,2005-02-02
odis0090,2005-02-04
odis0091,2005-02-04
odis0092,2005-02-06
odis0093,2005-02-09
odis0094,2005-02-11
odis0095,2005-02-13
odis0096,2005-02-25
odis0097,2005-02-26
odis0098,2005-02-27
odis0099,2005-03-01
odis0100,2005-03-02
odis0101,2005-04-05
odis0102,2005-04-12
odis0103,2005-04-15
odis0104,2005-04-17
odis0105,2005-05-08
odis0106,2005-05-15
odis0107,2005-05-18
odis0108,2005-05-22
odis0109,2005-06-16
odis0110,2005-06-18
odis0111,2005-06-23
odis0112,2005-06-25
odis0113,2005-06-26
odis0114,2005-06-28
odis0115,2005-06-30
odis0116,2005-07-02
odis0117,2005-07-12
odis0118,2005-07-31
odis0119,2005-08-02
odis0120,2005-08-06
odis0121,2005-08-17
odis0122,2005-08-21
odis0123,2005-08-29
odis0124,2005-08-31
odis0125,2005-08-31
odis0126,2005-09-04
odis0127,2005-09-06
odis0128,2005-10-07
odis0129,2005-10-09
odis0130,2005-10-25
odis0131,2005-10-28
odis0132,2005-10-28
odis0133,2005-10-30
odis0134,2005-11-03
odis0135,2005-11-04
odis0136,2005-11-06
odis0137,2005-11-06
odis0138,2005-11-09
odis0139,2005-11-12
odis0140,2005-11-16
odis0141,2005-11-28
odis0142,2005-12-03
odis0143,2005-12-10
odis0144,2005-12-15
odis0145,2005-12-21
odis0146,2005-12-31
odis0147,2006-01-03
odis0148,2006-01-06
odis0149,2006-01-15
odis0150,2006-01-17
odis0151,2006-01-20
odis0152,2006-01-22
odis0153,2006-01-24
odis0154,2006-01-26
odis0155,2006-01-29
odis0156,2006-01-31
odis0157,2006-02-03
odis0158,2006-02-05
odis0159,2006-02-06
odis0160,2006-02-07
odis0161,2006-02-10
odis0162,2006-02-11
odis0163,2006-02-12
odis0164,2006-02-13
odis0165,2006-02-14
odis0166,2006-02-16
odis0167,2006-02-18
odis0168,2006-02-19
odis0169,2006-02-20
odis0170,2006-02-22
odis0171,2006-02-22
odis0172,2006-02-25
odis0173,2006-02-25
odis0174,2006-02-26
odis0175,2006-03-01
odis0176,2006-03-03
odis0177,2006-03-04
odis0178,2006-03-05
odis0179,2006-03-10
odis0180,2006-03-12
odis0181,2006-03-17
odis0182,2006-03-19
odis0183,2006-03-22
odis0184,2006-03-28
odis0185,2006-03-31
odis0186,2006-04-03
odis0187,2006-04-12
odis0188,2006-04-15
odis0189,2006-04-18
odis0190,2006-04-19
odis0191,2006-04-23
odis0192,2006-04-26
odis0193,2006-04-28
odis0194,2006-04-29
odis0195,2006-04-30
odis0196,2006-05-10
odis0197,2006-05-13
odis0198,2006-05-14
odis0199,2006-05-20
odis0200,2006-05-23
odis0201,2006-05-26
odis0202,2006-05-28
odis0203,2006-06-13
odis0204,2006-06-17
odis0205,2006-06-20
odis0206,2006-06-24
odis0207,2006-06-28
odis0208,2006-07-01
odis0209,2006-08-06
odis0210,2006-08-12
odis0211,2006-08-13
odis0212,2006-08-15
odis0213,2006-08-18
odis0213,2006-08-19
odis0214,2006-08-30
odis0215,2006-09-02
odis0216,2006-09-05
odis0217,2006-09-08
odis0218,2006-09-10
odis0219,2006-09-14
odis0220,2006-09-15
odis0221,2006-09-16
odis0222,2006-09-18
odis0223,2006-09-18
odis0224,2006-09-20
odis0225,2006-09-20
odis0226,2006-09-22
odis0227,2006-09-24
odis0228,2006-10-07
odis0229,2006-10-08
odis0230,2006-10-10
odis0231,2006-10-11
odis0232,2006-10-13
odis0233,2006-10-14
odis0234,2006-10-15
odis0235,2006-10-16
odis0236,2006-10-17
odis0237,2006-10-18
odis0238,2006-10-20
odis0239,2006-10-21
odis0240,2006-10-24
odis0241,2006-10-25
odis0242,2006-10-26
odis0243,2006-10-27
odis0244,2006-10-28
odis0245,2006-10-29
odis0246,2006-11-01
odis0247,2006-11-02
odis0248,2006-11-05
odis0249,2006-11-22
odis0250,2006-11-26
odis0251,2006-11-27
odis0252,2006-11-29
odis0253,2006-11-30
odis0254,2006-12-01
odis0255,2006-12-02
odis0256,2006-12-03
odis0257,2006-12-03
odis0258,2006-12-05
odis0259,2006-12-07
odis0260,2006-12-08
odis0261,2006-12-09
odis0262,2006-12-10
odis0263,2006-12-13
odis0264,2006-12-16
odis0265,2006-12-28
odis0266,2007-01-02
odis0267,2007-01-06
odis0268,2007-01-12
odis0269,2007-01-14
odis0270,2007-01-16
odis0271,2007-01-19
odis0272,2007-01-21
odis0273,2007-01-22
odis0274,2007-01-23
odis0275,2007-01-24
odis0276,2007-01-26
odis0277,2007-01-27
odis0278,2007-01-28
odis0279,2007-01-30
odis0280,2007-01-31
odis0281,2007-02-02
odis0282,2007-02-02
odis0283,2007-02-04
odis0284,2007-02-04
odis0285,2007-02-04
odis0286,2007-02-04
odis0287,2007-02-05
odis0288,2007-02-06
odis0289,2007-02-07
odis0290,2007-02-08
odis0291,2007-02-09
odis0292,2007-02-09
odis0293,2007-02-11
odis0294,2007-02-11
odis0295,2007-02-11
odis0296,2007-02-14
odis0297,2007-02-14
odis0298,2007-02-16
odis0299,2007-02-17
odis0300,2007-02-18
odis0301,2007-02-20
odis0302,2007-03-05
odis0303,2007-03-13
odis0304,2007-03-14
odis0305,2007-03-15
odis0306,2007-03-15
odis0307,2007-03-16
odis0308,2007-03-16
odis0309,2007-03-17
odis0310,2007-03-17
odis0311,2007-03-18
odis0312,2007-03-18
odis0313,2007-03-19
odis0314,2007-03-19
odis0315,2007-03-20
odis0316,2007-03-20
odis0317,2007-03-21
odis0318,2007-03-21
odis0319,2007-03-22
odis0320,2007-03-22
odis0321,2007-03-23
odis0322,2007-03-23
odis0323,2007-03-24
odis0324,2007-03-24
odis0325,2007-03-25
odis0326,2007-03-27
odis0326,2007-03-28
odis0327,2007-03-28
odis0328,2007-03-29
odis0329,2007-03-30
odis0330,2007-03-31
odis0331,2007-04-01
odis0332,2007-04-02
odis0333,2007-04-03
odis0334,2007-04-04
odis0335,2007-04-07
odis0336,2007-04-08
odis0337,2007-04-09
odis0338,2007-04-10
odis0339,2007-04-11
odis0340,2007-04-12
