key_id,city,date,gender,match_type,match_type_number,neutral_venue,overs,player_of_match,venue
odis0001,Auckland,2004-01-03,male,ODI,2075.0,,50,SB Styris,Eden Park
odis0002,Melbourne,2004-01-09,male,ODI,2077.0,,50,A Symonds,Melbourne Cricket Ground
odis0003,Sydney,2004-01-11,male,ODI,2079.0,,50,BA Williams,Sydney Cricket Ground
odis0004,Hobart,2004-01-14,male,ODI,2080.0,,50,V Sehwag,Bellerive Oval
odis0005,Hobart,2004-01-16,male,ODI,2082.0,,50,AC Gilchrist,Bellerive Oval
odis0006,Brisbane,2004-01-18,male,ODI,2084.0,,50,VVS Laxman,Brisbane Cricket Ground
odis0007,Brisbane,2004-01-20,male,ODI,2085.0,,50,Yuvraj Singh,Brisbane Cricket Ground
odis0008,Sydney,2004-01-22,male,ODI,2086.0,,50,Yuvraj Singh,Sydney Cricket Ground
odis0009,Cape Town,2004-01-25,male,ODI,2088.0,,50,JH Kallis,Newlands
odis0010,Melbourne,2004-01-29,male,ODI,2091.0,,50,,Melbourne Cricket Ground
odis0011,Durban,2004-01-30,male,ODI,2092.0,,50,,Kingsmead
odis0012,Perth,2004-02-01,male,ODI,2093.0,,50,AC Gilchrist,W.A.C.A. Ground
odis0013,Centurion,2004-02-01,male,ODI,2094.0,,50,S Chanderpaul,SuperSport Park
odis0014,Melbourne,2004-02-06,male,ODI,2097.0,,50,RT Ponting,Melbourne Cricket Ground
odis0015,Sydney,2004-02-08,male,ODI,2098.0,,50,ML Hayden,Sydney Cricket Ground
odis0016,Dambulla,2004-02-20,male,ODI,2102.0,,50,GB Hogg,Rangiri Dambulla International Stadium
odis0017,Dambulla,2004-02-22,male,ODI,2103.0,,50,WPUJC Vaas,Rangiri Dambulla International Stadium
odis0018,Dunedin,2004-02-25,male,ODI,2104.0,,50,HJH Marshall,Carisbrook
odis0019,Colombo,2004-02-27,male,ODI,2106.0,,50,MS Kasprowicz,R.Premadasa Stadium
odis0020,Harare,2004-03-14,male,ODI,2113.0,,50,Khaled Mahmud,Harare Sports Club
odis0021,Rawalpindi,2004-03-16,male,ODI,2114.0,,50,SR Tendulkar,Rawalpindi Cricket Stadium
odis0022,Peshawar,2004-03-19,male,ODI,2115.0,,50,Yasir Hameed,Arbab Niaz Stadium
odis0023,Lahore,2004-03-21,male,ODI,2116.0,,50,Inzamam-ul-Haq,Gaddafi Stadium
odis0024,Lahore,2004-03-24,male,ODI,2117.0,,50,VVS Laxman,Gaddafi Stadium
odis0025,Bulawayo,2004-04-20,male,ODI,2119.0,,50,T Taibu,Queens Sports Club
odis0026,Port of Spain,2004-04-24,male,ODI,2121.0,,50,,Queen's Park Oval
odis0027,Harare,2004-04-27,male,ODI,2123.0,,50,UDU Chandana,Harare Sports Club
odis0028,Gros Islet,2004-05-02,male,ODI,2126.0,,50,S Chanderpaul,Daren Sammy National Cricket Stadium
