key_id,data_version,created,revision
odis0001,0.91,2021-03-08,1
odis0002,0.91,2021-03-08,1
odis0003,0.91,2021-03-08,1
odis0004,0.91,2021-03-08,1
odis0005,0.91,2021-03-08,1
odis0006,0.91,2021-03-08,1
odis0007,0.91,2021-03-08,1
odis0008,0.91,2021-03-08,1
odis0009,0.91,2021-03-08,1
odis0010,0.91,2021-03-08,1
odis0011,0.91,2021-03-08,1
odis0012,0.91,2021-03-08,1
odis0013,0.91,2021-03-08,1
odis0014,0.91,2021-03-08,1
odis0015,0.91,2021-03-08,1
odis0016,0.91,2021-03-08,1
odis0017,0.91,2021-03-08,1
odis0018,0.91,2021-03-08,1
odis0019,0.91,2021-03-08,1
odis0020,0.91,2021-03-08,2
odis0021,0.91,2021-03-08,1
odis0022,0.91,2021-03-08,2
odis0023,0.91,2021-03-08,1
odis0024,0.91,2021-03-08,1
odis0025,0.91,2021-03-08,1
odis0026,0.91,2021-03-08,1
odis0027,0.91,2021-03-08,1
odis0028,0.91,2021-03-08,1
odis0029,0.91,2021-03-08,1
odis0030,0.91,2021-03-08,1
odis0031,0.91,2021-03-08,1
odis0032,0.91,2021-03-08,1
odis0033,0.91,2021-03-08,1
odis0034,0.91,2021-03-08,1
odis0035,0.91,2021-03-08,1
odis0036,0.91,2021-03-08,1
odis0037,0.91,2021-03-08,1
odis0038,0.91,2021-03-08,1
odis0039,0.91,2021-03-08,1
odis0040,0.91,2021-03-08,1
odis0041,0.91,2021-03-08,1
odis0042,0.91,2021-03-08,1
odis0043,0.91,2021-03-08,1
odis0044,0.91,2021-03-08,1
odis0045,0.91,2021-03-08,1
odis0046,0.91,2021-03-08,1
odis0047,0.91,2021-03-08,1
odis0048,0.91,2021-03-08,1
odis0049,0.91,2021-03-08,1
odis0050,0.91,2021-03-08,1
odis0051,0.91,2021-03-08,1
odis0052,0.91,2021-03-08,1
odis0053,0.91,2021-03-08,1
odis0054,0.91,2021-03-08,2
odis0055,0.91,2021-03-08,1
odis0056,0.91,2021-03-08,1
odis0057,0.91,2021-03-08,1
odis0058,0.91,2021-03-08,1
odis0059,0.91,2021-03-08,1
odis0060,0.91,2021-03-08,1
odis0061,0.91,2021-03-08,1
odis0062,0.91,2021-03-08,1
odis0063,0.91,2021-03-08,1
odis0064,0.91,2021-03-08,1
odis0065,0.91,2021-03-08,1
odis0066,0.91,2021-03-08,1
odis0067,0.91,2021-03-08,1
odis0068,0.91,2021-03-08,1
odis0069,0.91,2021-03-08,1
odis0070,0.91,2021-03-08,1
odis0071,0.91,2021-03-08,1
odis0072,0.91,2021-03-08,1
odis0073,0.91,2021-03-08,1
odis0074,0.91,2021-03-08,1
odis0075,0.91,2021-03-08,1
odis0076,0.91,2021-03-08,1
odis0077,0.91,2021-03-08,1
odis0078,0.91,2021-03-08,1
odis0079,0.91,2020-12-05,1
odis0080,0.91,2020-12-04,1
odis0081,0.91,2020-12-04,1
odis0082,0.91,2020-12-04,1
odis0083,0.91,2020-12-04,1
odis0084,0.91,2020-12-04,1
odis0085,0.91,2020-12-04,1
odis0086,0.91,2020-12-04,1
odis0087,0.91,2020-12-04,1
odis0088,0.91,2020-12-04,1
odis0089,0.91,2020-12-04,1
odis0090,0.91,2020-12-04,1
odis0091,0.91,2020-12-04,1
odis0092,0.91,2020-12-04,1
odis0093,0.91,2020-12-04,1
odis0094,0.91,2020-12-04,1
odis0095,0.91,2020-12-04,1
odis0096,0.91,2020-12-04,1
odis0097,0.91,2020-12-04,1
odis0098,0.91,2020-12-04,1
odis0099,0.91,2020-12-04,1
odis0100,0.91,2020-12-04,1
odis0101,0.91,2020-12-04,1
odis0102,0.91,2020-12-04,1
odis0103,0.91,2020-12-04,1
odis0104,0.91,2020-12-04,1
odis0105,0.91,2020-12-04,1
odis0106,0.91,2020-12-04,1
odis0107,0.91,2020-12-04,1
odis0108,0.91,2020-12-04,1
odis0109,0.91,2020-12-04,1
odis0110,0.91,2020-12-04,1
odis0111,0.91,2020-12-04,1
odis0112,0.91,2020-12-04,1
odis0113,0.91,2020-12-04,1
odis0114,0.91,2020-12-04,1
odis0115,0.91,2020-12-04,1
odis0116,0.91,2020-12-05,1
odis0117,0.91,2020-12-05,1
odis0118,0.91,2020-12-05,1
odis0119,0.91,2020-12-05,1
odis0120,0.91,2020-12-05,1
odis0121,0.91,2020-12-05,1
odis0122,0.91,2020-12-05,1
odis0123,0.91,2020-12-11,1
odis0124,0.91,2020-12-11,1
odis0125,0.91,2020-12-11,1
odis0126,0.91,2020-12-11,1
odis0127,0.91,2020-12-11,1
odis0128,0.91,2020-12-11,1
odis0129,0.91,2020-12-11,1
odis0130,0.91,2020-12-11,1
odis0131,0.91,2020-12-11,1
odis0132,0.91,2020-12-11,1
odis0133,0.91,2020-12-11,1
odis0134,0.91,2020-12-11,1
odis0135,0.91,2020-12-11,1
odis0136,0.91,2020-12-11,1
odis0137,0.91,2020-12-11,1
odis0138,0.91,2020-12-11,1
odis0139,0.91,2020-12-11,1
odis0140,0.91,2020-12-11,1
